muni,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
Amesbury,2,40013.77256,75.75,70063,10.48
Barnstable,2,76659.79142,69.75,nan,7.34
Beverly,7,31556.518,48.5,79873.33333,11.61
Cambridge,34,1248798.262,48.32352941,101934.7419,14.8
Canton,2,35300.61583,28,86987,12.51
Dartmouth,6,1624050.886,4.916666667,108139,8.66
Dedham,11,2406641.09,25.86363636,103945.2,11.06
Foxborough,6,392283.7099,2.583333333,107598,12.62
Gloucester,5,95952.66159,38.5,62493.2,7.37
Halifax,3,192339.5422,3.5,92111,0.94
Haverhill,28,3007641.486,31.69642857,64127.80769,10
Holbrook,1,170254.823,31.5,70431,10.32
Leominster,5,56691.8708,37.4,98000,8.18
Lowell,2,38612.59091,42.5,23495,12.5
Lynn,34,1074942.315,44.86764706,36901.86667,12.42
Mansfield,6,948604.6697,23.08333333,106596.5,10.76
Melrose,1,4894.035869,28,69219,7.96
Needham,1,3037746.766,0,nan,12.66
Newton,19,246793.1809,37.44736842,162212.4211,7.47
Salem,1,112205.4562,46,83594,13.24
Sharon,31,927222.8453,7.903225806,130228.7333,10.65
Sutton,1,1932.17004,20,100539,1.5
Walpole,28,1515042.762,30.32142857,112688.6296,7.08
Westborough,14,849130.7793,15.17857143,100119.9231,13.29
Westfield,4,584165.2457,9.875,65115.75,7.24
Westminster,1,809341.2962,5.5,98714,3.08
Worcester,4,17400800.17,20.625,40485,13.39
