muni,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
Amesbury,3,105072.853,75.66666667,70063,10.48,2,40013.77256,75.75,70063,10.48,1,65059.08048,75.5,70063,10.48
Andover,24,3924986.833,23,145470.2,13.29,,,,,,24,3924986.833,23,145470.2,13.29
Athol,1,23764.51825,51,54625,6.02,,,,,,1,23764.51825,51,54625,6.02
Attleboro,30,2863454.196,41.05,73383,6.42,,,,,,30,2863454.196,41.05,73383,6.42
Barnstable,6,479544.7564,70,nan,7.34,2,76659.79142,69.75,nan,7.34,4,402884.965,70.125,nan,7.34
Becket,1,131982.3654,0,75852,0,,,,,,1,131982.3654,0,75852,0
Bedford,1,21835.5193,71,134602,18.3,,,,,,1,21835.5193,71,134602,18.3
Belmont,13,403958.2422,48.53846154,107038.3333,3.61,,,,,,13,403958.2422,48.53846154,107038.3333,3.61
Beverly,11,-44774.34465,53.18181818,81706.1,11.61,7,31556.518,48.5,79873.33333,11.61,4,-76330.86265,61.375,84455.25,11.61
Brockton,6,359558.6553,35.5,50593.66667,13.01,,,,,,6,359558.6553,35.5,50593.66667,13.01
Cambridge,39,1309115.859,49.73076923,101441.3333,14.8,34,1248798.262,48.32352941,101934.7419,14.8,5,60317.59668,59.3,98382.2,14.8
Canton,2,35300.61583,28,86987,12.51,2,35300.61583,28,86987,12.51,,,,,
Charlton,10,1723819.863,5.55,83606,1.74,,,,,,10,1723819.863,5.55,83606,1.74
Dartmouth,6,1624050.886,4.916666667,108139,8.66,6,1624050.886,4.916666667,108139,8.66,,,,,
Dedham,12,12183032.54,23.95833333,103945.2,11.06,11,2406641.09,25.86363636,103945.2,11.06,1,9776391.449,3,nan,11.06
Dennis,1,432173.748,18,nan,5.25,,,,,,1,432173.748,18,nan,5.25
Edgartown,1,160232.5203,16,64810,4.54,,,,,,1,160232.5203,16,64810,4.54
Everett,4,607315.473,46.5,55244.75,6.36,,,,,,4,607315.473,46.5,55244.75,6.36
Fairhaven,1,108789.9242,25,60714,6.94,,,,,,1,108789.9242,25,60714,6.94
Fall River,3,87627.19681,42.33333333,29817.66667,11.14,,,,,,3,87627.19681,42.33333333,29817.66667,11.14
Foxborough,6,392283.7099,2.583333333,107598,12.62,6,392283.7099,2.583333333,107598,12.62,,,,,
Framingham,1,23923.80334,42,39518,10.41,,,,,,1,23923.80334,42,39518,10.41
Franklin,5,1419204.883,26.5,116980.6667,11.91,,,,,,5,1419204.883,26.5,116980.6667,11.91
Gardner,1,31154.9721,49.5,34349,14.96,,,,,,1,31154.9721,49.5,34349,14.96
Gloucester,6,307589.5997,34.83333333,66280.83333,7.37,5,95952.66159,38.5,62493.2,7.37,1,211636.9381,16.5,85219,7.37
Halifax,3,192339.5422,3.5,92111,0.94,3,192339.5422,3.5,92111,0.94,,,,,
Hanson,9,748556.5222,8.5,98383.77778,4.4,,,,,,9,748556.5222,8.5,98383.77778,4.4
Haverhill,30,3227102.995,31.01666667,64272.75,10,28,3007641.486,31.69642857,64127.80769,10,2,219461.5089,21.5,66157,10
Holbrook,1,170254.823,31.5,70431,10.32,1,170254.823,31.5,70431,10.32,,,,,
Lakeville,1,368454.4819,14.5,nan,7.11,,,,,,1,368454.4819,14.5,nan,7.11
Lawrence,1,-53105.23613,42,46394,14.97,,,,,,1,-53105.23613,42,46394,14.97
Leominster,7,45340.31518,39.14285714,89069.4,8.18,5,56691.8708,37.4,98000,8.18,2,-11351.55562,43.5,53347,8.18
Littleton,1,270610.3499,7.5,113581,12.9,,,,,,1,270610.3499,7.5,113581,12.9
Lowell,3,244336.6054,41.83333333,30909.66667,12.5,2,38612.59091,42.5,23495,12.5,1,205724.0145,40.5,45739,12.5
Lynn,39,1011585.606,44.42307692,37859.88235,12.42,34,1074942.315,44.86764706,36901.86667,12.42,5,-63356.70921,41.4,45045,12.42
Mansfield,7,968651.6807,25.92857143,104177,10.76,6,948604.6697,23.08333333,106596.5,10.76,1,20047.01093,43,89660,10.76
Melrose,2,42383.26223,28,69219,7.96,1,4894.035869,28,69219,7.96,1,37489.22636,28,nan,7.96
Nantucket,4,155344.8633,58.25,105422.5,2.7,,,,,,4,155344.8633,58.25,105422.5,2.7
Needham,1,3037746.766,0,nan,12.66,1,3037746.766,0,nan,12.66,,,,,
New Bedford,2,59191.05777,38.75,20489.5,11.93,,,,,,2,59191.05777,38.75,20489.5,11.93
Newton,36,1402317.498,34.72222222,159830.1143,7.47,19,246793.1809,37.44736842,162212.4211,7.47,17,1155524.318,31.67647059,157001.125,7.47
Northampton,7,1615299.89,38.5,53919.8,10.92,,,,,,7,1615299.89,38.5,53919.8,10.92
Norwood,25,19563071.35,67.88,85197.08333,9.87,,,,,,25,19563071.35,67.88,85197.08333,9.87
Oak Bluffs,1,2192.381091,62.5,82045,6.83,,,,,,1,2192.381091,62.5,82045,6.83
Peabody,2,642531.197,21.75,105885,9.27,,,,,,2,642531.197,21.75,105885,9.27
Pittsfield,2,251888.8286,50,41914.5,9.21,,,,,,2,251888.8286,50,41914.5,9.21
Quincy,75,1236455.147,42.55333333,66422.14286,9.61,,,,,,75,1236455.147,42.55333333,66422.14286,9.61
Raynham,1,162194.0753,3,98636,9.68,,,,,,1,162194.0753,3,98636,9.68
Reading,2,21258.2191,49.5,96722.5,10.48,,,,,,2,21258.2191,49.5,96722.5,10.48
Salem,6,371435.8968,56.08333333,75058,13.24,1,112205.4562,46,83594,13.24,5,259230.4406,58.1,73350.8,13.24
Sharon,32,956550.9082,8.34375,129753.6129,10.65,31,927222.8453,7.903225806,130228.7333,10.65,1,29328.06292,22,115500,10.65
Sheffield,1,106106.1729,5.5,76250,1.99,,,,,,1,106106.1729,5.5,76250,1.99
Somerville,35,2567656.957,41.57142857,91243.32143,9.7,,,,,,35,2567656.957,41.57142857,91243.32143,9.7
Springfield,17,418048.2739,41.32352941,19456,16.56,,,,,,17,418048.2739,41.32352941,19456,16.56
Sutton,1,1932.17004,20,100539,1.5,1,1932.17004,20,100539,1.5,,,,,
Swampscott,5,110447.5068,37.4,90102.2,4.31,,,,,,5,110447.5068,37.4,90102.2,4.31
Swansea,1,33111.77201,27.5,95205,3.86,,,,,,1,33111.77201,27.5,95205,3.86
Taunton,1,78378.6788,88.5,31162,6.41,,,,,,1,78378.6788,88.5,31162,6.41
Topsfield,5,624776.4798,13,136812,7.19,,,,,,5,624776.4798,13,136812,7.19
Walpole,29,1577011.848,30.9137931,112368.7143,7.08,28,1515042.762,30.32142857,112688.6296,7.08,1,61969.08624,47.5,103731,7.08
Wellesley,1,2217901.677,14,nan,6.77,,,,,,1,2217901.677,14,nan,6.77
Westborough,14,849130.7793,15.17857143,100119.9231,13.29,14,849130.7793,15.17857143,100119.9231,13.29,,,,,
Westfield,5,903675.495,9.8,64795.8,7.24,4,584165.2457,9.875,65115.75,7.24,1,319510.2493,9.5,63516,7.24
Westminster,1,809341.2962,5.5,98714,3.08,1,809341.2962,5.5,98714,3.08,,,,,
Weymouth,16,3574535.294,39.15625,92235.54545,7.59,,,,,,16,3574535.294,39.15625,92235.54545,7.59
Worcester,14,24438142.52,23.82142857,44751,13.39,4,17400800.17,20.625,40485,13.39,10,7037342.341,25.1,46350.75,13.39
