District,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
10th Bristol District,14,1250912.913,47.71428571,51173.85714,9.12,5,515509.7946,49,43879.2,9.12,9,735403.1187,47,55226.44444,9.12
10th Essex District,14,187013.1692,38.67857143,51171.07143,12.42,1,3161.075062,44.5,29452,12.42,13,183852.0941,38.23076923,52841.76923,12.42
10th Hampden District,42,1616454.385,30.52380952,19604.16667,16.56,,,,,,42,1616454.385,30.52380952,19604.16667,16.56
10th Middlesex District,16,599543.9185,63.65625,99959.125,7.32,,,,,,16,599543.9185,63.65625,99959.125,7.32
10th Norfolk District,14,928664.4558,23.17857143,104862.9286,11.79,,,,,,14,928664.4558,23.17857143,104862.9286,11.79
10th Plymouth District,13,769950.4431,30.26923077,58007,12.77,4,22883.21849,38.5,53883.25,12.77,9,747067.2246,26.61111111,59839.77778,12.77
10th Worcester District,24,752101.6425,30.04166667,82504.16667,8.07,,,,,,24,752101.6425,30.04166667,82504.16667,8.07
11th Bristol District,124,1243581.854,44.62096774,56567.75,11.9,15,193359.8427,43.53333333,55114.26667,11.9,109,1050222.011,44.7706422,56767.77064,11.9
11th Essex District,15,953560.7383,42.63333333,50902.86667,12.39,1,5005.616333,41.5,36339,12.39,14,948555.122,42.71428571,51943.14286,12.39
11th Hampden District,45,1129055.748,34.52222222,42305.15556,16.56,,,,,,45,1129055.748,34.52222222,42305.15556,16.56
11th Middlesex District,11,257787.0694,46.04545455,130886.7273,7.47,,,,,,11,257787.0694,46.04545455,130886.7273,7.47
11th Norfolk District,52,1191845.504,46.18269231,82359.86538,11.05,12,637414.9655,59.125,79380.66667,11.05,40,554430.5387,42.3,83253.625,11.05
11th Plymouth District,14,867256.6855,28.39285714,70057.21429,12,2,13183.94515,38,54034,12,12,854072.7403,26.79166667,72727.75,12
11th Worcester District,12,883772.3681,43.58333333,102273,8.82,,,,,,12,883772.3681,43.58333333,102273,8.82
12th Bristol District,5,771817.3647,38.1,62963,6.45,,,,,,5,771817.3647,38.1,62963,6.45
12th Essex District,15,1798335.07,42.03333333,63767.2,9.27,1,394715.2804,21,83461,9.27,14,1403619.79,43.53571429,62360.5,9.27
12th Hampden District,5,149658.7172,21.2,72758.2,9.88,,,,,,5,149658.7172,21.2,72758.2,9.88
12th Middlesex District,27,297527.7654,49.37037037,154990.8889,7.47,1,17936.64341,49.5,116094,7.47,26,279591.122,49.36538462,156486.9231,7.47
12th Norfolk District,13,1796639.29,47.30769231,109911.8462,8.51,4,47976.15812,22.625,131107,8.51,9,1748663.132,58.27777778,100491.7778,8.51
12th Plymouth District,17,1445499.395,12.91176471,97494.88235,3.9,2,475598.2154,11,92111,3.9,15,969901.1793,13.16666667,98212.73333,3.9
12th Suffolk District,5,25230.6194,41,121492.2,4.99,,,,,,5,25230.6194,41,121492.2,4.99
12th Worcester District,12,1555899.399,23.375,92705.83333,7.28,,,,,,12,1555899.399,23.375,92705.83333,7.28
13th Bristol District,48,1151936.287,36.28125,39410.8125,11.93,7,76115.09687,39.78571429,38451.85714,11.93,41,1075821.19,35.68292683,39574.53659,11.93
13th Essex District,14,866194.3954,37.96428571,89204.71429,9.29,1,222807.4369,15.5,102604,9.29,13,643386.9585,39.69230769,88174,9.29
13th Middlesex District,34,1086590.547,9.779411765,157695.0303,10.37,,,,,,34,1086590.547,9.779411765,157695.0303,10.37
13th Norfolk District,75,993113.074,27.98,134997.1333,12.39,,,,,,75,993113.074,27.98,134997.1333,12.39
13th Worcester District,1,540.9783854,33.5,41089,13.39,1,540.9783854,33.5,41089,13.39,,,,,
14th Bristol District,15,983821.4934,35.23333333,91917.06667,4.02,5,186499.5498,33.9,99852.6,4.02,10,797321.9436,35.9,87949.3,4.02
