Page,Order,Town_or_City,DHCD_ID,Project_Name,Address,Type,Total_SHI_Units,Affordability_Expires,Built_with_Comp_Permit,Subsidizing_Agency
1,1,Abington,2,71 Shaw Ave,71 Shaw Ave,Rental,70,Perp,Yes,DHCD
1,2,Abington,3,n/a,Green Street,Rental,1,Perp,No,DHCD
1,3,Abington,4,n/a,Dorsey Street,Rental,1,Perp,No,DHCD
1,4,Abington,5,Beaver Brook,Linwood St,Ownership,4,Perp,Yes,DHCD
1,5,Abington,6,Chestnut Glen,585 Chestnut St.,Rental,130,2032*,No,MassHousing
1,6,Abington,7,Mt. Laurel Lane,Mt. Laurel Lane,Rental,4,2028,No,"EOHHS, MHP"
1,7,Abington,8,Woodlands at Abington Station,303 Sumner Street,Rental,192,Perp,Yes,"DHCD, MassHousing"
1,8,Abington,4183,DDS Group Homes,Confidential,Rental,36,N/A,No,DDS
1,9,Abington,9096,Meadowbrook Estates,George F. Gillespie Way,Ownership,7,Perp,YES,DHCD
1,10,Abington,9664,Leavitt Terrace,100 Lincoln Boulevard,Rental,40,Perp,NO,"DHCD, HUD"
2,1,Acton,9,McCarthy Village,Sachem Way,Rental,23,Perp,Yes,DHCD
2,2,Acton,10,Windsor Green,68 Windsor Ave.,Rental,68,Perp,Yes,DHCD
2,3,Acton,11,n/a,27 Concord Rd.,Rental,12,Perp,No,DHCD
2,4,Acton,12,n/a,Scattered Sites,Rental,9,Perp,No,DHCD
2,5,Acton,13,n/a,Scattered sites,Rental,16,Perp,No,DHCD
2,6,Acton,14,McCarthy Village,Sachem Way,Rental,12,Perp,Yes,DHCD
2,7,Acton,15,Bellows Farm,Stow St,Ownership,1,Perp,No,DHCD
2,8,Acton,16,Bellows Farm,Nylander Way,Ownership,1,Perp,No,DHCD
2,9,Acton,17,Harris Village,Harris Street nr Rt 2A,Mix,4,Perp,No,DHCD
2,10,Acton,18,Minuteman Lane,Minuteman Road,Ownership,1,Perp,No,DHCD
