Page,Order,Town_or_City,DHCD_ID,Project_Name,Address,Type,Total_SHI_Units,Affordability_Expires,Built_with_Comp_Permit,Subsidizing_Agency
2,11,Acton,19,West Road,West St,Ownership,1,Perp,No,DHCD
2,12,Acton,20,Bellows Farm,Willow St,Ownership,1,Perp,No,DHCD
2,13,Acton,21,Bellows Farm,Conant Street,Ownership,1,Perp,No,DHCD
2,14,Acton,22,Bellows Farm,Central Street,Ownership,1,Perp,No,DHCD
3,1,Acton,23,Bellows Farm,Mass Ave,Ownership,1,Perp,No,DHCD
3,2,Acton,24,Westside Village,Westside Drive,Ownership,4,Perp,Yes,DHCD
3,3,Acton,25,Crossroads Condominiums,244-248 Main Street,Ownership,3,2101,Yes,FHLBB
3,4,Acton,3685,Inn at Robbins Brook,10 Devon Drive,Rental,3,Perp,No,DHCD
3,5,Acton,4184,DDS Group Homes,Confidential,Rental,18,N/A,No,DDS
3,6,Acton,7159,Franklin Place,520 Main Street,Ownership,3,Perp,Yes,MassHousing
3,7,Acton,7160,Dunham Lane,Dunham Lane,Ownership,1,Perp,No,DHCD
3,8,Acton,7161,Fort Pond Brook Place,68 River Street (fka 111-113 School St),Ownership,2,Perp,Yes,DHCD
3,9,Acton,7589,DMH Group Homes,Confidential,Rental,10,N/A,No,DMH
3,10,Acton,7684,Woodlands at Laurel Hill,551-557 Great Road Rear & 80-82 Nagog Park,Rental,296,Perp,YES,MassDevelopment
3,11,Acton,7930,The Residences at Robbins Brook,Hartland Way and Preston Way,Ownership,1,Perp,NO,DHCD
3,12,Acton,8656,Blanchard Place,139 Prospect St,Ownership,3,Perp,YES,DHCD
3,13,Acton,8657,Davis Place,159 Prospect St,Ownership,2,Perp,YES,DHCD
3,14,Acton,8658,214 Central St & 28 Willow St,214 Central St & 28 Willow St,Mix,3,Perp,YES,DHCD
4,1,Acton,9002,Somerset Hills Condominiums,Somerset Hills,Ownership,2,Perp,NO,DHCD
4,2,Acton,9072,River Street,River Street,Ownership,1,Perp,NO,DHCD
4,3,Acton,9078,Parker Village Condominium,Parker Street/Drummer Road,Rental,1,Perp,NO,DHCD
4,4,Acton,9079,Ellsworth Village,Ellsworth Village Road,Ownership,2,Perp,NO,DHCD
4,5,Acton,9091,Madison Place,737-741 Main Street/Chase Path,Ownership,2,Perp,YES,DHCD
4,6,Acton,9092,Somerset Hills,10-16 Wampus Ave,Rental,2,Perp,NO,DHCD
4,7,Acton,9192,Lalli Terrace,442 Mass Ave,Mix,3,Perp,YES,DHCD
4,8,Acton,9281,99 Parker Street,99 Parker Street,Ownership,2,Perp,YES,DHCD
4,9,Acton,9524,High Street,High Street,Ownership,1,Perp,NO,DHCD
4,10,Acton,9533,Old High School Commons,3 Charter Road,Rental,15,Perp,YES,"DHCD, MHP"
4,11,Acton,9543,McCarthy Village II,15-26 Sachem Way,Rental,12,Perp,YES,"DHCD, MHP"
4,12,Acton,9576,Acton Meadows,263 Great Road,Mix,7,Perp,YES,DHCD
5,1,Acton,9656,Quail Ridge,off Great Road & Skyline Drive,Ownership,8,Perp,NO,DHCD
5,2,Acton,9758,6 Post Office Square,6 Post Office Square,Ownership,0,Perp,YES,DHCD
5,3,Acton,9994,Adeline Way,248 High Street,Ownership,2,Perp,YES,DHCD
5,4,Acton,10079,Anthem Village,31-45 Martin Street,Ownership,7,Perp,YES,MassHousing
5,5,Acton,10228,Sonny Side,146 Prospect St,Ownership,1,Perp,YES,DHCD
6,1,Acushnet,26,26 Garfield Street,26 Garfield Street,Rental,8,Perp,No,DHCD
6,2,Acushnet,27,Presidential Terrace,23 Main St.,Rental,60,Perp,No,DHCD
6,3,Acushnet,28,Buttonwood Meadow,"River,Guillotte,Main Sts.",Ownership,10,Perp,No,DHCD
6,4,Acushnet,4185,DDS Group Homes,Confidential,Rental,11,N/A,No,DDS
6,5,Acushnet,4534,DMH Group Homes,Confidential,Rental,8,N/A,No,DMH
7,1,Adams,29,Columbia Valley Housing,4 Columbia St.,Rental,64,Perp,No,DHCD
7,2,Adams,30,n/a,37-39 Elm St.,Rental,8,Perp,No,DHCD
7,3,Adams,31,n/a,Scattered sites,Rental,20,Perp,No,DHCD
7,4,Adams,32,n/a,113-211 Columbia St.,Rental,6,Perp,No,DHCD
7,5,Adams,33,Adams Housing,15 Myrtle St.,Rental,60,2035*,Yes,"HUD, HUD"
7,6,Adams,34,Barrett House,17 Pleasant St.,Rental,40,2019,No,HUD
7,7,Adams,35,Friend St. Apts,85 Friend Street,Rental,8,2041,No,"DHCD, RHS"
7,8,Adams,37,N. Berkshire Family Life,395 Old Columbia St,Rental,8,2023,No,DHCD
7,9,Adams,39,The Millhouses,53-75 Commercial St.,Rental,99,2024,Yes,HUD
7,10,Adams,4186,DDS Group Homes,Confidential,Rental,8,N/A,No,DDS
8,1,Agawam,40,J.J. Brady Village,775 Springfield St.,Rental,32,Perp,No,DHCD
8,2,Agawam,41,J.J. Brady Village Phase II,775 Springfield St.,Rental,12,Perp,No,DHCD
8,3,Agawam,42,Colonial Haven,886 Main St.,Rental,52,Perp,No,DHCD
8,4,Agawam,43,Country View,95 N. Westfield St.,Rental,40,Perp,No,DHCD
8,5,Agawam,44,Meadowbrook Manor,66 Meadowbrook Manor,Rental,64,Perp,No,DHCD
8,6,Agawam,45,The Danahy School House,51 Maple St.,Rental,35,Perp,Yes,DHCD
8,7,Agawam,46,Wade Park Village,24-36 Franklin St.,Rental,7,Perp,No,DHCD
8,8,Agawam,47,Hale Meekins Residence,203 School St.,Rental,15,2036,No,HUD
8,9,Agawam,48,Pheasant Hill Village,25 Pheasant Hill Dr.,Rental,200,2019,Yes,MassHousing
8,10,Agawam,4187,DDS Group Homes,Confidential,Rental,48,N/A,No,DDS
8,11,Agawam,10033,"702 South Westfield Street/Soldier, On",702 South Westfield Street,Rental,51,Perp,YES,"DHCD, MassHousing"
9,1,Alford,4188,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
10,1,Amesbury,50,n/a,Field Street,Rental,8,Perp,No,DHCD
10,2,Amesbury,51,Macy Terrace,32-50 Macy St.,Rental,27,Perp,No,DHCD
10,3,Amesbury,52,Heritage Towers,180 Main St.,Rental,102,Perp,No,DHCD
10,4,Amesbury,53,Heritage Vale,Naysons Court,Rental,43,Perp,No,DHCD
10,5,Amesbury,54,Powow Villa,Friend St.,Rental,30,Perp,No,DHCD
10,6,Amesbury,55,Powow Villa,Summer St.,Rental,30,Perp,No,DHCD
10,7,Amesbury,56,Market.Macy St. Apts,205 Market St; 30-38 Macy St,Rental,23,Perp,No,DHCD
10,8,Amesbury,58,"Housing Support, Inc.",280 Main Street,Rental,4,2031,No,DHCD
10,9,Amesbury,59,Elms Residence for Men,53 Friend St,Rental,29,Perp,No,"DHCD, FHLBB"
10,10,Amesbury,60,"Turning Point, Inc.",276 Main Street,Rental,10,perp,No,DHCD
10,11,Amesbury,61,Whittier School Apts,20 Prospect Street,Rental,14,2019,No,EOHHS
10,12,Amesbury,4189,DDS Group Homes,Confidential,Rental,52,N/A,No,DDS
10,13,Amesbury,4535,DMH Group Homes,Confidential,Rental,17,N/A,No,DMH
11,1,Amesbury,4953,Amesbury HOR Program,Lafayette Street,Ownership,1,9/15/17,No,DHCD
11,2,Amesbury,4959,Amesbury HOR Program,East Greenwood Street,Ownership,1,8/22/17,No,DHCD
11,3,Amesbury,4960,Amesbury HOR Program,Haverhill Road,Ownership,1,8/22/17,No,DHCD
11,4,Amesbury,4961,Amesbury HOR Program,19 Maple Street,Ownership,1,8/22/17,No,DHCD
11,5,Amesbury,4963,Amesbury HOR Program,Highland Street,Ownership,1,9/19/17,No,DHCD
11,6,Amesbury,4965,Amesbury HOR Program,19 Maple Street,Ownership,1,10/12/18,No,DHCD
11,7,Amesbury,4966,Amesbury HOR Program,Huntington Ave,Ownership,1,10/12/18,No,DHCD
11,8,Amesbury,4967,Amesbury HOR Program,Middle Road,Ownership,1,9/16/18,No,DHCD
11,9,Amesbury,4968,Amesbury HOR Program,Congress Street,Ownership,1,11/15/18,No,DHCD
11,10,Amesbury,4969,Amesbury HOR Program,South Hampton Road,Ownership,1,5/29/19,No,DHCD
11,11,Amesbury,4970,Amesbury HOR Program,Allenclair Road,Ownership,1,6/25/19,No,DHCD
11,12,Amesbury,4971,Amesbury HOR Program,Arlington Street,Rental,2,9/7/22,No,DHCD
11,13,Amesbury,4972,Amesbury HOR Program,Congress Street,Rental,4,11/30/22,No,DHCD
11,14,Amesbury,4973,Amesbury HOR Program,Elm Street,Rental,5,5/9/24,No,DHCD
12,1,Amesbury,7174,Amesbury HOR Program,Fern Avenue,Ownership,1,8/28/19,No,DHCD
12,2,Amesbury,7176,Amesbury HOR Program,Market Street,Ownership,1,8/14/19,No,DHCD
12,3,Amesbury,7177,Amesbury HOR Program,Highland Avenue,Ownership,1,9/13/19,No,DHCD
12,4,Amesbury,7178,Amesbury HOR Program,Orchard Court,Ownership,1,5/22/20,No,DHCD
12,5,Amesbury,7179,Amesbury HOR Program,River Street,Ownership,1,6/3/20,No,DHCD
12,6,Amesbury,7180,Amesbury HOR Program,Warren Avenue,Ownership,1,8/13/20,No,DHCD
12,7,Amesbury,7181,Amesbury HOR Program,School Street,Ownership,3,7/18/25,No,DHCD
12,8,Amesbury,7690,Amesbury HOR Program,Pond Street,Mix,2,1/2/21,NO,DHCD
12,9,Amesbury,7691,Amesbury HOR Program,Arlington Street,Ownership,1,1/7/21,NO,DHCD
12,10,Amesbury,7692,Amesbury HOR Program,Congress Street,Ownership,1,3/11/25,NO,DHCD
12,11,Amesbury,7704,Sally's Place,556 Sparhawk Street,Rental,18,2021,NO,HUD
12,12,Amesbury,7713,Carriage Lofts,37-39 Millyard Street,Ownership,10,2054,NO,DHCD
12,13,Amesbury,7843,"Carriage Lofts, LLC",25 Pond St/36 High St,Ownership,11,Perp,NO,DHCD
12,14,Amesbury,7844,Lofts at Clark's Pond,25 Cedar St,Ownership,0,perp,NO,?
13,1,Amesbury,8351,Amesbury HOR Program,Hillside Ave,Ownership,2,2021,NO,DHCD
13,2,Amesbury,8711,Amesbury Heights,36 Haverhill Rd,Rental,240,perp,NO,"DHCD, MassDevelopment"
13,3,Amesbury,9355,John Ashford Link House,39 High Street,Rental,24,2024,NO,"HUD, MassHousing"
13,4,Amesbury,9840,Briggs Mill Apartments,20 Cedar Street,Rental,9,perp,NO,DHCD
14,1,Amherst,72,Watson Farm,693 Main Street,Rental,15,Perp,Yes,HUD
14,2,Amherst,73,Ann Whalen Apartments,33 Kellogg Ave.,Rental,80,Perp,No,DHCD
14,3,Amherst,74,Chestnut Court,East Pleasant St.,Rental,30,Perp,No,DHCD
14,4,Amherst,75,Jean Elder House,9 Chestnut St.,Rental,23,Perp,No,DHCD
14,5,Amherst,76,Sunrise Ave,Sunrise Ave.,Rental,8,Perp,Yes,DHCD
14,6,Amherst,77,John Nutting Apartments,32-36 Chestnut Court,Rental,16,Perp,No,DHCD
14,7,Amherst,78,n/a,Scattered sites,Rental,16,Perp,No,DHCD
14,8,Amherst,79,n/a,Jenks St.,Rental,4,Perp,No,DHCD
14,9,Amherst,80,Amherst Neighborhood Homes,27 The Hollow,Rental,4,2021,No,DHCD
14,10,Amherst,81,Clark House,100 Main St.,Rental,100,Perp,YES,MassHousing
14,11,Amherst,83,Mill Valley Estates,New Hollister and East Hadley Rds.,Rental,148,Perp,Yes,"DHCD, DHCD"
14,12,Amherst,84,Misty Meadows,Stanley St.,Ownership,14,Perp,No,DHCD
14,13,Amherst,85,Misty Meadows,Stanley Street,Rental,2,Perp,No,DHCD
15,1,Amherst,85,Misty Meadows,Stanley Street,Rental,2,Perp,No,DHCD
15,2,Amherst,87,Pomeroy Lane,34 Pomeroy Lane,Rental,25,2062,No,"DHCD, DHCD"
15,3,Amherst,89,Rolling Green-Amherst,Belchertown Rd.,Rental,204,Perp*,No,MassHousing
15,4,Amherst,90,Village Park,Village Park Road,Rental,200,Perp,No,HUD
15,5,Amherst,91,Habitat for Humanity House,West Pomeroy Lane,Ownership,1,Perp,No,DHCD
15,6,Amherst,92,Cherry Hill Cohousing,Pulpit Hill Rd.,Ownership,10,Perp,No,DHCD
15,7,Amherst,4190,DDS Group Homes,Confidential,Rental,81,N/A,No,DDS
15,8,Amherst,4536,DMH Group Homes,Confidential,Rental,5,N/A,No,DMH
15,9,Amherst,7018,Palley Village,Off Old Belchertown Road,Ownership,4,perp,No,DHCD
15,10,Amherst,8588,Tamarack/Keet House,Tamarack Drive and Bridge Street,Rental,8,perp,NO,"HUD, MassHousing, Town of Amherst"
15,11,Amherst,9037,Main Street Affordable Housing,683-687 Main St,Rental,11,2058,NO,DHCD
16,1,Amherst,9037,Main Street Affordable Housing,683-687 Main St,Rental,11,2058,NO,MHP
16,2,Amherst,9373,Butternut Farm,12 Longmeadow Drive,Rental,27,Perp,YES,"DHCD, MassHousing"
16,3,Amherst,9404,Stanley Street,Stanley Street,Ownership,4,Perp,NO,DHCD
16,4,Amherst,9663,"Habitat for Humanity-Belchertown, Road",Belchertown Road,Ownership,1,Perp,NO,DHCD
16,5,Amherst,9807,Olympia Oaks,85 Olympia Drive,Rental,42,Perp,YES,DHCD
17,1,Andover,93,n/a,Memorial Circle,Rental,56,Perp,No,DHCD
17,2,Andover,94,n/a,Chestnut Court,Rental,42,Perp,No,DHCD
17,3,Andover,95,n/a,Grandview Terrace,Rental,40,Perp,No,DHCD
17,4,Andover,96,n/a,Stowe Court,Rental,40,Perp,No,DHCD
17,5,Andover,97,Frye Circle,256 N. Main St.,Rental,96,Perp,No,DHCD
17,6,Andover,98,n/a,94 Morton St.,Rental,8,Perp,No,DHCD
17,7,Andover,99,Abbot's Pond,Andover Street,Ownership,14,2039,Yes,DHCD
17,8,Andover,100,Andover Commons,10-30 Railroad,Rental,167,2021,No,HUD
17,9,Andover,101,Brookside Estates,105 Brookside Drive / North St.,Rental,42,perp,Yes,"MHP, MassHousing"
17,10,Andover,102,Marland Place,15 Stevens Street,Rental,129,2026,No,"MassHousing, MassHousing"
17,11,Andover,104,Haverhill Street,Haverhill Street,Ownership,1,Perp,No,DHCD
17,12,Andover,3686,Coachmans Ridge,170 Haverhill Street,Ownership,20,Perp,Yes,FHLBB
18,1,Andover,3687,Ballardvale Crossing,12 and 18 Dale Street,Ownership,17,Perp,Yes,FHLBB
18,2,Andover,3688,Heather Drive,Heather Drive,Ownership,1,Perp,Yes,DHCD
18,3,Andover,4071,Rolling Green Apartments,311 Lowell Street,Rental,192,Perp,Yes,"NA, MHP"
18,4,Andover,4182,Greenwood Meadows,191-199 Greenwood Road & 90 Chandler Road,Ownership,5,Perp,Yes,MassHousing
18,5,Andover,4191,DDS Group Homes,Confidential,Rental,50,N/A,No,DDS
18,6,Andover,4537,DMH Group Homes,Confidential,Rental,13,N/A,No,DMH
18,7,Andover,4713,Casco Crossing,68-174 River Road,Rental,96,Perp,Yes,MassHousing
18,8,Andover,7912,Powder Mill Square,Powder Mill Square,Ownership,9,perp,NO,DHCD
18,9,Andover,7914,River Road,River Road,Ownership,1,perp,NO,DHCD
18,10,Andover,9346,North Street,North Street,Ownership,1,Perp,YES,DHCD
18,11,Andover,9387,Avalon at St. Clare,460 River Rd,Rental,115,Perp,YES,MassHousing
18,12,Andover,9967,The Slate at Andover,"50, 100, 200 Woodview Way",Rental,224,Perp,YES,MassHousing
18,13,Andover,9987,Taylor Cove,Taylor Cove Drive,Ownership,2,Perp,YES,MassHousing
19,1,Andover,9988,Northfield Commons,"Altantic Ave., Boardwalk Dr., St. James Dr.",Ownership,6,Perp,YES,MassHousing
19,2,Andover,9989,"Cheever Circle - Andover, Community Trust",Cheever Circle,Ownership,1,Perp,YES,DHCD
19,3,Andover,9990,"Andover Street - Andover, Community Trust",Andover Street,Ownership,1,Perp,NO,DHCD
19,4,Andover,10028,The Lodge at Andover,30 Shattuck Rd,Rental,248,Perp,YES,MassHousing
19,5,Andover,10192,"Haverhill Street--Andover, Community Trust",Haverhill Street,Ownership,1,Perp,YES,DHCD
20,1,Aquinnah,4179,Tribal Housing,Topopinnumayuk,Rental,18,2048,Yes,HUD
20,2,Aquinnah,4180,Tribal Housing,Topopinnumayuk,Rental,6,2049,Yes,HUD
20,3,Aquinnah,4181,Mutual Housing,Topopinnumayuk,Rental,7,2051,Yes,HUD
20,4,Aquinnah,4192,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
20,5,Aquinnah,5852,Tribal Housing,Topopinnumayuk,Rental,2,2054,Yes,HUD
20,6,Aquinnah,6317,LCCCDC HOR Program,Church Street,Ownership,1,5/25/19,No,DHCD
20,7,Aquinnah,6318,LCCCDC HOR Program,Church Street,Ownership,1,8/10/19,No,DHCD
20,8,Aquinnah,6413,LCCCDC HOR Program,Skye Lane,Ownership,1,11/22/17,No,DHCD
20,9,Aquinnah,6414,LCCCDC HOR Program,State Road,Ownership,1,11/22/17,No,DHCD
20,10,Aquinnah,6415,LCCCDC HOR Program,Moshup Trail,Ownership,1,4/18/18,No,DHCD
20,11,Aquinnah,6416,LCCCDC HOR Program,Church Street,Ownership,1,7/21/18,No,DHCD
20,12,Aquinnah,6417,LCCCDC HOR Program,State Road,Ownership,1,7/21/18,No,DHCD
20,13,Aquinnah,6418,LCCCDC HOR Program,State Road,Ownership,1,5/25/19,No,DHCD
21,1,Arlington,106,Menotomy Manor,Fremont/Gardner,Rental,126,Perp,No,DHCD
21,2,Arlington,107,Menotomy Manor,Fremont/Gardner/Memorial/Sunnyside Av,Rental,50,Perp,No,DHCD
21,3,Arlington,108,n/a,Decatur St.,Rental,5,Perp,No,DHCD
21,4,Arlington,109,Chestnut Manor,54 Medford St.,Rental,100,Perp,No,DHCD
21,5,Arlington,110,Cusack Building,8 Summer St,Rental,67,Perp,No,DHCD
21,6,Arlington,111,Drake Village,Drake Road,Rental,72,Perp,No,DHCD
21,7,Arlington,112,Hauser Building,37 Drake Road,Rental,144,Perp,No,DHCD
21,8,Arlington,113,Winslow Towers,4 Winslow St.,Rental,136,Perp,No,DHCD
21,9,Arlington,114,998 Massachusetts Ave,998 Mass. Ave,Rental,13,Perp,No,DHCD
21,10,Arlington,115,Broadway Homes,110-112 Broadway,Rental,5,2037,No,HUD
21,11,Arlington,116,Millbrook Square Apartments,17 Mill St.,Rental,146,2032*,No,HUD
21,12,Arlington,117,Russell Terrace,12 Russell Terrace,Rental,22,2029,No,"DHCD, DHCD"
21,13,Arlington,3689,Russell Place,Water and Wright Streets,Ownership,7,Perp,No,DHCD
22,1,Arlington,4193,DDS Group Homes,Confidential,Rental,45,N/A,No,DDS
22,2,Arlington,4538,DMH Group Homes,Confidential,Rental,14,N/A,No,DMH
22,3,Arlington,4979,Fessenden Road,Fessendent Road,Rental,15,7/25/22,No,MHP
22,4,Arlington,5654,"Two Family Affordable Rental, Program",Smith Street,Rental,2,6/29/31,No,"HUD, HUD"
22,5,Arlington,5655,"Two Family Affordable Rental, Program",Bow Street,Rental,2,8/30/31,No,"HUD, HUD"
22,6,Arlington,5656,"Two Family Affordable Rental, Program",Rawson Street,Rental,2,8/30/31,No,"HUD, HUD"
22,7,Arlington,5657,"Two Family Affordable Rental, Program",Summer Street,Rental,2,12/6/31,No,"HUD, HUD"
22,8,Arlington,5658,"Two Family Affordable Rental, Program",Broadway,Rental,2,2/21/32,No,"HUD, HUD"
23,1,Arlington,5659,"Two Family Affordable Rental, Program",Decatur Street,Rental,2,10/4/32,No,"HUD, HUD"
23,2,Arlington,5660,"Two Family Affordable Rental, Program",Webster Street,Rental,2,12/27/32,No,"HUD, HUD"
23,3,Arlington,5661,"Two Family Affordable Rental, Program",Bow Street,Rental,2,7/18/33,No,"HUD, HUD"
23,4,Arlington,5662,"Two Family Affordable Rental, Program",Washington Street,Rental,2,7/23/33,No,"HUD, HUD"
23,5,Arlington,5663,"Two Family Affordable Rental, Program",Sherborn Street,Rental,2,1/14/34,No,"HUD, HUD"
23,6,Arlington,5664,"Two Family Affordable Rental, Program",Warren Street,Rental,2,10/25/34,No,"HUD, HUD"
23,7,Arlington,5665,"Two Family Affordable Rental, Programq",Dorothy Road,Rental,2,5/6/34,No,HUD
24,1,Arlington,5665,"Two Family Affordable Rental, Programq",Dorothy Road,Rental,2,5/6/34,No,HUD
24,2,Arlington,5958,"Two Family Affordable Rental, Program",Acton Street,Rental,2,9/30/34,No,"HUD, HUD"
24,3,Arlington,7019,Massachusetts Avenue,264 Massachusetts Avenue,Ownership,4,2104,No,DHCD
24,4,Arlington,7712,"Two Family Affordable Rental, Program",Medford Street,Rental,2,2055,NO,"HUD, HUD, MHP"
24,5,Arlington,7948,Minuteman Village,40 Brattle St,Ownership,4,2056,YES,MassHousing
24,6,Arlington,7949,Mass Ave Preservation Project,1016 Mass Ave,Rental,18,2056,NO,"MHP, HUD, HUD"
24,7,Arlington,8814,"Arlington 360, aka Symmes, Hospital Redevelopment",Summer St,Rental,26,Perp,NO,DHCD
24,8,Arlington,8963,Mass Ave,Mass Ave,Rental,1,Perp,NO,DHCD
24,9,Arlington,9027,Arlington Affordable Rental Program,Rawson Road,Rental,2,2058,NO,HUD
25,1,Arlington,9197,Forest/Pierce,34 Forest St/11-13 Pierce St,Rental,10,2059,NO,"HUD, MHP"
25,2,Arlington,9545,Capitol Square Apartments,"252, 258-260 Mass Ave",Rental,32,Perp,NO,"DHCD, MassHousing"
25,3,Arlington,9660,Alta Brigham Square,30-50 Mill Street,Rental,17,Perp,NO,DHCD
25,4,Arlington,9919,20 Westminster Avenue,20 Westminster Avenue,Rental,9,Perp,YES,MassHousing
25,5,Arlington,9920,Kimball-Farmer House,Mass Avenue,Rental,3,2113,NO,HUD
26,1,Ashburnham,119,Ashley Court,South School St,Rental,24,2038,No,"RHS, DHCD"
26,2,Ashburnham,4194,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
26,3,Ashburnham,8731,Whitney Park Estates,"off Williams Rd, Whitney Dr, New St",Ownership,0,perp,YES,"MassHousing, MassHousing"
26,4,Ashburnham,8797,Ashburnham HOR Program,Corey Hill Rd,Ownership,1,2021,NO,HUD
26,5,Ashburnham,8798,Ashburnham HOR Program,Tuckerman Rd,Ownership,1,2020,NO,HUD
26,6,Ashburnham,8800,Ashburnham HOR Progran,Three Jays Road,Ownership,1,2021,NO,HUD
26,7,Ashburnham,8803,Ashburnham HOR Program,Pine Avenue,Ownership,1,2021,NO,HUD
26,8,Ashburnham,9070,Sherbert Road,Sherbert Road,Ownership,1,Perp,NO,DHCD
27,1,Ashby,4195,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
28,1,Ashfield,120,Loomis Farm,NA,Ownership,2,Perp,No,DHCD
28,2,Ashfield,4196,DDS Group Homes,Confidential,Rental,0,N/A,No,DDS
29,1,Ashland,121,n/a,59 Park Road,Rental,40,Perp,No,DHCD
29,2,Ashland,122,Ashland Commons,Union & Metropolitan Aves,Rental,96,5/1/24,No,MassHousing
29,3,Ashland,123,Ashland House,119 Main St.,Rental,66,2017*,No,HUD
29,4,Ashland,124,Corp. Independent Living,177 Olive Street,Rental,4,2026,No,EOHHS
29,5,Ashland,125,Sudbury Park,Marchette/Myrtle St.,Ownership,10,Perp,Yes,DHCD
29,6,Ashland,4197,DDS Group Homes,Confidential,Rental,5,N/A,No,DDS
29,7,Ashland,4539,DMH Group Homes,Confidential,Rental,6,N/A,No,DMH
29,8,Ashland,7093,Village of the Americas II,off Chestnut Street,Ownership,10,perp,No,DHCD
29,9,Ashland,7677,Village of the Americas I,off Chestnut Street,Ownership,6,2054,NO,DHCD
29,10,Ashland,9051,"Ashland Affordable Housing, Committee/Independence Lane",Independence Lane,Mix,0,Perp,YES,MassHousing
29,11,Ashland,9997,133 West Union Street,133 West Union Street,Rental,99,Perp,YES,MassHousing
29,12,Ashland,10006,Ashland Woods,277 West Union Stret,Rental,60,Perp,YES,MassHousing
29,13,Ashland,10140,Village of the Americas III,America Boulevard,Ownership,8,Perp,NO,DHCD
30,1,Ashland,10195,Cirrus Apartments,1 Campanelli Drive,Rental,40,Perp,NO,DHCD
31,1,Athol,126,Lakeside Apartments,Gibson Drive,Rental,50,Perp,No,DHCD
31,2,Athol,127,Morton Meadow,Bickford Drive,Rental,28,Perp,No,DHCD
31,3,Athol,128,n/a,"59 Park St.,103 Kennebunk St.",Rental,5,Perp,No,DHCD
31,4,Athol,129,n/a,837 Partridgeville Road,Rental,3,Perp,No,DHCD
31,5,Athol,130,Ferron Circle,881 Partridgeville Road,Rental,8,Perp,No,DHCD
31,6,Athol,131,Cottage Street Development,701 Cottage St/Harrington,Rental,30,2031,No,"DHCD, MHP, RHS"
31,7,Athol,134,Hapgood Apts,25 Cheney St,Rental,5,2025,No,"DHCD, MHP, RHS"
31,8,Athol,136,Pequoig House,402-428 Main Street,Rental,53,2018*,No,MassHousing
31,9,Athol,4198,DDS Group Homes,Confidential,Rental,19,N/A,No,DDS
31,10,Athol,4540,DMH Group Homes,Confidential,Rental,13,N/A,No,DMH
32,1,Athol,8407,Athol HOR Program,Petersham Rd,Ownership,1,2017,NO,DHCD
32,2,Athol,8408,Athol HOR Program,Lewis St,Ownership,1,2017,NO,DHCD
32,3,Athol,8409,Athol HOR Program,Euclid St,Ownership,1,2017,NO,DHCD
32,4,Athol,8410,Athol HOR Program,Winter St,Ownership,1,2017,NO,DHCD
32,5,Athol,8411,Athol HOR Program,Fletcher St,Ownership,1,2017,NO,DHCD
32,6,Athol,8412,Athol HOR Program,Vine St,Ownership,1,2017,NO,DHCD
32,7,Athol,8413,Athol HOR Program,Smith St,Ownership,1,2017,NO,DHCD
32,8,Athol,8414,Athol HOR Program,Leonard St,Ownership,1,2017,NO,DHCD
32,9,Athol,8415,Athol HOR Program,Dorset Rd,Ownership,1,2017,NO,DHCD
