District,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
10th Bristol District,9,735403.1187,47,55226.44444,9.12
10th Essex District,13,183852.0941,38.23076923,52841.76923,12.42
10th Hampden District,42,1616454.385,30.52380952,19604.16667,16.56
10th Middlesex District,16,599543.9185,63.65625,99959.125,7.32
10th Norfolk District,14,928664.4558,23.17857143,104862.9286,11.79
10th Plymouth District,9,747067.2246,26.61111111,59839.77778,12.77
10th Worcester District,24,752101.6425,30.04166667,82504.16667,8.07
11th Bristol District,109,1050222.011,44.7706422,56767.77064,11.9
11th Essex District,14,948555.122,42.71428571,51943.14286,12.39
11th Hampden District,45,1129055.748,34.52222222,42305.15556,16.56
11th Middlesex District,11,257787.0694,46.04545455,130886.7273,7.47
11th Norfolk District,40,554430.5387,42.3,83253.625,11.05
11th Plymouth District,12,854072.7403,26.79166667,72727.75,12
11th Worcester District,12,883772.3681,43.58333333,102273,8.82
12th Bristol District,5,771817.3647,38.1,62963,6.45
12th Essex District,14,1403619.79,43.53571429,62360.5,9.27
12th Hampden District,5,149658.7172,21.2,72758.2,9.88
12th Middlesex District,26,279591.122,49.36538462,156486.9231,7.47
12th Norfolk District,9,1748663.132,58.27777778,100491.7778,8.51
12th Plymouth District,15,969901.1793,13.16666667,98212.73333,3.9
12th Suffolk District,5,25230.6194,41,121492.2,4.99
12th Worcester District,12,1555899.399,23.375,92705.83333,7.28
13th Bristol District,41,1075821.19,35.68292683,39574.53659,11.93
13th Essex District,13,643386.9585,39.69230769,88174,9.29
13th Middlesex District,34,1086590.547,9.779411765,157695.0303,10.37
13th Norfolk District,75,993113.074,27.98,134997.1333,12.39
14th Bristol District,10,797321.9436,35.9,87949.3,4.02
14th Essex District,1,491128.0909,19,nan,12.65
14th Norfolk District,5,951335.8527,36.3,162032.6,6.57
14th Worcester District,16,4480986.229,21.375,26625.5,12.8
15th Essex District,5,110090.4701,50.1,66226.6,9.75
16th Essex District,2,-14570.32494,43.5,33341,14.97
16th Middlesex District,10,74329.71005,39.3,45863.7,12.38
16th Suffolk District,8,671138.4435,33.125,62612,8.8
17th Essex District,3,206750.6001,49.66666667,77681.66667,12.8
17th Middlesex District,32,419383.1526,39.421875,46021.34375,12.45
18th Essex District,18,305697.022,50.47222222,81644,12.28
18th Middlesex District,18,409507.6326,48.91666667,38174.70588,12.5
18th Worcester District,11,1656503.199,26.90909091,51392.90909,4.02
19th Middlesex District,12,439158.3542,15.91666667,118573.5833,10.04
19th Suffolk District,92,1015347.858,37.7173913,48667.98913,8.1
1st Barnstable District,13,2304392.723,12.92307692,nan,6.07
1st Berkshire District,5,330792.1728,32.4,66591,9.16
1st Bristol District,36,3314351.141,16.51388889,113105.7222,11.16
1st Essex District,11,736322.5779,53.22727273,73732.54545,13.42
1st Franklin District,10,634338.8452,24.55,nan,3.36
1st Hampden District,2,485729.4609,19.5,52816,5.94
1st Hampshire District,24,1815364.929,41.5,66267.16667,10.72
1st Middlesex District,6,515485.256,15.75,110600.1667,4.39
1st Norfolk District,4,20721.67134,32.625,79397,9.65
1st Plymouth District,4,183551.9969,25.125,72041.5,3.19
1st Worcester District,1,130014.3644,19.5,91118,4.82
20th Middlesex District,2,43561.46943,31.5,122373.5,9.92
21st Middlesex District,10,441919.8934,40.35,113242.3,14.28
22nd Middlesex District,14,298637.6642,32.96428571,101622.5714,10.1
