Town_or_City,Type,Num_Parcels,Total_SHI_Units
Carlisle,Ownership,1,2
Carlisle,Rental,3,53
Carver,Ownership,8,11
Carver,Rental,6,135
Charlemont,Rental,2,3
Charlton,Rental,4,83
Chatham,Mix,2,100
Chatham,Ownership,8,32
Chatham,Rental,9,98
Chelmsford,Ownership,14,129
Chelmsford,Rental,21,1314
Chelsea,Mix,2,18
Chelsea,NA,1,45
Chelsea,Ownership,1,6
Chelsea,Rental,41,2359
Cheshire,Rental,1,0
Chester,Ownership,13,13
Chester,Rental,1,0
Chesterfield,Ownership,9,9
Chesterfield,Rental,2,8
Chicopee,NA,1,43
Chicopee,Ownership,1,60
Chicopee,Rental,42,2512
Chilmark,Ownership,3,3
Chilmark,Rental,1,0
Clarksburg,Rental,1,9
Clinton,Rental,11,547
Cohasset,Rental,6,311
Colrain,Rental,1,0
Concord,Ownership,13,41
Concord,Rental,26,670
Conway,Rental,1,0
Cummington,Rental,3,16
Dalton,Rental,5,159
Danvers,Ownership,2,20
Danvers,Rental,25,1209
Dartmouth,Mix,1,3
Dartmouth,Ownership,44,54
Dartmouth,Rental,12,963
Dedham,Ownership,1,15
Dedham,Rental,12,1104
Deerfield,Rental,2,33
Dennis,Ownership,39,48
Dennis,Rental,19,354
Dighton,Ownership,6,42
Dighton,Rental,3,102
Douglas,Rental,3,140
Dover,Ownership,2,18
Dover,Rental,1,0
Dracut,Ownership,8,101
Dracut,Rental,12,484
Dudley,Rental,3,104
Dunstable,Rental,1,0
Duxbury,Ownership,2,9
Duxbury,Rental,7,401
East Bridgewater,Ownership,2,18
East Bridgewater,Rental,6,158
East Brookfield,Rental,1,0
East Longmeadow,Ownership,1,23
East Longmeadow,Rental,12,422
Eastham,Ownership,6,27
Eastham,Rental,8,27
Easthampton,Ownership,24,41
Easthampton,Rental,15,481
Easton,Ownership,9,50
Easton,Rental,12,737
Edgartown,Ownership,14,17
Edgartown,Rental,4,72
Egremont,Rental,1,0
Erving,Rental,1,0
Essex,Rental,2,40
Everett,Ownership,2,35
Everett,Rental,14,1026
Fairhaven,Rental,8,486
Fall River,Ownership,1,32
Fall River,Rental,90,4855
Falmouth,Mix,2,10
Falmouth,Ownership,25,106
Falmouth,Rental,28,874
Fitchburg,Ownership,40,64
Fitchburg,Rental,28,1444
Florida,Rental,1,0
Foxborough,Ownership,3,8
Foxborough,Rental,12,857
Framingham,Mix,1,0
Framingham,NA,1,2
Framingham,Ownership,12,172
Framingham,Rental,45,2689
Franklin,Ownership,20,109
Franklin,Rental,17,1339
Freetown,Ownership,1,6
Freetown,Rental,3,80
Gardner,Rental,23,1531
Georgetown,Mix,1,2
Georgetown,Ownership,3,4
Georgetown,Rental,5,346
Gill,Rental,2,24
Gloucester,Ownership,16,89
Gloucester,Rental,48,889
Goshen,Ownership,5,5
Goshen,Rental,1,0
Gosnold,Rental,1,0
Grafton,Ownership,7,107
Grafton,Rental,9,264
Granby,Rental,3,67
Granville,Rental,1,0
Great Barrington,Ownership,1,24
Great Barrington,Rental,11,282
Greenfield,Mix,1,13
Greenfield,Ownership,5,47
Greenfield,Rental,21,1096
Groton,Ownership,11,44
Groton,Rental,8,177
Groveland,Ownership,3,14
Groveland,Rental,3,66
Hadley,Rental,7,264
Halifax,Rental,4,28
Hamilton,Ownership,2,6
Hamilton,Rental,8,78
Hampden,Rental,2,60
Hancock,Rental,1,0
Hanover,Ownership,2,3
Hanover,Rental,8,572
Hanson,Ownership,1,9
Hanson,Rental,9,148
Hardwick,Ownership,9,8
Hardwick,Rental,1,0
Harvard,Ownership,9,38
Harvard,Rental,4,75
Harwich,Ownership,19,66
Harwich,Rental,14,269
Hatfield,Rental,3,52
Haverhill,NA,1,13
Haverhill,Ownership,9,28
Haverhill,Rental,48,2529
Hawley,Rental,1,0
Heath,Rental,1,0
Hingham,CCRC,1,272
Hingham,Ownership,10,29
Hingham,Rental,11,704
Hinsdale,Rental,1,0
Holbrook,Ownership,17,17
Holbrook,Rental,6,423
Holden,Ownership,4,36
Holden,Rental,6,371
Holland,Ownership,13,13
Holland,Rental,1,0
Holliston,Ownership,10,37
Holliston,Rental,6,205
Holyoke,Ownership,79,83
Holyoke,Rental,49,3305
Hopedale,Rental,4,119
Hopkinton,Ownership,24,60
Hopkinton,Rental,7,664
Hubbardston,Rental,2,49
Hudson,Mix,1,2
Hudson,Ownership,15,52
Hudson,Rental,15,838
Hull,Ownership,1,1
Hull,Rental,4,83
Huntington,Ownership,14,14
Huntington,Rental,4,30
Ipswich,Ownership,9,21
Ipswich,Rental,18,494
Kingston,Ownership,4,22
Kingston,Rental,8,182
Lakeville,Mix,1,97
Lakeville,Ownership,2,21
Lakeville,Rental,6,156
Lancaster,Ownership,3,27
Lancaster,Rental,6,113
Lanesborough,Rental,1,28
Lawrence,Mix,2,16
Lawrence,Ownership,5,26
Lawrence,Rental,49,4040
Lee,Rental,9,176
Leicester,Rental,5,176
Lenox,Rental,7,178
Leominster,Ownership,1,13
Leominster,Rental,25,1659
Leverett,Rental,1,2
Lexington,Mix,2,17
Lexington,Ownership,4,19
Lexington,Rental,29,1306
Leyden,Rental,1,0
Lincoln,Ownership,4,59
Lincoln,Rental,9,239
Littleton,Mix,1,150
Littleton,Ownership,5,19
Littleton,Rental,10,275
Longmeadow,Rental,8,272
Lowell,Ownership,3,86
Lowell,Rental,61,5242
Ludlow,Rental,9,293
Lunenburg,NA,1,0
Lunenburg,Rental,5,195
Lynn,Rental,51,4616
Lynnfield,Ownership,3,15
Lynnfield,Rental,6,480
Malden,Ownership,2,7
Malden,Rental,36,2712
Manchester,Mix,1,26
Manchester,Rental,6,89
Mansfield,Ownership,4,12
Mansfield,Rental,16,927
Marblehead,Ownership,1,22
Marblehead,Rental,10,311
Marion,Mix,1,63
Marion,Ownership,5,4
Marion,Rental,5,89
Marlborough,Ownership,12,49
Marlborough,Rental,22,1817
Marshfield,Mix,1,97
Marshfield,Ownership,36,65
Marshfield,Rental,15,659
Mashpee,Ownership,17,27
Mashpee,Rental,8,310
Mattapoisett,Ownership,1,1
Mattapoisett,Rental,3,69
Maynard,Ownership,1,6
Maynard,Rental,10,373
Medfield,Ownership,3,36
Medfield,Rental,7,292
Medford,NA,1,1
Medford,Ownership,11,27
Medford,Rental,21,1644
Medway,Ownership,6,64
Medway,Rental,9,312
Melrose,Ownership,5,14
Melrose,Rental,26,922
Mendon,Ownership,1,10
Mendon,Rental,2,30
Merrimac,Ownership,3,14
Merrimac,Rental,5,127
Methuen,Mix,2,6
Methuen,Ownership,44,130
Methuen,Rental,33,1548
Middleborough,Mix,1,49
Middleborough,Ownership,9,52
Middleborough,Rental,16,488
Middlefield,Ownership,2,2
Middlefield,Rental,1,0
Middleton,Ownership,1,6
Middleton,Rental,5,145
Milford,Ownership,1,5
Milford,Rental,15,967
Millbury,Ownership,2,2
Millbury,Rental,8,219
Millis,Ownership,2,21
Millis,Rental,5,97
Millville,Rental,3,26
Milton,NA,1,82
Milton,Ownership,1,2
Milton,Rental,14,397
Monroe,Rental,1,0
Monson,Ownership,18,18
Monson,Rental,8,120
Montague,Ownership,3,31
Montague,Rental,11,345
Monterey,Rental,1,0
Montgomery,Rental,1,0
Mount Washington,Rental,1,0
Nahant,Rental,4,48
Nantucket,Ownership,3,20
Nantucket,Rental,15,112
Natick,Ownership,19,129
Natick,Rental,18,1352
Needham,Ownership,7,17
Needham,Rental,20,1382
New Ashford,NA,1,0
New Bedford,Mix,1,68
New Bedford,Ownership,2,48
New Bedford,Rental,70,5147
New Braintree,NA,1,0
New Marlborough,NA,1,0
New Salem,NA,1,0
Newbury,NA,1,0
Newbury,Rental,2,94
Newburyport,Ownership,80,128
Newburyport,Rental,13,471
Newton,Mix,1,5
Newton,Mixed,1,12
Newton,Ownership,16,51
Newton,Rental,59,2348
Norfolk,NA,1,20
Norfolk,Ownership,21,46
Norfolk,Rental,2,84
North Adams,NA,1,15
North Adams,Rental,14,886
North Andover,Ownership,7,147
North Andover,Rental,12,784
North Attleborough,Ownership,1,4
North Attleborough,Rental,9,290
North Brookfield,Ownership,1,32
North Brookfield,Rental,4,110
North Reading,Ownership,6,31
North Reading,Rental,5,509
Northampton,Mix,1,8
