Page,Town_or_City,SHI_Total,Census_2010_Housing_Units,Percent_Subsidized
1,Abington,485,"6,364",0.08
5,Acton,569,"8,475",0.07
6,Acushnet,97,"4,097",0.02
7,Adams,321,"4,337",0.07
8,Agawam,556,"12,090",0.05
9,Alford,0,231,0.00
13,Amesbury,738,"7,041",0.10
16,Amherst,"1,083","9,621",0.11
19,Andover,"1,638","12,324",0.13
20,Aquinnah,41,158,0.26
25,Arlington,"1,121","19,881",0.06
26,Ashburnham,29,"2,272",0.01
27,Ashby,0,"1,150",0.00
28,Ashfield,2,793,0.00
30,Ashland,450,"6,581",0.07
35,Athol,310,"5,148",0.06
37,Attleboro,"1,155","17,978",0.06
38,Auburn,251,"6,808",0.04
39,Avon,70,"1,763",0.04
45,Ayer,299,"3,440",0.09
64,Barnstable,"1,508","20,550",0.07
65,Barre,83,"2,164",0.04
66,Becket,0,838,0.00
68,Bedford,974,"5,322",0.18
70,Belchertown,397,"5,771",0.07
71,Bellingham,551,"6,341",0.09
72,Belmont,365,"10,117",0.04
73,Berkley,24,"2,169",0.01
74,Berlin,119,"1,183",0.10
75,Bernardston,24,930,0.03
81,Beverly,"1,919","16,522",0.12
84,Billerica,"1,458","14,442",0.10
85,Blackstone,123,"3,606",0.03
86,Blandford,1,516,0.00
87,Bolton,62,"1,729",0.04
88,Boston,"51,283","269,482",0.19
92,Bourne,705,"8,584",0.08
93,Boxborough,268,"2,062",0.13
94,Boxford,31,"2,730",0.01
95,Boylston,26,"1,765",0.01
97,Braintree,"1,369","14,260",0.10
99,Brewster,292,"4,803",0.06
101,Bridgewater,912,"8,288",0.11
103,Brimfield,71,"1,491",0.05
107,Brockton,"4,619","35,514",0.13
108,Brookfield,19,"1,452",0.01
114,Brookline,"2,587","26,201",0.10
115,Buckland,3,866,0.00
116,Burlington,"1,283","9,627",0.13
132,Cambridge,"6,911","46,690",0.15
134,Canton,"1,090","8,710",0.13
135,Carlisle,55,"1,740",0.03
137,Carver,146,"4,514",0.03
138,Charlemont,3,615,0.00
139,Charlton,83,"4,774",0.02
141,Chatham,180,"3,460",0.05
144,Chelmsford,"1,443","13,741",0.11
149,Chelsea,"2,428","12,592",0.19
150,Cheshire,0,"1,481",0.00
152,Chester,13,585,0.02
153,Chesterfield,17,524,0.03
158,Chicopee,"2,601","25,074",0.10
159,Chilmark,3,418,0.01
160,Clarksburg,9,706,0.01
161,Clinton,547,"6,375",0.09
162,Cohasset,311,"2,898",0.11
163,Colrain,0,731,0.00
167,Concord,721,"6,852",0.11
168,Conway,0,803,0.00
169,Cummington,16,426,0.04
170,Dalton,159,"2,860",0.06
173,Danvers,"1,149","11,071",0.10
178,Dartmouth,"1,020","11,775",0.09
180,Dedham,"1,119","10,115",0.11
181,Deerfield,33,"2,154",0.02
186,Dennis,402,"7,653",0.05
187,Dighton,144,"2,568",0.06
188,Douglas,140,"3,147",0.04
189,Dover,18,"1,950",0.01
191,Dracut,585,"11,318",0.05
192,Dudley,104,"4,360",0.02
193,Dunstable,0,"1,085",0.00
194,Duxbury,410,"5,532",0.07
195,East Bridgewater,176,"4,897",0.04
