District,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
3rd Norfolk District,21,295623.0606,35.83333333,62610.85714,9.47,,,,,,21,295623.0606,35.83333333,62610.85714,9.47
4th Berkshire District,2,238088.5383,2.75,76051,3.89,,,,,,2,238088.5383,2.75,76051,3.89
4th Essex District,4,349893.2289,16.25,136812,7.58,,,,,,4,349893.2289,16.25,136812,7.58
4th Hampden District,5,903675.495,9.8,64795.8,7.24,4,584165.2457,9.875,65115.75,7.24,1,319510.2493,9.5,63516,7.24
4th Middlesex District,5,144986.361,31.2,81771,11.99,5,144986.361,31.2,81771,11.99,,,,,
4th Norfolk District,9,696467.0144,48.5,93496,8.01,,,,,,9,696467.0144,48.5,93496,8.01
4th Worcester District,5,67584.45882,37,89069.4,8.18,4,49198.73071,35.625,98000,8.18,1,18385.72811,42.5,53347,8.18
5th Bristol District,1,33111.77201,27.5,95205,6.24,,,,,,1,33111.77201,27.5,95205,6.24
5th Essex District,6,307589.5997,34.83333333,66280.83333,7.04,5,95952.66159,38.5,62493.2,7.04,1,211636.9381,16.5,85219,7.04
6th Essex District,11,-44774.34465,53.18181818,81706.1,11.61,7,31556.518,48.5,79873.33333,11.61,4,-76330.86265,61.375,84455.25,11.61
6th Norfolk District,2,35300.61583,28,86987,12.24,2,35300.61583,28,86987,12.24,,,,,
6th Plymouth District,9,748556.5222,8.5,98383.77778,7.38,,,,,,9,748556.5222,8.5,98383.77778,7.38
6th Worcester District,9,1661204.626,5.5,84737.33333,4.68,,,,,,9,1661204.626,5.5,84737.33333,4.68
7th Bristol District,3,87627.19681,42.33333333,29817.66667,11.14,,,,,,3,87627.19681,42.33333333,29817.66667,11.14
7th Essex District,6,371435.8968,56.08333333,75058,13.24,1,112205.4562,46,83594,13.24,5,259230.4406,58.1,73350.8,13.24
7th Middlesex District,1,23923.80334,42,39518,9.09,,,,,,1,23923.80334,42,39518,9.09
7th Worcester District,1,62615.23731,6,73424,4.46,,,,,,1,62615.23731,6,73424,4.46
8th Essex District,7,149690.5925,38.14285714,76719,6.55,2,39243.08578,40,43261,6.55,5,110447.5068,37.4,90102.2,6.55
8th Middlesex District,4,191018.9671,4.25,77938,12.09,4,191018.9671,4.25,77938,12.09,,,,,
8th Norfolk District,34,978998.8288,12.32352941,129121.4545,10.15,33,949670.7659,12.03030303,129547.125,10.15,1,29328.06292,22,115500,10.15
8th Plymouth District,1,162194.0753,3,98636,10.94,,,,,,1,162194.0753,3,98636,10.94
8th Suffolk District,1,2315.157343,43,105263,14.8,1,2315.157343,43,105263,14.8,,,,,
9th Bristol District,5,1341789.303,3.6,108139,11.63,5,1341789.303,3.6,108139,11.63,,,,,
9th Hampden District,2,818101.7812,17.25,37500,16.48,,,,,,2,818101.7812,17.25,37500,16.48
9th Plymouth District,6,359558.6553,35.5,50593.66667,13.01,,,,,,6,359558.6553,35.5,50593.66667,13.01
"Barnstable, Dukes & Nantucket District",4,224735.4745,38.75,92552.75,6.02,,,,,,4,224735.4745,38.75,92552.75,6.02
