muni,GroupCount,mean_longitude,mean_latitude,mean_Town_Housing_Census_2010,mean_Town_SHI_Total,percent
New Bedford,340,-70.9399209974878,41.6641212307879,42816,5110,0.119347907324365
New Braintree,23,-72.1295110653367,42.3295536518101,386,0,0
New Marlborough,22,-73.2307005062881,42.0983001967806,692,0,0
New Salem,70,-72.3379711125913,42.5037475890598,433,0,0
Newbury,49,-70.916651106697,42.7686364062574,2699,94,0.0348277139681363
Newburyport,5,-70.9278876512701,42.8264651783128,8015,599,0.0747348721147848
Newton,162,-71.2225185927445,42.33140420606,32346,2416,0.0746923885488159
Norfolk,28,-71.3139892504897,42.1093388198456,3112,150,0.0482005141388175
North Adams,38,-73.113437103354,42.6949756285732,6681,866,0.129621314174525
North Attleborough,71,-71.3195776102955,41.983577625927,11553,294,0.0254479356011426
North Brookfield,35,-72.0747613093247,42.2757712156245,2014,142,0.070506454816286
North Reading,7,-71.0798417985102,42.5930359044812,5597,540,0.0964802572806861
Northampton,96,-72.6485624556036,42.322402115103,12604,1376,0.1091716915265
Northborough,77,-71.6325859226427,42.3275794941828,5297,601,0.113460449310931
Northbridge,55,-71.6286571503415,42.1186259991492,6144,453,0.07373046875
Northfield,22,-72.4662838501783,42.6986073545318,1290,27,0.0209302325581395
Norton,42,-71.1554102657793,41.9731465163896,6707,595,0.0887132846280006
Norwell,4,-70.8351989799005,42.1817043755521,3652,297,0.0813253012048193
Norwood,31,-71.2018758452478,42.1884214601022,12441,1228,0.0987058918093401
Oak Bluffs,8,-70.5683916492357,41.4493565517446,2138,146,0.068288119738073
Oakham,32,-72.0422796202938,42.3399380244493,702,0,0
Orange,43,-72.3070230772293,42.6072313489414,3461,405,0.117018202831552
Orleans,33,-69.9956057672191,41.781244700308,3290,304,0.0924012158054711
Otis,68,-73.0828322224922,42.2021395885004,763,0,0
Oxford,40,-71.8521015751481,42.1294341950893,5520,404,0.0731884057971015
Palmer,11,-72.2909222107036,42.2030838579586,5495,269,0.0489535941765241
Paxton,8,-71.9580276905565,42.3137847829891,1590,62,0.0389937106918239
Peabody,65,-70.9698854697743,42.5344721535931,22135,2052,0.0927038626609442
Pelham,7,-72.414419516884,42.3790145675213,564,0,0
Pembroke,16,-70.7989020360237,42.0676914362903,6477,616,0.0951057588389687
Pepperell,26,-71.5912390985734,42.676521757698,4335,130,0.0299884659746251
Peru,21,-73.0329799776533,42.4469646477396,354,0,0
Petersham,49,-72.1800536980926,42.486500596328,525,0,0
Phillipston,74,-72.1297679627277,42.5501170465729,658,8,0.0121580547112462
Pittsfield,91,-73.2518863951561,42.4486239248558,21031,1936,0.0920545860872046
Plainfield,21,-72.9459436236763,42.5358387022801,283,0,0
Plainville,6,-71.3181442302937,42.030585175768,3459,572,0.165365712633709
Plymouth,134,-70.6518339386158,41.8889355754534,22285,711,0.0319048687457931
Princeton,130,-71.86544679163,42.4584310207059,1324,26,0.0196374622356495
Provincetown,22,-70.1839209906068,42.0582160546942,2122,208,0.0980207351555137
Quincy,182,-71.0068041600168,42.2537714614403,42547,4088,0.0960819799280795
Randolph,16,-71.0578212767152,42.1914128557155,11980,1280,0.106844741235392
Raynham,18,-71.0563655548181,41.9528960145755,5052,489,0.0967933491686461
Reading,27,-71.1075321209817,42.5217877165167,9584,1004,0.104757929883139
Rehoboth,130,-71.2381778930405,41.8394395063837,4252,27,0.00634995296331138
Revere,217,-71.0037267869325,42.4147843272166,21956,1779,0.0810256877391146
Richmond,9,-73.3399606926643,42.3900251769412,706,4,0.0056657223796034
Rochester,30,-70.82619154336,41.7283902505146,1865,8,0.00428954423592493
Rockland,6,-70.9065429687506,42.126196615275,7030,450,0.0640113798008535
Rockport,13,-70.6287047486835,42.6808856301511,3460,135,0.0390173410404624
Rowe,6,-72.9009008526099,42.7096977942184,177,0,0
Rowley,45,-70.8998667569831,42.7201607623623,2226,94,0.0422282120395328
Royalston,11,-72.1584566381797,42.699907806569,523,3,0.00573613766730402
Russell,2,-72.8426486985846,42.1871032567942,687,8,0.0116448326055313
Rutland,111,-71.9801024760892,42.3902193686978,2913,86,0.0295228286989358
Salem,90,-70.8935898425986,42.521482969328,18998,2516,0.132434993157174
Salisbury,76,-70.8424965607972,42.8374919658019,3842,592,0.154086413326393
Sandisfield,5,-73.1292448284674,42.1471372039264,401,0,0
Sandwich,24,-70.4859376761728,41.7257010849471,8183,307,0.037516803128437
Saugus,2,-71.0070735329759,42.45339906917,10754,732,0.0680676957411196
Savoy,7,-73.032673281522,42.5852169051612,318,0,0
Scituate,19,-70.7548909262003,42.1916059143215,7163,352,0.0491414211922379
Sharon,47,-71.1813553944345,42.1080955910305,6413,683,0.106502416965539
Sheffield,34,-73.3474372064294,42.1298030852613,1507,30,0.019907100199071
Shelburne,10,-72.6956377583779,42.6015334857405,893,51,0.0571108622620381
Sherborn,6,-71.3897398675693,42.2623005969361,1479,34,0.0229885057471264
Shirley,61,-71.6388638890537,42.5767818724232,2417,57,0.0235829540753
Shrewsbury,48,-71.7225593913823,42.2853695267975,13919,887,0.0637258423737337
Shutesbury,117,-72.3910854535816,42.4800717851376,758,2,0.00263852242744063
Somerset,1,-71.1856012845242,41.7126236823631,7335,273,0.0372188139059305
Somerville,83,-71.0984707646465,42.388568548122,33632,3263,0.0970206945765937
South Hadley,46,-72.566586882039,42.2909451643407,7091,424,0.0597941052037794
Southampton,6,-72.7112128247199,42.2102048168532,2310,44,0.019047619047619
Southborough,44,-71.5277292230236,42.2999530701328,3433,472,0.13748907660938
Southbridge,16,-72.0420067938915,42.0787258119011,7517,499,0.0663828655048557
Southwick,14,-72.7623558607149,42.0519214342828,3852,164,0.0425752855659398
Spencer,36,-71.9922118754139,42.2358866755546,5137,267,0.0519758613977029
Springfield,228,-72.5707323307376,42.1145340488192,61556,10192,0.165572811748652
Sterling,108,-71.7885236889441,42.4321005789379,2918,68,0.0233036326250857
Stockbridge,11,-73.3137882416265,42.27749619867,1051,113,0.107516650808754
Stoneham,2,-71.0896442449271,42.4512742613306,9399,495,0.0526651771465049
Stoughton,33,-71.1000418361643,42.1277680040356,10742,1240,0.115434742133681
Stow,5,-71.4964039684406,42.4117372703958,2500,185,0.074
Sturbridge,68,-72.0933147662966,42.1011852473231,3759,209,0.0555998935887204
Sudbury,27,-71.4257342569352,42.3893658277126,5921,669,0.11298767100152
Sunderland,45,-72.5502547567213,42.4797026105111,1718,0,0
Sutton,100,-71.745748325698,42.1252802730134,3324,50,0.0150421179302046
Swampscott,9,-70.9208023742641,42.474046968819,5795,250,0.0431406384814495
Swansea,48,-71.2251843767037,41.7617860295862,6290,243,0.0386327503974563
Taunton,523,-71.094154998666,41.9277523347035,23844,1529,0.0641251467874518
Templeton,26,-72.0787138638226,42.56874858658,3014,238,0.0789648307896483
Tewksbury,25,-71.22482464672,42.6125226433251,10803,1048,0.0970100897898732
Tisbury,7,-70.6043822636193,41.448462729137,1965,109,0.055470737913486
Topsfield,20,-70.9337267607029,42.6437648251576,2157,155,0.07185906351414
Townsend,26,-71.6906371806827,42.6617346936647,3356,160,0.0476758045292014
Truro,11,-70.1001517183626,42.0397052633834,1090,28,0.0256880733944954
Tyngsborough,24,-71.4312546969807,42.6766109623819,4166,465,0.111617858857417
Tyringham,5,-73.2101283274874,42.2526269685664,149,0,0
Upton,16,-71.60815078906,42.1774509170174,2820,178,0.0631205673758865
Uxbridge,49,-71.6320236585906,42.0704544896736,5284,264,0.0499621498864497
Wakefield,3,-71.0635662647173,42.5225531282346,10459,759,0.0725690792618797
Walpole,63,-71.2570228257117,42.1420608620326,8984,636,0.0707925200356189
Waltham,21,-71.2303962004489,42.385210673761,24805,1842,0.0742592219310623
Ware,28,-72.2743237072513,42.2595560176481,4539,387,0.085261070720423
Wareham,76,-70.6941501892071,41.768717392899,9880,764,0.0773279352226721
Warren,6,-72.230695608396,42.224696832003,2202,101,0.0458673932788374
Warwick,17,-72.318270278891,42.6736118333826,363,0,0
Washington,10,-73.1613022944574,42.3687470599535,235,0,0
Watertown,48,-71.1822634375976,42.3697328789491,15521,1102,0.0710005798595451
Wayland,21,-71.3719941132457,42.3300922376478,4957,317,0.063949969739762
Webster,11,-71.8565274215654,42.0577131297495,7788,722,0.0927067282999486
Wellesley,81,-71.2654164057764,42.3097868527141,9090,615,0.0676567656765677
Wellfleet,16,-70.0064183553019,41.9196017193115,1550,30,0.0193548387096774
Wendell,7,-72.3741097143698,42.5346529597199,419,5,0.0119331742243437
West Boylston,215,-71.7899831845182,42.3778572861219,2729,223,0.081714913887871
West Bridgewater,14,-71.0131433133062,42.02574679382,2658,121,0.045522949586155
West Brookfield,23,-72.154056713064,42.2480323806431,1578,68,0.0430925221799747
West Newbury,15,-70.9661263868246,42.7758156778271,1558,39,0.0250320924261874
West Springfield,11,-72.6447475416769,42.1227724803153,12629,429,0.0339694354263996
West Stockbridge,5,-73.3903019601044,42.3356355419897,645,0,0
West Tisbury,3,-70.6510288574991,41.3909685940777,1253,23,0.0183559457302474
Westborough,123,-71.6183521081776,42.2714952827463,7304,971,0.132940854326396
Westfield,113,-72.7484107221486,42.1283552168442,16001,1158,0.0723704768451972
Westford,61,-71.4598815976687,42.5987913032594,7671,1056,0.137661321861557
Westhampton,3,-72.7626486021348,42.3127872797338,635,17,0.0267716535433071
Westminster,52,-71.8871324581705,42.5429154935929,2826,87,0.0307855626326964
Weston,14,-71.2910183955006,42.3372352479744,3952,169,0.0427631578947368
Westport,16,-71.0419305809658,41.5150007235996,6417,232,0.0361539660277388
Westwood,24,-71.200247535504,42.2169149911486,5389,588,0.109111152347374
Weymouth,34,-70.9387288504788,42.2237106819511,23337,1771,0.0758880747311137
Whately,15,-72.6320768143074,42.4502135235279,654,2,0.00305810397553517
Whitman,12,-70.9389992391865,42.0777396976902,5513,200,0.0362778886268819
Wilbraham,15,-72.448127620779,42.1234176092558,5442,305,0.0560455714810731
Williamsburg,3,-72.7384160753654,42.4157285340379,1165,51,0.0437768240343348
Williamstown,19,-73.2235564637472,42.6702012687819,2805,201,0.0716577540106952
Wilmington,35,-71.1552101797878,42.5620643609706,7788,799,0.102593733949666
Winchendon,85,-72.0681831503936,42.6688837286889,4088,331,0.0809686888454012
Windsor,44,-73.0599490942118,42.5179341473506,387,0,0
Winthrop,3,-70.9790170816336,42.3769884476213,8253,638,0.0773052223433903
Woburn,3,-71.1500466234611,42.4755873480874,16237,1411,0.0869002894623391
Worcester,143,-71.8034806610361,42.2755084282554,74383,9961,0.133915007461382
Worthington,15,-72.9597416583597,42.3875221616226,553,22,0.0397830018083183
Wrentham,20,-71.3269460211224,42.0570188000213,3821,485,0.126930123004449
Yarmouth,46,-70.2190810309349,41.686964466729,12037,596,0.0495139985046108
