muni,GroupCount,mean_longitude,mean_latitude,mean_Town_Housing_Census_2010,mean_Town_SHI_Total,percent
Abington,13,-70.9530908367443,42.1186049406043,6364,485,0.0762099308610936
Acton,26,-71.4326521501084,42.4730208228861,8475,569,0.0671386430678466
Acushnet,4,-70.9037281086762,41.6913789157189,4097,97,0.023675860385648
Adams,11,-73.1138032453788,42.6241161706129,4337,321,0.0740142955960341
Agawam,5,-72.6468711742696,42.094425109384,12090,556,0.0459884201819686
Amesbury,17,-70.9296773366574,42.8549762906803,7041,738,0.104814657008948
Amherst,79,-72.5141103055647,42.3469663150199,9621,1083,0.112566261303399
Andover,65,-71.1351055217509,42.6400080912762,12324,1638,0.132911392405063
Aquinnah,1,-70.8115292010171,41.3552991303422,158,41,0.259493670886076
Arlington,40,-71.1583351138192,42.4155304469658,19881,1121,0.0563854936874403
Ashburnham,53,-71.9278207684026,42.6649158793689,2272,29,0.0127640845070423
Ashby,40,-71.8194221012191,42.6742330660649,1150,0,0
Ashfield,6,-72.7936402641926,42.4923190769544,793,2,0.00252206809583859
Ashland,132,-71.4643458509019,42.2565583831971,6581,450,0.0683786658562529
Athol,75,-72.2028582023678,42.6037897574368,5148,310,0.0602175602175602
Attleboro,61,-71.2910944748116,41.9356989503078,17978,1155,0.0642451885638002
Auburn,30,-71.8447274011484,42.1929851705629,6808,251,0.0368683901292597
Avon,5,-71.0476509185141,42.1344731478798,1763,70,0.0397050482132728
Ayer,3,-71.5993357165093,42.5786071371557,3440,299,0.0869186046511628
Barnstable,134,-70.3289276284922,41.6675547072156,20550,1508,0.0733819951338199
Barre,76,-72.1361514790719,42.4278347746727,2164,83,0.038354898336414
Becket,20,-73.0935737051102,42.2828287534792,838,0,0
Bedford,25,-71.276883777408,42.4949316932383,5322,974,0.183013904547163
Belchertown,30,-72.3852086729257,42.273480035058,5771,397,0.0687922370473055
Bellingham,9,-71.479445453184,42.0528871102378,6341,551,0.0868948115439205
Belmont,85,-71.1805207561103,42.3939871053723,10117,365,0.0360778887021844
Berlin,52,-71.6466663026834,42.3809618123951,1183,119,0.100591715976331
Bernardston,21,-72.5283785325939,42.7073454188638,930,24,0.0258064516129032
Beverly,35,-70.872907349405,42.5643378459419,16522,1919,0.116148166081588
Billerica,24,-71.2745981940137,42.5647393791615,14442,1458,0.100955546323224
Blackstone,25,-71.5407218807249,42.0283864830032,3606,123,0.0341098169717138
Blandford,11,-72.9605889677762,42.1965837653386,516,1,0.00193798449612403
Bolton,5,-71.6239510394444,42.4622266874729,1729,62,0.0358588779641411
Bourne,60,-70.5744078336827,41.7474940983539,8584,705,0.0821295433364399
Boxborough,2,-71.5129584303035,42.4949230194594,2062,268,0.129970902036857
Boxford,21,-70.979342338241,42.6732789324247,2730,31,0.0113553113553114
Boylston,65,-71.7114875761236,42.3590843104357,1765,26,0.0147308781869688
Braintree,8,-70.9957432739918,42.2090331280517,14260,1369,0.0960028050490884
Brewster,53,-70.0312648068449,41.7586529835322,4803,292,0.0607953362481782
Bridgewater,192,-70.9820731428878,41.9752404113697,8288,912,0.11003861003861
Brimfield,12,-72.2307290630939,42.1093626308052,1491,71,0.0476190476190476
Brockton,159,-71.0160205075428,42.0822284114127,35514,4619,0.130061384242834
Brookfield,4,-72.0963151392586,42.1848563823774,1452,19,0.0130853994490358
Brookline,4,-71.150869333379,42.3222582111753,26201,2587,0.0987366894393344
Buckland,4,-72.7688557532543,42.5922577517282,866,3,0.00346420323325635
Burlington,19,-71.1985433876057,42.4912716096045,9627,1283,0.133271008621585
Cambridge,149,-71.1145320406919,42.3802674407368,46690,6911,0.148018847718998
Canton,104,-71.1420768238024,42.1725941748344,8710,1090,0.125143513203215
Carlisle,5,-71.3457549597486,42.5561619740964,1740,55,0.0316091954022989
Carver,36,-70.7720032236921,41.9279469488919,4514,146,0.0323438192290651
Charlemont,1,-72.9116812758197,42.6316247438781,615,3,0.0048780487804878
Charlton,20,-71.9779880826334,42.1571549623639,4774,83,0.0173858399664851
Chatham,6,-69.9697026281044,41.687808218217,3460,180,0.0520231213872832
Chelmsford,70,-71.3605094731829,42.6041976818451,13741,1443,0.105014191106906
Chelsea,45,-71.0311811653831,42.3957027066487,12592,2428,0.1928208386277
Cheshire,45,-73.157431180199,42.5660456576915,1481,0,0
Chester,14,-72.9235020438371,42.3247580176882,585,13,0.0222222222222222
Chesterfield,53,-72.8459492679142,42.3806256303734,524,17,0.0324427480916031
Chicopee,49,-72.5917075932939,42.1675257028787,25074,2601,0.103732950466619
Clarksburg,6,-73.0935072100252,42.7246266248514,706,9,0.0127478753541076
Clinton,18,-71.6897706715116,42.4119437509421,6375,547,0.0858039215686275
Cohasset,17,-70.8275354915073,42.2375144124811,2898,311,0.107315389924086
Colrain,22,-72.7214423294477,42.6885578339236,731,0,0
Concord,30,-71.3511512934189,42.4584580101221,6852,721,0.105224751897256
Conway,11,-72.71326074219,42.5113493324142,803,0,0
Cummington,23,-72.9216401054065,42.4674939530369,426,16,0.0375586854460094
Dalton,34,-73.1553205876236,42.4829261786377,2860,159,0.0555944055944056
Danvers,40,-70.9556198564781,42.5759005998036,11071,1149,0.103784662632102
Dartmouth,53,-70.9987873188703,41.6588621460402,11775,1020,0.086624203821656
Dedham,123,-71.1685909197158,42.2547560320975,10115,1119,0.110627780523974
Deerfield,37,-72.5947384709513,42.5114168237128,2154,33,0.0153203342618384
Dennis,23,-70.1524356400639,41.6919725868869,7653,402,0.0525284202273618
Dighton,11,-71.1243912195577,41.8486790599824,2568,144,0.0560747663551402
Douglas,126,-71.7833241026535,42.0430172884028,3147,140,0.0444868128376231
Dover,3,-71.3141074219359,42.2405308138229,1950,18,0.00923076923076923
Dracut,30,-71.3387883919774,42.6707536857167,11318,585,0.0516875773104789
Dudley,3,-71.9045106378952,42.0377621395303,4360,104,0.0238532110091743
Dunstable,6,-71.5046036266127,42.6725886890683,1085,0,0
Duxbury,27,-70.7078108357227,42.04059337815,5532,410,0.0741142443962401
East Bridgewater,10,-70.92110839276,42.024211359407,4897,176,0.035940371656116
East Brookfield,16,-72.0562226204333,42.2038516920663,888,0,0
East Longmeadow,9,-72.5180772228962,42.0742531604934,6072,445,0.0732872200263505
Eastham,21,-69.9821641649111,41.8537740773845,2632,54,0.020516717325228
Easthampton,9,-72.6464379320924,42.2748875576243,7567,522,0.0689837452094621
Easton,98,-71.084961523568,42.0021168959688,8105,787,0.0971005552128316
Edgartown,20,-70.5332329583104,41.3725875833393,1962,89,0.045361875637105
Egremont,6,-73.4426797524911,42.1653724939895,596,0,0
Erving,20,-72.4380365953927,42.6019389172655,778,0,0
Essex,4,-70.7697570105639,42.6161870445965,1477,40,0.02708192281652
Everett,38,-71.0450497338472,42.4114114276894,16691,1061,0.0635671918998263
Fairhaven,29,-70.8773285347601,41.6349296989152,7003,486,0.0693988290732543
Fall River,195,-71.1191883580373,41.7049644305712,42650,4751,0.111395076201641
Falmouth,149,-70.584499071945,41.5958849863916,14870,987,0.0663752521856086
Fitchburg,99,-71.8069479795605,42.5771763233964,17058,1486,0.0871145503576035
Florida,10,-73.0067225073847,42.6776790601285,335,0,0
Foxborough,58,-71.2437619910073,42.061751364434,6853,865,0.126222092514227
Framingham,124,-71.4256950658323,42.2953534377614,27443,2857,0.104106693874576
Franklin,49,-71.4243875451094,42.0773383159481,11350,1352,0.119118942731278
Freetown,48,-71.0422723546984,41.7815174532081,3263,86,0.0263561140055164
Gardner,28,-71.9706489777849,42.5791106305656,9064,1356,0.149602824360106
Georgetown,49,-70.9902835090609,42.7267420744333,3031,352,0.116133289343451
Gill,8,-72.5227243469092,42.609022254554,591,24,0.0406091370558376
Gloucester,33,-70.6725190421024,42.6205518804424,13270,978,0.0737000753579503
Goshen,5,-72.825150222944,42.4528336202792,440,5,0.0113636363636364
Gosnold,4,-70.9311990367557,41.4288589922303,41,0,0
Grafton,51,-71.6903619383986,42.2109919396841,7160,371,0.0518156424581006
Granby,139,-72.506209766732,42.2744854127234,2451,67,0.0273357813137495
Granville,19,-72.9302599155278,42.0847563571954,630,0,0
Great Barrington,9,-73.3526478065146,42.1969813294346,3072,306,0.099609375
Greenfield,46,-72.6039428411292,42.5997607770922,8325,1156,0.138858858858859
Groton,56,-71.5836282472309,42.6102948528988,3930,221,0.056234096692112
Groveland,24,-70.9953518401848,42.7545433011988,2423,80,0.0330169211721007
Hadley,46,-72.5811020092954,42.3298583595332,2200,264,0.12
Halifax,19,-70.8511525209753,42.0056880384502,2971,28,0.00942443621676203
Hamilton,10,-70.8581429215592,42.6194121782973,2783,84,0.0301832554796982
Hampden,2,-72.4432761201266,42.0547578455607,1941,60,0.0309119010819165
Hancock,9,-73.3142827401332,42.5521244655718,326,0,0
Hanover,5,-70.8437037424558,42.1268428025363,4832,575,0.118998344370861
Hanson,23,-70.8748764974116,42.0411110480052,3572,157,0.043952967525196
Hardwick,25,-72.2053287615159,42.3620573688847,1185,8,0.00675105485232068
Harvard,12,-71.5820211827867,42.4867572969426,1982,113,0.0570131180625631
Harwich,39,-70.0620143001291,41.7064641655456,6121,335,0.0547296193432446
Hatfield,9,-72.6107824001924,42.3738701497112,1549,52,0.0335700451904455
Haverhill,53,-71.0899695552308,42.776209269257,25557,2555,0.0999726102437688
Hawley,10,-72.8890112722645,42.5789001626407,137,0,0
Hingham,36,-70.8953955422776,42.2400522353823,8841,1005,0.113674923651171
Hinsdale,17,-73.1028412933063,42.4213882550826,918,0,0
Holbrook,6,-71.0083543633941,42.1366945438117,4262,440,0.10323791647114
Holden,201,-71.8501962621394,42.3744995204777,6624,407,0.0614432367149758
Holland,8,-72.139637769575,42.0657856971114,1051,13,0.0123691722169363
Holliston,20,-71.4429080049023,42.1917551493037,5077,242,0.047665944455387
Holyoke,62,-72.6334164466371,42.2148777233322,16320,3244,0.198774509803922
Hopedale,11,-71.5386549712743,42.1268518434544,2278,119,0.0522388059701493
Hopkinton,24,-71.5696773355113,42.2397724265527,5087,724,0.142323569884018
Hubbardston,156,-72.0103150237612,42.4742203073644,1627,49,0.0301167793484942
Hudson,16,-71.5601473091469,42.3902345569796,7962,892,0.112032152725446
Hull,22,-70.8870789211392,42.3046870265695,4964,84,0.0169218372280419
Huntington,15,-72.8623385241045,42.2916928565196,919,44,0.0478781284004353
Ipswich,74,-70.8634986456027,42.6845656487594,5735,513,0.0894507410636443
Kingston,43,-70.7424107603813,41.9852259917227,4881,204,0.0417947141979103
Lakeville,7,-70.9350970855834,41.8471005337184,3852,274,0.0711318795430945
Lancaster,34,-71.6729092208137,42.4798438829125,2544,140,0.0550314465408805
Lanesborough,24,-73.2229775507174,42.5195659349794,1365,28,0.0205128205128205
Lawrence,14,-71.1590852896007,42.7065943269934,27092,4057,0.149749003395836
Lee,26,-73.2454352951678,42.3035269501211,2702,176,0.0651369356032568
Leicester,4,-71.9419686060822,42.2579723936062,4231,176,0.0415977310328528
Lenox,10,-73.2373956890753,42.3831994819493,2473,178,0.0719773554387384
Leominster,65,-71.7560987060758,42.5283590148955,17805,1456,0.0817747823645043
Leverett,14,-72.5124310982945,42.495182971212,792,2,0.00252525252525253
Lexington,6,-71.2189236903509,42.4329767781696,11946,1327,0.111083207768291
Leyden,10,-72.6082914052706,42.6865216726366,300,0,0
Lincoln,33,-71.3127525258322,42.4429290981271,2130,298,0.139906103286385
Littleton,24,-71.4981673902681,42.5351126334469,3443,444,0.128957304676155
Longmeadow,1,-72.5904554270108,42.0254700214855,5874,272,0.0463057541709227
Lowell,417,-71.3220829061573,42.6390193340465,41308,5162,0.124963687421323
Ludlow,68,-72.4623625174251,42.1871663626139,8337,293,0.0351445364039822
Lunenburg,14,-71.7342377644105,42.5871086491954,4037,195,0.04830319544216
Lynn,131,-70.9570248688787,42.4686573358205,35701,4435,0.12422621215092
Malden,3,-71.0504915078583,42.4281576341356,25122,2542,0.10118621128891
Manchester,16,-70.7596145617631,42.5836092948769,2275,115,0.0505494505494506
Mansfield,51,-71.2156500410027,42.0178738028943,8725,939,0.107621776504298
Marblehead,32,-70.8685226847339,42.493666473992,8528,333,0.0390478424015009
Marion,12,-70.7943503909505,41.7125423555579,2014,156,0.0774577954319762
Marlborough,46,-71.5375628152742,42.3472796426791,16347,1866,0.114149385208295
Marshfield,4,-70.7264318922823,42.1237031824985,9852,821,0.0833333333333333
Mashpee,46,-70.4913688367858,41.610703382857,6473,337,0.0520624131005716
Mattapoisett,18,-70.8251301900085,41.6882895272865,2626,70,0.0266565118050267
Medfield,13,-71.3379150729348,42.2060104572114,4220,328,0.0777251184834123
Medford,47,-71.1019680746326,42.4170857974054,23968,1672,0.0697596795727637
Medway,5,-71.4114816358614,42.1499402265206,4603,376,0.0816858570497502
Melrose,28,-71.0670111930978,42.4528760152439,11714,936,0.0799043879119003
Mendon,7,-71.5493834910204,42.0743395493215,2072,40,0.0193050193050193
Merrimac,3,-71.0039302176831,42.8312427479424,2527,141,0.0557973882073605
Methuen,16,-71.1917357649804,42.7137860722537,18268,1682,0.0920735712721699
Middleborough,148,-70.873269678034,41.8703289382463,8921,589,0.0660239883421141
Middlefield,57,-72.9998634893349,42.3547024151363,230,2,0.00869565217391304
Middleton,45,-71.0007210500654,42.6030793182608,3011,151,0.0501494520092992
Milford,26,-71.5223802029396,42.1452408086417,11379,972,0.0854205114684946
Millbury,73,-71.7645575507748,42.1997495619571,5592,221,0.0395207439198856
Millis,1,-71.3610437606048,42.1673823431976,3148,118,0.0374841168996188
Millville,6,-71.5752523088897,42.0220515331393,1157,26,0.0224719101123595
Milton,29,-71.0920707796225,42.2566581965401,9641,481,0.049891090135878
Monroe,3,-72.9954104484357,42.7144998248708,64,0,0
Monson,25,-72.3071366200247,42.1063455981886,3406,138,0.0405167351732237
Montague,32,-72.5308867648612,42.5683710507953,3926,376,0.0957717778909832
Monterey,4,-73.2668380279831,42.2015104545067,465,0,0
Montgomery,7,-72.8233739538513,42.1919804187301,337,0,0
Mount Washington,8,-73.4681374819978,42.092654785185,80,0,0
Nahant,9,-70.9298852905908,42.4412506908928,1612,48,0.0297766749379653
Nantucket,29,-70.0820790302514,41.2637781765953,4896,132,0.0269607843137255
Natick,210,-71.3562490244988,42.3041902595324,14052,1477,0.105109592940507
Needham,88,-71.2419596768575,42.2740657330943,11047,1399,0.126640716936725
