"index","mapc_id","parloc_id","luc_adj_1","luc_adj_2","muni_id","muni","District","land_value","bldg_value","othr_value","total_value","lot_areaft","bldg_area","addr_num","addr_str","owner_city","owner_stat","owner_zip","median_hh_income","latitude","longitude","numTransitStops","walkscore","transitscore","transit_score_description","transit_score_summary"
123,12589,"M_137001_924762",970,970,15,"Athol","2nd Franklin District",32200,443500,0,475700,85636.84005,2451,"881","PARTRIDGEVILLE RD","ATHOL,","MA","1331",54625,42.57086727,-72.26730901,4,5,,,
125,12835,"M_139156_926965",973,973,15,"Athol","2nd Franklin District",800,0,900,1700,444.4986058,0,"","BICKFORD DR","ATHOL","MA","1331",60469,42.59087005,-72.24129628,1,37,,,
126,12837,"M_139135_926988",973,973,15,"Athol","2nd Franklin District",800,0,900,1700,429.3523451,0,"","BICKFORD DR","ATHOL","MA","1331",60469,42.59107545,-72.24155456,1,37,,,
127,12857,"M_139222_926961",970,970,15,"Athol","2nd Franklin District",215400,789100,32600,1037100,121400.2325,3500,"","BICKFORD DR","ATHOL","MA","1331",60469,42.5908392,-72.24049178,3,33,,,
133,14327,"M_141021_927092",973,973,15,"Athol","2nd Franklin District",1600,0,0,1600,1000.462971,0,"","LIBERTY ST","ATHOL","MA","1331",50732,42.59215697,-72.21858808,5,40,,,
134,14329,"M_141037_927097",970,970,15,"Athol","2nd Franklin District",23300,113200,300,136800,7398.643126,5030,"59","PARK ST","ATHOL","MA","1331",50732,42.59220319,-72.21839366,5,40,,,
135,14367,"M_141372_927067",970,970,15,"Athol","2nd Franklin District",24800,126400,0,151200,15608.95263,4282,"103","KENNEBUNK ST","ATHOL","MA","1331",50732,42.59195846,-72.21430921,6,37,,,
136,14989,"M_141800_926121",970,970,15,"Athol","2nd Franklin District",108300,350200,400,458900,117694.0943,4596,"","GIBSON DR","ATHOL,","MA","1331",50732,42.58347477,-72.20899901,6,28,,,
137,14991,"M_141905_926103",970,970,15,"Athol","2nd Franklin District",132900,446600,15000,594500,42370.71447,4596,"","GIBSON DR","ATHOL","MA","1331",50732,42.58332059,-72.20771812,6,30,,,
139,15023,"M_141894_926049",970,970,15,"Athol","2nd Franklin District",99800,365900,9700,475400,36754.24045,1952,"","GIBSON DR","ATHOL","MA","1331",50732,42.58283366,-72.20784666,6,28,,,
140,15024,"M_141984_926034",973,973,15,"Athol","2nd Franklin District",800,0,400,1200,788.4873712,0,"","GIBSON DR","ATHOL","MA","1331",50732,42.58270535,-72.20674882,6,28,,,
155,18745,"M_171222_884851",970,970,17,"Auburn","7th Worcester District",638200,3455200,21100,4114500,459417.2379,4493,"200","OXFORD ST N","AUBURN","MA","1501",89830,42.21358219,-71.84852862,7,27,,,
156,18791,"M_171171_885007",970,970,17,"Auburn","7th Worcester District",222400,742600,23000,988000,184041.7957,2746,"","OXFORD ST N","AUBURN","MA","1501",89830,42.21498477,-71.84915401,7,30,,,
157,18973,"M_173346_884669",970,970,17,"Auburn","7th Worcester District",180000,2173600,20000,2373600,89291.11875,8039,"277","PAKACHOAG ST","AUBURN","MA","1501",84201,42.2120189,-71.8227969,3,7,,,
158,18974,"M_173301_884772",970,970,17,"Auburn","7th Worcester District",162000,1327300,0,1489300,75535.86199,6016,"275","PAKACHOAG ST","AUBURN","MA","1501",84201,42.21294467,-71.8233466,3,12,,,
161,19595,"M_173253_884706",970,970,17,"Auburn","7th Worcester District",144000,1346300,0,1490300,73830.21197,5402,"279","PAKACHOAG ST","AUBURN","MA","1501",84201,42.21234883,-71.82392488,3,23,,,
229,24168,"M_150332_909035",973,973,21,"Barre","5th Worcester District",43400,0,0,43400,275686.5492,0,"","RUGGLES LANE","BARRE","MA","1005",68139,42.43025434,-72.1035921,,15,,,
230,24262,"M_150201_909025",970,970,21,"Barre","5th Worcester District",203500,1627500,1000,1832000,215691.0217,8432,"146","RUGGLES LANE","BARRE","MA","1005",68139,42.43015596,-72.10518317,,16,,,
