"index","mapc_id","parloc_id","luc_adj_1","luc_adj_2","muni_id","muni","District","land_value","bldg_value","othr_value","total_value","lot_areaft","bldg_area","addr_num","addr_str","owner_city","owner_stat","owner_zip","median_hh_income","latitude","longitude","numTransitStops","walkscore","transitscore","transit_score_description","transit_score_summary"
3668,533108,"F_812511_2905790",972,972,336,"Weymouth","4th Norfolk District",115700,0,0,115700,242891.8039,0,"0","WHARF ST NORTH","ARLINGTON","MA","2474",93496,42.22018251,-70.92280424,16,29,31,"Some Transit","2 nearby routes: 1 bus, 1 rail, 0 other"
3675,533326,"F_812742_2905131",972,972,336,"Weymouth","4th Norfolk District",611600,0,157100,768700,114461.3867,0,"1580","COMMERCIAL ST","ARLINGTON","MA","2474",93496,42.21836988,-70.92196794,,49,32,"Some Transit","2 nearby routes: 1 bus, 1 rail, 0 other"
3686,535326,"F_800316_2906069",972,972,336,"Weymouth","",198000,0,14500,212500,23913.32624,0,"12","TABER CT","ARLINGTON","MA","2474",,42.22116573,-70.96781839,,68,36,"Some Transit","3 nearby routes: 2 bus, 1 rail, 0 other"
3687,536016,"F_812788_2905400",972,972,336,"Weymouth","4th Norfolk District",196800,0,25400,222200,20160.74424,0,"16","WHARF ST NORTH","ARLINGTON","MA","2474",93496,42.21910718,-70.92179139,17,49,32,"Some Transit","2 nearby routes: 1 bus, 1 rail, 0 other"
3690,539950,"F_800448_2906201",972,972,336,"Weymouth","",154100,0,0,154100,11857.13607,0,"126","COMMERCIAL ST","ARLINGTON","MA","2474",,42.22152569,-70.96732803,,69,36,"Some Transit","3 nearby routes: 2 bus, 1 rail, 0 other"
3691,541101,"F_812855_2905245",972,972,336,"Weymouth","4th Norfolk District",181800,0,0,181800,10655.8283,0,"1598","COMMERCIAL ST","ARLINGTON","MA","2474",93496,42.2186806,-70.92154793,19,49,32,"Some Transit","2 nearby routes: 1 bus, 1 rail, 0 other"
8129,1210598,"F_722674_2947632",972,972,207,"Newton","11th Middlesex District",12432300,10291100,572400,23295800,1120649.808,158360,"355","GROVE ST","ATLANTA","GA","30355",129028,42.33618961,-71.25401808,2,4,,,
268,29044,"M_65372_893271",972,972,22,"Becket","4th Berkshire District",26000,315900,315900,341900,131982.3654,0,"61","TOWER ROAD","BOSTON","MA","2202",75852,42.27831937,-73.13223304,,,0,"No Nearby Transit","0 nearby routes: 0 bus, 0 rail, 0 other"
1205,120823,"F_655286_3015251",972,972,158,"Littleton","2nd Middlesex District",376200,0,0,376200,270610.3499,0,"263","FOSTER ST","BOSTON","MA","2116",113581,42.52199979,-71.50326679,2,5,27,"Some Transit","2 nearby routes: 1 bus, 1 rail, 0 other"
1244,131658,"F_726559_2825681",975,975,167,"Mansfield","1st Bristol District",43200,0,0,43200,426939.3701,0,"","ELM ST REAR","BOSTON","MA","2130",123533,42.00150748,-71.24101871,,15,0,"No Nearby Transit","0 nearby routes: 0 bus, 0 rail, 0 other"
