muni,numParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units,numNonVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
Abington,6,1371834.39,16.91666667,92236.16667,7.62,,,,,,6,1371834.39,16.91666667,92236.16667,7.62
Acushnet,2,155567.3717,36,53705,2.37,,,,,,2,155567.3717,36,53705,2.37
Adams,2,87137.46393,46,40117,7.4,,,,,,2,87137.46393,46,40117,7.4
Amesbury,12,551400.3394,50.91666667,73119.5,10.48,2,10385.93219,36,70063,10.48,10,541014.4072,53.9,73730.8,10.48
Andover,19,446569.3739,49.34210526,83724.94737,13.29,,,,,,19,446569.3739,49.34210526,83724.94737,13.29
Arlington,10,753566.4824,37.85,101811,5.64,,,,,,10,753566.4824,37.85,101811,5.64
Athol,11,403119.5188,26.72727273,53741.45455,6.02,4,2662.801293,25.875,55600.5,6.02,7,400456.7175,27.21428571,52679.14286,6.02
Attleboro,15,838471.2864,42.53333333,72774.33333,6.42,,,,,,15,838471.2864,42.53333333,72774.33333,6.42
Auburn,5,855420.2263,21.4,86452.6,3.69,,,,,,5,855420.2263,21.4,86452.6,3.69
Avon,4,344563.785,5.25,69868,3.97,3,120617.5058,3,69868,3.97,1,223946.2792,12,69868,3.97
Barnstable,84,2637662.375,24.85714286,nan,7.34,20,894452.0958,10.725,nan,7.34,64,1743210.279,29.2734375,nan,7.34
Barre,4,679864.5685,9,68139,3.84,2,390419.2823,9.5,68139,3.84,2,289445.2862,8.5,68139,3.84
Becket,1,542005.5545,3.5,75852,0,1,542005.5545,3.5,75852,0,,,,,
Bedford,2,196235.6442,42.25,129877,18.3,,,,,,2,196235.6442,42.25,129877,18.3
Belchertown,4,704065.5448,22.125,86169,6.88,,,,,,4,704065.5448,22.125,86169,6.88
Bellingham,7,1191680.235,13,100752,8.69,2,227752.9941,3,101115,8.69,5,963927.2406,17,100606.8,8.69
Belmont,55,631806.9905,57.83636364,147124.0556,3.61,,,,,,55,631806.9905,57.83636364,147124.0556,3.61
Beverly,18,1112721.749,39.55555556,74378,11.61,,,,,,18,1112721.749,39.55555556,74378,11.61
Billerica,14,298637.6642,32.96428571,101622.5714,10.1,,,,,,14,298637.6642,32.96428571,101622.5714,10.1
Blackstone,1,185289.5007,25.5,78063,3.41,,,,,,1,185289.5007,25.5,78063,3.41
Bourne,17,1321956.731,20.29411765,nan,8.21,,,,,,17,1321956.731,20.29411765,nan,8.21
Braintree,8,209427.5886,44.1875,101341.5,9.6,,,,,,8,209427.5886,44.1875,101341.5,9.6
Brewster,2,806663.2781,12.75,nan,6.08,,,,,,2,806663.2781,12.75,nan,6.08
Bridgewater,9,672052.7449,29.55555556,93564.88889,11,,,,,,9,672052.7449,29.55555556,93564.88889,11
Brockton,92,2324036.484,35.66304348,41148.1087,13.01,30,289129.9825,36.81666667,47832.06667,13.01,62,2034906.502,35.10483871,37913.93548,13.01
Buckland,1,5112.512977,33.5,nan,0.35,,,,,,1,5112.512977,33.5,nan,0.35
Burlington,9,843810.0065,45.83333333,106397.8889,13.33,2,605860.7386,53,97482,13.33,7,237949.2679,43.78571429,108945.2857,13.33
Cambridge,53,1668417.828,49.00943396,86052.1,14.8,3,12011.54186,61.16666667,74038.33333,14.8,50,1656406.286,48.28,86818.93617,14.8
Canton,20,982719.3971,40.575,117392.1,12.51,,,,,,20,982719.3971,40.575,117392.1,12.51
Carver,2,838550.1176,16.75,72960.5,3.23,,,,,,2,838550.1176,16.75,72960.5,3.23
Charlton,2,194722.3957,0,107364,1.74,,,,,,2,194722.3957,0,107364,1.74
Chatham,5,321140.4718,25.5,nan,5.2,,,,,,5,321140.4718,25.5,nan,5.2
Chelsea,12,778554.5495,35.25,55770.63636,19.28,1,10215.17178,45,47366,19.28,11,768339.3778,34.36363636,56611.1,19.28
Chicopee,10,1469538.616,34.4,40359.2,10.37,5,205555.8877,29.8,43813.6,10.37,5,1263982.728,39,36904.8,10.37
Clinton,6,851356.0269,29.66666667,66955,8.58,,,,,,6,851356.0269,29.66666667,66955,8.58
Dalton,2,305262.7701,23.25,59122,5.56,,,,,,2,305262.7701,23.25,59122,5.56
Danvers,12,530875.2835,42.125,86971.5,10.38,,,,,,12,530875.2835,42.125,86971.5,10.38
Dartmouth,3,800329.045,39.33333333,76631.33333,8.66,,,,,,3,800329.045,39.33333333,76631.33333,8.66
Dedham,53,1339322.386,45.31132075,82359.86538,11.06,13,784891.8477,54.57692308,79380.66667,11.06,40,554430.5387,42.3,83253.625,11.06
Dennis,13,1509066.88,16.57692308,nan,5.25,3,32468.98252,25.5,nan,5.25,10,1476597.897,13.9,nan,5.25
Dighton,2,302386.9909,11.75,93897,5.61,,,,,,2,302386.9909,11.75,93897,5.61
Dracut,21,2260746.294,52.35714286,76703.57143,5.17,2,794901.5196,33,71235,5.17,19,1465844.774,54.39473684,77279.21053,5.17
Dudley,3,468071.5556,19.66666667,77480,2.39,1,53704.65496,22.5,77480,2.39,2,414366.9006,18.25,77480,2.39
Duxbury,5,220261.8758,18.5,139199,7.41,,,,,,5,220261.8758,18.5,139199,7.41
East Bridgewater,2,448470.1596,14.5,91526,3.59,1,328043.9157,6,87328,3.59,1,120426.2439,23,95724,3.59
East Longmeadow,9,763369.0758,34.77777778,75363,7.33,,,,,,9,763369.0758,34.77777778,75363,7.33
Eastham,13,416656.3591,18.11538462,nan,2.05,,,,,,13,416656.3591,18.11538462,nan,2.05
Easton,5,618181.3545,19.6,103496.2,9.71,,,,,,5,618181.3545,19.6,103496.2,9.71
Edgartown,4,32169.7458,58,64810,4.54,,,,,,4,32169.7458,58,64810,4.54
Essex,1,81851.2675,39,113469,2.71,,,,,,1,81851.2675,39,113469,2.71
Everett,31,488031.6448,41.53225806,47751.93548,6.36,,,,,,31,488031.6448,41.53225806,47751.93548,6.36
Fairhaven,10,633102.3807,55.75,56229.6,6.94,3,20467.08347,61.5,55731.33333,6.94,7,612635.2972,53.28571429,56443.14286,6.94
Fall River,46,2361302.888,39.73913043,37235.67391,11.14,,,,,,46,2361302.888,39.73913043,37235.67391,11.14
Falmouth,31,1252999.399,17.40322581,nan,6.64,,,,,,31,1252999.399,17.40322581,nan,6.64
Fitchburg,27,1412004.026,43.75925926,49961.80769,8.71,3,28373.62789,56.33333333,18234,8.71,24,1383630.398,42.1875,52605.79167,8.71
