fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long
1065,Hale County,Alabama,AL,7019,7868,39.2,14887,52.85148115805737,32.76266345818609,-87.62914936651768
1067,Henry County,Alabama,AL,8232,8892,44.1,17124,51.92711983181499,31.514705303567382,-85.24141340693765
1069,Houston County,Alabama,AL,50029,54323,39.8,104352,52.05745936829194,31.153200882578385,-85.30247404303597
1071,Jackson County,Alabama,AL,25536,26558,43.3,52094,50.98091910776673,34.779455582420226,-85.99935398499625
1073,Jefferson County,Alabama,AL,312348,347544,37.7,659892,52.66680002182176,33.554334499008306,-86.89640830636715
1075,Lamar County,Alabama,AL,6800,7133,44.5,13933,51.195004665183376,33.779135388691884,-88.09695812677022
1077,Lauderdale County,Alabama,AL,44315,48270,41.4,92585,52.13587514176162,34.90140732669629,-87.6540096469209
1079,Lawrence County,Alabama,AL,16003,17168,42.2,33171,51.75605197310904,34.52167795535142,-87.31099055710466
1081,Lee County,Alabama,AL,78372,80915,31.4,159287,50.79824467784565,32.6011356475738,-85.35547858790139
1083,Limestone County,Alabama,AL,46427,46625,39.5,93052,50.10639212483342,34.81010128499645,-86.98140593250632
1085,Lowndes County,Alabama,AL,4830,5406,41.6,10236,52.81359906213364,32.15474570310732,-86.6501082344093
1087,Macon County,Alabama,AL,8790,10264,38,19054,53.86795423533116,32.385938660091554,-85.6926557982763
1089,Madison County,Alabama,AL,174665,182895,38.5,357560,51.1508558004251,34.76309047358268,-86.55022471636639
1091,Marengo County,Alabama,AL,9446,10092,42.7,19538,51.65318865799979,32.247665493391004,-87.78953082031431
1093,Marion County,Alabama,AL,14898,15067,44.3,29965,50.28199566160521,34.13655552248483,-87.88713524898684
1095,Marshall County,Alabama,AL,46977,48168,38.7,95145,50.625886804351254,34.366952496948166,-86.30662784816178
1097,Mobile County,Alabama,AL,197928,216731,37.6,414659,52.26728468452391,30.78721220095308,-88.20579885923952
1099,Monroe County,Alabama,AL,10230,11282,42.3,21512,52.44514689475641,31.57087541673853,-87.36543633099075
1101,Montgomery County,Alabama,AL,107354,119587,36.2,226941,52.69519390502377,32.22026379800926,-86.20761816571864
1103,Morgan County,Alabama,AL,58660,60462,40.4,119122,50.75636742163496,34.453468312593614,-86.85292482831042
1105,Perry County,Alabama,AL,4436,5050,37.7,9486,53.23634830276196,32.63846919400472,-87.29440144079504
1107,Pickens County,Alabama,AL,9708,10590,42.4,20298,52.17262784510789,33.28079282373015,-88.0887508065939
1109,Pike County,Alabama,AL,16027,17376,30.8,33403,52.01927970541568,31.802723141778166,-85.94091891113248
1111,Randolph County,Alabama,AL,10989,11585,42.7,22574,51.320102773101794,33.293784770971065,-85.4591287871211
1113,Russell County,Alabama,AL,28124,30089,35.9,58213,51.687767337192724,32.28839324253349,-85.18492486749624
1115,St. Clair County,Alabama,AL,43755,43551,40.3,87306,49.88316954161226,33.71571863517987,-86.31461907158442
1117,Shelby County,Alabama,AL,102478,108783,38.9,211261,51.49222999039104,33.264277601125,-86.66066541307319
1119,Sumter County,Alabama,AL,6014,6971,35.8,12985,53.68502117828263,32.59105735171712,-88.19884604374238
1121,Talladega County,Alabama,AL,39156,41409,41.1,80565,51.3982498603612,33.38007938419927,-86.16588537343468
1123,Tallapoosa County,Alabama,AL,19517,21119,43.7,40636,51.97115857860025,32.862350624195244,-85.79750899281659
1125,Tuscaloosa County,Alabama,AL,99539,106674,32.7,206213,51.730007322525736,33.289569418404746,-87.52510914909692
1127,Walker County,Alabama,AL,31506,32987,42.4,64493,51.14818662490502,33.803311239964835,-87.29732387115185
1129,Washington County,Alabama,AL,8420,8223,43.6,16643,49.408159586612996,31.407628945666268,-88.2078573131082
1131,Wilcox County,Alabama,AL,5134,5675,40.8,10809,52.5025441761495,31.9892967512008,-87.3081903348858
1133,Winston County,Alabama,AL,11840,12035,44.9,23875,50.40837696335079,34.149199476400526,-87.37366306792178
2013,Aleutians East Borough,Alaska,AK,1989,1436,42.7,3425,41.92700729927007,55.366507119927775,-161.98133032549518
2016,Aleutians West Census Area,Alaska,AK,3432,2318,37.6,5750,40.313043478260866,52.79799631626673,-106.6060599709953
2020,Anchorage Municipality,Alaska,AK,151144,144968,33.2,296112,48.957151348138545,61.15082529528075,-149.10911748236057
2050,Bethel Census Area,Alaska,AK,9381,8659,27.1,18040,47.99889135254989,60.91323080377408,-159.81801735140064
2060,Bristol Bay Borough,Alaska,AK,526,364,41.8,890,40.89887640449438,58.743863607996126,-156.69997745651224
2068,Denali Borough,Alaska,AK,1117,1115,43.1,2232,49.95519713261648,63.67164250515982,-150.01171591832534
2070,Dillingham Census Area,Alaska,AK,2573,2402,30.3,4975,48.281407035175874,59.79906654221384,-158.23508954298393
2090,Fairbanks North Star Borough,Alaska,AK,53846,45807,31.1,99653,45.96650376807522,64.80776532872335,-146.56541139175178
2100,Haines Borough,Alaska,AK,1335,1183,44.9,2518,46.98173153296267,59.119879251212865,-135.49995278001106
2105,Hoonah-Angoon Census Area,Alaska,AK,1095,1037,50.2,2132,48.63977485928706,58.28835669160423,-135.64299333971147
2110,Juneau City and Borough,Alaska,AK,16517,15813,38.1,32330,48.91122796164553,58.454630545695714,-134.17394176905708
2122,Kenai Peninsula Borough,Alaska,AK,30314,27906,40.8,58220,47.93198213672278,60.26541331965089,-151.56524389617178
2130,Ketchikan Gateway Borough,Alaska,AK,7060,6744,39.6,13804,48.855404230657776,55.585161705719884,-130.9288092651757
2150,Kodiak Island Borough,Alaska,AK,7281,6368,33.5,13649,46.655432632427285,57.67704281101999,-153.7805822874154
2158,Kusilvak Census Area,Alaska,AK,4388,3810,23.8,8198,46.47474993900951,62.155020175005554,-163.3826213573158
2164,Lake and Peninsula Borough,Alaska,AK,710,665,33.5,1375,48.36363636363637,58.65291903396709,-156.18684615195298
2170,Matanuska-Susitna Borough,Alaska,AK,53912,49552,35,103464,47.8929869326529,62.31621988849926,-149.57141297916502
2180,Nome Census Area,Alaska,AK,5240,4685,28.1,9925,47.20403022670025,64.91109214261573,-164.02721167914007
2185,North Slope Borough,Alaska,AK,6116,3681,34.8,9797,37.57272634479943,69.31214959526797,-153.48104285015563
2188,Northwest Arctic Borough,Alaska,AK,4156,3578,27.2,7734,46.26325316783036,67.05300866513784,-159.7210157747925
2195,Petersburg Borough,Alaska,AK,1649,1606,41,3255,49.3394777265745,57.11951010750548,-132.93445731871802
2198,Prince of Wales-Hyder Census Area,Alaska,AK,3514,2960,41,6474,45.7213469261662,55.79972761062095,-133.01919913685245
2220,Sitka City and Borough,Alaska,AK,4471,4267,38.8,8738,48.83268482490272,57.240076864015315,-135.31525107951913
2230,Skagway Municipality,Alaska,AK,555,506,38.5,1061,47.69085768143261,59.56296555756638,-135.33625689690177
2240,Southeast Fairbanks Census Area,Alaska,AK,3779,3097,36.3,6876,45.04072134962187,63.8763245627724,-143.21181328851824
2261,Valdez-Cordova Census Area,Alaska,AK,4898,4403,39,9301,47.33899580690248,61.561955115598806,-144.46863096113148
2275,Wrangell City and Borough,Alaska,AK,1302,1182,49.5,2484,47.58454106280193,56.3317189736256,-132.02230502679723
2282,Yakutat City and Borough,Alaska,AK,369,320,36.4,689,46.44412191582003,59.8888952260802,-140.3576872639421
2290,Yukon-Koyukuk Census Area,Alaska,AK,2910,2505,35.3,5415,46.26038781163435,65.50864462116017,-151.38963204423874
4001,Apache County,Arizona,AZ,35240,36282,34.7,71522,50.728447191074075,35.39552646734953,-109.48882230843972
4003,Cochise County,Arizona,AZ,64135,62144,40.6,126279,49.21166623112315,31.879608041942266,-109.7511676614067
4005,Coconino County,Arizona,AZ,68918,71299,30.6,140217,50.84904112910703,35.83874597791365,-111.77049137835488
4007,Gila County,Arizona,AZ,26370,27030,49.7,53400,50.61797752808989,33.79975176644272,-110.81171010722184
4009,Graham County,Arizona,AZ,20330,17549,33.3,37879,46.32910055703688,32.932699874990206,-109.8873887474133
4011,Greenlee County,Arizona,AZ,5064,4440,34.2,9504,46.717171717171716,33.21523492222133,-109.24012820437055
4012,La Paz County,Arizona,AZ,10677,10024,56,20701,48.42278150813971,33.729243716591746,-113.98132415701498
4013,Maricopa County,Arizona,AZ,2104145,2149768,36.1,4253913,50.536247450288705,33.348815944399796,-112.49129136326741
4015,Mohave County,Arizona,AZ,104047,102017,50.9,206064,49.507434583430395,35.704095159106224,-113.75795269664282
4017,Navajo County,Arizona,AZ,54533,54172,36.4,108705,49.83395427993192,35.39965744024454,-110.32140142426282
4019,Pima County,Arizona,AZ,501879,517843,38.3,1019722,50.78276236072185,32.097427295651826,-111.78990488515119
4021,Pinal County,Arizona,AZ,219048,200673,38.9,419721,47.81104590906817,32.90439176331561,-111.34467078195728
4023,Santa Cruz County,Arizona,AZ,22285,24299,36.6,46584,52.161686415936806,31.526025213071254,-110.84658768144405
4025,Yavapai County,Arizona,AZ,109795,114850,52.9,224645,51.12510850452937,34.59990365784673,-112.55390468776022
4027,Yuma County,Arizona,AZ,106973,100856,34.3,207829,48.52835744770941,32.76937662032427,-113.9055555770482
5001,Arkansas County,Arkansas,AR,8733,9391,41.4,18124,51.8152725667623,34.29080705580511,-91.37490973290751
5003,Ashley County,Arkansas,AR,10013,10524,41.7,20537,51.244096021814286,33.19121135472734,-91.7684577361982
5005,Baxter County,Arkansas,AR,19992,21227,52.1,41219,51.49809553846527,36.287208404293814,-92.33695011949514
5007,Benton County,Arkansas,AR,128399,130581,35.3,258980,50.421268051587,36.33872438847401,-94.25619693381994
5009,Boone County,Arkansas,AR,18350,18938,42.4,37288,50.788457412572406,36.30859114677833,-93.09153441501978
5011,Bradley County,Arkansas,AR,5214,5734,40.2,10948,52.37486298867373,33.466419933345364,-92.16239823980503
5013,Calhoun County,Arkansas,AR,2607,2595,45.5,5202,49.884659746251444,33.55803127288699,-92.50304686890513
5015,Carroll County,Arkansas,AR,13897,13990,44.8,27887,50.16674436117188,36.34101968375258,-93.53823819549703
5017,Chicot County,Arkansas,AR,5266,5560,42.7,10826,51.357842231664506,33.267214828807525,-91.29398176784412
5019,Clark County,Arkansas,AR,10628,11757,34.1,22385,52.521777976323435,34.050970670851605,-93.17636676689386
5021,Clay County,Arkansas,AR,7414,7647,43,15061,50.77352101454087,36.36827122549728,-90.41755750692674
5023,Cleburne County,Arkansas,AR,12472,12758,49.4,25230,50.56678557273088,35.53810443735143,-92.02672750378929
5025,Cleveland County,Arkansas,AR,4138,4088,42.7,8226,49.69608558230003,33.89837312457409,-92.18518895706723
5027,Columbia County,Arkansas,AR,11444,12448,36,23892,52.101121714381385,33.21429832104757,-93.22731371345826
5029,Conway County,Arkansas,AR,10182,10724,41.7,20906,51.29627858031187,35.262246537380165,-92.70129382838729
5031,Craighead County,Arkansas,AR,51528,54173,34.1,105701,51.25117075524357,35.830780591727,-90.63283975822226
5033,Crawford County,Arkansas,AR,30761,31711,38.7,62472,50.76034063260341,35.58908630761966,-94.24282113342362
5035,Crittenden County,Arkansas,AR,23271,25742,35.1,49013,52.520759798420826,35.20794386122905,-90.30883835295963
5037,Cross County,Arkansas,AR,8200,8798,41.2,16998,51.75903047417343,35.295715218539506,-90.77121408620283
5039,Dallas County,Arkansas,AR,3618,3814,43.7,7432,51.318622174381055,33.96980985111147,-92.6544470456955
5041,Desha County,Arkansas,AR,5623,6264,39.1,11887,52.69622276436443,33.833284507105354,-91.25398249476531
5043,Drew County,Arkansas,AR,9033,9469,37,18502,51.17825099989191,33.58945379935467,-91.72001113881394
5045,Faulkner County,Arkansas,AR,59911,62505,32.5,122416,51.05950202587897,35.14698116792315,-92.33204545404496
5047,Franklin County,Arkansas,AR,8675,9105,41.3,17780,51.209223847019125,35.5123205449671,-93.89063726266791
5049,Fulton County,Arkansas,AR,6048,6091,48.1,12139,50.1771150836148,36.38165740451262,-91.81822518817465
5051,Garland County,Arkansas,AR,47182,51114,44.9,98296,52.00008138683161,34.57666777754009,-93.15041074296991
5053,Grant County,Arkansas,AR,8870,9216,40.4,18086,50.956540970916734,34.2900048788879,-92.42360628570306
5055,Greene County,Arkansas,AR,21912,22711,37.9,44623,50.89527821975215,36.117569212078195,-90.5589635978154
5057,Hempstead County,Arkansas,AR,10494,11524,39.9,22018,52.338995367426655,33.73532331512718,-93.66847440957207
5059,Hot Spring County,Arkansas,AR,17418,16102,41.3,33520,48.036992840095465,34.31762873758588,-92.94594016282792
5061,Howard County,Arkansas,AR,6440,6949,38.8,13389,51.90081410112779,34.08890648823255,-93.99357394904555
5063,Independence County,Arkansas,AR,18092,19172,39.4,37264,51.449119793902966,35.7415724849761,-91.56970871240067
5065,Izard County,Arkansas,AR,7018,6541,48,13559,48.2410207242422,36.09487010035818,-91.91340553189517
5067,Jackson County,Arkansas,AR,8512,8713,39.9,17225,50.583454281567484,35.59922211078086,-91.21456610285112
5069,Jefferson County,Arkansas,AR,34906,35518,38.8,70424,50.434510962171984,34.268782057801374,-91.93151808720087
5071,Johnson County,Arkansas,AR,12976,13315,38,26291,50.64470731429006,35.570064703742396,-93.45989301357979
5073,Lafayette County,Arkansas,AR,3381,3534,46.3,6915,51.106290672451195,33.24094545145252,-93.60705581045154
5075,Lawrence County,Arkansas,AR,8270,8399,41.1,16669,50.38694582758414,36.04122681848132,-91.10709583181772
5077,Lee County,Arkansas,AR,5309,4089,41.8,9398,43.509257288784845,34.78065178564233,-90.78212191166011
5079,Lincoln County,Arkansas,AR,8590,5105,38.6,13695,37.27637824023366,33.95744904396039,-91.73332986155597
5081,Little River County,Arkansas,AR,6090,6327,42.6,12417,50.95433679632762,33.700511447751154,-94.23434658306978
5083,Logan County,Arkansas,AR,10643,11114,41.5,21757,51.0824102587673,35.21527067849378,-93.71634187499376
5085,Lonoke County,Arkansas,AR,35667,36539,36.1,72206,50.60382793673656,34.754256224990016,-91.88867330213915
5087,Madison County,Arkansas,AR,8038,8038,42.6,16076,50,36.01095244456229,-93.72455118259842
5089,Marion County,Arkansas,AR,7990,8448,51.7,16438,51.39311351745954,36.26838614303282,-92.68422482746918
5091,Miller County,Arkansas,AR,21476,22283,38.9,43759,50.92209602596037,33.31209066913729,-93.8915527124611
5093,Mississippi County,Arkansas,AR,20876,21955,36.2,42831,51.259601690364455,35.76383359723019,-90.05420095067471
5095,Monroe County,Arkansas,AR,3316,3933,47,7249,54.255759415091745,34.67784528117564,-91.20390435091556
5097,Montgomery County,Arkansas,AR,4440,4553,50,8993,50.62826642944513,34.538810773692305,-93.65952878075149
5099,Nevada County,Arkansas,AR,4425,4015,44.8,8440,47.57109004739337,33.66396326977911,-93.30719905846298
5101,Newton County,Arkansas,AR,3932,3916,49.1,7848,49.89806320081549,35.91997205949455,-93.21786864539573
5103,Ouachita County,Arkansas,AR,11327,12779,42.3,24106,53.011698332365384,33.59335286839969,-92.88194022525765
5105,Perry County,Arkansas,AR,5184,5138,43.5,10322,49.77717496609184,34.94736989254756,-92.93144274100722
5107,Phillips County,Arkansas,AR,9006,10028,38.5,19034,52.684669538720186,34.42823805670895,-90.84806629246263
5109,Pike County,Arkansas,AR,5346,5462,42.8,10808,50.53663952627683,34.163521770981134,-93.65632702389284
5111,Poinsett County,Arkansas,AR,11734,12320,39.7,24054,51.218092624927245,35.574014785872826,-90.6629767541616
5113,Polk County,Arkansas,AR,9828,10335,43.7,20163,51.25725338491296,34.48591350460088,-94.22809399775852
5115,Pope County,Arkansas,AR,31317,32327,35,63644,50.79347621142606,35.44762758047479,-93.03415221892074
5117,Prairie County,Arkansas,AR,4120,4124,46.2,8244,50.024260067928196,34.8297985392543,-91.55279742630763
5119,Pulaski County,Arkansas,AR,188496,204967,36.9,393463,52.093081179170596,34.76994016662451,-92.3117837218999
5121,Randolph County,Arkansas,AR,8784,8819,41.5,17603,50.09941487246492,36.3414590326538,-91.02770853309575
5123,St. Francis County,Arkansas,AR,14441,11853,38.9,26294,45.07872518445273,35.022009561830515,-90.7477657706903
5125,Saline County,Arkansas,AR,58030,59979,39.2,118009,50.825784474065536,34.6465951571083,-92.67652322823821
5127,Scott County,Arkansas,AR,5332,5110,41,10442,48.93698525186746,34.86077478168221,-94.06323825597694
5129,Searcy County,Arkansas,AR,3981,3942,47.6,7923,49.7538811056418,35.91089957257719,-92.69950814142427
5131,Sebastian County,Arkansas,AR,62274,65187,37.5,127461,51.14270247369783,35.199660327844946,-94.27417847062952
5133,Sevier County,Arkansas,AR,8607,8586,34.9,17193,49.93892863374629,33.9971754119254,-94.24117760339227
5135,Sharp County,Arkansas,AR,8335,8708,47.4,17043,51.09429091122455,36.1611416259315,-91.47985751697682
5137,Stone County,Arkansas,AR,6209,6237,49.8,12446,50.11248593925759,35.859880281189255,-92.15670323495661
5139,Union County,Arkansas,AR,19332,20400,40.1,39732,51.344004832376925,33.17130192417115,-92.59726943648324
5141,Van Buren County,Arkansas,AR,8284,8400,47.9,16684,50.34763845600575,35.58064470282818,-92.5156838021102
5143,Washington County,Arkansas,AR,114181,114348,31.8,228529,50.036538032372256,35.97906307205256,-94.21557553246848
5145,White County,Arkansas,AR,38751,40053,36.6,78804,50.82610019795949,35.25627781090881,-91.74554960434645
5147,Woodruff County,Arkansas,AR,3051,3609,45.6,6660,54.18918918918919,35.186306413089426,-91.24305627869848
5149,Yell County,Arkansas,AR,10782,10791,39.3,21573,50.02085940759282,35.00261093322689,-93.41123285260815
6001,Alameda County,California,CA,807171,836529,37.4,1643700,50.89304617630954,37.646893227585394,-121.88886747655656
6003,Alpine County,California,CA,612,534,44.3,1146,46.596858638743456,38.59719676739881,-119.82066974618064
6005,Amador County,California,CA,20302,17527,50.5,37829,46.33217901609876,38.446391490362714,-120.65109333340908
6007,Butte County,California,CA,112513,114562,37.1,227075,50.45117252009248,39.6669353446951,-121.60068082611362
6009,Calaveras County,California,CA,22434,22801,52.1,45235,50.40565933458605,38.204595481696714,-120.55412801084056
6011,Colusa County,California,CA,11124,10340,35.1,21464,48.1736861721953,39.17748403490377,-122.23695912321347
6013,Contra Costa County,California,CA,553701,579546,39.4,1133247,51.14030745283243,37.91912233692718,-121.92778819106958
6015,Del Norte County,California,CA,14575,12849,38.6,27424,46.853121353558926,41.743134903278985,-123.8972400230872
6017,El Dorado County,California,CA,93040,93621,45.8,186661,50.15562972447378,38.77873549714167,-120.52465737213436
6019,Fresno County,California,CA,487936,490194,32,978130,50.115424330099266,36.758197639814554,-119.64930723709182
6021,Glenn County,California,CA,14171,13726,36.6,27897,49.2024231996272,39.59820149120442,-122.39199901384109
6023,Humboldt County,California,CA,67666,68102,38,135768,50.16056802781215,40.699297540642164,-123.87562886590823
6025,Imperial County,California,CA,92250,87966,32.4,180216,48.81142628845386,33.03951207342643,-115.36535115086141
6027,Inyo County,California,CA,9084,9001,45.7,18085,49.770528061929774,36.51111376104412,-117.41074797719436
6029,Kern County,California,CA,452646,430407,31.5,883053,48.740789057961415,35.342864363470284,-118.72991638751208
6031,Kings County,California,CA,82674,67401,31.7,150075,44.911544227886054,36.07534371008504,-119.81555065669141
6033,Lake County,California,CA,31879,32269,45.6,64148,50.303984535761046,39.09961720745284,-122.75318988686426
6035,Lassen County,California,CA,20671,10514,36,31185,33.71492704826038,40.673589098637045,-120.59431538478663
6037,Los Angeles County,California,CA,4976788,5121264,36.2,10098052,50.71536569627489,34.3207429592211,-118.22480998416322
6039,Madera County,California,CA,74683,80330,33.9,155013,51.82146013560153,37.21799210274101,-119.76267044541184
6041,Marin County,California,CA,127113,133182,46.5,260295,51.16579265832997,38.07338555626221,-122.72341555726418
6043,Mariposa County,California,CA,8920,8620,51.4,17540,49.1448118586089,37.58150820256936,-119.90542609837362
6045,Mendocino County,California,CA,43439,43983,42.8,87422,50.31113449703736,39.440224101662444,-123.39147262070482
6047,Merced County,California,CA,135816,133259,30.9,269075,49.524853665334945,37.191889864977696,-120.71765231288775
6049,Modoc County,California,CA,4613,4325,47.7,8938,48.38890132020586,41.58981656312058,-120.72501563385929
6051,Mono County,California,CA,7341,6833,38.3,14174,48.207986454070834,37.93908943424993,-118.8868431321968
6053,Monterey County,California,CA,220967,212245,34.1,433212,48.993333518000426,36.21715890998017,-121.23920059946273
6055,Napa County,California,CA,70082,70448,41.1,140530,50.13022130505942,38.506485447294324,-122.330518115176
6057,Nevada County,California,CA,48889,50203,50.1,99092,50.66302022363056,39.301363059753385,-120.76845107342851
6059,Orange County,California,CA,1562429,1601753,37.8,3164182,50.62139282759336,33.702972184170065,-117.7610700312427
6061,Placer County,California,CA,185511,194566,41.9,380077,51.191205992469946,39.06345956799667,-120.71755875765689
6063,Plumas County,California,CA,9423,9276,52.2,18699,49.60693085191721,40.004638434438725,-120.83854565296976
6065,Riverside County,California,CA,1186188,1197098,35.3,2383286,50.228885664582435,33.74366319247109,-115.99380653350666
6067,Sacramento County,California,CA,737742,772281,36,1510023,51.14365807673128,38.44931684885277,-121.34425336568765
6069,San Benito County,California,CA,29626,29790,35.5,59416,50.138009963646155,36.60569063230486,-121.0749692523152
6071,San Bernardino County,California,CA,1062472,1072941,33.1,2135413,50.245128225781144,34.84139921238718,-116.17840998570632
6073,San Diego County,California,CA,1661931,1640902,35.6,3302833,49.681652084740584,33.034136709370166,-116.73529293376947
6075,San Francisco County,California,CA,443970,426074,38.2,870044,48.9715462666256,37.75616436865513,-122.44304167780714
6077,San Joaquin County,California,CA,364612,367600,34.1,732212,50.20403926731603,37.93475478900825,-121.27139238365105
6079,San Luis Obispo County,California,CA,142769,138686,39.1,281455,49.27466202412464,35.38708293547382,-120.40451599116747
6081,San Mateo County,California,CA,377851,388084,39.6,765935,50.66800707631849,37.42289743059975,-122.3290165412804
6083,Santa Barbara County,California,CA,222208,221530,33.7,443738,49.92360356787113,34.67287988538718,-120.01647340776174
6085,Santa Clara County,California,CA,970469,951731,37,1922200,49.51258974092186,37.231785029812926,-121.69512630659516
6087,Santa Cruz County,California,CA,135727,138038,37.4,273765,50.422077329096126,37.05618848793641,-122.00184962661211
6089,Shasta County,California,CA,87859,91226,41.8,179085,50.94005639779993,40.76371326810639,-122.04049900154385
6091,Sierra County,California,CA,1542,1388,55.5,2930,47.37201365187713,39.580326202324656,-120.51599521126568
6093,Siskiyou County,California,CA,21706,21834,48,43540,50.1469912723932,41.592675402058475,-122.5403512604914
6095,Solano County,California,CA,217931,220599,37.9,438530,50.30419811643445,38.269972906847265,-121.93285185686703
6097,Sonoma County,California,CA,245196,256121,41.7,501317,51.089629914804405,38.52828658778606,-122.88740786017404
6099,Stanislaus County,California,CA,266844,272457,34,539301,50.520395845733646,37.559134084648015,-120.99768806978116
6101,Sutter County,California,CA,47789,48083,35.7,95872,50.15332943925234,39.03457772739615,-121.69484381678052
6103,Tehama County,California,CA,31504,31869,40.9,63373,50.28797752986287,40.12562627265812,-122.2340586020686
6105,Trinity County,California,CA,6582,6280,51.8,12862,48.825999067019126,40.65069929372209,-123.11263968581837
6107,Tulare County,California,CA,230255,230222,30.8,460477,49.99641675914324,36.22016551607714,-118.80048756434682
6109,Tuolumne County,California,CA,28102,25830,48.4,53932,47.893643847808356,38.027588914238436,-119.95475499078796
6111,Ventura County,California,CA,419588,428524,37.9,848112,50.52681721282095,34.45650805886403,-119.08363317379286
6113,Yolo County,California,CA,104375,110602,31,214977,51.44829446871061,38.686619234357615,-121.90156981492919
6115,Yuba County,California,CA,38468,37025,32.5,75493,49.04428225133456,39.26900718329727,-121.35126426312779
8001,Adams County,Colorado,CO,250704,246411,33.6,497115,49.568208563410884,39.873630839333046,-104.33776871204665
8003,Alamosa County,Colorado,CO,8242,8202,30.4,16444,49.87837509121868,37.5729353487017,-105.78836680671557
8005,Arapahoe County,Colorado,CO,314672,321999,36.5,636671,50.57541493173083,39.649756848133705,-104.33922984176847
8007,Archuleta County,Colorado,CO,6546,6362,50.6,12908,49.2872637124264,37.19353673333712,-107.04828747952928
8009,Baca County,Colorado,CO,1755,1808,47.7,3563,50.74375526241931,37.31919022603764,-102.56037464026164
8011,Bent County,Colorado,CO,3790,2019,41,5809,34.75641246341883,37.955075948238985,-103.0717096507405
8013,Boulder County,Colorado,CO,161355,159675,36.2,321030,49.738342211008316,40.09248855232531,-105.35772961262155
8014,Broomfield County,Colorado,CO,32789,33331,37.7,66120,50.409860859044166,39.95410591821095,-105.05271057431746
