fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long
1001,Autauga County,Alabama,AL,26874,28326,37.8,55200,51.315217391304344,32.53492293292812,-86.64273013739468
1003,Baldwin County,Alabama,AL,101188,106919,42.8,208107,51.3769359031652,30.72747876693927,-87.72256353282204
1005,Barbour County,Alabama,AL,13697,12085,39.9,25782,46.873787914048556,31.869581438362314,-85.39320978902569
1007,Bibb County,Alabama,AL,12152,10375,39.9,22527,46.055844098193276,32.998628228925845,-87.12647507182314
1009,Blount County,Alabama,AL,28434,29211,40.8,57645,50.673952641165755,33.98086883066284,-86.56738039931867
1011,Bullock County,Alabama,AL,5663,4689,39.6,10352,45.29559505409583,32.10052546439408,-85.71567933028645
1013,Butler County,Alabama,AL,9368,10657,40.7,20025,53.21847690387016,31.752429155671948,-86.68027562242744
1015,Calhoun County,Alabama,AL,55315,59783,39.7,115098,51.94095466472049,33.771415664670144,-85.82603921906548
1017,Chambers County,Alabama,AL,16257,17569,43,33826,51.939336604978415,32.91434535110719,-85.39203021569158
1019,Cherokee County,Alabama,AL,12820,13033,45.9,25853,50.41194445518895,34.17590465311609,-85.60380095916831
1021,Chilton County,Alabama,AL,21672,22258,38.6,43930,50.66697017983155,32.84786730790755,-86.71879022444824
1023,Choctaw County,Alabama,AL,6253,6822,46.1,13075,52.175908221797314,32.019771720975655,-88.26317980997915
1025,Clarke County,Alabama,AL,11539,12848,42.3,24387,52.68380694632386,31.67667781209924,-87.83080861554338
1027,Clay County,Alabama,AL,6464,6914,43.7,13378,51.68186574973838,33.26902359843214,-85.8605790173855
1029,Cleburne County,Alabama,AL,7281,7657,42.5,14938,51.25853527915384,33.67451320426218,-85.51880933254934
1031,Coffee County,Alabama,AL,25314,25974,39.3,51288,50.643425362657936,31.402649421681172,-85.98815267828464
1033,Colbert County,Alabama,AL,26075,28420,42.7,54495,52.15157353885678,34.700470938378004,-87.80492780624994
1035,Conecuh County,Alabama,AL,6037,6477,44.8,12514,51.7580310052741,31.42923693025014,-86.99366150725562
1037,Coosa County,Alabama,AL,5501,5354,46.9,10855,49.32289267618609,32.93624304249333,-86.24766160001144
1039,Covington County,Alabama,AL,18172,19179,43.9,37351,51.348022810634255,31.248491453552955,-86.45126684432357
1041,Crenshaw County,Alabama,AL,6814,7051,41.5,13865,50.85467003245583,31.731518503686406,-86.31354750864885
1043,Cullman County,Alabama,AL,40560,41753,40.6,82313,50.72467289492547,34.1319452282297,-86.86757572060472
1045,Dale County,Alabama,AL,24234,25021,37.5,49255,50.79890366460258,31.431810191228635,-85.61100443496244
1047,Dallas County,Alabama,AL,18448,21581,39.5,40029,53.91341277573759,32.32597925878849,-87.10646900303215
1049,DeKalb County,Alabama,AL,35304,35896,39.3,71200,50.41573033707866,34.45980033140949,-85.80410976896026
1051,Elmore County,Alabama,AL,39450,41762,38.6,81212,51.42343496035069,32.5966474982654,-86.14915715534637
1053,Escambia County,Alabama,AL,19067,18261,39.7,37328,48.92038148306901,31.126134749153067,-87.16158196121191
1055,Etowah County,Alabama,AL,49651,53288,41.3,102939,51.766580207695824,34.04525667023056,-86.03476332697053
1057,Fayette County,Alabama,AL,8170,8415,43.8,16585,50.738619234247814,33.72122226409212,-87.73885770883655
1059,Franklin County,Alabama,AL,15602,15940,37.6,31542,50.53579354511445,34.44169229734741,-87.84373462807847
1061,Geneva County,Alabama,AL,12971,13520,42.4,26491,51.03620097391567,31.09505484802003,-85.83909144612956
1063,Greene County,Alabama,AL,3950,4476,42.5,8426,53.12129124139568,32.85314775662932,-87.95220353329152
