state,county,candidate,party,votes,won
Delaware,Kent County,John Carney,DEM,44352,True
Delaware,Kent County,Julianne Murray,REP,39332,False
Delaware,Kent County,Kathy DeMatteis,IPD,1115,False
Delaware,Kent County,John Machurek,LIB,616,False
Delaware,New Castle County,John Carney,DEM,191678,True
Delaware,New Castle County,Julianne Murray,REP,82545,False
Delaware,New Castle County,Kathy DeMatteis,IPD,3785,False
Delaware,New Castle County,John Machurek,LIB,2031,False
Delaware,Sussex County,Julianne Murray,REP,68435,True
Delaware,Sussex County,John Carney,DEM,56873,False
Delaware,Sussex County,Kathy DeMatteis,IPD,1250,False
Delaware,Sussex County,John Machurek,LIB,623,False
Indiana,Adams County,Eric Holcomb,REP,9441,True
Indiana,Adams County,Donald Rainwater,LIB,2570,False
Indiana,Adams County,Woody Myers,DEM,2143,False
Indiana,Allen County,Eric Holcomb,REP,98406,True
Indiana,Allen County,Woody Myers,DEM,53895,False
Indiana,Allen County,Donald Rainwater,LIB,16011,False
Indiana,Bartholomew County,Eric Holcomb,REP,21959,True
Indiana,Bartholomew County,Woody Myers,DEM,9013,False
Indiana,Bartholomew County,Donald Rainwater,LIB,5065,False
Indiana,Benton County,Eric Holcomb,REP,2815,True
Indiana,Benton County,Woody Myers,DEM,671,False
Indiana,Benton County,Donald Rainwater,LIB,614,False
Indiana,Blackford County,Eric Holcomb,REP,3333,True
Indiana,Blackford County,Donald Rainwater,LIB,1017,False
Indiana,Blackford County,Woody Myers,DEM,933,False
Indiana,Boone County,Eric Holcomb,REP,23737,True
Indiana,Boone County,Woody Myers,DEM,9661,False
Indiana,Boone County,Donald Rainwater,LIB,5094,False
Indiana,Brown County,Eric Holcomb,REP,4953,True
Indiana,Brown County,Woody Myers,DEM,2381,False
Indiana,Brown County,Donald Rainwater,LIB,1623,False
Indiana,Carroll County,Eric Holcomb,REP,6077,True
Indiana,Carroll County,Donald Rainwater,LIB,1864,False
Indiana,Carroll County,Woody Myers,DEM,1569,False
Indiana,Cass County,Eric Holcomb,REP,8833,True
Indiana,Cass County,Woody Myers,DEM,3373,False
Indiana,Cass County,Donald Rainwater,LIB,2940,False
Indiana,Clark County,Eric Holcomb,REP,34669,True
Indiana,Clark County,Woody Myers,DEM,19077,False
Indiana,Clark County,Donald Rainwater,LIB,3680,False
Indiana,Clay County,Eric Holcomb,REP,8164,True
Indiana,Clay County,Donald Rainwater,LIB,2242,False
Indiana,Clay County,Woody Myers,DEM,1780,False
Indiana,Clinton County,Eric Holcomb,REP,7971,True
Indiana,Clinton County,Donald Rainwater,LIB,2514,False
Indiana,Clinton County,Woody Myers,DEM,2406,False
Indiana,Crawford County,Eric Holcomb,REP,3064,True
Indiana,Crawford County,Woody Myers,DEM,1242,False
Indiana,Crawford County,Donald Rainwater,LIB,553,False
Indiana,Daviess County,Eric Holcomb,REP,8313,True
Indiana,Daviess County,Donald Rainwater,LIB,2016,False
Indiana,Daviess County,Woody Myers,DEM,1531,False
Indiana,Dearborn County,Eric Holcomb,REP,18353,True
Indiana,Dearborn County,Woody Myers,DEM,4559,False
Indiana,Dearborn County,Donald Rainwater,LIB,2383,False
Indiana,Decatur County,Eric Holcomb,REP,7911,True
Indiana,Decatur County,Donald Rainwater,LIB,2787,False
Indiana,Decatur County,Woody Myers,DEM,1562,False
Indiana,DeKalb County,Eric Holcomb,REP,13042,True
Indiana,DeKalb County,Woody Myers,DEM,3293,False
Indiana,DeKalb County,Donald Rainwater,LIB,3158,False
Indiana,Delaware County,Eric Holcomb,REP,26829,True
Indiana,Delaware County,Woody Myers,DEM,15638,False
Indiana,Delaware County,Donald Rainwater,LIB,5482,False
Indiana,Dubois County,Eric Holcomb,REP,14403,True
Indiana,Dubois County,Woody Myers,DEM,4586,False
Indiana,Dubois County,Donald Rainwater,LIB,2599,False
Indiana,Elkhart County,Eric Holcomb,REP,46223,True
Indiana,Elkhart County,Woody Myers,DEM,20512,False
Indiana,Elkhart County,Donald Rainwater,LIB,7690,False
Indiana,Fayette County,Eric Holcomb,REP,6933,True
Indiana,Fayette County,Woody Myers,DEM,1707,False
