state,called,final,dem_2020,rep_2020,other_2020,dem_percent,rep_percent,other_percent,dem_2020_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,dem_2016,rep_2016,2016 Margin,Total 2016 Votes,Total 2020 Votes
U.S. Total,D,No,81281890,74222108,2884357,0.513,0.469,0.018,0.045,0.024,0.159,,,,,,,,,,0.020994559,136639848,158388355
Arizona,D,Yes,1672143,1661686,53497,0.494,0.491,0.016,0.003,0.039,0.316,AZ,11,2,2,4,205,374,1161167,1252401,-0.035455946,2573165,3387326
Florida,R,Yes,5297045,5668731,101680,0.479,0.512,0.009,-0.034,-0.022,0.175,FL,29,8,0,12,787,520,4504975,4617886,-0.011986256,9420039,11067456
Georgia,D,Yes,2474507,2461837,62138,0.495,0.493,0.012,0.003,0.054,0.221,GA,16,7,1,13,734,419,1877963,2089104,-0.051313427,4092373,4998482
Iowa,R,Yes,759061,897672,34138,0.449,0.531,0.020,-0.082,0.012,0.080,IA,6,5,4,19,536,223,653669,800983,-0.094068381,1566031,1690871
Maine 2nd District,R,Yes,168696,196692,10961,0.448,0.523,0.029,-0.074,0.028,0.065,ME2,1,12,8,102,919,92,,,-0.10288159,353416,376349
Michigan,D,Yes,2804040,2649852,85410,0.506,0.478,0.015,0.028,0.030,0.154,MI,16,7,5,26,681,190,2268839,2279543,-0.002230333,4799284,5539302
Minnesota,D,Yes,1717049,1484048,76023,0.524,0.453,0.023,0.071,0.056,0.113,MN,10,5,5,27,519,120,1367716,1322951,0.015201305,2944813,3277120
Nebraska 2nd District,D,Yes,176468,154377,6909,0.522,0.457,0.020,0.065,0.088,0.158,NE2,1,12,6,104,438,238,,,-0.022401262,291680,337754
Nevada,D,Yes,703486,669890,32000,0.501,0.477,0.023,0.024,0.000,0.249,NV,6,2,4,32,136,240,539260,512058,0.024171284,1125385,1405376
New Hampshire,D,Yes,424921,365654,15607,0.527,0.454,0.019,0.074,0.070,0.083,NH,4,11,6,33,895,146,348526,345790,0.003675957,744158,806182
North Carolina,R,Yes,2684292,2758775,81737,0.486,0.499,0.015,-0.013,0.023,0.165,NC,15,7,2,37,808,349,2189316,2362631,-0.036552285,4741564,5524804
Ohio,R,Yes,2679165,3154834,88203,0.452,0.533,0.015,-0.080,0.001,0.077,OH,18,7,4,39,720,250,2394164,2841005,-0.081295744,5496487,5922202
Pennsylvania,D,Yes,3459923,3378263,79397,0.500,0.488,0.011,0.012,0.019,0.131,PA,20,8,4,42,806,221,2926441,2970733,-0.007183871,6115402,6917583
Texas,R,Yes,5259126,5890347,165583,0.465,0.521,0.015,-0.056,0.034,0.262,TX,38,3,0,48,444,471,3877868,4685047,-0.089994276,8969226,11315056
Wisconsin,D,Yes,1630866,1610184,56991,0.494,0.488,0.017,0.006,0.014,0.108,WI,10,6,6,55,601,169,1382536,1405284,-0.007643432,2976150,3298041
Alabama,R,Yes,849624,1441170,32488,0.366,0.620,0.014,-0.255,0.023,0.094,AL,9,6,1,1,674,424,729547,1318255,-0.277251466,2123372,2323282
Alaska,R,Yes,153778,189951,15801,0.428,0.528,0.044,-0.101,0.047,0.128,AK,3,0,6,2,105,512,116454,163387,-0.147306408,318608,359530
Arkansas,R,Yes,423932,760647,34490,0.348,0.624,0.028,-0.276,-0.007,0.078,AR,6,5,2,5,564,386,380494,684872,-0.26920978,1130635,1219069
California,D,No,11109764,6005961,378259,0.635,0.343,0.022,0.292,-0.009,0.234,CA,55,1,3,6,75,283,8753792,4483814,0.301092931,14181595,17493984
Colorado,D,Yes,1804352,1364607,87993,0.554,0.419,0.027,0.135,0.086,0.171,CO,9,3,3,8,330,284,1338870,1202484,0.049055354,2780220,3256952
Connecticut,D,Yes,1080680,715291,28302,0.592,0.392,0.016,0.200,0.064,0.109,CT,7,10,4,9,886,190,897572,673215,0.136393867,1644920,1824273
Delaware,D,Yes,296268,200603,7475,0.587,0.398,0.015,0.190,0.076,0.142,DE,3,11,3,10,853,258,235603,185127,0.113732329,441590,504346
District of Columbia,D,Yes,317323,18586,8447,0.921,0.054,0.025,0.868,0.000,0.106,DC,3,9,3,11,829,264,282830,12723,0.867763471,311268,344356
Hawaii,D,No,366130,196864,11475,0.637,0.343,0.020,0.295,-0.027,0.339,HI,4,0,0,15,272,570,266891,128847,0.321828147,428937,574469
Idaho,R,No,287021,554119,25962,0.331,0.639,0.030,-0.308,0.010,0.256,ID,4,2,5,16,195,148,189765,409055,-0.317694186,690255,867102
Illinois,D,Yes,3471915,2446891,114938,0.575,0.406,0.019,0.170,-0.001,0.090,IL,20,6,5,17,614,264,3090729,2146015,0.170636136,5536424,6033744
Indiana,R,Yes,1242413,1729516,61183,0.410,0.570,0.020,-0.161,0.031,0.109,IN,11,6,4,18,669,264,1033126,1557286,-0.191651938,2734958,3033112
Kansas,R,Yes,570323,771406,30574,0.416,0.562,0.022,-0.147,0.059,0.159,KS,6,4,2,20,457,307,427005,671018,-0.206022111,1184402,1372303
Kentucky,R,Yes,772474,1326646,37648,0.362,0.621,0.018,-0.259,0.039,0.111,KY,8,6,3,21,706,314,628854,1202971,-0.298374502,1924149,2136768
Louisiana,R,Yes,856034,1255776,36252,0.399,0.585,0.017,-0.186,0.010,0.059,LA,8,4,1,22,560,456,780154,1178638,-0.196391186,2029032,2148062
Maine,D,Yes,435072,360737,23652,0.531,0.440,0.029,0.091,0.061,0.096,ME,2,11,7,23,919,92,357735,335593,0.029604493,747927,819461
Maine 1st District,D,Yes,266376,164045,12691,0.601,0.370,0.029,0.231,0.083,0.124,ME1,1,12,9,101,919,92,,,0.148074324,394329,443112
Maryland,D,Yes,1985023,976414,75593,0.654,0.322,0.025,0.332,0.068,0.092,MD,10,10,3,24,825,254,1677928,943169,0.264164395,2781446,3037030
Massachusetts,D,Yes,2382202,1167202,81998,0.656,0.321,0.023,0.335,0.063,0.092,MA,11,10,5,25,895,169,1995196,1090893,0.271967065,3325046,3631402
Mississippi,R,Yes,539508,756789,17597,0.411,0.576,0.013,-0.165,0.013,0.086,MS,6,5,1,28,617,427,485131,700714,-0.178262498,1209357,1313894
Missouri,R,Yes,1253014,1718736,54212,0.414,0.568,0.018,-0.154,0.032,0.077,MO,10,5,3,29,557,305,1071068,1594511,-0.18637117,2808605,3025962
Montana,R,Yes,244786,343602,15286,0.405,0.569,0.025,-0.164,0.041,0.214,MT,3,3,5,30,289,95,177709,279240,-0.204227321,497147,603674
Nebraska,R,Yes,374583,556846,20283,0.394,0.585,0.021,-0.192,0.059,0.127,NE,2,4,3,31,438,238,284494,495961,-0.250485948,844289,951712
Nebraska 1st District,R,Yes,132261,180290,7495,0.413,0.563,0.023,-0.150,0.057,0.134,NE1,1,12,7,103,438,238,,,-0.207198464,282338,320046
Nebraska 3rd District,R,Yes,65854,222179,5879,0.224,0.756,0.020,-0.532,0.010,0.088,NE3,1,12,5,105,438,238,,,-0.541881241,270109,293912
New Jersey,D,Yes,2608335,1883274,57744,0.573,0.414,0.013,0.159,0.018,0.174,NJ,14,9,4,34,865,231,2148278,1601933,0.141026978,3874046,4549353
New Mexico,D,Yes,501614,401894,20457,0.543,0.435,0.022,0.108,0.026,0.157,NM,5,3,2,35,309,385,385234,319667,0.082131328,798318,923965
New York,D,Yes,5241957,3250075,119043,0.609,0.377,0.014,0.231,0.006,0.115,NY,29,9,5,36,838,168,4556118,2819533,0.224904561,7721453,8611075
North Dakota,R,Yes,114902,235595,11322,0.318,0.651,0.031,-0.334,0.024,0.051,ND,3,4,5,38,426,97,93758,216794,-0.357288884,344360,361819
Oklahoma,R,Yes,503890,1020280,36529,0.323,0.654,0.023,-0.331,0.033,0.074,OK,7,3,1,40,477,377,420375,949136,-0.363911845,1452992,1560699
Oregon,D,Yes,1340383,958448,75490,0.565,0.404,0.032,0.161,0.051,0.186,OR,7,1,4,41,97,134,1002106,782403,0.109778168,2001336,2374321
Rhode Island,D,Yes,307486,199922,10349,0.594,0.386,0.020,0.208,0.053,0.116,RI,4,11,4,44,904,183,252525,180543,0.155085491,464144,517757
South Carolina,R,Yes,1091541,1385103,36685,0.434,0.551,0.015,-0.117,0.026,0.195,SC,9,8,2,45,783,394,855373,1155389,-0.142659129,2103027,2513329
South Dakota,R,Yes,150471,261043,11095,0.356,0.618,0.026,-0.262,0.036,0.142,SD,3,4,4,46,430,168,117458,227721,-0.297933222,370093,422609
Tennessee,R,Yes,1143711,1852475,57665,0.375,0.607,0.019,-0.232,0.028,0.218,TN,11,6,2,47,670,360,870695,1522925,-0.260057009,2508027,3053851
Utah,R,Yes,560282,865140,62867,0.376,0.581,0.042,-0.205,-0.024,0.315,UT,6,2,3,49,225,266,310676,515231,-0.180793332,1131430,1488289
Vermont,D,Yes,242820,112704,11904,0.661,0.307,0.032,0.354,0.090,0.166,VT,3,10,6,50,873,134,178573,95369,0.264083512,315067,367428
Virginia,D,Yes,2413568,1962430,84526,0.541,0.440,0.019,0.101,0.048,0.120,VA,13,8,3,51,809,299,1981473,1769443,0.053211954,3982752,4460524
Washington,D,Yes,2369612,1584651,133368,0.580,0.388,0.033,0.192,0.035,0.215,WA,12,1,5,53,128,58,1742718,1221747,0.157059999,3365644,4087631
West Virginia,R,Yes,235984,545382,13286,0.297,0.686,0.017,-0.389,0.031,0.114,WV,5,7,3,54,765,284,188794,489371,-0.420726936,713051,794652
Wyoming,R,Yes,73491,193559,9715,0.266,0.699,0.035,-0.434,0.029,0.082,WY,3,3,4,56,306,187,55973,174419,-0.462952757,255849,276765
