county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Abbeville,SC,0.629,0.346,10724,6742,3712,0.661,0.33,12433,8215,4101,34.22333378,-82.46170658,805,17,24788,12044,12744,1.3,68.9,27.6,0.1,0.3,0,19452,35254,2259,19234,799,22.7,32.1,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505,78.8,13.3,7.8,0.1,9.4
Acadia,LA,0.773,0.206,27386,21159,5638,0.795,0.191,28425,22596,5443,30.2950649,-92.41419698,3182,102,62607,30433,32174,2.4,77.5,17.6,0.1,0.1,0,45197,40492,2544,21591,1002,21.5,27.6,27.6,16.9,25.7,15,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982,80,12.1,7.6,0.3,8.9
Accomack,VA,0.545,0.428,15755,8582,6737,0.542,0.447,16938,9172,7578,37.76707161,-75.63234615,1227,19,32840,16079,16761,8.8,60.3,28.3,0.3,0.7,0,24408,42260,2253,24266,1564,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80,10.6,0.5,2.6,1.8,4.5,22,13837,74.6,18.1,7.1,0.2,5.4
Ada,ID,0.479,0.387,195587,93748,75676,0.504,0.465,259389,130699,120539,43.4526575,-116.2415516,17451,181,435117,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,316189,60151,1294,31642,725,11.8,13.1,43,16.6,25,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15,6.6,0.1,4.3
Adair,IA,0.653,0.3,3759,2456,1127,0.697,0.286,4183,2917,1197,41.33075609,-94.47105874,222,1,7192,3552,3640,1.7,96.6,0.3,0,0.4,0,5572,49477,2633,28861,2055,9.5,12.1,28.2,16.9,20,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680,73.8,15.3,10.4,0.5,3
Adair,KY,0.806,0.161,8231,6637,1323,0.83,0.159,8766,7275,1391,37.10459774,-85.28129668,517,22,19304,9632,9672,1.8,93.4,3.6,0.1,0.1,0,15280,36575,3426,18408,1010,21.5,27.1,28.5,15.9,19.7,12.2,23.8,84.5,9,0,2.6,0.5,3.4,22.2,7988,74.1,15.8,9.9,0.1,6.2
Adair,MO,0.594,0.345,10137,6019,3495,0.618,0.358,10337,6391,3705,40.19058551,-92.60078167,578,0,25437,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,20169,38750,2130,21778,1702,26.2,20.7,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4,2.6,4,17.1,11274,73.6,20.9,5.3,0.2,5.5
Adair,OK,0.735,0.212,6468,4753,1374,0.786,0.195,7108,5585,1387,35.88494195,-94.65859267,855,11,22136,10987,11149,6.4,40.8,0.3,41.7,0.6,0.2,16050,33366,1560,16576,820,30.8,43,23.9,17.6,19.4,14,25.2,84.4,8.5,0.1,2.8,1,3.2,23.1,8130,71.6,20.4,7.5,0.5,5.5
Adams,CO,0.421,0.494,175125,73807,86471,0.404,0.567,234599,94874,132951,39.87432092,-104.3362578,15538,263,487850,245840,242010,39.3,51.1,3,0.5,3.8,0.1,306416,64087,991,27487,366,12.2,16.4,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5,29.2,246450,83.6,11.2,5.1,0.1,5.1
Adams,IA,0.669,0.271,2082,1393,565,0.708,0.273,2158,1528,590,41.02903567,-94.69932645,87,1,3785,1870,1915,1.2,96.8,0.4,0.1,0.6,0,2992,49745,3996,27022,1948,11.2,8.6,37.4,14.3,17,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796,72,12.1,15.5,0.3,4.2
Adams,ID,0.713,0.19,2183,1556,415,0.751,0.229,2586,1941,591,44.89333571,-116.4545247,65,2,3946,2021,1925,3.3,92.7,0.3,1.2,0,0.2,3229,42727,4646,24315,2275,13.8,20.9,33.1,19.4,21.2,13.9,12.5,69,13.1,0.8,4.4,1.8,10.9,24.1,1539,65.4,22,12.5,0,8.7
Adams,IL,0.716,0.24,31770,22732,7633,0.722,0.256,33434,24131,8569,39.98815591,-91.18786813,2223,25,66787,32698,34089,1.5,92,3.9,0.2,0.8,0.1,51303,48454,1689,27256,873,13.1,17.5,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17,32243,83.1,10.6,6.1,0.1,5.5
Adams,IN,0.739,0.215,13039,9642,2802,0.75,0.227,14238,10685,3236,40.7457653,-84.93671406,704,8,35018,17361,17657,4.4,93.7,0.9,0,0.4,0,23929,48290,2581,21534,1130,18.9,29.8,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0,2.6,1.9,4.5,22.8,14954,83.1,8.2,8.1,0.6,5.2
Adams,MS,0.42,0.567,12214,5125,6921,0.426,0.564,12268,5222,6914,31.47669768,-91.35326037,1122,45,31583,15680,15903,8.4,36.9,52.8,0.2,0.6,0,22394,30359,1438,17721,1289,34.2,56.9,30.5,20.6,23.6,13,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190,75.2,18.2,6.4,0.1,10.9
Adams,ND,0.75,0.179,1206,904,216,0.773,0.203,1269,981,258,46.09686891,-102.5285397,91,0,2368,1168,1200,0.5,93,1.6,1.1,2.6,0,1862,54700,10365,35933,4260,9.2,8.8,44.6,10.7,15,17.5,12.2,73.9,9.4,0.6,6,2.9,7.3,17.3,1275,73.7,10.6,15.2,0.5,1.6
Adams,NE,0.699,0.248,13172,9205,3272,0.691,0.289,14602,10085,4213,40.5244942,-98.50117804,922,15,31564,15981,15583,9.4,86.9,0.6,0.1,1.3,0,23151,51721,2585,28085,1682,12.4,18,33.4,19.4,20.4,10.1,16.7,83,9.3,0.7,1.8,1.3,3.9,15.3,15890,78,15.1,6.7,0.1,4.2
Adams,OH,0.763,0.207,11063,8445,2293,0.811,0.179,11905,9660,2130,38.84541072,-83.4718964,270,6,27926,13960,13966,1,96.6,0.4,0.6,0.2,0,21041,36320,2651,20248,1164,23.8,32,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124,79.1,13,7.7,0.2,7.5
Adams,PA,0.663,0.299,47138,31249,14077,0.663,0.322,56627,37563,18250,39.87140411,-77.21610347,1184,31,101589,50055,51534,6.8,89.5,1.4,0,0.7,0,78227,62661,1660,29685,663,8.8,13.9,30.1,16.2,22.1,11,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561,83.4,10.7,5.6,0.2,4.9
Adams,WA,0.671,0.274,4081,2740,1118,0.675,0.306,5109,3449,1562,46.98299757,-118.5601734,935,11,19261,9750,9511,62.3,35.2,0.3,0.4,1,0,8899,48131,5933,18415,867,23.1,31.6,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757,81.2,14.6,3.8,0.3,5.9
Adams,WI,0.592,0.374,10107,5983,3780,0.623,0.366,11818,7362,4329,43.96974651,-89.76782777,587,5,20111,10770,9341,3.8,90.7,2.7,0.6,0.5,0,16837,44003,1500,24874,1297,13,23.3,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6,28.3,7530,80.7,11.9,7.3,0.2,8.1
Addison,VT,0.301,0.638,17592,5297,11217,0.436,0.511,870,379,445,44.03217337,-73.14130877,124,2,36825,18214,18611,2.2,93,0.9,0.3,1.9,0,29510,61875,2338,31051,1033,7.8,9,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872,77.9,10.3,11.5,0.3,4.4
Aiken,SC,0.615,0.34,74773,45981,25426,0.606,0.379,85185,51589,32275,33.54338026,-81.63645384,5140,87,165707,80260,85447,5.5,66.7,24.5,0.2,1,0,124553,47713,1780,26222,719,16.7,26.6,34,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1,0.9,2.9,24.9,70753,78.1,16.4,5,0.4,9
Aitkin,MN,0.601,0.341,9185,5516,3134,0.625,0.36,10010,6258,3607,46.60962049,-93.4116826,232,3,15841,8079,7762,1.3,94.1,0.5,2.2,0.4,0,13155,45860,1405,26883,743,12.1,15.9,30.7,19.9,23.1,13.2,13,79.4,9.1,0.5,4.1,1.5,5.4,26,6274,75.8,15.7,8.4,0.1,6.2
Alachua,FL,0.364,0.59,127827,46584,75370,0.356,0.627,142784,50891,89527,29.67866525,-82.35928158,10706,78,259865,125712,134153,9.3,62,19.8,0.3,5.9,0.1,200490,45478,1546,26431,711,23.3,22,46.1,19.2,23.3,5.3,6.2,74.7,8.8,4.1,3.3,4.6,4.5,21.2,120466,70.2,25.5,4.2,0.1,6.6
Alamance,NC,0.552,0.423,69264,38235,29268,0.537,0.451,84710,45490,38186,36.0434701,-79.39976137,5409,88,157844,75078,82766,12.3,65,18.9,0.3,1.5,0,113344,44281,1192,25157,738,17.6,26.1,33,17.4,23,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906,81,13.2,5.6,0.2,6
Alameda,CA,0.151,0.795,424517,64010,337524,0.176,0.804,750128,131985,602851,37.64629437,-121.8929271,23994,464,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,1056116,85743,940,41363,335,11.3,13,48,16,20.4,6.4,9.2,62,10.1,14.6,3.7,3.6,6,32.5,826310,79.3,13.2,7.3,0.1,6
Alamosa,CO,0.439,0.459,6897,3031,3168,0.489,0.482,7519,3676,3624,37.57250606,-105.7885451,360,9,16345,8085,8260,45.8,48.6,1.6,1.3,1,0.2,11257,36315,4688,19217,1603,27.8,33.8,30.6,22.6,22.3,13.1,11.4,75.8,15.7,0,4.2,1.4,2.9,14.6,6593,73.1,18.2,6.3,2.3,9.9
Albany,NY,0.352,0.595,125644,44227,74775,0.375,0.602,121529,45570,73189,42.60060306,-73.97723916,3750,140,308580,149287,159293,5.7,73,11.7,0.1,6.4,0,238354,62293,1234,35278,565,12.4,15,44.7,17.3,25.1,5.5,7.5,77,7.5,5.9,4.6,1.6,3.5,20.4,158961,71.3,24.5,4.2,0.1,5.3
Albany,WY,0.463,0.419,16420,7601,6888,0.461,0.488,18617,8579,9092,41.65498705,-105.7235415,1562,4,37944,19883,18061,9.3,82.9,1.3,0.7,2.9,0,30057,45816,1840,26034,1146,23,11.8,42.1,20.8,19.2,10.1,7.8,70.1,9.7,2.1,8.8,4.7,4.7,12.7,21115,61.4,32.8,5.7,0.1,4.8
Albemarle,VA,0.343,0.593,56134,19232,33297,0.324,0.661,64284,20804,42466,38.02080697,-78.55481085,1612,24,105105,50283,54822,5.7,77.2,9.5,0.2,5,0,78224,72265,2910,39273,1293,9.8,11,54,15.5,18.7,6.2,5.6,76.9,8.6,1.8,3.4,1.8,7.6,21.9,50689,68,24.5,7.2,0.3,3.2
Alcona,MI,0.68,0.28,6179,4201,1732,0.686,0.303,7063,4848,2142,44.6846864,-83.59507875,55,3,10413,5247,5166,1.4,96,0.3,0.5,0.4,0,8984,39424,1705,24463,1059,14.9,21.7,23.5,20.9,22.9,13.2,19.6,80.8,9.6,0.2,1.8,2.3,5.3,24,3357,78.3,14,7.5,0.2,9.3
Alcorn,MS,0.799,0.182,14781,11817,2684,0.811,0.175,15639,12689,2741,34.88084463,-88.57996173,1130,12,37242,18345,18897,3,83.2,11.7,0,0.3,0,27984,38919,1799,20527,1028,19.6,24.1,29.2,14.9,22.8,10.6,22.5,85.9,10.6,0.3,1,0.5,1.7,22.4,14884,81.1,13.9,5,0.1,8.6
Alexander,IL,0.53,0.448,2820,1496,1262,0.543,0.448,5631,3056,2522,37.18049267,-89.32910838,154,2,6776,3258,3518,1,61.8,34.6,0.6,0.2,0,5100,31014,2759,18564,1678,33.4,59.3,26.8,27.8,25.9,4.9,14.6,87.7,5.8,0.8,1.7,1.4,2.6,27.3,2164,75,20.6,4.4,0,8.2
Alexander,NC,0.768,0.208,18011,13826,3750,0.786,0.204,20120,15806,4113,35.9223796,-81.17751948,975,10,37159,18797,18362,4.6,87,5.9,0.2,1.2,0.1,28548,44523,2886,22655,1043,14.7,23.6,26.8,12.6,20.6,9.4,30.7,84.9,8.9,0,0.8,2.6,2.8,25.6,16393,83.2,10.5,6.2,0.2,6.7
Alexandria city,VA,0.178,0.768,74384,13241,57147,0.178,0.81,81806,14544,66240,,,,,154710,74501,80209,16.7,51.8,21.7,0.1,6.1,0,103194,93370,1553,57019,1089,10.5,17.7,58.5,16,16.1,4.7,4.6,58.2,8.3,21.9,3.5,2.9,5.2,31.8,95344,70.1,25,4.9,0,3.9
Alfalfa,OK,0.856,0.096,2256,1931,216,0.874,0.103,2262,1978,232,36.73090616,-98.32408495,132,0,5877,3502,2375,5,76.2,2.4,1.9,0,0,4597,57432,4840,28007,3779,11.2,16,31.6,15.8,18.9,20,13.8,77.2,11.9,0,4.9,2.5,3.5,18.8,2238,64.7,21.2,13.8,0.3,4.5
Alger,MI,0.573,0.368,4513,2585,1663,0.587,0.4,5135,3014,2053,46.41292944,-86.60260122,121,1,9254,5088,4166,1.4,84.2,7.2,3.3,0.1,0,7779,42647,5475,21771,1475,13,16.6,27.9,23.2,23.1,8.1,17.7,72.9,11.1,2,4.3,1.8,8,21.3,3160,77.1,17.6,5.3,0,6.9
Allamakee,IA,0.596,0.352,6837,4072,2409,0.635,0.345,7459,4733,2575,43.28383218,-91.37860922,431,9,13940,7098,6842,6.1,91.2,0.9,0.1,0.3,0,10379,47895,3365,27377,1746,11.4,15.3,29.8,15.3,17.5,17.5,19.9,74.1,11.1,0.2,5,2.1,7.5,24.3,6881,77.8,10.3,10.8,1.1,3.3
Allegan,MI,0.613,0.325,55153,33812,17932,0.616,0.364,67182,41381,24447,42.59147037,-85.89102866,1503,7,114145,56997,57148,7.2,88.7,1.3,0.5,0.6,0,84358,58487,1264,27172,539,10.8,14.3,30.3,14.7,20.1,12.4,22.5,86,7.6,0.3,1.4,0.7,4.1,23.9,54028,86.3,7.7,5.9,0.2,3.6
Allegany,MD,0.72,0.24,27804,20025,6665,0.694,0.291,29130,20213,8464,39.62357628,-78.69280486,775,24,72591,37892,34699,1.7,87.3,8,0.2,0.8,0,58846,42771,1485,22355,683,16.8,22.9,29.9,23.4,24.8,8.8,13.1,82.5,9.7,0.5,4.4,1.2,1.7,20.9,28738,73.6,22.6,3.7,0,9
Allegany,NY,0.684,0.261,17111,11712,4473,0.734,0.242,17271,12670,4188,42.25748406,-78.02750466,348,8,47400,24013,23387,1.5,94.5,1.4,0.3,1.2,0,37152,45359,1489,22377,581,16.5,25.7,31.4,22.2,19.2,10.5,16.6,75.1,7.8,0.6,12.4,1.3,2.8,21.4,20132,73.6,19.3,6.8,0.3,7.3
Alleghany,NC,0.727,0.249,5214,3789,1300,0.745,0.245,6040,4501,1480,36.49360862,-81.12857041,316,1,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0,8492,38944,2715,21153,1201,21,35.2,29.7,18,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25,4447,70.6,16.9,12.4,0.2,5.7
Alleghany,VA,0.667,0.296,7306,4873,2165,0.715,0.274,8191,5859,2243,37.78636074,-80.00222498,154,4,15489,7586,7903,1.4,91.9,5.5,0,0.1,0.1,12369,46020,4009,25952,1320,19.3,25.7,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225,81.6,12.2,6,0.2,4.4
