Dist Code,REP,Rep Dist,Rep First,Rep Last,Rep Party,URL,Geometry,Repdistnum,Shape Area,Shape Len
ESS10,Daniel H. Cahill (D),10th Essex,Daniel H.,Cahill,(D),http://malegislature.gov/Legislators/Profile/DFC1,Polygon,34,9826900.75147,21703.160093
ESS17,Frank A. Moran (D),17th Essex,Frank A.,Moran,(D),http://malegislature.gov/Legislators/Profile/FAM1,Polygon,41,24003511.7403,33420.8376268
HAMPD04,John C. Velis (D),4th Hampden,John C.,Velis,(D),http://malegislature.gov/Legislators/Profile/JCV1,Polygon,48,122717686.189,46372.0804083
HAMPD05,Aaron Vega (D),5th Hampden,Aaron,Vega,(D),http://malegislature.gov/Legislators/Profile/A_V1,Polygon,49,59138209.2971,39684.2372252
BRIST11,Christopher Hendricks (D),11th Bristol,Christopher,Hendricks,(D),http://malegislature.gov/Legislators/Profile/C_H1,Polygon,21,58306703.0843,47848.7133464
BRIST13,Antonio F. D. Cabral (D),13th Bristol,Antonio F. D.,Cabral,(D),http://malegislature.gov/Legislators/Profile/AFC1,MultiPolygon,23,12714699.4314,29708.6521954
MID04,Danielle W. Gregoire (D),4th Middlesex,Danielle W.,Gregoire,(D),http://malegislature.gov/Legislators/Profile/DWG1,Polygon,63,77240133.5501,67347.2943486
MID05,David Paul Linsky (D),5th Middlesex,David Paul,Linsky,(D),http://malegislature.gov/Legislators/Profile/DPL1,Polygon,64,106172567.79,67825.3717711
MID06,Maria D. Robinson (D),6th Middlesex,Maria D.,Robinson,(D),http://malegislature.gov/Legislators/Profile/MDR1,Polygon,65,54630336.6245,47402.3612783
MID07,Jack Patrick Lewis (D),7th Middlesex,Jack P.,Lewis,(D),http://malegislature.gov/Legislators/Profile/JPL1,Polygon,66,44030715.5609,44895.006094
MID08,Carolyn C. Dykema (D),8th Middlesex,Carolyn C.,Dykema,(D),http://malegislature.gov/Legislators/Profile/CCD1,Polygon,67,176429066.173,81861.5108993
MID09,Thomas M. Stanley (D),9th Middlesex,Thomas M.,Stanley,(D),http://malegislature.gov/Legislators/Profile/TMS1,Polygon,68,64794497.8688,60414.3621098
BARN01,Timothy R. Whelan (R),1st Barnstable,Timothy R.,Whelan,(R),http://malegislature.gov/Legislators/Profile/TRW1,MultiPolygon,1,170956047.431,145829.321691
BARN02,"William L. Crocker, Jr. (R)",2nd Barnstable,William L.,"Crocker, Jr.",(R),http://malegislature.gov/Legislators/Profile/WLC1,MultiPolygon,2,98490394.202,148983.949174
BARN03,David T. Vieira (R),3rd Barnstable,David T.,Vieira,(R),http://malegislature.gov/Legislators/Profile/DTV1,MultiPolygon,3,181279724.812,221319.863982
BARN04,Sarah K. Peake (D),4th Barnstable,Sarah K.,Peake,(D),http://malegislature.gov/Legislators/Profile/SKP1,MultiPolygon,4,339956270.32,430385.165461
BARN05,Randy Hunt (R),5th Barnstable,Randy,Hunt,(R),http://malegislature.gov/Legislators/Profile/R_H1,MultiPolygon,5,234081314.825,166417.67238
BDN,Dylan A. Fernandes (D),"Barnstable, Dukes and Nantucket",Dylan A.,Fernandes,(D),http://malegislature.gov/Legislators/Profile/DAF1,MultiPolygon,6,468486768.229,521109.544214
BERK01,"John P. Barrett, III (D)",1st Berkshire,John P.,"Barrett, III",(D),http://malegislature.gov/Legislators/Profile/J_B1,Polygon,7,606451729.838,145546.613709
BERK02,Paul W. Mark (D),2nd Berkshire,Paul W.,Mark,(D),http://malegislature.gov/Legislators/Profile/PWM1,Polygon,8,1045700207.26,277190.962399
BERK03,Tricia Farley-Bouvier (D),3rd Berkshire,Tricia,Farley-Bouvier,(D),http://malegislature.gov/Legislators/Profile/TFB1,Polygon,9,99865948.4504,43583.1510209
BERK04,William Smitty Pignatelli (D),4th Berkshire,William Smitty,Pignatelli,(D),http://malegislature.gov/Legislators/Profile/WSP1,Polygon,10,1639231612.12,188067.506404
BRIST01,Fred Jay Barrows (R),1st Bristol,Fred Jay,Barrows,(R),http://malegislature.gov/Legislators/Profile/FJB1,Polygon,11,123176995.85,73932.1789521
BRIST02,James K. Hawkins,2nd Bristol,James K.,Hawkins,(D),http://malegislature.gov/Legislators/Profile/JKH1,Polygon,12,62291752.3604,40241.2431199
BRIST03,Shaunna L. O'Connell (R),3rd Bristol,Shaunna L.,O'Connell,(R),http://malegislature.gov/Legislators/Profile/SLO1,Polygon,13,99773685.0008,65176.6795497
BRIST04,Steven S. Howitt (R),4th Bristol,Steven S.,Howitt,(R),http://malegislature.gov/Legislators/Profile/SSH1,Polygon,14,236420710.5,97423.3121574
BRIST05,Patricia A. Haddad (D),5th Bristol,Patricia A.,Haddad,(D),http://malegislature.gov/Legislators/Profile/PAH1,MultiPolygon,15,119292633.365,103915.879614
BRIST06,Carole Fiola (D),6th Bristol,Carole,Fiola,(D),http://malegislature.gov/Legislators/Profile/C_F1,Polygon,16,48190642.3481,63855.4160363
BRIST07,Alan Silvia (D),7th Bristol,Alan,Silvia,(D),http://malegislature.gov/Legislators/Profile/A_S1,Polygon,17,11638975.4753,16856.1322373
BRIST08,"Paul A. Schmid, III (D)",8th Bristol,Paul A.,"Schmid, III",(D),http://malegislature.gov/Legislators/Profile/PAS1,MultiPolygon,18,291017457.944,227358.69355
BRIST14,Elizabeth A. Poirier (R),14th Bristol,Elizabeth A.,Poirier,(R),http://malegislature.gov/Legislators/Profile/EAP1,Polygon,24,77908376.1021,53789.0495092
ESS01,James M. Kelcourse (R),1st Essex,James M.,Kelcourse,(R),http://malegislature.gov/Legislators/Profile/JMK1,MultiPolygon,25,100240890.035,65789.2118594
ESS03,Andres X. Vargas (D),3rd Essex,Andres X.,Vargas,(D),http://malegislature.gov/Legislators/Profile/AXV1,Polygon,27,59148827.7727,50853.1489382
ESS04,Bradford R. Hill (R),4th Essex,Bradford R.,Hill,(R),http://malegislature.gov/Legislators/Profile/BRH1,MultiPolygon,28,248250864.443,207490.451248
ESS05,Ann-Margaret Ferrante (D),5th Essex,Ann-Margaret,Ferrante,(D),http://malegislature.gov/Legislators/Profile/AMF1,MultiPolygon,29,125449066.113,191347.572582
ESS07,Paul F. Tucker (D),7th Essex,Paul F.,Tucker,(D),http://malegislature.gov/Legislators/Profile/PFT1,MultiPolygon,31,21919910.6873,47226.7848168
ESS08,Lori A. Ehrlich (D),8th Essex,Lori A.,Ehrlich,(D),http://malegislature.gov/Legislators/Profile/LAE1,MultiPolygon,32,20329759.7389,44115.8674729
ESS09,Donald H. Wong (R),9th Essex,Donald H.,Wong,(R),http://malegislature.gov/Legislators/Profile/DHW1,Polygon,33,41030067.4944,47337.7920224
ESS13,Theodore C. Speliotis (D),13th Essex,Theodore C.,Speliotis,(D),http://malegislature.gov/Legislators/Profile/TCS1,MultiPolygon,37,69290627.6297,64782.150626
ESS14,Christina A. Minicucci (D),14th Essex,Christina A.,Minicucci,(D),http://malegislature.gov/Legislators/Profile/CAM1,Polygon,38,43837590.6878,55466.4416446
ESS15,Linda Dean Campbell (D),15th Essex,Linda Dean,Campbell,(D),http://malegislature.gov/Legislators/Profile/LDC1,Polygon,39,63939066.6303,69877.0672169
ESS16,Marcos A. Devers (D),16th Essex,Marcos A.,Devers,(D),http://malegislature.gov/Legislators/Profile/M_D1,Polygon,40,9019315.55489,24808.7510067
ESS18,Tram T. Nguyen (D),18th Essex,Tram T.,Nguyen,(D),http://malegislature.gov/Legislators/Profile/TTN1,Polygon,42,152721111.284,88588.3765966
FRANK01,Natalie M. Blais (D),1st Franklin,Natalie M.,Blais,(D),http://malegislature.gov/Legislators/Profile/NMB1,Polygon,43,1323443841.8,218192.723047
FRANK02,Susannah Whipps M. Lee (I),2nd Franklin,Susannah W. M.,Lee,(I),http://malegislature.gov/Legislators/Profile/SLG1,Polygon,44,1057964778.2,227100.818469
HAMPD01,Todd M. Smola (R),1st Hampden,Todd M.,Smola,(R),http://malegislature.gov/Legislators/Profile/TMS2,Polygon,45,510538131.068,141793.148924
HAMPD02,Brian M. Ashe (D),2nd Hampden,Brian M.,Ashe,(D),http://malegislature.gov/Legislators/Profile/BMA1,Polygon,46,219878393.726,87544.7750837
HAMPD03,Nicholas A. Boldyga (R),3rd Hampden,Nicholas A.,Boldyga,(R),http://malegislature.gov/Legislators/Profile/NAG1,Polygon,47,256482285.889,100118.417849
HAMPD06,Michael J. Finn (D),6th Hampden,Michael J.,Finn,(D),http://malegislature.gov/Legislators/Profile/MJF1,Polygon,50,52656697.5464,49489.5704658
HAMPD07,Thomas M. Petrolati (D),7th Hampden,Thomas M.,Petrolati,(D),http://malegislature.gov/Legislators/Profile/TMP1,Polygon,51,197259034.101,107273.893428
BRIST09,Christopher M. Markey (D),9th Bristol,Christopher M.,Markey,(D),http://malegislature.gov/Legislators/Profile/CMM1,MultiPolygon,19,166185427.383,118536.413942
BRIST10,William M. Straus (D),10th Bristol,William M.,Straus,(D),http://malegislature.gov/Legislators/Profile/WMS1,MultiPolygon,20,209771241.671,168711.222862
HAMPS01,Lindsay N. Sabadosa (D),1st Hampshire,Lindsay N.,Sabadosa,(D),http://malegislature.gov/Legislators/Profile/L_S1,Polygon,57,321483483.83,120646.245297
HAMPS02,Daniel R. Carey (D),2nd Hampshire,Daniel R.,Carey,(D),http://malegislature.gov/Legislators/Profile/DRC1,Polygon,58,181646401.829,120026.617371
HAMPS03,Mindy Domb (D),3rd Hampshire,Mindy,Domb,(D),http://malegislature.gov/Legislators/Profile/M_D2,Polygon,59,178309223.748,83946.4386334
MID01,Sheila C. Harrington (R),1st Middlesex,Sheila C.,Harrington,(R),http://malegislature.gov/Legislators/Profile/SCH1,Polygon,60,352182657.704,118103.146179
MID02,James Arciero (D),2nd Middlesex,James,Arciero,(D),http://malegislature.gov/Legislators/Profile/J_A1,Polygon,61,147481780.768,62031.4337884
