,STOP_ID,STOP_NAME,TRACT_ID,income,income_level,route_ids,revenue_annual,impacted_pop,total_employed
0,3077,Gallivan Blvd @ opp Marsh St,100700,87063,2,201,1765.7,500,2277
1,841,Lagrange St @ Virgil Rd,130200,109034,2,"37,38",1273.8,567,2989
2,446,Norfolk St @ Nelson St,100300,51736,2,26,7175.5,753,1938
3,847,Lagrange St opp Virgil St,130200,109034,2,"37,38",0.0,567,2989
4,3079,Adams St @ Minot St,100800,88425,2,"201,19",11835.6,1251,3889
5,8687,Adams St @ Minot St,100800,88425,2,"19,202",2064.0,1251,3889
6,808,Centre St opp Bellevue st,130200,109034,2,"35,37,36,38,27",15221.8,567,2989
7,33076,Gallivan Blvd @ Hallet St,100700,87063,2,201,1322.2,500,2277
8,39870,Montello Commuter Rail Station,510200,73450,2,230,129554.9,227,3375
9,3988,Howard St @ Lisa Dr,510100,79688,2,230,967.5,225,2641
10,3989,S Franklin St @ Howard Ave,421100,70288,2,230,1201.3,502,2534
11,3987,S Franklin St @ Howard Ave,421100,70288,2,230,241.9,502,2534
12,3990,S Franklin St opp Hamilton Way,421100,70288,2,230,282.2,502,2534
13,3986,S Franklin St @ Hamilton Way,421100,70288,2,230,88.7,502,2534
14,3991,S Franklin St @ Woodlawn Ave,421100,70288,2,230,1394.8,502,2534
15,3985,1002 S Franklin St,421100,70288,2,230,40.3,502,2534
16,3984,S Franklin St @ Upland St,421100,70288,2,230,249.9,502,2534
17,3992,S Franklin St @ Emery St,421100,70288,2,230,2297.8,502,2534
18,39941,Holbrook Ct @ Linwood Housing,421100,70288,2,230,927.2,502,2534
19,39942,Holbrook Ct @ Linwood St,421100,70288,2,230,0.0,502,2534
20,3993,S Franklin St @ Francis St,421100,70288,2,230,5659.8,502,2534
21,3994,S Franklin St @ Linwood St,421100,70288,2,230,0.0,502,2534
22,3982,S Franklin St @ South St,421100,70288,2,230,846.6,502,2534
23,3996,S Franklin St @ Diman Ave,421100,70288,2,230,7022.4,502,2534
24,3981,778 S Franklin St,421100,70288,2,230,338.6,502,2534
25,4232,E Main St @ W Main St,457100,69868,2,"238,240",0.0,208,2569
26,3980,716 S Franklin St,421100,70288,2,230,56.4,502,2534
27,3997,Opp 716 S Franklin St,421100,70288,2,230,241.9,502,2534
28,4233,E Main St @ E High St,457100,69868,2,"238,240",1394.7,208,2569
29,3998,S Franklin St opp Laurel Pk,421100,70288,2,230,620.8,502,2534
30,3979,S Franklin St @ Laurel Pk,421100,70288,2,230,80.6,502,2534
31,14233,Main St @ Demarco Park,457100,69868,2,"238,240",11198.7,208,2569
32,4234,40 N Main St,457100,69868,2,"238,240",0.0,208,2569
33,4230,47 N Main St,457100,69868,2,"238,240",0.0,208,2569
34,3999,S Franklin St @ Quincy St,421100,70288,2,230,1427.0,502,2534
35,3978,S Franklin St opp Quincy St,421100,70288,2,230,24.2,502,2534
36,4229,N Main St @ Langley Rd,420302,74141,2,"238,240",362.8,463,4397
37,4235,S Main St @ Acorn Dr,420302,74141,2,"238,240",2813.8,463,4397
38,3977,549 S Franklin St,421100,70288,2,230,16.1,502,2534
39,4000,Opp 549 S Franklin St,421100,70288,2,230,370.9,502,2534
40,4236,702 S Main St,420302,74141,2,"238,240",3426.6,463,4397
