state,date,rep_poll_2020,dem_poll_2020,dem_lead,dem_lead_rolling_7,usa_state_code,usa_state_latitude,usa_state_longitude,dem_lead_rolling_30,called,dem_percent,rep_percent,dem_2020_margin,dem_result_poll_diff,rep_result_poll_diff,dem_lead_result_poll_diff,dem_lead_rolling_7_diff,dem_lead_rolling_30_diff
Alabama,2020-02-27,59.14228000000001,38.22156,-20.920720000000014,-20.920720000000014,AL,32.318231,-86.902298,-20.920720000000014,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.651569787877662,2.88936316686479,-4.5409329547424555,-4.5409329547424555,-4.5409329547424555
Alabama,2020-02-28,59.17695,38.3919,-20.78505,-20.852885000000004,AL,32.318231,-86.902298,-20.852885000000008,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.821909787877665,2.8546931668647986,-4.676602954742471,-4.608767954742465,-4.608767954742461
Alabama,2020-02-29,59.23509,38.38301,-20.852079999999997,-20.852616666666673,AL,32.318231,-86.902298,-20.852616666666673,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8130197878776642,2.796553166864797,-4.609572954742472,-4.609036288075796,-4.609036288075796
Alabama,2020-03-01,59.23509,38.38301,-20.852079999999997,-20.8524825,AL,32.318231,-86.902298,-20.852482500000004,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8130197878776642,2.796553166864797,-4.609572954742472,-4.609170454742468,-4.609170454742465
Alabama,2020-03-02,59.23489,38.38627,-20.84862,-20.85171,AL,32.318231,-86.902298,-20.851710000000004,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8162797878776686,2.7967531668647965,-4.613032954742469,-4.609942954742468,-4.609942954742465
Alabama,2020-03-03,59.23409,38.39524,-20.83885,-20.849566666666664,AL,32.318231,-86.902298,-20.84956666666667,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8252497878776666,2.7975531668647946,-4.622802954742468,-4.612086288075805,-4.612086288075798
Alabama,2020-03-04,59.22991999999999,38.3974,-20.832519999999995,-20.847131428571426,AL,32.318231,-86.902298,-20.84713142857143,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.827409787877663,2.8017231668648037,-4.629132954742474,-4.614521526171043,-4.614521526171039
Alabama,2020-03-05,59.25889,38.37068,-20.88821,-20.84248714285714,AL,32.318231,-86.902298,-20.85226625,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8006897878776655,2.7727531668647956,-4.573442954742468,-4.619165811885328,-4.6093867047424695
Alabama,2020-03-06,59.25857,38.37094,-20.887629999999994,-20.857141428571428,AL,32.318231,-86.902298,-20.856195555555555,R,36.569990212122335,62.0316431668648,-25.46165295474247,-1.8009497878776628,2.7730731668647977,-4.574022954742475,-4.604511526171041,-4.605457399186914
Alabama,2020-03-07,59.14019,38.61198,-20.528210000000012,-20.81087428571428,AL,32.318231,-86.902298,-20.823397,R,36.569990212122335,62.0316431668648,-25.46165295474247,-2.041989787877668,2.8914531668647996,-4.933442954742457,-4.650778669028188,-4.638255954742469
