county,state_code,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,state,cases,deaths,dem_16_margin,dem_20_margin,dem_margin_shift,cases_rate,deaths_rate,men_percent,women_percent
Abbeville,SC,62.86833271,34.61395002,10724,6742,3712,66.07415748,32.98479852,12433,8215,4101,34.22333378,-82.46170658,24788,12044,12744,1.3,68.9,27.6,0.1,0.3,0,19452,35254,2259,19234,799,22.7,32.1,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505,78.8,13.3,7.8,0.1,9.4,South Carolina,808,18,-28.25438269,-33.08935896,-4.834976271,3.259641762,0.072615782,48.58802646,51.41197354
Acadia,LA,77.26210473,20.58716132,27386,21159,5638,79.49340369,19.14863676,28425,22596,5443,30.2950649,-92.41419698,62607,30433,32174,2.4,77.5,17.6,0.1,0.1,0,45197,40492,2544,21591,1002,21.5,27.6,27.6,16.9,25.7,15,14.8,83.2,10.3,0.2,1.6,2.2,2.5,27.6,24982,80,12.1,7.6,0.3,8.9,Louisiana,3291,103,-56.6749434,-60.34476693,-3.669823529,5.2566007,0.164518345,48.6095804,51.3904196
Accomack,VA,54.47159632,42.76102825,15755,8582,6737,54.15043098,44.73963868,16938,9172,7578,37.76707161,-75.63234615,32840,16079,16761,8.8,60.3,28.3,0.3,0.7,0,24408,42260,2253,24266,1564,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80,10.6,0.5,2.6,1.8,4.5,22,13837,74.6,18.1,7.1,0.2,5.4,Virginia,1229,19,-11.71056807,-9.410792301,2.299775772,3.742387333,0.057856273,48.96163216,51.03836784
Ada,ID,47.931611,38.69173309,195587,93748,75676,50.38725621,46.47035919,259389,130699,120539,43.4526575,-116.2415516,435117,217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,316189,60151,1294,31642,725,11.8,13.1,43,16.6,25,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15,6.6,0.1,4.3,Idaho,17828,184,-9.239877906,-3.916897016,5.32298089,4.097288775,0.042287477,50.10123714,49.89876286
Adair,IA,65.33652567,29.98137803,3759,2456,1127,69.73464021,28.61582596,4183,2917,1197,41.33075609,-94.47105874,7192,3552,3640,1.7,96.6,0.3,0,0.4,0,5572,49477,2633,28861,2055,9.5,12.1,28.2,16.9,20,17.3,17.6,77.9,12.4,0.3,2.8,0.4,6.2,22.3,3680,73.8,15.3,10.4,0.5,3,Iowa,250,1,-35.35514765,-41.11881425,-5.763666602,3.476084538,0.013904338,49.38820912,50.61179088
Adair,KY,80.63418783,16.07338112,8231,6637,1323,82.99110198,15.86812685,8766,7275,1391,37.10459774,-85.28129668,19304,9632,9672,1.8,93.4,3.6,0.1,0.1,0,15280,36575,3426,18408,1010,21.5,27.1,28.5,15.9,19.7,12.2,23.8,84.5,9,0,2.6,0.5,3.4,22.2,7988,74.1,15.8,9.9,0.1,6.2,Kentucky,525,22,-64.56080671,-67.12297513,-2.562168425,2.719643597,0.113966017,49.89639453,50.10360547
Adair,MO,59.37654138,34.47765611,10137,6019,3495,61.82644868,35.84212054,10337,6391,3705,40.19058551,-92.60078167,25437,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,20169,38750,2130,21778,1702,26.2,20.7,36.8,18.2,24.1,9.4,11.5,77.3,12.1,0.1,4,2.6,4,17.1,11274,73.6,20.9,5.3,0.2,5.5,Missouri,592,0,-24.89888527,-25.98432814,-1.08544287,2.327318473,0,47.22648111,52.77351889
Adair,OK,73.48484848,21.24304267,6468,4753,1374,78.57343838,19.51322454,7108,5585,1387,35.88494195,-94.65859267,22136,10987,11149,6.4,40.8,0.3,41.7,0.6,0.2,16050,33366,1560,16576,820,30.8,43,23.9,17.6,19.4,14,25.2,84.4,8.5,0.1,2.8,1,3.2,23.1,8130,71.6,20.4,7.5,0.5,5.5,Oklahoma,873,12,-52.24180581,-59.06021384,-6.81840803,3.943801952,0.054210336,49.63408023,50.36591977
Adams,CO,42.14532477,49.37673091,175125,73807,86471,40.4409226,56.67159707,234599,94874,132951,39.87432092,-104.3362578,487850,245840,242010,39.3,51.1,3,0.5,3.8,0.1,306416,64087,991,27487,366,12.2,16.4,29.8,18.9,24.1,13.7,13.5,77.7,11.2,3.8,1.2,1.1,5,29.2,246450,83.6,11.2,5.1,0.1,5.1,Colorado,16234,264,7.231406138,16.23067447,8.999268332,3.327662191,0.054114994,50.39253869,49.60746131
Adams,IA,66.90682037,27.13736792,2082,1393,565,70.80630213,27.34012975,2158,1528,590,41.02903567,-94.69932645,3785,1870,1915,1.2,96.8,0.4,0.1,0.6,0,2992,49745,3996,27022,1948,11.2,8.6,37.4,14.3,17,13.1,18.3,80.7,9.6,0.2,3.3,0.8,5.3,19.6,1796,72,12.1,15.5,0.3,4.2,Iowa,91,1,-39.76945245,-43.46617238,-3.696719932,2.404227213,0.026420079,49.40554822,50.59445178
Adams,ID,71.27805772,19.01053596,2183,1556,415,75.05800464,22.85382831,2586,1941,591,44.89333571,-116.4545247,3946,2021,1925,3.3,92.7,0.3,1.2,0,0.2,3229,42727,4646,24315,2275,13.8,20.9,33.1,19.4,21.2,13.9,12.5,69,13.1,0.8,4.4,1.8,10.9,24.1,1539,65.4,22,12.5,0,8.7,Idaho,71,2,-52.26752176,-52.20417633,0.063345425,1.799290421,0.050684237,51.21642169,48.78357831
Adams,IL,71.55177841,24.02581051,31770,22732,7633,72.17503141,25.62959861,33434,24131,8569,39.98815591,-91.18786813,66787,32698,34089,1.5,92,3.9,0.2,0.8,0.1,51303,48454,1689,27256,873,13.1,17.5,31.8,17.4,26.1,8.9,15.8,82.6,8.6,0.4,2.3,1.5,4.5,17,32243,83.1,10.6,6.1,0.1,5.5,Illinois,2346,26,-47.52596789,-46.54543279,0.980535101,3.512659649,0.038929732,48.95862967,51.04137033
Adams,IN,73.9473886,21.48937802,13039,9642,2802,75.04565248,22.72791122,14238,10685,3236,40.7457653,-84.93671406,35018,17361,17657,4.4,93.7,0.9,0,0.4,0,23929,48290,2581,21534,1130,18.9,29.8,24.2,15.9,19.6,13.9,26.3,74.3,16.7,0,2.6,1.9,4.5,22.8,14954,83.1,8.2,8.1,0.6,5.2,Indiana,744,9,-52.45801058,-52.31774126,0.140269328,2.124621623,0.025701068,49.57736021,50.42263979
Adams,MS,41.96004585,56.66448338,12214,5125,6921,42.56602543,56.35800456,12268,5222,6914,31.47669768,-91.35326037,31583,15680,15903,8.4,36.9,52.8,0.2,0.6,0,22394,30359,1438,17721,1289,34.2,56.9,30.5,20.6,23.6,13,12.3,87.2,6.5,0.7,0.6,1.2,3.7,18.9,10190,75.2,18.2,6.4,0.1,10.9,Mississippi,1137,45,14.70443753,13.79197913,-0.912458398,3.600037995,0.142481715,49.64696197,50.35303803
Adams,ND,74.95854063,17.91044776,1206,904,216,77.30496454,20.33096927,1269,981,258,46.09686891,-102.5285397,2368,1168,1200,0.5,93,1.6,1.1,2.6,0,1862,54700,10365,35933,4260,9.2,8.8,44.6,10.7,15,17.5,12.2,73.9,9.4,0.6,6,2.9,7.3,17.3,1275,73.7,10.6,15.2,0.5,1.6,North Dakota,100,0,-57.04809287,-56.97399527,0.074097597,4.222972973,0,49.32432432,50.67567568
Adams,NE,69.88308533,24.84057091,13172,9205,3272,69.06588139,28.85221203,14602,10085,4213,40.5244942,-98.50117804,31564,15981,15583,9.4,86.9,0.6,0.1,1.3,0,23151,51721,2585,28085,1682,12.4,18,33.4,19.4,20.4,10.1,16.7,83,9.3,0.7,1.8,1.3,3.9,15.3,15890,78,15.1,6.7,0.1,4.2,Nebraska,955,15,-45.04251442,-40.21366936,4.828845064,3.025598783,0.047522494,50.63046509,49.36953491
Adams,OH,76.33553286,20.72674681,11063,8445,2293,81.14237715,17.89164217,11905,9660,2130,38.84541072,-83.4718964,27926,13960,13966,1,96.6,0.4,0.6,0.2,0,21041,36320,2651,20248,1164,23.8,32,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124,79.1,13,7.7,0.2,7.5,Ohio,290,6,-55.60878604,-63.25073499,-7.641948942,1.038458784,0.021485354,49.98925732,50.01074268
Adams,PA,66.29258772,29.86337986,47138,31249,14077,66.33408092,32.22844226,56627,37563,18250,39.87140411,-77.21610347,101589,50055,51534,6.8,89.5,1.4,0,0.7,0,78227,62661,1660,29685,663,8.8,13.9,30.1,16.2,22.1,11,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561,83.4,10.7,5.6,0.2,4.9,Pennsylvania,1229,31,-36.42920786,-34.10563865,2.323569205,1.209776649,0.030515115,49.27206686,50.72793314
Adams,WA,67.14040676,27.39524626,4081,2740,1118,67.50831865,30.57349775,5109,3449,1562,46.98299757,-118.5601734,19261,9750,9511,62.3,35.2,0.3,0.4,1,0,8899,48131,5933,18415,867,23.1,31.6,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757,81.2,14.6,3.8,0.3,5.9,Washington,943,11,-39.7451605,-36.9348209,2.810339596,4.895903639,0.057110223,50.62042469,49.37957531
Adams,WI,59.19659642,37.39982191,10107,5983,3780,62.29480454,36.63056355,11818,7362,4329,43.96974651,-89.76782777,20111,10770,9341,3.8,90.7,2.7,0.6,0.5,0,16837,44003,1500,24874,1297,13,23.3,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6,28.3,7530,80.7,11.9,7.3,0.2,8.1,Wisconsin,654,7,-21.79677451,-25.66424099,-3.867466476,3.251951668,0.034806822,53.55278206,46.44721794
Addison,VT,30.1102774,63.76193724,17592,5297,11217,43.56321839,51.14942529,870,379,445,44.03217337,-73.14130877,36825,18214,18611,2.2,93,0.9,0.3,1.9,0,29510,61875,2338,31051,1033,7.8,9,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872,77.9,10.3,11.5,0.3,4.4,Vermont,125,2,33.65165985,7.586206897,-26.06545295,0.339443313,0.005431093,49.46096402,50.53903598
