state,called,final,dem_2020,rep_2020,other_2020,dem_percent,rep_percent,other_percent,dem_2020_margin,margin_shift,vote_change,state_code,EV,dem_2016,rep_2016,2016 Margin,Total 2016 Votes,Total 2020 Votes,usa_state_latitude,usa_state_longitude
U.S. Total,D,No,81281890,74222108,2884357,51.318097217437476,46.860836454801245,1.82106632776128,4.4572607626362455,2.3578048626362453,15.916665100505671,,,,,2.0994558999999997,136639848,158388355,,
Arizona,D,Yes,1672143,1661686,53497,49.364690614366616,49.05598103046474,1.5793283551686494,0.308709583901873,3.854304183901873,31.640450573515487,AZ,11.0,1161167.0,1252401.0,-3.5455946000000003,2573165,3387326,34.048928000000004,-111.093731
Florida,R,Yes,5297045,5668731,101680,47.861450725442225,51.21981962250403,0.9187296520537328,-3.3583688970618013,-2.159743297061801,17.488430780382117,FL,29.0,4504975.0,4617886.0,-1.1986256000000002,9420039,11067456,27.664827000000002,-81.515754
Georgia,D,Yes,2474507,2461837,62138,49.505169769542036,49.25169281393831,1.2431374165196554,0.2534769556037233,5.384819655603724,22.14140793129072,GA,16.0,1877963.0,2089104.0,-5.1313427,4092373,4998482,32.157435,-82.907123
Iowa,R,Yes,759061,897672,34138,44.891715571442184,53.08932496920226,2.018959459355563,-8.19760939776009,1.2092287022399102,7.971745131482072,IA,6.0,653669.0,800983.0,-9.4068381,1566031,1690871,41.878003,-93.097702
Maine 2nd District,R,Yes,168696,196692,10961,44.824351864891355,52.26319187775177,2.9124562573568684,-7.4388400128604015,2.849318987139597,6.488953527853861,ME2,1.0,,,-10.288159,353416,376349,,
Michigan,D,Yes,2804040,2649852,85410,50.62081829082437,47.83729069113762,1.5418910180380128,2.783527599686749,3.006560899686749,15.419341718473008,MI,16.0,2268839.0,2279543.0,-0.2230333,4799284,5539302,44.314844,-85.602364
Minnesota,D,Yes,1717049,1484048,76023,52.39506029684601,45.285128405429155,2.3198112977248315,7.109931891416843,5.589801391416842,11.284485636269606,MN,10.0,1367716.0,1322951.0,1.5201305,2944813,3277120,46.729553,-94.6859
Nebraska 2nd District,D,Yes,176468,154377,6909,52.24749373804604,45.7069346328985,2.0455716290554657,6.540559105147537,8.780685305147538,15.796077893582009,NE2,1.0,,,-2.2401262,291680,337754,,
Nevada,D,Yes,703486,669890,32000,50.056781957284024,47.6662473245594,2.2769707181565644,2.3905346327246164,-0.026593767275383318,24.879574545599947,NV,6.0,539260.0,512058.0,2.4171284,1125385,1405376,38.802609999999994,-116.419389
