state,state_code,date,cases,positive,probableCases,negative,totalTestResults,death,hospitalized,total,positive_rate,positive_negative_ratio,positive_delta,negative_delta,totalTestResults_delta,death_delta,positive_rate_delta,positive_negative_ratio_delta
Alabama,AL,2020-03-07,0,0.0,,,0.0,,,0,,,,,,,,
Alabama,AL,2020-03-08,0,0.0,,,0.0,,,0,,,0.0,,0.0,,,
Alabama,AL,2020-03-09,0,0.0,,,0.0,,,0,,,0.0,,0.0,,,
Alabama,AL,2020-03-10,0,0.0,,0.0,0.0,,,0,,,0.0,,0.0,,,
Alabama,AL,2020-03-11,3,0.0,,10.0,10.0,,,10,0.0,0.0,0.0,10.0,10.0,,0.0,0.0
Alabama,AL,2020-03-12,4,0.0,,10.0,10.0,,,10,0.0,0.0,0.0,0.0,0.0,,,
Alabama,AL,2020-03-13,8,1.0,,11.0,12.0,,,12,8.333333332999999,9.090909091,1.0,1.0,2.0,,50.0,100.0
Alabama,AL,2020-03-14,15,6.0,,22.0,28.0,,,74,21.42857143,27.27272727,5.0,11.0,16.0,,31.25,45.45454545454545
Alabama,AL,2020-03-15,28,12.0,,28.0,40.0,0.0,,86,30.0,42.85714286,6.0,6.0,12.0,,50.0,100.0
Alabama,AL,2020-03-16,36,28.0,,28.0,56.0,0.0,,96,50.0,100.0,16.0,0.0,16.0,0.0,100.0,
Alabama,AL,2020-03-17,51,36.0,,28.0,64.0,0.0,,64,56.25,128.5714286,8.0,0.0,8.0,0.0,100.0,
Alabama,AL,2020-03-18,61,46.0,,28.0,74.0,0.0,,74,62.16216216,164.28571430000005,10.0,0.0,10.0,0.0,100.0,
Alabama,AL,2020-03-19,88,68.0,,28.0,96.0,0.0,,96,70.83333333,242.8571429,22.0,0.0,22.0,0.0,100.0,
Alabama,AL,2020-03-20,115,81.0,,28.0,109.0,0.0,,109,74.31192661,289.2857143,13.0,0.0,13.0,0.0,100.0,
Alabama,AL,2020-03-21,149,124.0,,28.0,152.0,0.0,,152,81.57894737,442.85714289999993,43.0,0.0,43.0,0.0,100.0,
Alabama,AL,2020-03-22,180,138.0,,1464.0,1602.0,0.0,,1602,8.61423221,9.426229507999999,14.0,1436.0,1450.0,0.0,0.9655172413793104,0.9749303621169917
Alabama,AL,2020-03-23,224,167.0,,1665.0,1832.0,0.0,,1832,9.115720524,10.03003003,29.0,201.0,230.0,0.0,12.608695652173912,14.427860696517413
Alabama,AL,2020-03-24,298,215.0,,2106.0,2321.0,0.0,,2321,9.2632486,10.20892688,48.0,441.0,489.0,0.0,9.815950920245399,10.884353741496598
Alabama,AL,2020-03-25,472,283.0,,2529.0,2812.0,0.0,,2812,10.06401138,11.19019375,68.0,423.0,491.0,0.0,13.849287169042771,16.07565011820331
Alabama,AL,2020-03-26,574,506.0,,3593.0,4099.0,1.0,,4099,12.34447426,14.08293905,223.0,1064.0,1287.0,1.0,17.327117327117328,20.958646616541355
Alabama,AL,2020-03-27,684,587.0,,4184.0,4771.0,3.0,,4771,12.30350031,14.02963671,81.0,591.0,672.0,2.0,12.053571428571429,13.705583756345177
Alabama,AL,2020-03-28,801,696.0,,4184.0,4880.0,3.0,,4880,14.26229508,16.63479924,109.0,0.0,109.0,0.0,100.0,
Alabama,AL,2020-03-29,880,806.0,,4184.0,4990.0,4.0,,4990,16.15230461,19.26386233,110.0,0.0,110.0,1.0,100.0,
Alabama,AL,2020-03-30,1001,859.0,,5694.0,6553.0,6.0,,6553,13.10849992,15.0860555,53.0,1510.0,1563.0,2.0,3.3909149072296865,3.5099337748344372
Alabama,AL,2020-03-31,1063,981.0,,6298.0,7279.0,13.0,,7279,13.47712598,15.57637345,122.0,604.0,726.0,7.0,16.804407713498623,20.198675496688743
Alabama,AL,2020-04-01,1175,1077.0,,6697.0,7774.0,26.0,,7774,13.85387188,16.08182768,96.0,399.0,495.0,13.0,19.393939393939394,24.06015037593985
Alabama,AL,2020-04-02,1371,1233.0,,7503.0,8736.0,32.0,,8736,14.11401099,16.43342663,156.0,806.0,962.0,6.0,16.216216216216218,19.35483870967742
Alabama,AL,2020-04-03,1606,1432.0,,8187.0,9619.0,35.0,,9619,14.88720241,17.4911445,199.0,684.0,883.0,3.0,22.536806342015854,29.093567251461987
Alabama,AL,2020-04-04,1727,1580.0,,9273.0,10853.0,43.0,212.0,10853,14.55818668,17.03871455,148.0,1086.0,1234.0,8.0,11.9935170178282,13.627992633517497
Alabama,AL,2020-04-05,1905,1796.0,,11282.0,13078.0,45.0,231.0,13078,13.7329867,15.91916327,216.0,2009.0,2225.0,2.0,9.707865168539326,10.751617720258835
Alabama,AL,2020-04-06,2079,1968.0,,12797.0,14765.0,50.0,240.0,14765,13.32881815,15.37860436,172.0,1515.0,1687.0,5.0,10.195613515115589,11.353135313531352
Alabama,AL,2020-04-07,2308,2119.0,,12797.0,14916.0,56.0,271.0,14916,14.20622151,16.55856841,151.0,0.0,151.0,6.0,100.0,
Alabama,AL,2020-04-08,2614,2369.0,,16753.0,19122.0,66.0,314.0,19122,12.38887146,14.14075091,250.0,3956.0,4206.0,10.0,5.943889681407513,6.319514661274014
Alabama,AL,2020-04-09,2954,2769.0,,18058.0,20827.0,74.0,333.0,20827,13.29524175,15.33392402,400.0,1305.0,1705.0,8.0,23.46041055718475,30.65134099616858
Alabama,AL,2020-04-10,3112,2968.0,,18058.0,21026.0,80.0,368.0,21026,14.11585656,16.43592867,199.0,0.0,199.0,6.0,100.0,
Alabama,AL,2020-04-11,3346,3191.0,,18058.0,21249.0,91.0,402.0,21249,15.01717728,17.67083841,223.0,0.0,223.0,11.0,100.0,
Alabama,AL,2020-04-12,3667,3525.0,,18058.0,21583.0,93.0,437.0,21583,16.33229857,19.52043416,334.0,0.0,334.0,2.0,100.0,
Alabama,AL,2020-04-13,3870,3734.0,,25448.0,29182.0,99.0,457.0,29182,12.79555891,14.67305879,209.0,7390.0,7599.0,6.0,2.750361889722332,2.828146143437077
Alabama,AL,2020-04-14,4041,3876.0,,29241.0,33117.0,110.0,493.0,33117,11.70395869,13.25536062,142.0,3793.0,3935.0,11.0,3.60864040660737,3.7437384655945163
Alabama,AL,2020-04-15,4307,4113.0,,29964.0,34077.0,121.0,525.0,34077,12.06972445,13.72647177,237.0,723.0,960.0,11.0,24.6875,32.780082987551864
Alabama,AL,2020-04-16,4465,4345.0,,32046.0,36391.0,133.0,553.0,36391,11.93976533,13.55863446,232.0,2082.0,2314.0,12.0,10.025929127052722,11.143131604226705
Alabama,AL,2020-04-17,4557,4530.0,,33318.0,37848.0,144.0,594.0,37848,11.96892834,13.59625428,185.0,1272.0,1457.0,11.0,12.69732326698696,14.544025157232705
Alabama,AL,2020-04-18,4788,4655.0,,37883.0,42538.0,146.0,620.0,42538,10.94315671,12.28783359,125.0,4565.0,4690.0,2.0,2.6652452025586353,2.7382256297918945
Alabama,AL,2020-04-19,4978,4837.0,,40875.0,45712.0,154.0,641.0,45712,10.58146657,11.83363914,182.0,2992.0,3174.0,8.0,5.73408947700063,6.0828877005347595
Alabama,AL,2020-04-20,5163,5025.0,,40875.0,45900.0,167.0,641.0,45900,10.94771242,12.29357798,188.0,0.0,188.0,13.0,100.0,
Alabama,AL,2020-04-21,5404,5231.0,,43295.0,48526.0,177.0,699.0,48526,10.77978815,12.08222659,206.0,2420.0,2626.0,10.0,7.844630616907845,8.512396694214877
Alabama,AL,2020-04-22,5692,5465.0,,43295.0,48760.0,194.0,730.0,48760,11.20795734,12.6227047,234.0,0.0,234.0,17.0,100.0,
Alabama,AL,2020-04-23,5899,5778.0,,46863.0,52641.0,197.0,768.0,52641,10.97623525,12.32955637,313.0,3568.0,3881.0,3.0,8.064931718629218,8.772421524663677
Alabama,AL,2020-04-24,6092,5832.0,,46863.0,52695.0,197.0,768.0,52695,11.06746371,12.44478587,54.0,0.0,54.0,0.0,100.0,
Alabama,AL,2020-04-25,6274,6137.0,,65207.0,71344.0,212.0,839.0,71344,8.60198475,9.411566243,305.0,18344.0,18649.0,15.0,1.6354764330527107,1.6626689925861318
Alabama,AL,2020-04-26,6475,6270.0,,67281.0,73551.0,216.0,845.0,73551,8.524697149,9.31912427,133.0,2074.0,2207.0,4.0,6.026280018124151,6.412729026036644
Alabama,AL,2020-04-27,6621,6499.0,,67498.0,73997.0,222.0,872.0,73997,8.782788491,9.628433435,229.0,217.0,446.0,6.0,51.34529147982063,105.52995391705069
Alabama,AL,2020-04-28,6820,6687.0,,69140.0,75827.0,242.0,911.0,75827,8.81875849,9.671680647999999,188.0,1642.0,1830.0,20.0,10.273224043715846,11.449451887941535
Alabama,AL,2020-04-29,6979,6842.0,,73607.0,80449.0,245.0,945.0,80449,8.504766995,9.295311587,155.0,4467.0,4622.0,3.0,3.353526611856339,3.46989030669353
Alabama,AL,2020-04-30,7187,7019.0,,80177.0,87196.0,269.0,978.0,87196,8.049681178,8.754380932,177.0,6570.0,6747.0,24.0,2.6233881725211203,2.6940639269406392
Alabama,AL,2020-05-01,7440,7158.0,,84775.0,91933.0,279.0,1008.0,91933,7.786105097999999,8.443526983,139.0,4598.0,4737.0,10.0,2.9343466328900147,3.023053501522401
Alabama,AL,2020-05-02,7700,7434.0,,84775.0,92209.0,288.0,1023.0,92209,8.06211975,8.769094662,276.0,0.0,276.0,9.0,100.0,
Alabama,AL,2020-05-03,7977,7725.0,,84775.0,92500.0,290.0,1035.0,92500,8.351351351,9.112356237,291.0,0.0,291.0,2.0,100.0,
Alabama,AL,2020-05-04,8203,8025.0,,95092.0,103117.0,296.0,1064.0,103117,7.782421909,8.439195726,300.0,10317.0,10617.0,6.0,2.8256569652444194,2.9078220412910727
Alabama,AL,2020-05-05,8520,8285.0,,98481.0,106766.0,313.0,1107.0,106766,7.759961036,8.412790284,260.0,3389.0,3649.0,17.0,7.12523979172376,7.671879610504575
Alabama,AL,2020-05-06,8769,8581.0,,100935.0,109516.0,340.0,1158.0,109516,7.835384783999999,8.501510872999999,296.0,2454.0,2750.0,27.0,10.763636363636364,12.061939690301548
Alabama,AL,2020-05-07,9115,8898.0,,106275.0,115173.0,349.0,1178.0,115173,7.72576906,8.372618207,317.0,5340.0,5657.0,9.0,5.603676860526781,5.936329588014981
Alabama,AL,2020-05-08,9437,9221.0,,110893.0,120114.0,375.0,1207.0,120114,7.676873637000001,8.315222782000001,323.0,4618.0,4941.0,26.0,6.537138231127303,6.994369857080987
Alabama,AL,2020-05-09,9720,9567.0,,115927.0,125494.0,388.0,1228.0,125494,7.623472039,8.252607244,346.0,5034.0,5380.0,13.0,6.431226765799257,6.87326181962654
Alabama,AL,2020-05-10,9982,9777.0,,117644.0,127421.0,393.0,1240.0,127421,7.672989539,8.310666077,210.0,1717.0,1927.0,5.0,10.897768552153607,12.2306348281887
Alabama,AL,2020-05-11,10262,10009.0,,119435.0,129444.0,401.0,1256.0,129444,7.732301227000001,8.380290535,232.0,1791.0,2023.0,8.0,11.468116658428078,12.953657174762704
Alabama,AL,2020-05-12,10566,10310.0,,122908.0,133218.0,429.0,1287.0,133218,7.739194403,8.388388062999999,301.0,3473.0,3774.0,28.0,7.975622681505035,8.666858623668299
Alabama,AL,2020-05-13,10822,10617.0,,125755.0,133218.0,449.0,1317.0,136372,7.969643742000001,8.442606656,307.0,2847.0,0.0,20.0,,10.783280646294346
Alabama,AL,2020-05-14,11161,10968.0,,131017.0,136372.0,467.0,1350.0,141985,8.042706714,8.371432715,351.0,5262.0,3154.0,18.0,11.1287254280279,6.670467502850627
Alabama,AL,2020-05-15,11494,11216.0,,134847.0,146063.0,476.0,1377.0,146063,7.678878292,8.317574732999999,248.0,3830.0,9691.0,9.0,2.5590754308120935,6.475195822454308
Alabama,AL,2020-05-16,11828,11523.0,,141971.0,153494.0,485.0,1387.0,153494,7.507133829,8.116446317000001,307.0,7124.0,7431.0,9.0,4.131341676759521,4.309376754632229
Alabama,AL,2020-05-17,12137,11771.0,,144579.0,156350.0,488.0,1392.0,156350,7.528621682000001,8.141569661,248.0,2608.0,2856.0,3.0,8.683473389355742,9.509202453987731
Alabama,AL,2020-05-18,12438,12086.0,,145037.0,157123.0,489.0,1416.0,157123,7.692062906,8.33304605,315.0,458.0,773.0,1.0,40.7503234152652,68.77729257641921
Alabama,AL,2020-05-19,12825,12376.0,,145190.0,157566.0,504.0,1453.0,157566,7.854486373999999,8.524003031,290.0,153.0,443.0,15.0,65.46275395033861,189.5424836601307
Alabama,AL,2020-05-20,13186,12744.0,,151706.0,164450.0,517.0,1493.0,164450,7.749467922999999,8.400458782000001,368.0,6516.0,6884.0,13.0,5.345729227193492,5.647636586863106
Alabama,AL,2020-05-21,13590,13119.0,,157620.0,170739.0,529.0,1528.0,170739,7.683657512000001,8.323182337,375.0,5914.0,6289.0,12.0,5.962792176816664,6.340886033141698
Alabama,AL,2020-05-22,13954,13563.0,,164205.0,177768.0,537.0,1561.0,177768,7.629607128,8.259797205,444.0,6585.0,7029.0,8.0,6.316688006828852,6.74259681093394
Alabama,AL,2020-05-23,14328,13938.0,,168738.0,182676.0,546.0,1589.0,182676,7.629902122000001,8.260142943,375.0,4533.0,4908.0,9.0,7.640586797066015,8.272667107875579
Alabama,AL,2020-05-24,14676,14327.0,,171472.0,185799.0,551.0,1612.0,185799,7.71102105,8.355299991,389.0,2734.0,3123.0,5.0,12.455971821966058,14.228237015362108
Alabama,AL,2020-05-25,15309,14730.0,,175585.0,190315.0,562.0,1629.0,190315,7.7397998060000015,8.389099297000001,403.0,4113.0,4516.0,11.0,8.923826395039857,9.798200826647216
Alabama,AL,2020-05-26,15899,15396.0,,178363.0,193759.0,575.0,1671.0,193759,7.945953478,8.631835078,666.0,2778.0,3444.0,13.0,19.337979094076655,23.974082073434126
Alabama,AL,2020-05-27,16263,15843.0,,179951.0,195794.0,581.0,1719.0,195794,8.091667773,8.804063328,447.0,1588.0,2035.0,6.0,21.965601965601966,28.148614609571787
Alabama,AL,2020-05-28,16749,16310.0,,184171.0,200481.0,590.0,1765.0,200481,8.135434281,8.855900222999999,467.0,4220.0,4687.0,9.0,9.963729464476211,11.066350710900474
Alabama,AL,2020-05-29,17262,16823.0,,192060.0,208883.0,605.0,1800.0,208883,8.053790878,8.759241904,513.0,7889.0,8402.0,15.0,6.105689121637705,6.502725313727975
Alabama,AL,2020-05-30,17689,17359.0,,194842.0,212201.0,618.0,1826.0,212201,8.180451553,8.909270075,536.0,2782.0,3318.0,13.0,16.154309825195902,19.266714593817397
Alabama,AL,2020-05-31,18200,17903.0,289.0,199650.0,221307.0,631.0,1844.0,217553,8.089667295,8.967192587000001,544.0,4808.0,9106.0,13.0,5.9740830221831756,11.314475873544092
Alabama,AL,2020-06-01,18525,18363.0,288.0,205160.0,223235.0,646.0,1856.0,223523,8.22586064,8.950575161,460.0,5510.0,1928.0,15.0,23.858921161825727,8.348457350272232
Alabama,AL,2020-06-02,18734,18642.0,288.0,205160.0,223802.0,651.0,1879.0,223802,8.329684274,9.086566582,279.0,0.0,567.0,5.0,49.2063492063492,
Alabama,AL,2020-06-03,18954,18851.0,297.0,212743.0,231297.0,653.0,1900.0,231594,8.150127325,8.860926094,209.0,7583.0,7495.0,2.0,2.7885256837891927,2.7561651061585124
Alabama,AL,2020-06-04,19262,19072.0,306.0,216227.0,235299.0,653.0,1929.0,235299,8.105431812,8.820360085,221.0,3484.0,4002.0,0.0,5.52223888055972,6.343283582089552
Alabama,AL,2020-06-05,19910,19387.0,314.0,220086.0,239159.0,676.0,1949.0,239473,8.106322572,8.808829276,315.0,3859.0,3860.0,23.0,8.160621761658032,8.162736460222856
Alabama,AL,2020-06-06,20355,20043.0,334.0,225601.0,245310.0,689.0,1993.0,245644,8.17047817,8.88426913,656.0,5515.0,6151.0,13.0,10.664932531295724,11.894832275611968
Alabama,AL,2020-06-07,20777,20500.0,334.0,239066.0,259232.0,692.0,2022.0,259566,7.907974323999999,8.575037856,457.0,13465.0,13922.0,3.0,3.282574342766844,3.3939844040103972
Alabama,AL,2020-06-08,21268,20925.0,335.0,239066.0,259232.0,718.0,2054.0,259991,8.071920132999999,8.752813031,425.0,0.0,0.0,26.0,,
Alabama,AL,2020-06-09,21834,21422.0,351.0,246317.0,267388.0,729.0,2087.0,267739,8.01157868,8.696923071,497.0,7251.0,8156.0,11.0,6.093673369298676,6.854227003171977
Alabama,AL,2020-06-10,22659,21989.0,363.0,251068.0,272694.0,744.0,2129.0,273057,8.063617095,8.758185034,567.0,4751.0,5306.0,15.0,10.686015831134563,11.934329614817933
Alabama,AL,2020-06-11,23370,22845.0,371.0,255981.0,278455.0,755.0,2165.0,278826,8.204198165,8.92449049,856.0,4913.0,5761.0,11.0,14.85853150494706,17.423163036841032
Alabama,AL,2020-06-12,24405,23710.0,377.0,262675.0,286008.0,769.0,2202.0,286385,8.289977902999999,9.026363377000001,865.0,6694.0,7553.0,14.0,11.452403018668079,12.922019719151479
Alabama,AL,2020-06-13,25364,24601.0,380.0,268651.0,292872.0,773.0,2241.0,293252,8.399915321,9.157233734,891.0,5976.0,6864.0,4.0,12.980769230769232,14.909638554216867
Alabama,AL,2020-06-14,26182,25615.0,380.0,271840.0,297075.0,773.0,2255.0,297455,8.62240175,9.422822248,1014.0,3189.0,4203.0,0.0,24.12562455389008,31.796801505174038
Alabama,AL,2020-06-15,26485,26272.0,380.0,276402.0,302294.0,774.0,2259.0,302674,8.690877093,9.504996346,657.0,4562.0,5219.0,1.0,12.588618509292967,14.401578255151248
Alabama,AL,2020-06-16,27034,26912.0,388.0,278512.0,305036.0,785.0,2315.0,305424,8.822565205,9.662779342,640.0,2110.0,2742.0,11.0,23.340627279358134,30.33175355450237
Alabama,AL,2020-06-17,27941,27312.0,398.0,283411.0,310325.0,790.0,2352.0,310723,8.801095626,9.636887771,400.0,4899.0,5289.0,5.0,7.562866326337682,8.164931618697693
Alabama,AL,2020-06-18,28676,28206.0,410.0,294328.0,322124.0,810.0,2373.0,322534,8.756255355,9.583186105,894.0,10917.0,11799.0,20.0,7.5769132977370965,8.189062929376203
Alabama,AL,2020-06-19,29225,29002.0,419.0,302323.0,330906.0,822.0,2416.0,331325,8.764422525,9.593051141,796.0,7995.0,8782.0,12.0,9.063994534274652,9.956222639149468
Alabama,AL,2020-06-20,29683,29549.0,423.0,309974.0,339100.0,838.0,2443.0,339523,8.713948688,9.532735004,547.0,7651.0,8194.0,16.0,6.675616304613132,7.149392236308979
Alabama,AL,2020-06-21,30122,30021.0,423.0,314657.0,344255.0,839.0,2460.0,344678,8.720570507,9.540865132999999,472.0,4683.0,5155.0,1.0,9.15615906886518,10.079009182148194
Alabama,AL,2020-06-22,30771,30454.0,423.0,318656.0,348687.0,841.0,2471.0,349110,8.733907487,9.557014461,433.0,3999.0,4432.0,2.0,9.76985559566787,10.827706926731683
Alabama,AL,2020-06-23,31889,31097.0,427.0,322941.0,353611.0,864.0,2521.0,354038,8.79412688,9.629313094,643.0,4285.0,4924.0,23.0,13.058489033306255,15.005834305717618
Alabama,AL,2020-06-24,32878,32064.0,440.0,326695.0,358319.0,891.0,2567.0,358759,8.948450961,9.814658932999999,967.0,3754.0,4708.0,27.0,20.53950722175021,25.759190197123065
