race,black,cape verdean,afro latino,afro latina,haitian,african american,west indian,african-american,caribbean,jamaican,african,dominican,indian,hispanic,afro,asian,chinese,korean,japanese,asian american,arab,minority,non-white,latina,latino,immigrant,racism,racist,racial
crime,police,officer,shot,shooting,murder,killed,hurt,kill,stab,shoot,stabbing,hit,prison,dead,died,stabbed,shot,murdered,assault,assaulted,arrested,criminal,criminals,charged,illegal,convict,convicted,fought,gang
education,school,district,psychology,student,university,college,educated,higher education,learn,educator,teacher,district,elementary,tought,teach,class,classes,halls,exam,test,educate,grades,testing,exams,students,kids,high school,middle school,elementary school
sports,soccer,football,player,athlete,coach,team,basketball,baseball,running,volleyball,swimming,hockey,field,turf,court,softball,wrestling,lacrosse,gymnastics,rowing,golf,compete,score,win,lose,tie,game,red sox,league
politics,government,president,election,vote,voted,speaker,elect,congress,congress,congressional,president,supreme,court,justice,parliament,representative,representatives,represent,equality,debate,constitution,constitutional,national,federal,trump,obama,republican,democrat,democratic
culture,arts,music,fun,entertainment,movie,play,art,creative,design,tradition,band,perform,artist,food,gathering,religion,god,cultural,traditions,writing,books,book,literature,ideology,social,media,news,society,societal

