,Neighborhood,Topic,Frequency
228,Roxbury,Crime,3
229,West Roxbury,Crime,3
230,South End,Crime,6
231,Fenway,Crime,0
232,Brighton,Crime,0
233,East Boston,Crime,0
234,Dorchester,Crime,0
235,Dorchester,Crime,1
236,Fenway,Crime,0
237,Downtown,Crime,0
238,Dorchester,Crime,0
239,Dorchester,Crime,0
240,Beacon Hill,Crime,0
241,South Boston,Crime,0
242,Dorchester,Crime,0
243,Roxbury,Crime,10
244,Dorchester,Crime,10
245,Downtown,Crime,0
246,Roxbury,Crime,4
247,West Roxbury,Crime,4
248,East Boston,Crime,0
249,South Boston,Crime,0
250,Dorchester,Crime,0
251,Mattapan,Crime,0
252,Beacon Hill,Crime,0
253,South Boston,Crime,0
254,Jamaica Plain,Crime,0
255,Downtown,Crime,0
256,Fenway,Crime,11
257,Downtown,Crime,11
258,East Boston,Crime,11
259,Dorchester,Crime,11
260,Beacon Hill,Crime,0
261,Downtown,Crime,0
262,Beacon Hill,Crime,0
263,South End,Crime,0
264,Beacon Hill,Crime,0
265,Allston,Crime,0
266,Fenway,Crime,1
267,East Boston,Crime,1
268,South Boston,Crime,1
269,South End,Crime,1
270,Roxbury,Crime,1
271,Jamaica Plain,Crime,1
272,Hyde Park,Crime,1
273,South Boston,Crime,0
274,Fenway,Crime,1
275,Dorchester,Crime,0
276,Mattapan,Crime,0
277,Fenway,Crime,0
278,Dorchester,Crime,0
279,East Boston,Crime,0
280,Roxbury,Crime,4
281,Dorchester,Crime,4
282,Roxbury,Crime,5
283,West Roxbury,Crime,5
284,Beacon Hill,Crime,0
285,Downtown,Crime,1
286,Beacon Hill,Crime,1
287,Back Bay,Crime,0
288,Beacon Hill,Crime,4
289,East Boston,Crime,9
290,Downtown,Crime,0
291,Fenway,Crime,1
292,Dorchester,Crime,0
293,Roxbury,Crime,0
294,West Roxbury,Crime,0
295,Downtown,Crime,8
296,Mission Hill,Crime,0
297,Dorchester,Crime,0
298,Fenway,Crime,0
299,Fenway,Crime,0
300,Brighton,Crime,0
301,Dorchester,Crime,0
302,Mattapan,Crime,0
303,Dorchester,Crime,3
304,South Boston,Crime,0
305,Downtown,Crime,0
306,Beacon Hill,Crime,0
307,Brighton,Crime,4
308,Dorchester,Crime,5
309,Brighton,Crime,2
310,Dorchester,Crime,3
311,South Boston,Crime,2
312,Beacon Hill,Crime,1
313,Dorchester,Crime,0
314,Fenway,Crime,0
315,East Boston,Crime,0
316,Fenway,Crime,0
317,Mattapan,Crime,0
318,Fenway,Crime,0
319,Roxbury,Crime,0
320,Roxbury,Crime,27
321,Dorchester,Crime,27
322,Mattapan,Crime,27
323,Fenway,Crime,0
324,Fenway,Crime,0
325,Beacon Hill,Crime,0
326,Dorchester,Crime,3
327,South Boston,Crime,1
328,Dorchester,Crime,1
329,Beacon Hill,Crime,0
330,Harbor Islands,Crime,0
331,Mattapan,Crime,5
332,Beacon Hill,Crime,0
333,Fenway,Crime,0
334,Roxbury,Crime,0
335,Dorchester,Crime,0
336,Brighton,Crime,1
337,Dorchester,Crime,17
338,Mattapan,Crime,17
339,Fenway,Crime,0
340,Fenway,Crime,0
341,Beacon Hill,Crime,0
342,Jamaica Plain,Crime,2
343,Dorchester,Crime,2
344,East Boston,Crime,0
345,Hyde Park,Crime,0
346,Beacon Hill,Crime,16
347,Downtown,Crime,2
348,Beacon Hill,Crime,0
349,Dorchester,Crime,10
350,Charlestown,Crime,1
351,South Boston,Crime,1
352,Fenway,Crime,0
353,Roxbury,Crime,1
354,West Roxbury,Crime,1
355,East Boston,Crime,0
356,Dorchester,Crime,0
357,Fenway,Crime,0
358,Beacon Hill,Crime,0
359,Dorchester,Crime,0
360,Roxbury,Crime,3
361,Hyde Park,Crime,3
362,Fenway,Crime,0
363,Brighton,Crime,0
364,East Boston,Crime,0
365,Roxbury,Crime,0
366,Beacon Hill,Crime,0
367,Beacon Hill,Crime,0
368,Beacon Hill,Crime,1
369,Beacon Hill,Crime,0
370,Charlestown,Crime,2
371,Roxbury,Crime,2
372,East Boston,Crime,0
373,Downtown,Crime,2
374,Roxbury,Crime,9
375,Dorchester,Crime,0
376,Roxbury,Crime,11
377,Dorchester,Crime,11
378,Mattapan,Crime,11
379,Roxbury,Crime,4
380,Hyde Park,Crime,4
381,Beacon Hill,Crime,0
382,Downtown,Crime,1
383,Dorchester,Crime,0
384,Mattapan,Crime,0
385,Roxbury,Crime,1
386,Roxbury,Crime,10
387,Mattapan,Crime,10
388,Dorchester,Crime,3
389,South End,Crime,2
390,Roxbury,Crime,2
391,Dorchester,Crime,2
392,Beacon Hill,Crime,4
393,Dorchester,Crime,10
394,Mattapan,Crime,10
395,Roslindale,Crime,1
396,Beacon Hill,Crime,11
397,South Boston,Crime,0
398,Beacon Hill,Crime,0
399,Brighton,Crime,1
400,Hyde Park,Crime,0
401,Fenway,Crime,0
402,Downtown,Crime,0
403,Jamaica Plain,Crime,11
404,Dorchester,Crime,11
405,Roxbury,Crime,6
406,Dorchester,Crime,6
407,Downtown,Crime,0
408,Longwood Medical Area,Crime,0
409,Beacon Hill,Crime,0
410,Brighton,Crime,0
411,Fenway,Crime,0
412,Fenway,Crime,1
413,South Boston,Crime,0
414,Roxbury,Crime,3
415,West Roxbury,Crime,3
416,Dorchester,Crime,0
417,Roxbury,Crime,1
418,East Boston,Crime,0
419,South Boston,Crime,0
420,South Boston Waterfront,Crime,0
421,Charlestown,Crime,0
422,Dorchester,Crime,9
423,Beacon Hill,Crime,0
424,Beacon Hill,Crime,0
425,Allston,Crime,0
426,Beacon Hill,Crime,0
427,East Boston,Crime,0
428,Beacon Hill,Crime,0
429,North End,Crime,4
430,Back Bay,Crime,0
431,Fenway,Crime,1
432,South End,Crime,1
433,Roxbury,Crime,1
434,Dorchester,Crime,1
435,Dorchester,Crime,6
436,Roxbury,Crime,0
437,West Roxbury,Crime,0
438,Beacon Hill,Crime,1
439,Beacon Hill,Crime,1
440,Jamaica Plain,Crime,1
441,Roxbury,Crime,2
442,North End,Crime,0
443,Fenway,Crime,0
444,Dorchester,Crime,7
445,Beacon Hill,Crime,0
446,Beacon Hill,Crime,0
447,Roxbury,Crime,17
448,Brighton,Crime,0
449,Allston,Crime,0
450,Back Bay,Crime,0
451,Beacon Hill,Crime,0
452,North End,Crime,0
453,Downtown,Crime,0
454,Charlestown,Crime,0
455,East Boston,Crime,0
456,South Boston,Crime,0
457,South End,Crime,0
458,Roxbury,Crime,0
459,Fenway,Crime,0
460,South End,Crime,2
461,Hyde Park,Crime,2
462,North End,Crime,0
463,East Boston,Crime,0
464,South Boston,Crime,0
465,Dorchester,Crime,0
466,Fenway,Crime,0
467,Downtown,Crime,11
468,Dorchester,Crime,1
469,Allston,Crime,0
470,East Boston,Crime,1
471,South Boston,Crime,0
472,Fenway,Crime,0
473,Dorchester,Crime,2
474,Dorchester,Crime,0
475,Roxbury,Crime,9
476,Beacon Hill,Crime,1
477,Dorchester,Crime,1
478,Beacon Hill,Crime,1
479,Mattapan,Crime,1
480,Beacon Hill,Crime,0
481,Beacon Hill,Crime,8
482,Downtown,Crime,0
483,Roxbury,Crime,5
484,Jamaica Plain,Crime,5
485,Fenway,Crime,0
486,Fenway,Crime,0
487,South End,Crime,0
488,Roxbury,Crime,0
489,Dorchester,Crime,0
490,Mattapan,Crime,0
491,Beacon Hill,Crime,0
492,Beacon Hill,Crime,1
493,East Boston,Crime,1
494,Dorchester,Crime,0
495,Brighton,Crime,0
496,Allston,Crime,0
497,Jamaica Plain,Crime,10
498,South Boston,Crime,0
499,Back Bay,Crime,1
500,East Boston,Crime,1
501,Fenway,Crime,0
502,Roxbury,Crime,5
503,Dorchester,Crime,5
504,Charlestown,Crime,0
505,Back Bay,Crime,0
506,Dorchester,Crime,3
507,Mattapan,Crime,3
508,Roxbury,Crime,1
509,Beacon Hill,Crime,1
510,Dorchester,Crime,2
511,Allston,Crime,2
512,Roxbury,Crime,2
513,Fenway,Crime,0
514,Fenway,Crime,0
515,Roxbury,Crime,0
516,Dorchester,Crime,9
517,Fenway,Crime,0
518,Beacon Hill,Crime,0
519,Roxbury,Crime,0
520,Dorchester,Crime,0
521,Beacon Hill,Crime,6
522,Beacon Hill,Crime,1
523,Fenway,Crime,0
524,Beacon Hill,Crime,1
525,Downtown,Crime,1
526,Roxbury,Crime,1
527,Charlestown,Crime,0
528,East Boston,Crime,0
529,South Boston,Crime,0
530,Roxbury,Crime,3
531,Mission Hill,Crime,3
532,West Roxbury,Crime,3
533,Beacon Hill,Crime,0
534,South End,Crime,8
535,South Boston,Crime,4
536,South Boston Waterfront,Crime,4
537,Downtown,Crime,2
538,East Boston,Crime,1
539,Roxbury,Crime,1
540,Jamaica Plain,Crime,1
541,Dorchester,Crime,1
542,Mattapan,Crime,1
543,South Boston,Crime,2
544,South End,Crime,2
545,Roxbury,Crime,2
546,Jamaica Plain,Crime,2
547,Roslindale,Crime,2
548,South Boston,Crime,0
549,North End,Crime,0
550,East Boston,Crime,0
551,Mattapan,Crime,0
552,Fenway,Crime,0
553,South Boston,Crime,0
554,Roxbury,Crime,0
555,Dorchester,Crime,0
556,Back Bay,Crime,0
557,Beacon Hill,Crime,1
558,Back Bay,Crime,1
559,South Boston,Crime,1
560,South Boston,Crime,0
561,Charlestown,Crime,0
562,South End,Crime,5
563,Mattapan,Crime,5
564,Back Bay,Crime,2
565,South Boston,Crime,2
566,Roxbury,Crime,2
567,South End,Crime,1
568,Beacon Hill,Crime,0
569,Allston,Crime,0
570,East Boston,Crime,0
571,Beacon Hill,Crime,0
572,Downtown,Crime,16
573,Dorchester,Crime,1
574,Charlestown,Crime,0
575,East Boston,Crime,0
576,Fenway,Crime,0
577,Back Bay,Crime,0
578,Beacon Hill,Crime,0
579,Downtown,Crime,1
580,Roxbury,Crime,1
581,Mattapan,Crime,1
582,South Boston,Crime,0
583,South Boston,Crime,0
584,Charlestown,Crime,0
585,Mission Hill,Crime,19
586,South End,Crime,2
587,Fenway,Crime,0
588,Roxbury,Crime,0
589,South Boston,Crime,2
590,Dorchester,Crime,2
591,Beacon Hill,Crime,0
592,Roxbury,Crime,0
593,Dorchester,Crime,0
594,Brighton,Crime,0
595,Downtown,Crime,0
596,Downtown,Crime,0
597,Harbor Islands,Crime,0
598,Fenway,Crime,2
599,Downtown,Crime,0
600,North End,Crime,0
601,Downtown,Crime,0
602,Downtown,Crime,0
603,Brighton,Crime,7
604,Allston,Crime,7
605,Fenway,Crime,7
606,Longwood Medical Area,Crime,7
607,Back Bay,Crime,7
608,Beacon Hill,Crime,7
609,North End,Crime,7
610,Downtown,Crime,7
611,Charlestown,Crime,7
612,East Boston,Crime,7
613,South Boston,Crime,7
614,South End,Crime,7
615,Roxbury,Crime,7
616,Mission Hill,Crime,7
617,Jamaica Plain,Crime,7
618,Dorchester,Crime,7
619,Mattapan,Crime,7
620,Roslindale,Crime,7
621,West Roxbury,Crime,7
622,Hyde Park,Crime,7
623,East Boston,Crime,1
624,North End,Crime,0
625,South Boston,Crime,1
626,South End,Crime,0
627,Beacon Hill,Crime,0
628,Dorchester,Crime,19
629,Downtown,Crime,2
630,South End,Crime,2
631,Dorchester,Crime,2
632,Fenway,Crime,0
633,Beacon Hill,Crime,3
634,Beacon Hill,Crime,0
635,East Boston,Crime,3
636,Dorchester,Crime,0
637,Mission Hill,Crime,8
638,Fenway,Crime,0
639,Downtown,Crime,17
640,East Boston,Crime,0
641,North End,Crime,0
642,Charlestown,Crime,0
643,East Boston,Crime,0
644,Roxbury,Crime,1
645,Fenway,Crime,0
646,Fenway,Crime,0
647,Roxbury,Crime,0
648,Dorchester,Crime,0
649,East Boston,Crime,5
650,Longwood Medical Area,Crime,0
651,Mattapan,Crime,0
652,Downtown,Crime,0
653,Charlestown,Crime,0
654,East Boston,Crime,0
655,South Boston,Crime,0
656,Roxbury,Crime,0
657,Dorchester,Crime,0
658,Roxbury,Crime,3
659,Jamaica Plain,Crime,3
660,South End,Crime,0
661,Jamaica Plain,Crime,6
662,Allston,Crime,0
663,Downtown,Crime,0
664,Dorchester,Crime,0
665,South Boston,Crime,7
666,Mission Hill,Crime,7
667,Jamaica Plain,Crime,7
668,Dorchester,Crime,7
669,Dorchester,Crime,2
670,Dorchester,Crime,0
671,Mattapan,Crime,0
672,South Boston,Crime,1
673,Beacon Hill,Crime,2
674,South Boston,Crime,2
675,Brighton,Crime,15
676,Dorchester,Crime,15
677,Beacon Hill,Crime,0
678,Jamaica Plain,Crime,0
679,North End,Crime,0
680,Downtown,Crime,0
681,Roxbury,Crime,0
682,West Roxbury,Crime,0
683,Charlestown,Crime,0
684,South Boston,Crime,0
685,Roxbury,Crime,0
686,Dorchester,Crime,0
687,Allston,Crime,0
688,Fenway,Crime,0
689,East Boston,Crime,0
690,South End,Crime,0
691,Roxbury,Crime,0
692,Dorchester,Crime,0
693,Roxbury,Crime,0
694,Beacon Hill,Crime,0
695,South Boston,Crime,0
696,Fenway,Crime,0
697,West End,Crime,0
698,South Boston,Crime,14
699,Jamaica Plain,Crime,10
700,Charlestown,Crime,0
701,South Boston,Crime,0
702,South Boston Waterfront,Crime,0
703,South End,Crime,0
704,Back Bay,Crime,0
705,Roxbury,Crime,3
706,Fenway,Crime,0
707,Beacon Hill,Crime,1
708,Fenway,Crime,0
709,South Boston,Crime,0
710,South End,Crime,0
711,Roxbury,Crime,0
712,Dorchester,Crime,0
713,Dorchester,Crime,13
714,Roxbury,Crime,1
715,Dorchester,Crime,1
716,Mattapan,Crime,1
717,Downtown,Crime,0
718,Allston,Crime,0
719,Back Bay,Crime,2
720,South Boston,Crime,2
721,Dorchester,Crime,6
722,Back Bay,Crime,3
723,Downtown,Crime,3
724,Dorchester,Crime,7
