,Neighborhood,Topic,Frequency
0,Fenway,Crime,0
1,Downtown,Crime,0
2,Dorchester,Crime,0
3,Roslindale,Crime,3
4,Jamaica Plain,Crime,0
5,Dorchester,Crime,0
6,Mattapan,Crime,0
7,Roslindale,Crime,0
8,Harbor Islands,Crime,0
9,Downtown,Crime,1
10,Roxbury,Crime,2
11,Dorchester,Crime,2
12,Mattapan,Crime,2
13,Dorchester,Crime,7
14,Roxbury,Crime,0
15,Dorchester,Crime,0
16,Mattapan,Crime,0
17,Roxbury,Crime,0
18,Jamaica Plain,Crime,0
19,Downtown,Crime,1
20,Roxbury,Crime,0
21,Dorchester,Crime,0
22,Mattapan,Crime,0
23,Hyde Park,Crime,0
24,Fenway,Crime,2
25,Downtown,Crime,0
26,Beacon Hill,Crime,0
27,East Boston,Crime,0
28,Beacon Hill,Crime,0
29,Roxbury,Crime,0
30,Dorchester,Crime,0
31,Mattapan,Crime,0
32,Roxbury,Crime,14
33,Dorchester,Crime,14
34,Mattapan,Crime,14
35,Back Bay,Crime,2
36,Roxbury,Crime,2
37,Dorchester,Crime,2
38,Mattapan,Crime,2
39,West Roxbury,Crime,2
40,Dorchester,Crime,0
41,North End,Crime,0
42,Beacon Hill,Crime,0
43,Roxbury,Crime,0
44,Downtown,Crime,0
45,Downtown,Crime,0
46,Beacon Hill,Crime,0
47,Dorchester,Crime,0
48,Mattapan,Crime,0
49,South End,Crime,0
50,South End,Crime,0
51,Dorchester,Crime,0
52,Roxbury,Crime,0
53,Dorchester,Crime,0
54,Mattapan,Crime,0
55,Downtown,Crime,0
56,Roxbury,Crime,0
57,Roxbury,Crime,0
58,Fenway,Crime,0
59,Dorchester,Crime,0
60,Roxbury,Crime,0
61,Jamaica Plain,Crime,0
62,South Boston,Crime,1
63,Fenway,Crime,0
64,South Boston,Crime,7
65,South Boston,Crime,3
66,Fenway,Crime,0
67,Charlestown,Crime,0
68,Brighton,Crime,0
69,Fenway,Crime,0
70,South Boston,Crime,0
71,Mattapan,Crime,0
72,Harbor Islands,Crime,0
73,Fenway,Crime,0
74,Downtown,Crime,1
75,Beacon Hill,Crime,1
76,South Boston,Crime,1
77,Fenway,Crime,0
78,Roxbury,Crime,0
79,Dorchester,Crime,0
80,Mattapan,Crime,0
81,Downtown,Crime,0
82,Dorchester,Crime,0
83,Back Bay,Crime,0
84,East Boston,Crime,0
85,South Boston,Crime,0
86,South End,Crime,0
87,Dorchester,Crime,0
88,South Boston,Crime,0
89,South End,Crime,0
90,South Boston,Crime,0
91,Roxbury,Crime,0
92,Dorchester,Crime,0
93,Mattapan,Crime,0
94,Fenway,Crime,0
95,Beacon Hill,Crime,8
96,Roxbury,Crime,1
97,Dorchester,Crime,1
98,Mattapan,Crime,1
99,South End,Crime,0
100,Mattapan,Crime,0
101,Charlestown,Crime,0
102,Roxbury,Crime,0
103,Jamaica Plain,Crime,0
104,Dorchester,Crime,0
105,Back Bay,Crime,3
106,Mattapan,Crime,3
107,Brighton,Crime,0
108,Roxbury,Crime,0
109,Mattapan,Crime,0
110,Downtown,Crime,2
111,South End,Crime,6
112,Roslindale,Crime,2
113,Roxbury,Crime,0
114,East Boston,Crime,0
115,South Boston,Crime,0
116,Roxbury,Crime,0
117,Jamaica Plain,Crime,0
118,Roxbury,Crime,0
119,Jamaica Plain,Crime,0
120,Downtown,Crime,0
121,Roxbury,Crime,2
122,Dorchester,Crime,2
123,Mattapan,Crime,2
124,Roxbury,Crime,1
125,Dorchester,Crime,1
126,Mattapan,Crime,1
127,Jamaica Plain,Crime,0
128,Dorchester,Crime,0
129,Fenway,Crime,0
130,Downtown,Crime,1
131,Dorchester,Crime,1
132,Fenway,Crime,1
133,Back Bay,Crime,1
134,Dorchester,Crime,0
135,Roxbury,Crime,0
136,Roxbury,Crime,2
137,Downtown,Crime,0
138,Roxbury,Crime,0
139,Dorchester,Crime,0
140,Mattapan,Crime,0
