"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1290364,"December 31, 2018",Massachusetts,Boston,"Harrison Ave and Oxford Pl",0,0,N/A
1289461,"December 31, 2018",Massachusetts,Boston,"1439 Dorchester Ave",0,1,N/A
1288350,"December 30, 2018",Massachusetts,Boston,"Centre St and Wainwright St",0,1,N/A
1287636,"December 28, 2018",Massachusetts,Boston,"Fairmount St and Capen St",0,0,N/A
1286571,"December 28, 2018",Massachusetts,Boston,"Parkman St and Dorchester Ave",0,0,N/A
1287817,"December 28, 2018",Massachusetts,Boston,"67 Ceylon St",0,0,N/A
1287629,"December 27, 2018",Massachusetts,Boston,"782 Dorchester Ave",0,0,N/A
1285813,"December 27, 2018",Massachusetts,Boston,"7 Dyer St",1,2,N/A
1286544,"December 27, 2018",Massachusetts,Boston,"1575 Blue Hill Ave",0,0,N/A
1286564,"December 26, 2018",Massachusetts,Boston,"90 Ames St",0,0,N/A
1284243,"December 24, 2018",Massachusetts,Boston,"200 block of Corona St",0,0,N/A
1284232,"December 24, 2018",Massachusetts,Boston,"2 Garfield Ave",0,1,N/A
1283222,"December 23, 2018",Massachusetts,Boston,"Washington St",0,1,N/A
1283166,"December 22, 2018",Massachusetts,Boston,"41 Blue Hill Ave",0,0,N/A
1283246,"December 21, 2018",Massachusetts,Boston,"Bickford St and Parker St",0,0,N/A
1283228,"December 21, 2018",Massachusetts,Boston,"Bernard St",0,0,N/A
1283226,"December 21, 2018",Massachusetts,Boston,"457 Old Colony Ave",0,1,N/A
1282105,"December 21, 2018",Massachusetts,Boston,"198 Blue Hill Ave",1,0,N/A
1281578,"December 19, 2018",Massachusetts,Boston,"28 Supple Rd",0,0,N/A
1280792,"December 19, 2018",Massachusetts,Boston,"500 block of Talbot Ave",0,0,N/A
1279636,"December 17, 2018",Massachusetts,Boston,"Columbia Rd and Washington St",0,0,N/A
1279638,"December 17, 2018",Massachusetts,Boston,"9 Astoria St",0,0,N/A
1277690,"December 15, 2018",Massachusetts,Boston,"50 Bennington St",0,0,N/A
1277701,"December 14, 2018",Massachusetts,Boston,"Corona St",0,1,N/A
1276314,"December 12, 2018",Massachusetts,Boston,"27 Gayland St",0,0,N/A
1274194,"December 10, 2018",Massachusetts,Boston,"155 Savannah Ave",1,0,N/A
1272063,"December 6, 2018",Massachusetts,Boston,"277 Centre St",0,0,N/A
1271079,"December 5, 2018",Massachusetts,Boston,"3347 Washington St",0,0,N/A
1283194,"December 4, 2018",Massachusetts,Boston,"100 block of Humboldt Ave",0,0,N/A
1270265,"December 3, 2018",Massachusetts,Boston,"2201 Washington St",0,0,N/A
1267573,"December 1, 2018",Massachusetts,Boston,"Allerton St and Rustfield St",0,0,N/A
1268181,"December 1, 2018",Massachusetts,Boston,"98 Heath St",0,1,N/A
1267582,"November 30, 2018",Massachusetts,Boston,"Lenox St and Tremont St",0,0,N/A
1266966,"November 30, 2018",Massachusetts,Boston,"Talbot Ave and Norfolk St",1,0,N/A
1268919,"November 30, 2018",Massachusetts,Boston,"Bowdoin St",0,0,N/A
1278195,"November 29, 2018",Massachusetts,Boston,"2875 Washington St",0,0,N/A
1266875,"November 29, 2018",Massachusetts,Boston,"164 Waldemar Ave",0,0,N/A
1266454,"November 29, 2018",Massachusetts,Boston,"58 Annunciation Rd",0,0,N/A
1270282,"November 28, 2018",Massachusetts,Boston,"168 W Springfield St",0,0,N/A
1278208,"November 28, 2018",Massachusetts,Boston,"58 Adams St",0,0,N/A
1270408,"November 28, 2018",Massachusetts,Boston,"Adams St and Dorchester Ave",0,0,N/A
1278138,"November 27, 2018",Massachusetts,Boston,"15-39 Dabney St",0,0,N/A
1321083,"November 26, 2018",Massachusetts,Boston,N/A,0,0,N/A
1263844,"November 26, 2018",Massachusetts,Boston,"407 Dudley St",0,0,N/A
1262999,"November 25, 2018",Massachusetts,Boston,"Blue Hill Ave and American Legion Hwy",0,0,N/A
1262993,"November 25, 2018",Massachusetts,Boston,"41 Gordon St",0,0,N/A
1262268,"November 24, 2018",Massachusetts,Boston,"Westminster Ave",0,1,N/A
1261519,"November 23, 2018",Massachusetts,Boston,"Draper St",0,0,N/A
1260670,"November 22, 2018",Massachusetts,Boston,"6 Hoffman St",1,0,N/A
1260618,"November 21, 2018",Massachusetts,Boston,"12 Kingsdale St",0,0,N/A
1259918,"November 20, 2018",Massachusetts,Boston,"1800 Centre St",0,0,N/A
1258717,"November 19, 2018",Massachusetts,Boston,"81 Faneuil St",0,0,N/A
1259866,"November 19, 2018",Massachusetts,Boston,"57 Warren St",0,3,N/A
1258748,"November 19, 2018",Massachusetts,Boston,"60 Bickford St",2,0,N/A
1259900,"November 19, 2018",Massachusetts,Boston,"417 Washington St",0,0,N/A
