,index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,improve_value
4,133,14327,M_141021_927092,973,973,15,Athol,2nd Franklin District,0.0,0.0,0,1600,1000.462971,0,0,LIBERTY ST,ATHOL,MA,1331,50732.0,42.59215697,-72.21858808,5.0,40.0,0.0
16,229,24168,M_150332_909035,973,973,21,Barre,5th Worcester District,0.0,0.0,0,43400,275686.5492,0,0,RUGGLES LANE,BARRE,MA,1005,68139.0,42.43025434,-72.1035921,0.0,15.0,0.0
18,231,24289,M_150195_908945,973,973,21,Barre,5th Worcester District,0.0,0.0,0,37500,114732.7331,0,0,RUGGLES LANE,BARRE,MA,1005,68139.0,42.42943539,-72.10524918,0.0,23.0,0.0
20,278,30393,M_72087_892191,973,973,22,Becket,4th Berkshire District,0.0,0.0,0,36400,542005.5545,0,0,MAIN STREET,PITTSFIELD,MA,1201,75852.0,42.26972575,-73.05060062,0.0,7.0,0.0
27,482,55659,F_356083_2878980,973,973,61,Chicopee,6th Hampden District,0.0,0.0,0,4200,10673.58379,0,0,STONINA DR,CHICOPEE,MA,01013-1896,48125.0,42.14272204,-72.60652681,0.0,73.0,0.0
28,483,55682,F_356147_2879035,973,973,61,Chicopee,6th Hampden District,0.0,0.0,0,3400,7822.863775,0,0,NONOTUCK AVE,CHICOPEE,MA,01013-1896,48125.0,42.14287523,-72.60629348,0.0,73.0,0.0
31,505,62132,F_351260_2887923,973,973,61,Chicopee,8th Hampden District,0.0,0.0,0,98200,175114.1206,0,312,CHICOPEE ST,CHICOPEE,MA,01013-1830,35133.0,42.16708788,-72.62474388,0.0,34.0,0.0
34,515,66780,F_354888_2894240,973,973,61,Chicopee,8th Hampden District,0.0,0.0,0,44300,7295.455167,0,0,CHICOPEE ST,CHICOPEE,MA,01013-1896,32500.0,42.18455171,-72.61166607,0.0,45.0,0.0
37,536,81437,F_798033_2695251,970,970,72,Dartmouth,9th Bristol District,0.0,0.0,0,54200,12856.761279999999,0,0,KINGSTON ST,N DARTMOUTH,MA,2747,72672.0,41.64268265,-70.98098263,7.0,48.0,0.0
112,1321,147945,F_649017_2874610,970,970,185,Milford,10th Worcester District,21300.0,0.0,0,21300,8897.189795,0,0,OLIVER ST,MILFORD,MA,1757,71758.0,42.13606848,-71.52636014,4.0,73.0,0.0
