,index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,improve_value
1381,9113,1372939,M_224204_918614,970,970,48,Burlington,21st Middlesex District,257000.0,114700.0,0,371700,19409.46332,960,12,NELSON RD,BURLINGTON,MA,1803,135436.0,42.51769548,-71.20545431,10.0,60.0,114700.0
1382,9114,1375070,M_223848_920677,970,970,48,Burlington,21st Middlesex District,258100.0,161100.0,1000,420200,18964.47118,1574,35,GEDICK RD,BURLINGTON,MA,1803,135436.0,42.53627832,-71.20970111,0.0,5.0,162100.0
1383,9123,1385802,M_246978_955401,970,970,7,Amesbury,1st Essex District,1046000.0,2967800.0,0,4013800,300909.3077,3000,32,MACY ST,AMESBURY,MA,1913,70063.0,42.84780275,-70.92530081,5.0,45.0,2967800.0
1384,9125,1386210,M_246443_956046,970,970,7,Amesbury,1st Essex District,2680000.0,5930900.0,104000,8820000,102386.0607,81192,180,MAIN ST,AMESBURY,MA,1913,70063.0,42.85364083,-70.9317929,16.0,72.0,6034900.0
1385,9126,1386240,M_246444_955991,970,970,7,Amesbury,1st Essex District,207800.0,413700.0,0,621500,11847.126240000001,7164,180,MAIN ST,AMESBURY,MA,1913,70063.0,42.853145700000006,-70.93178515,14.0,72.0,413700.0
1386,9127,1386561,M_246701_958236,970,970,7,Amesbury,1st Essex District,286000.0,685400.0,23300,994700,51383.469580000004,14995,209,MARKET ST,AMESBURY,MA,1913,72685.0,42.87333798,-70.92845696,0.0,24.0,708700.0
1387,9128,1387051,M_246052_956448,970,970,7,Amesbury,1st Essex District,660000.0,1020200.0,0,1680200,33166.89646,1944,26,SUMMER ST,AMESBURY,MA,1913,78577.0,42.85728268,-70.93654397,10.0,68.0,1020200.0
1388,9129,1387065,M_245992_956328,970,970,7,Amesbury,1st Essex District,163700.0,252600.0,0,416300,21647.02984,5700,26,SUMMER ST,AMESBURY,MA,1913,78577.0,42.85620609,-70.93728774,11.0,64.0,252600.0
1389,9130,1387066,M_246022_956370,970,970,7,Amesbury,1st Essex District,206500.0,714300.0,0,920800,93063.73711,5700,26,SUMMER ST,AMESBURY,MA,1913,78577.0,42.85658236,-70.93691731,8.0,70.0,714300.0
1392,9133,1389186,M_246579_956035,970,970,7,Amesbury,1st Essex District,112400.0,339700.0,2200,454300,10959.54605,5170,28,FIELD ST,AMESBURY,MA,1913,70063.0,42.85353364,-70.93012996,0.0,72.0,341900.0
1393,9134,1389222,M_246487_956058,970,970,7,Amesbury,1st Essex District,155500.0,467800.0,0,623300,31731.150339999997,3124,0,HERITAGE VALE,AMESBURY,MA,1913,70063.0,42.8537462,-70.93125362,18.0,72.0,467800.0
1394,9138,1390722,M_245967_956313,970,970,7,Amesbury,1st Essex District,157900.0,308700.0,0,466600,17685.08322,5776,26,SUMMER ST,AMESBURY,MA,1913,78577.0,42.85607256,-70.93759482,9.0,64.0,308700.0
