,index,mapc_id,parloc_id,luc_adj_1,luc_adj_2,muni_id,muni,District,land_value,bldg_value,othr_value,total_value,lot_areaft,bldg_area,addr_num,addr_str,owner_city,owner_stat,owner_zip,median_hh_income,latitude,longitude,numTransitStops,walkscore,improve_value
1290,8561,1261337,F_781057_2859810,970,970,44,Brockton,11th Plymouth District,475320.0,6701980.0,0,7177300,83471.6663,81325,140,COLONEL BELL DR,BROCKTON,MA,2301,30553.0,42.09453320000001,-71.03984009999999,0.0,38.0,6701980.0
1291,8563,1261426,F_786848_2860070,970,970,44,Brockton,10th Plymouth District,120800.0,438760.0,0,559560,19000.52897,0,11,SNOW AV,BROCKTON,MA,2301,36671.0,42.09515896,-71.01849812,0.0,75.0,438760.0
1292,8564,1263088,F_786542_2861714,970,970,44,Brockton,10th Plymouth District,261220.0,531940.0,0,793160,41583.19833,22288,629,N MAIN ST,BROCKTON,MA,2301,50762.0,42.09967506,-71.01959146,0.0,67.0,531940.0
1293,8565,1263336,F_786020_2862063,970,970,44,Brockton,9th Plymouth District,132600.0,158960.0,0,291560,13271.82565,5301,678,N MAIN ST,BROCKTON,MA,2301,50762.0,42.10064082,-71.02150767,0.0,69.0,158960.0
1294,8566,1263534,F_783654_2861965,970,970,44,Brockton,9th Plymouth District,1259620.0,7258950.0,0,8518570,236658.5691,60518,10,KENNEDY DR,BROCKTON,MA,2301,50762.0,42.10040799,-71.03022788,0.0,62.0,7258950.0
1295,8567,1263555,F_788694_2862315,970,970,44,Brockton,10th Plymouth District,70100.0,126010.0,0,196110,9000.588619,0,224,AMES ST,BROCKTON,MA,2301,73450.0,42.10129076,-71.01164923,0.0,45.0,126010.0
1297,8569,1264728,F_787510_2863847,970,970,44,Brockton,10th Plymouth District,2070540.0,1301060.0,0,3371600,107984.9816,70518,0,NORTH AV,BROCKTON,MA,2301,73450.0,42.1055133,-71.01598003,0.0,56.0,1301060.0
1298,8571,1265647,F_783903_2865032,970,970,44,Brockton,11th Plymouth District,2271950.0,1601550.0,0,3873500,227418.4154,61761,963,N MAIN ST,BROCKTON,MA,2301,54493.0,42.1088205,-71.029248,0.0,64.0,1601550.0
1299,8572,1265732,F_784011_2865328,970,970,44,Brockton,11th Plymouth District,243400.0,211630.0,0,455030,37006.59689,8379,40,CLIFFORD AV,BROCKTON,MA,2301,54493.0,42.10963113,-71.02884396,0.0,64.0,211630.0
1300,8578,1268051,F_783747_2860172,970,970,44,Brockton,9th Plymouth District,2170200.0,4197500.0,0,6367700,437458.0574,117952,152,ARTHUR PAQUIN WY,BROCKTON,MA,2301,30553.0,42.09548633,-71.02992161,0.0,46.0,4197500.0
1301,8581,1268107,F_785308_2852780,973,973,44,Brockton,9th Plymouth District,71200.0,141850.0,0,213050,10290.041070000001,0,108,HARVARD ST,BROCKTON,MA,2301,50088.0,42.07517784,-71.02432201,0.0,77.0,141850.0
1302,8582,1268108,F_785210_2852770,973,973,44,Brockton,9th Plymouth District,70600.0,198530.0,0,269130,9127.157849,0,116,HARVARD ST,BROCKTON,MA,2301,50088.0,42.07515189,-71.02468318,0.0,77.0,198530.0
1303,8583,1268109,F_785248_2852716,973,973,44,Brockton,9th Plymouth District,70300.0,205140.0,0,275440,8206.430345,0,36,S FULLER ST,BROCKTON,MA,2301,50088.0,42.07500313,-71.02454432,0.0,77.0,205140.0
1304,8607,1269383,F_877895_2834490,970,970,82,Duxbury,12th Plymouth District,0.0,387700.0,0,545400,4482.152123,4448,16,BAY RD,DUXBURY,MA,2332,154063.0,42.02306382,-70.6839489,1.0,50.0,387700.0
1305,8609,1269813,F_859148_2850998,970,970,82,Duxbury,6th Plymouth District,196800.0,157000.0,600,354400,39317.540960000006,1698,748,UNION ST,DUXBURY,MA,2332,119917.0,42.0688348,-70.75240935,0.0,7.0,157600.0
1306,8611,1270153,F_873796_2843021,970,970,82,Duxbury,6th Plymouth District,307300.0,479000.0,14700,801000,51320.357319999996,4772,75,MERRY AVE,DUXBURY,MA,2332,113889.0,42.04658025,-70.69873907,0.0,8.0,493700.0
1307,8629,1273634,F_877345_2835408,970,970,82,Duxbury,6th Plymouth District,491600.0,3451000.0,24900,3967500,139057.4494,5312,59,CHESTNUT ST,DUXBURY,MA,2332,154063.0,42.02559731,-70.68594076,2.0,50.0,3475900.0
1308,8630,1273924,F_877904_2834759,970,970,82,Duxbury,6th Plymouth District,191400.0,268400.0,0,459800,6834.37595,4520,15,CHESTNUT ST,DUXBURY,MA,2332,154063.0,42.02380174,-70.68390631,1.0,50.0,268400.0
1309,8634,1275777,M_158688_924985,970,970,103,Gardner,2nd Worcester District,0.0,6326300.0,248200,6700300,135457.8394,123825,116,CHURCH ST,GARDNER,MA,1440,44271.0,42.57432873,-72.00319158,7.0,57.0,6574500.0
1310,8636,1275937,M_160436_926093,973,973,103,Gardner,2nd Worcester District,0.0,2872100.0,0,3325500,290271.6636,0,0,SPRUCE/BIRCH/CYPRESS,GARDNER,MA,1440,58289.0,42.58439396,-71.98197718,4.0,26.0,2872100.0
1312,8643,1278230,M_158724_924258,973,973,103,Gardner,2nd Worcester District,0.0,1412700.0,0,1567800,121821.3233,0,0,WATERFORD ST,GARDNER,MA,1440,44271.0,42.56778608,-72.00270092,1.0,43.0,1412700.0
1313,8645,1278529,M_158752_924158,970,970,103,Gardner,2nd Worcester District,0.0,81700.0,0,125300,18736.93156,1888,257,WATERFORD ST,GARDNER,MA,1440,44271.0,42.56688735,-72.00235274,0.0,31.0,81700.0
1314,8646,1278538,M_158810_924177,970,970,103,Gardner,2nd Worcester District,0.0,81500.0,0,124900,19868.94305,1876,256,WATERFORD ST,GARDNER,MA,1440,44271.0,42.56706147,-72.00164774,0.0,37.0,81500.0
1315,8652,1280609,M_160451_925993,970,970,103,Gardner,2nd Worcester District,0.0,1966100.0,28300,2381300,188378.0343,7920,119,BLANCHARD ST,GARDNER,MA,1440,58289.0,42.58349451,-71.98178757,4.0,27.0,1994400.0
1316,8653,1280653,M_160830_925554,970,970,103,Gardner,2nd Worcester District,0.0,93100.0,0,133200,9621.090677,2326,232,PEARL ST,GARDNER,MA,1440,58289.0,42.57956175,-71.97714076,3.0,28.0,93100.0
1317,8654,1281345,M_160703_926579,970,970,103,Gardner,2nd Worcester District,0.0,950600.0,24400,1303000,257558.2381,2786,Oct-56,BOULDER DR,GARDNER,MA,1440,58289.0,42.58878252,-71.97875783,7.0,13.0,975000.0
1319,8865,1292017,F_560703_2952944,970,970,134,Holden,1st Worcester District,0.0,2086800.0,28100,2299600,132736.3644,2722,9,FLAGLER DR,HOLDEN,MA,1520,91118.0,42.35048693,-71.85315921,0.0,39.0,2114900.0
1320,8884,1304033,F_777254_2986741,970,970,178,Melrose,32nd Middlesex District,235100.0,191500.0,5500,432100,5429.14031,1652,37,LEBANON ST,MELROSE,MA,2176,120436.0,42.44289545,-71.05139234,13.0,31.0,197000.0
1321,8889,1304194,F_774629_2995812,970,970,178,Melrose,32nd Middlesex District,230500.0,260400.0,0,490900,8647.568906999999,2980,969,MAIN ST,MELROSE,MA,2176,131741.0,42.46782334,-71.06094435,20.0,78.0,260400.0
1322,8890,1304507,F_773839_2989595,970,970,178,Melrose,32nd Middlesex District,294300.0,249800.0,1700,545600,7016.608692,2658,70,WYOMING EAST AV,MELROSE,MA,2176,69219.0,42.4507753,-71.06399005,0.0,83.0,251500.0
1323,8891,1304673,F_773124_2989268,970,970,178,Melrose,32nd Middlesex District,289500.0,298300.0,0,587800,6356.753888,2468,15,FELLSVIEW TR,MELROSE,MA,2176,69219.0,42.44988803,-71.06664544,0.0,83.0,298300.0
1324,8893,1305914,F_773564_2990936,970,970,178,Melrose,32nd Middlesex District,370900.0,0.0,5800,376700,5252.587763,0,11,FOSTER WEST ST,MELROSE,MA,2176,120436.0,42.4544588,-71.06498365,0.0,93.0,5800.0
1325,8895,1305992,F_771276_2993350,970,970,178,Melrose,32nd Middlesex District,291000.0,262300.0,0,553300,6195.260515999999,3090,42,OTIS ST,MELROSE,MA,2176,107083.0,42.46111442,-71.07341696,2.0,81.0,262300.0
1326,8899,1307391,F_770696_2989474,970,970,178,Melrose,32nd Middlesex District,253400.0,231300.0,9300,494000,7673.245268000001,2184,319,WASHINGTON ST,MELROSE,MA,2176,79969.0,42.45048678,-71.07563781,0.0,58.0,240600.0
1327,8900,1307679,F_775581_2990044,970,970,178,Melrose,32nd Middlesex District,0.0,262900.0,0,526000,5098.705365999999,2332,76,BEECH AV,MELROSE,MA,2176,120436.0,42.45198272,-71.05752692,0.0,59.0,262900.0
1328,8901,1307733,F_774811_2991119,970,970,178,Melrose,32nd Middlesex District,238900.0,224500.0,0,463400,6748.8628180000005,2074,446,LEBANON ST,MELROSE,MA,2176,120436.0,42.4549434,-71.06035947,0.0,84.0,224500.0
1329,8902,1309225,F_774698_2991746,970,970,178,Melrose,32nd Middlesex District,239600.0,191600.0,0,431200,7189.811766,2108,487,LEBANON ST,MELROSE,MA,2176,120436.0,42.45666546,-71.06076622,0.0,86.0,191600.0
1330,8903,1309349,F_774547_2995113,970,970,178,Melrose,32nd Middlesex District,377200.0,414000.0,1000,792200,8102.355368,3234,913,MAIN ST,MELROSE,MA,2176,131741.0,42.46590647,-71.06126159,0.0,81.0,415000.0
1331,8906,1311263,F_774273_2995077,970,970,178,Melrose,32nd Middlesex District,15250000.0,10546000.0,7700,25803700,68272.71411,103020,910,MAIN ST,MELROSE,MA,2176,107083.0,42.46581156,-71.06227774,0.0,76.0,10553700.0
1332,8907,1311996,F_772541_2996671,970,970,178,Melrose,32nd Middlesex District,437500.0,9328000.0,0,9765500,37915.11641,103986,1,NASON DR,MELROSE,MA,2176,107083.0,42.47020962,-71.06866685,0.0,71.0,9328000.0
1334,8931,1313062,M_151629_891451,970,970,212,North Brookfield,5th Worcester District,51200.0,2489800.0,0,2541000,101001.4116,0,271,NORTH MAIN ST,NORTH BROOKFIELD,MA,1535,73599.0,42.27203445,-72.08636179,0.0,54.0,2489800.0
1335,8944,1314640,M_151923_891266,970,970,212,North Brookfield,5th Worcester District,46800.0,605200.0,0,652000,45791.82465,0,24,GROVE ST,NORTH BROOKFIELD,MA,1535,73599.0,42.27038709,-72.08278266,0.0,51.0,605200.0
1336,8948,1316170,F_804384_3008723,970,970,229,Peabody,12th Essex District,581500.0,2423100.0,16200,3004600,67844.1432,22320,15,ROCKDALE PK,PEABODY,MA,1960,61433.0,42.50277695,-70.95035811,5.0,34.0,2439300.0
1337,8949,1316190,F_804814_3008898,970,970,229,Peabody,12th Essex District,2972100.0,4938100.0,54000,7910200,365357.7819,88060,0,VETERANS MEMORIAL DR,PEABODY,MA,1960,61433.0,42.50324952,-70.94875937,5.0,30.0,4992100.0
1339,8959,1319546,F_810753_3020135,970,970,229,Peabody,12th Essex District,0.0,2470300.0,0,3601700,121657.8462,1821,15,WILSON TER (A),PEABODY,MA,1960,73513.0,42.53397512,-70.92645576,7.0,53.0,2470300.0
1340,8960,1319563,F_803226_3020209,970,970,229,Peabody,12th Essex District,203200.0,563600.0,0,766800,40184.88282,0,347,LOWELL ST,PEABODY,MA,1960,55085.0,42.53431366,-70.9543798,6.0,39.0,563600.0
1341,8961,1319576,F_803118_3020283,970,970,229,Peabody,12th Essex District,189300.0,324300.0,0,513600,15544.5154,0,349,LOWELL ST,PEABODY,MA,1960,55085.0,42.5345186,-70.95477874,6.0,39.0,324300.0
1342,8966,1320821,F_808753_3013999,970,970,229,Peabody,12th Essex District,913300.0,2536500.0,21600,3449800,92882.89157,1080,0,BLANEY AVE,PEABODY,MA,1960,61433.0,42.51717533,-70.93402697,11.0,61.0,2558100.0
1343,8967,1321175,F_809735_3014895,970,970,229,Peabody,12th Essex District,200500.0,420600.0,0,621100,15522.71969,5112,0,BRESNAHAN CT,PEABODY,MA,1960,53032.0,42.51961592,-70.93036245,12.0,79.0,420600.0
1344,8968,1321192,F_809768_3014653,970,970,229,Peabody,12th Essex District,527300.0,752700.0,10800,1280000,45885.66721,2109,0,BRESNAHAN CT,PEABODY,MA,1960,53032.0,42.51895129,-70.93024605,12.0,79.0,763500.0
1345,8975,1322096,F_806430_3017705,970,970,229,Peabody,12th Essex District,831200.0,2283400.0,32400,3114600,87161.56791,32340,0,TANNERS CT,PEABODY,MA,1960,77570.0,42.52738614,-70.94255336,1.0,29.0,2315800.0
1346,8977,1322400,F_810110_3018367,970,970,229,Peabody,12th Essex District,149500.0,489500.0,310,639000,6468.905407,0,16,JACOBS ST,PEABODY,MA,1960,41750.0,42.52913579,-70.92888526,8.0,79.0,489810.0
1347,8980,1323259,F_810832_3019798,970,970,229,Peabody,12th Essex District,1299200.0,4536700.0,43200,5835900,267814.5036,22427,103,CENTRAL ST,PEABODY,MA,1960,73513.0,42.53304898,-70.92617108,7.0,62.0,4579900.0
1348,8981,1323275,F_812650_3019861,970,970,229,Peabody,12th Essex District,1580400.0,2494300.0,43200,4074700,199237.9223,4386,0,CAROL ANN RD,PEABODY,MA,1960,73513.0,42.53318808,-70.91942467,13.0,56.0,2537500.0
1349,8985,1324503,F_809142_3021304,970,970,229,Peabody,12th Essex District,0.0,2271500.0,17090,3440400,239860.0429,20160,59,ANDOVER ST,PEABODY,MA,1960,77570.0,42.53721228,-70.93240383,5.0,31.0,2288590.0
1350,8994,1325531,F_796659_3023768,970,970,229,Peabody,12th Essex District,201800.0,640500.0,950,842300,38011.39972,0,509,LOWELL ST,PEABODY,MA,1960,55085.0,42.54419182,-70.97866339,2.0,48.0,641450.0
1351,9019,1330885,M_193540_934837,970,970,232,Pepperell,1st Middlesex District,1280000.0,2887900.0,21300,4189600,100381.3489,42571,4,FOSTER ST,PEPPERELL,MA,1463,91140.0,42.6640882,-71.57879633,0.0,62.0,2909200.0
1352,9021,1331191,M_194161_934876,970,970,232,Pepperell,1st Middlesex District,0.0,565400.0,0,651500,31724.16002,10112,68,GROTON ST,PEPPERELL,MA,1463,85175.0,42.664444200000005,-71.57122204,0.0,46.0,565400.0
1353,9039,1337919,F_786291_2993021,970,970,262,Saugus,9th Essex District,0.0,7182200.0,400,7502900,299194.6208,91821,2,RICE ST,SAUGUS,MA,1906,69725.0,42.45999217,-71.01778097,0.0,51.0,7182600.0
1354,9040,1344270,F_553795_2848314,970,970,316,Webster,18th Worcester District,0.0,2299200.0,18400,0,77945.69042,1990,96,SLATER ST,WINCHENDON,MA,1475,40388.0,42.06328959,-71.8770036,0.0,41.0,2317600.0
1355,9041,1344272,F_554234_2848230,970,970,316,Webster,18th Worcester District,211300.0,1983800.0,45000,2240200,281071.06,1979,10,GOLDEN HEIGHTS,WEBSTER,MA,1570,40388.0,42.06306439,-71.87538556,2.0,40.0,2028800.0
1356,9042,1344378,F_557361_2845106,970,970,316,Webster,18th Worcester District,176800.0,566100.0,0,742900,57522.203310000004,1954,62,THOMPSON RD,WEBSTER,MA,1570,40388.0,42.05452877,-71.86382088,4.0,57.0,566100.0
1357,9043,1344488,F_554036_2847991,970,970,316,Webster,18th Worcester District,23800.0,0.0,300,24100,8018.676301,0,10,GOLDEN HEIGHTS,WEBSTER,MA,1570,40388.0,42.06240614,-71.87611084,2.0,40.0,300.0
1358,9045,1344700,F_557427_2845286,970,970,316,Webster,18th Worcester District,116000.0,512400.0,0,628400,52408.949539999994,1954,2,SECOND ISLAND RD,WEBSTER,MA,1570,40388.0,42.0550235,-71.86358068,4.0,58.0,512400.0
1359,9047,1346400,F_553855_2848645,970,970,316,Webster,18th Worcester District,488000.0,3067400.0,110800,3667100,307080.3335,1983,10,GOLDEN HEIGHTS,WEBSTER,MA,1570,40388.0,42.06419864,-71.87678802,0.0,26.0,3178200.0
1360,9049,1348276,F_553656_2847823,970,970,316,Webster,18th Worcester District,23000.0,272900.0,3200,299100,12201.17382,1996,186,NORTH MAIN ST,WEBSTER,MA,1570,40388.0,42.06194051,-71.87750748,4.0,47.0,276100.0
1361,9060,1354072,F_1067422_2552853,973,973,197,Nantucket,"Barnstable, Dukes & Nantucket District",0.0,0.0,5000,3688400,664670.5164,0,125,TOM NEVERS RD,NANTUCKET,MA,2554,106648.0,41.24319714,-70.0046927,0.0,0.0,5000.0
1364,9064,1354930,F_1046042_2555340,970,970,197,Nantucket,"Barnstable, Dukes & Nantucket District",1086500.0,256700.0,0,1343200,54658.67347,1616,7,OKORWAW AV,NANTUCKET,MA,2554,124189.0,41.25102285,-70.08226450000001,0.0,6.0,256700.0
1367,9070,1356706,F_1040953_2558931,973,973,197,Nantucket,"Barnstable, Dukes & Nantucket District",0.0,0.0,20000,631800,33946.36769,0,0,MIACOMET VILLAGE,NANTUCKET,MA,2554,86630.0,41.26110663,-70.10055248,16.0,31.0,20000.0
1368,9071,1356718,F_1040841_2558721,970,970,197,Nantucket,"Barnstable, Dukes & Nantucket District",775000.0,1660900.0,0,2435900,160955.1452,2705,12-Jun,NORQUARTA DR,NANTUCKET,MA,2554,86630.0,41.26053546,-70.10097227,13.0,31.0,1660900.0
1369,9072,1356726,F_1040805_2559028,970,970,197,Nantucket,"Barnstable, Dukes & Nantucket District",0.0,159700.0,0,601500,7506.2470840000005,1684,5,BENJAMIN DR,NANTUCKET,MA,2584,86630.0,41.26137945,-70.10108486,16.0,39.0,159700.0
1370,9073,1356790,F_1040645_2559033,970,970,197,Nantucket,"Barnstable, Dukes & Nantucket District",489600.0,659700.0,0,1149300,30561.807269999998,2152,1,BENJAMIN DR,NANTUCKET,MA,2554,86630.0,41.26140036,-70.10166638,16.0,39.0,659700.0
1373,9076,1357199,F_1040976_2559337,970,970,197,Nantucket,"Barnstable, Dukes & Nantucket District",649000.0,1821100.0,1400,2471500,92734.457,2812,1,MANTA DR,NANTUCKET,MA,2554,86630.0,41.2622196,-70.10044462,17.0,39.0,1822500.0
1375,9102,1367929,M_225441_914489,970,970,48,Burlington,21st Middlesex District,180300.0,73300.0,0,253600,14527.53389,1272,127,SO BEDFORD ST,BURLINGTON,MA,1803,93136.0,42.48052107,-71.19058312,16.0,30.0,73300.0
1376,9107,1369686,M_222993_916499,102,970,48,Burlington,21st Middlesex District,0.0,11977500.0,0,11977500,107789.1696,58150,9,HALLMARK GARDENS,BURLINGTON,MA,1803,93125.0,42.49869209,-71.22027563,2.0,36.0,11977500.0
1377,9108,1369839,M_225446_916637,970,970,48,Burlington,21st Middlesex District,2600000.0,3798600.0,8600,6407200,107568.9167,46145,15,BIRCHCREST ST,BURLINGTON,MA,1803,101828.0,42.49985814,-71.19042749,13.0,48.0,3807200.0
1378,9109,1369862,M_225478_916696,970,970,48,Burlington,21st Middlesex District,244700.0,0.0,6500,251200,24342.556669999998,0,17,BIRCHCREST ST,BURLINGTON,MA,1803,101828.0,42.50038824,-71.19003558,11.0,57.0,6500.0
1379,9110,1369898,M_225501_916720,973,973,48,Burlington,21st Middlesex District,243500.0,0.0,9200,252700,22322.81871,0,19,BIRCHCREST ST,BURLINGTON,MA,1803,101828.0,42.50060354,-71.18975470000001,11.0,57.0,9200.0
1380,9111,1370070,M_225444_916794,970,970,48,Burlington,21st Middlesex District,1600000.0,1725300.0,6300,3331600,77084.1565,23636,14,BIRCHCREST ST,BURLINGTON,MA,1803,101828.0,42.50127159,-71.19044489,12.0,57.0,1731600.0
