,STOP_ID,STOP_NAME,TOWN,TOWN_ID,TRACT_ID,income
0,3077,Gallivan Blvd @ opp Marsh St,BOSTON,35,100700,87063
1,841,Lagrange St @ Virgil Rd,BOSTON,35,130200,109034
2,446,Norfolk St @ Nelson St,BOSTON,35,100300,51736
3,847,Lagrange St opp Virgil St,BOSTON,35,130200,109034
4,3079,Adams St @ Minot St,BOSTON,35,100800,88425
5,8687,Adams St @ Minot St,BOSTON,35,100800,88425
6,808,Centre St opp Bellevue st,BOSTON,35,130200,109034
7,33076,Gallivan Blvd @ Hallet St,BOSTON,35,100700,87063
8,39870,Montello Commuter Rail Station,BROCKTON,44,510200,73450
9,3988,Howard St @ Lisa Dr,BROCKTON,44,510100,79688
10,3989,S Franklin St @ Howard Ave,HOLBROOK,133,421100,70288
11,3987,S Franklin St @ Howard Ave,HOLBROOK,133,421100,70288
12,3990,S Franklin St opp Hamilton Way,HOLBROOK,133,421100,70288
13,3986,S Franklin St @ Hamilton Way,HOLBROOK,133,421100,70288
14,3991,S Franklin St @ Woodlawn Ave,HOLBROOK,133,421100,70288
15,3985,1002 S Franklin St,HOLBROOK,133,421100,70288
16,3984,S Franklin St @ Upland St,HOLBROOK,133,421100,70288
17,3992,S Franklin St @ Emery St,HOLBROOK,133,421100,70288
18,39941,Holbrook Ct @ Linwood Housing,HOLBROOK,133,421100,70288
19,39942,Holbrook Ct @ Linwood St,HOLBROOK,133,421100,70288
20,3993,S Franklin St @ Francis St,HOLBROOK,133,421100,70288
21,3994,S Franklin St @ Linwood St,HOLBROOK,133,421100,70288
22,3982,S Franklin St @ South St,HOLBROOK,133,421100,70288
23,3996,S Franklin St @ Diman Ave,HOLBROOK,133,421100,70288
24,3981,778 S Franklin St,HOLBROOK,133,421100,70288
25,4232,E Main St @ W Main St,AVON,18,457100,69868
26,3980,716 S Franklin St,HOLBROOK,133,421100,70288
27,3997,Opp 716 S Franklin St,HOLBROOK,133,421100,70288
28,4233,E Main St @ E High St,AVON,18,457100,69868
29,3998,S Franklin St opp Laurel Pk,HOLBROOK,133,421100,70288
30,3979,S Franklin St @ Laurel Pk,HOLBROOK,133,421100,70288
31,14233,Main St @ Demarco Park,AVON,18,457100,69868
32,4234,40 N Main St,AVON,18,457100,69868
33,4230,47 N Main St,AVON,18,457100,69868
34,3999,S Franklin St @ Quincy St,HOLBROOK,133,421100,70288
35,3978,S Franklin St opp Quincy St,HOLBROOK,133,421100,70288
36,4229,N Main St @ Langley Rd,RANDOLPH,244,420302,74141
37,4235,S Main St @ Acorn Dr,RANDOLPH,244,420302,74141
38,3977,549 S Franklin St,HOLBROOK,133,421100,70288
39,4000,Opp 549 S Franklin St,HOLBROOK,133,421100,70288
40,4236,702 S Main St,RANDOLPH,244,420302,74141
41,3199,Adams St opp Alleyne St,QUINCY,243,417701,63189
42,111720,Blue Hill Ave - Valentine Rd to Tucker St (FLAG),MILTON,189,416200,107333
43,4376,Edgehill Rd @ Huntington Rd,MILTON,189,416400,124961
44,2784,11 Summer St,BOSTON,35,140107,69599
45,3042,Hancock St @ Merrymount Rd,QUINCY,243,417701,63189
46,3659,River St opp Cliff St,WEYMOUTH,336,422800,77781
47,3642,River St @ Cliff St,WEYMOUTH,336,422800,77781
48,111823,Rockland St from Kilby St to Nantasket Ave (FLAG),HINGHAM,131,501101,141375
49,4332,Edgehill Rd @ Reservation Rd,MILTON,189,416400,124961
50,3355,Adams St @ Beale St,QUINCY,243,418200,91486
51,3035,Hancock St opp Merrymount Rd,QUINCY,243,417701,63189
52,3394,Adams St @ Stedman St,QUINCY,243,418200,91486
53,111747,Blue Hill Ave - Tucker St to Valentine Rd (FLAG),MILTON,189,416200,107333
54,6509,Hyde Park Ave @ Grant Place,BOSTON,35,140300,45781
55,111239,Rockland St from Nantasket Ave to Kilby St (FLAG),HINGHAM,131,501101,141375
56,3240,55 Sea St,QUINCY,243,417702,78542
57,3288,Sea St @ Cemetery,QUINCY,243,417702,78542
58,3315,Palmer St @ Roach St,QUINCY,243,417802,26571
59,3300,Palmer St opp Roach St,QUINCY,243,417802,26571
60,61872,Washington St @ Oak St,DEDHAM,73,402102,78281
61,3356,Adams St @ Washington St,MILTON,189,416400,124961
62,1617,Opp 67 Crown Point Dr,BOSTON,35,130406,47102
63,2817,Austin St @ Gordon Ave,BOSTON,35,140107,69599
64,3393,Adams St @ Pilgrim Rd,MILTON,189,416400,124961
65,1616,Margaretta Dr @ Crown Point Dr,BOSTON,35,130406,47102
66,14331,Edgehill Rd @ Hollis St,MILTON,189,416400,124961
67,1620,Georgetowne Dr @ Margaretta Dr,BOSTON,35,130406,47102
68,76378,River St @ Webster St,BOSTON,35,140300,45781
69,1615,Margaretta Dr @ Georgetowne Dr,BOSTON,35,130406,47102
70,3560,Downer Ave @ Otis St,HINGHAM,131,501102,141902
71,3595,Otis St @ Downer Ave,HINGHAM,131,501102,141902
72,16358,River St @ Walter St,BOSTON,35,140300,45781
73,4378,Edgehill Rd @ Grafton Ave,MILTON,189,416400,124961
74,3094,Newport Ave @ Furnace Brook Pkwy,QUINCY,243,418101,73326
75,4331,Edgehill Rd opp Grafton Ave,MILTON,189,416400,124961
76,3641,River St @ Weymouth Port,WEYMOUTH,336,422800,77781
77,10833,Dedham Mall @ Stop & Shop,DEDHAM,73,402101,91477
78,3043,Hancock St @ Butler Rd,QUINCY,243,417701,63189
79,3358,Adams St @ Granite Pl,MILTON,189,416400,124961
80,3316,Palmer St @ Brockton Ave,QUINCY,243,417802,26571
81,3198,Newport Ave @ Furnace Brook Pwky,QUINCY,243,417602,74730
82,618,Washington St @ Tobin Rd,BOSTON,35,130404,73409
83,3392,Adams St @ Foster Ln,MILTON,189,416400,124961
84,3034,Hancock St opp Butler Rd,QUINCY,243,417701,63189
85,3299,Palmer St opp Brockton Ave,QUINCY,243,417802,26571
