Dist Code,Rep First,Rep Last,Stop Id,Impacted T,Proportion,REP,Rep Dist,Rep Party,Route Ids,Stop Name,Town,Town Id,Tract Id,URL,Geometry,Geometry (HOUSE2012 POLY.shp),Impacted P,Income,Income Lev,Repdistnum,Shape Area,Shape Len
MID30,Richard M.,Haggerty,49909,"333502,333501,333400","0.18,0.17,0.18",Richard M. Haggerty (D),30th Middlesex,(D),354,6 Pine St opp Walnut Hill Pk,WOBURN,347,333400,http://malegislature.gov/Legislators/Profile/RMH1,Point,Polygon,92,93265,2,89,31730889.7683,33351.4132597
NOR13,Denise C.,Garlick,81442,"403500,457200","0.26,0.17",Denise C. Garlick (D),13th Norfolk,(D),59,Hillside Ave @ Hunnewell St,NEEDHAM,199,403500,http://malegislature.gov/Legislators/Profile/DCG1,Point,Polygon,187,137082,3,109,91333688.4108,55592.1594631
SUFF17,Kevin G.,Honan,1994,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.10,0.02,0.63,0.44,0.41,0.05,0.73,1.00,0.56,0.01",Kevin G. Honan (D),17th Suffolk,(D),"501,65,503",Winship St @ Union St,BOSTON,35,601,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4645,70865,2,140,4034410.10147,18768.295055
MID30,Richard M.,Haggerty,49833,"333502,333501,333400","0.16,0.17,0.19",Richard M. Haggerty (D),30th Middlesex,(D),354,Pine St @ Walnut Hill Pk,WOBURN,347,333400,http://malegislature.gov/Legislators/Profile/RMH1,Point,Polygon,92,93513,2,89,31730889.7683,33351.4132597
ESS10,Daniel H.,Cahill,7203,"205500,205400,205300,205200,205100","0.01,0.01,0.59,0.28,0.04",Daniel H. Cahill (D),10th Essex,(D),435,Broadway @ Pendexter St,LYNN,163,205300,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,319,86430,2,34,9826900.75147,21703.160093
SUFF17,Kevin G.,Honan,1270,"400400,400600,000504,000503,000701,000602,000601,000502,000402,000401,000202","0.06,0.02,0.84,0.51,0.71,0.79,0.59,0.00,0.17,0.98,0.18",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St @ Monastery Rd,BOSTON,35,602,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,7159,65169,2,140,4034410.10147,18768.295055
SUFF11,Elizabeth A.,Malia,6495,"120201,120104,110607,110401,110103,110301,981100,981000","0.08,0.14,0.01,0.07,0.91,0.16,0.15,0.44",Elizabeth A. Malia (D),11th Suffolk,(D),"33,32",Hyde Park Ave opp Walk Hill St,BOSTON,35,110103,http://malegislature.gov/Legislators/Profile/EAM1,Point,Polygon,1657,59894,2,134,9548119.27484,22506.5331267
SUFF03,Aaron M.,Michlewitz,15095,"010702,010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.01,0.00,0.07,0.15,0.31,0.58,0.97,1.00,0.28,0.16,1.00,0.60",Aaron M. Michlewitz (D),3rd Suffolk,(D),"749,11,751",Washington St @ Herald St,BOSTON,35,70402,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,8012,71618,2,126,3753014.59622,12895.468952
ESS07,Paul F.,Tucker,6159,"203100,202200,202101,204102,202102","0.07,0.03,0.06,0.52,0.04",Paul F. Tucker (D),7th Essex,(D),"459,455",Loring Ave @ Chandler Rd,SALEM,258,204102,http://malegislature.gov/Legislators/Profile/PFT1,Point,MultiPolygon,335,88621,2,31,21919910.6873,47226.7848168
SUFF13,Daniel J.,Hunt,342,"100601,100500,092200,092000,091700,091600,092101","0.56,0.14,0.86,0.68,0.18,0.03,0.55",Daniel J. Hunt (D),13th Suffolk,(D),"15,18,215",Dorchester Ave @ Parkman St,BOSTON,35,92200,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,3784,59443,2,136,8642595.73697,34955.033552
ESS07,Paul F.,Tucker,6124,"203100,202200,202101,204102,202102","0.08,0.03,0.05,0.53,0.04",Paul F. Tucker (D),7th Essex,(D),"459,455",Loring Ave @ Intervale Rd,SALEM,258,204102,http://malegislature.gov/Legislators/Profile/PFT1,Point,MultiPolygon,342,89035,2,31,21919910.6873,47226.7848168
SUFF17,Kevin G.,Honan,994,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.10,0.02,0.62,0.44,0.42,0.05,0.73,1.00,0.57,0.01",Kevin G. Honan (D),17th Suffolk,(D),"501,66,503",Winship St @ Union St,BOSTON,35,601,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4654,70911,2,140,4034410.10147,18768.295055
SUFF03,Aaron M.,Michlewitz,11481,"010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.00,0.09,0.03,0.07,0.45,0.86,1.00,0.39,0.19,1.00,0.46",Aaron M. Michlewitz (D),3rd Suffolk,(D),9,Herald St @ Harrison Ave,BOSTON,35,70402,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7339,64852,2,126,3753014.59622,12895.468952
ESS10,Daniel H.,Cahill,4541,"206400,205100,204701,202102","0.06,0.61,0.08,0.08",Daniel H. Cahill (D),10th Essex,(D),"456,450",Western Ave @ Buchanan Circle,LYNN,163,205100,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,395,84664,2,34,9826900.75147,21703.160093
SUFF11,Elizabeth A.,Malia,642,"120201,120104,110607,110401,110103,110301,981100,981000","0.05,0.15,0.02,0.11,0.88,0.12,0.11,0.59",Elizabeth A. Malia (D),11th Suffolk,(D),"40,35,37,70A,36,51,34E,34,50,30",Washington St @ Tollgate Way,BOSTON,35,110103,http://malegislature.gov/Legislators/Profile/EAM1,Point,Polygon,1602,55339,2,134,9548119.27484,22506.5331267
MID11,Kay S.,Khan,8521,"373700,373500,373400,373100","0.00,0.46,0.26,0.08",Kay S. Khan (D),11th Middlesex,(D),52,Centre St @ Cabot St,NEWTON,207,373500,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,337,155576,3,70,20055517.4181,29596.7876429
SUFF03,Aaron M.,Michlewitz,49003,"010702,010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.02,0.00,0.15,0.14,0.25,0.54,0.98,1.00,0.33,0.14,1.00,0.51",Aaron M. Michlewitz (D),3rd Suffolk,(D),"749,751",Washington St @ Herald St,BOSTON,35,70402,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7896,69615,2,126,3753014.59622,12895.468952
SUFF13,Daniel J.,Hunt,327,"100601,100500,092200,092000,091700,091600,092101","0.55,0.13,0.86,0.68,0.20,0.03,0.55",Daniel J. Hunt (D),13th Suffolk,(D),"18,215",Dorchester Ave @ Melville Ave,BOSTON,35,92200,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,3767,59338,2,136,8642595.73697,34955.033552
SUFF04,David,Biele,212,"981202,061200,060600","0.28,0.18,0.78",David Biele (D),4th Suffolk,(D),"7,4",Summer St @ D St,BOSTON,35,60600,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,1761,105628,2,127,12716746.3024,53966.0562898
ESS09,Donald H.,Wong,9245,"335301,335400,335100,337101,335200","0.33,0.12,0.00,0.07,0.15",Donald H. Wong (R),9th Essex,(R),"136,137",Main St opp Meriam St,WAKEFIELD,305,335301,http://malegislature.gov/Legislators/Profile/DHW1,Point,Polygon,295,93104,2,33,41030067.4944,47337.7920224
SUFF04,David,Biele,11419,"981202,070101,061200,060700,070402,060600","0.01,0.38,0.43,0.20,0.03,0.49",David Biele (D),4th Suffolk,(D),11,A St @ Mt Washington Ave,BOSTON,35,61200,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,2902,104113,2,127,12716746.3024,53966.0562898
ESS10,Daniel H.,Cahill,7355,"205400,205300,205200","0.08,0.51,0.03",Daniel H. Cahill (D),10th Essex,(D),"436,434",155 Lynnfield St,LYNN,163,205300,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,158,99552,2,34,9826900.75147,21703.160093
MID11,Kay S.,Khan,7830,"374700,368400,374800,367200","0.52,0.00,0.16,0.01",Kay S. Khan (D),11th Middlesex,(D),558,Commonwealth Ave @ Islington St,NEWTON,207,374700,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,345,122001,2,70,20055517.4181,29596.7876429
SUFF10,Edward F.,Coppinger,1836,"401200,130200,130100,110601","0.10,0.18,0.25,0.03",Edward F. Coppinger (D),10th Suffolk,(D),51,Independence Dr opp Shopping Mall,BOSTON,35,130100,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,359,115061,2,133,23225083.8591,30760.3994202
SUFF13,Daniel J.,Hunt,3077,"416400,100800,100601,100700,100603","0.01,0.17,0.13,0.99,0.29",Daniel J. Hunt (D),13th Suffolk,(D),201,Gallivan Blvd @ opp Marsh St,BOSTON,35,100700,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,1046,86562,2,136,8642595.73697,34955.033552
MID11,Kay S.,Khan,8512,"373700,373500,373400,373100","0.00,0.46,0.25,0.09",Kay S. Khan (D),11th Middlesex,(D),52,Centre St @ Sargent St,NEWTON,207,373500,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,339,155101,3,70,20055517.4181,29596.7876429
ESS10,Daniel H.,Cahill,7324,"205400,205300,205200","0.08,0.51,0.03",Daniel H. Cahill (D),10th Essex,(D),"436,434",153 Lynnfield St,LYNN,163,205300,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,158,99552,2,34,9826900.75147,21703.160093
SUFF11,Elizabeth A.,Malia,596,"120201,120104,110607,110401,110103,110301,981100,981000","0.06,0.18,0.01,0.09,0.89,0.11,0.11,0.58",Elizabeth A. Malia (D),11th Suffolk,(D),"40,35,37,70A,36,51,34E,34,50,30",3867 Washington St opp Tollgate Way,BOSTON,35,110103,http://malegislature.gov/Legislators/Profile/EAM1,Point,Polygon,1620,55965,2,134,9548119.27484,22506.5331267
MID11,Kay S.,Khan,7827,"374700,368400,374800,367200","0.52,0.00,0.16,0.01",Kay S. Khan (D),11th Middlesex,(D),558,Commonwealth Ave @ Islington St,NEWTON,207,374700,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,345,122001,2,70,20055517.4181,29596.7876429
SUFF10,Edward F.,Coppinger,841,"130402,130300,130200,130100,130404","0.08,0.26,0.63,0.13,0.02",Edward F. Coppinger (D),10th Suffolk,(D),"37,38",Lagrange St @ Virgil Rd,BOSTON,35,130200,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,632,107359,2,133,23225083.8591,30760.3994202
NOR01,Bruce J.,Ayers,3153,"417400,417300","0.54,0.29",Bruce J. Ayers (D),1st Norfolk,(D),211,E Squantum St opp Heath St,QUINCY,243,417300,http://malegislature.gov/Legislators/Profile/BJA1,Point,Polygon,230,92937,2,97,32010475.7398,65034.9363785
MID30,Richard M.,Haggerty,8867,"333502,333200,333501","0.45,0.00,0.28",Richard M. Haggerty (D),30th Middlesex,(D),134,Main St @ Charles Gardner Ln,WOBURN,347,333502,http://malegislature.gov/Legislators/Profile/RMH1,Point,Polygon,94,92361,2,89,31730889.7683,33351.4132597
SUFF07,Chynah,Tyler,1775,"400100,010204,010104,010103,000803,353200,353102,010408,010300,981501,981800,010203","0.69,1.00,0.21,1.00,0.02,0.00,0.03,0.15,0.36,0.08,0.08,0.70",Chynah Tyler (D),7th Suffolk,(D),"747,47",Park Dr @ Beacon St,BOSTON,35,10204,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,6852,50708,2,130,4570023.34856,18791.1725581
SUFF10,Edward F.,Coppinger,31839,"401200,130100,373900","0.00,0.37,0.09",Edward F. Coppinger (D),10th Suffolk,(D),37,Corey St opp Mount Benedict Cemetery,BOSTON,35,130100,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,308,115530,2,133,23225083.8591,30760.3994202
SUFF12,Daniel,Cullinane,446,"100500,100400,100300,101102,101101,101002,100900,100200,100100","0.17,0.18,1.00,0.41,0.06,0.24,0.02,1.00,0.37",Daniel Cullinane (D),12th Suffolk,(D),26,Norfolk St @ Nelson St,BOSTON,35,100300,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,3056,46390,2,135,10215903.3988,23539.4207407
SUFF10,Edward F.,Coppinger,1890,"401200,130200,130100,110601","0.10,0.16,0.25,0.03",Edward F. Coppinger (D),10th Suffolk,(D),51,286 Independence Dr,BOSTON,35,130100,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,347,115284,2,133,23225083.8591,30760.3994202
MID30,Richard M.,Haggerty,9130,"333502,333200,333501","0.45,0.00,0.28",Richard M. Haggerty (D),30th Middlesex,(D),134,Main St @ Page Pl,WOBURN,347,333502,http://malegislature.gov/Legislators/Profile/RMH1,Point,Polygon,94,92361,2,89,31730889.7683,33351.4132597
SUFF07,Chynah,Tyler,1563,"400100,010405,010204,010104,010103,010408,010300,981501,981800,010403,010203","0.13,0.11,1.00,0.83,0.84,1.00,0.21,0.09,0.29,0.01,0.98",Chynah Tyler (D),7th Suffolk,(D),"22,9,65,19,8,60",Brookline Ave @ Yawkey Way,BOSTON,35,10203,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,7978,45005,2,130,4570023.34856,18791.1725581
SUFF13,Daniel J.,Hunt,8341,"100601,100603,092101,091001","0.40,0.45,0.69,0.04",Daniel J. Hunt (D),13th Suffolk,(D),"201,202",Puritan Mall Service Rd,BOSTON,35,92101,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,2073,70752,2,136,8642595.73697,34955.033552
SUFF10,Edward F.,Coppinger,847,"130402,130300,130200,130100,130404","0.08,0.26,0.63,0.13,0.02",Edward F. Coppinger (D),10th Suffolk,(D),"37,38",Lagrange St opp Virgil St,BOSTON,35,130200,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,632,107359,2,133,23225083.8591,30760.3994202
SUFF04,David,Biele,31256,"981202,061200,060600","0.44,0.00,0.43",David Biele (D),4th Suffolk,(D),"742,4",Northern Ave opp Harbor St,BOSTON,35,981202,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,785,68097,2,127,12716746.3024,53966.0562898
SUFF03,Aaron M.,Michlewitz,148,"010702,010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.04,0.00,0.20,0.16,0.25,0.52,0.98,1.00,0.35,0.13,1.00,0.48",Aaron M. Michlewitz (D),3rd Suffolk,(D),9,Herald St @ Washington St,BOSTON,35,70402,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,7900,69346,2,126,3753014.59622,12895.468952
SUFF12,Daniel,Cullinane,3079,"416400,100800,100601,100500,100400,100700,100603","0.00,0.51,0.32,0.01,0.03,0.67,0.06",Daniel Cullinane (D),12th Suffolk,(D),"201,19",Adams St @ Minot St,BOSTON,35,100800,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,1647,83532,2,135,10215903.3988,23539.4207407
ESS09,Donald H.,Wong,9185,"335301,335400,335100,337101,335200","0.34,0.12,0.00,0.06,0.15",Donald H. Wong (R),9th Essex,(R),"136,137",Main St @ Meriam St,WAKEFIELD,305,335301,http://malegislature.gov/Legislators/Profile/DHW1,Point,Polygon,299,93067,2,33,41030067.4944,47337.7920224
NOR01,Bruce J.,Ayers,3140,"417400,417300","0.57,0.26",Bruce J. Ayers (D),1st Norfolk,(D),211,E Squantum St @ Deerfield St,QUINCY,243,417400,http://malegislature.gov/Legislators/Profile/BJA1,Point,Polygon,220,92880,2,97,32010475.7398,65034.9363785
SUFF10,Edward F.,Coppinger,5225,"110607,110601,120105,981000","0.42,0.53,0.15,0.45",Edward F. Coppinger (D),10th Suffolk,(D),"35,38",1200 Centre St opp VFW Pkwy,BOSTON,35,110607,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,693,81877,2,133,23225083.8591,30760.3994202
ESS07,Paul F.,Tucker,6160,"203100,202200,202101,204102,202102","0.09,0.02,0.04,0.53,0.03",Paul F. Tucker (D),7th Essex,(D),"459,455",Opp 494 Loring Ave,SALEM,258,204102,http://malegislature.gov/Legislators/Profile/PFT1,Point,MultiPolygon,334,88917,2,31,21919910.6873,47226.7848168
SUFF17,Kevin G.,Honan,1269,"000504,000503,000701,000602,000601,000502,000402,000401,000202","0.61,0.45,0.38,0.73,0.68,0.00,0.31,1.00,0.37",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St @ Snow St,BOSTON,35,401,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,6196,66283,2,140,4034410.10147,18768.295055
SUFF12,Daniel,Cullinane,8687,"416400,100800,100601,100500,100400,100700,100603","0.00,0.50,0.36,0.01,0.02,0.67,0.07",Daniel Cullinane (D),12th Suffolk,(D),"19,202",Adams St @ Minot St,BOSTON,35,100800,http://malegislature.gov/Legislators/Profile/D_C1,Point,Polygon,1698,83408,2,135,10215903.3988,23539.4207407
ESS10,Daniel H.,Cahill,4472,"206400,205100,204701,202102","0.05,0.57,0.09,0.08",Daniel H. Cahill (D),10th Essex,(D),"456,450",Western Ave opp Buchanan Circle,LYNN,163,205100,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,374,84530,2,34,9826900.75147,21703.160093
MID12,Ruth B.,Balser,8484,"130100,374000,373900","0.03,0.22,0.17",Ruth B. Balser (D),12th Middlesex,(D),52,Wiswall Rd @ Indian Ridge Rd,NEWTON,207,374000,http://malegislature.gov/Legislators/Profile/RBB1,Point,Polygon,194,140073,3,71,25259666.394,29460.8991967
SUFF03,Aaron M.,Michlewitz,168,"010702,010600,981700,070700,070600,070500,070300,070200,070101,061200,070402,071201","0.48,0.01,0.26,0.87,0.75,0.76,1.00,0.96,0.09,0.01,1.00,0.54",Aaron M. Michlewitz (D),3rd Suffolk,(D),43,Tremont St @ Appleton St,BOSTON,35,70402,http://malegislature.gov/Legislators/Profile/AMM1,Point,Polygon,9269,85352,2,126,3753014.59622,12895.468952
SUFF10,Edward F.,Coppinger,5247,"110607,110601,120105,981000","0.40,0.52,0.16,0.47",Edward F. Coppinger (D),10th Suffolk,(D),"35,38",Centre St @ VFW Pkwy,BOSTON,35,110607,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,671,80808,2,133,23225083.8591,30760.3994202
SUFF10,Edward F.,Coppinger,808,"110607,130402,130300,130200,130100,110501,130404","0.00,0.03,0.53,0.78,0.02,0.01,0.02",Edward F. Coppinger (D),10th Suffolk,(D),"35,37,36,38,27",Centre St opp Bellevue st,BOSTON,35,130200,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,732,110935,2,133,23225083.8591,30760.3994202
SUFF17,Kevin G.,Honan,1299,"000504,000503,000701,000602,000601,000502,000402,000401,000202","0.59,0.44,0.36,0.73,0.68,0.00,0.32,1.00,0.38",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St opp Snow St,BOSTON,35,602,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,6129,66378,2,140,4034410.10147,18768.295055
SUFF13,Daniel J.,Hunt,33076,"416400,417200,100800,100601,100700,100603","0.00,0.02,0.03,0.08,0.95,0.50",Daniel J. Hunt (D),13th Suffolk,(D),201,Gallivan Blvd @ Hallet St,BOSTON,35,100700,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,859,86842,2,136,8642595.73697,34955.033552
MID12,Ruth B.,Balser,8546,"130100,374000,373900","0.03,0.22,0.18",Ruth B. Balser (D),12th Middlesex,(D),52,Wiswall Rd @ Indian Ridge Rd,NEWTON,207,374000,http://malegislature.gov/Legislators/Profile/RBB1,Point,Polygon,197,140525,3,71,25259666.394,29460.8991967
MID11,Kay S.,Khan,7623,"374700,374600,374500,374400,374800","0.06,0.34,0.31,0.16,0.02",Kay S. Khan (D),11th Middlesex,(D),"553,554",Washington St @ Shaw St,NEWTON,207,374500,http://malegislature.gov/Legislators/Profile/K_K1,Point,Polygon,351,138141,3,70,20055517.4181,29596.7876429
SUFF13,Daniel J.,Hunt,343,"100601,100500,092200,092000,091700,091600,092101","0.39,0.08,0.79,0.70,0.41,0.11,0.62",Daniel J. Hunt (D),13th Suffolk,(D),"15,18,215",Dorchester Ave @ Gibson St,BOSTON,35,92200,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,3718,57298,2,136,8642595.73697,34955.033552
PLYM10,Michelle M.,Dubois,39870,"510300,510200,510100,510501","0.48,0.14,0.10,0.36",Michelle M. Dubois (D),10th Plymouth,(D),230,Montello Commuter Rail Station,BROCKTON,44,510200,http://malegislature.gov/Legislators/Profile/MMD1,Point,Polygon,281,57625,2,121,72867046.0611,56718.458286
ESS08,Lori A.,Ehrlich,4789,"203100,204102","0.53,0.00",Lori A. Ehrlich (D),8th Essex,(D),"449,448,441,442",Humphrey St @ Glendale Rd,MARBLEHEAD,168,203100,http://malegislature.gov/Legislators/Profile/LAE1,Point,MultiPolygon,247,159875,3,32,20329759.7389,44115.8674729
SUFF07,Chynah,Tyler,1518,"400100,010405,010204,010104,010103,010408,010300,981501,981800,010403,010203","0.12,0.11,1.00,0.86,0.84,1.00,0.18,0.09,0.29,0.04,0.99",Chynah Tyler (D),7th Suffolk,(D),"57,65,19,8,60",Brookline Ave opp Yawkey Way,BOSTON,35,10203,http://malegislature.gov/Legislators/Profile/C_T1,Point,Polygon,8025,44896,2,130,4570023.34856,18791.1725581
SUFF13,Daniel J.,Hunt,8809,"100601,100500,092200,092000,091700,091600,100603,092101,091001","0.57,0.01,0.48,0.28,0.03,0.10,0.05,0.89,0.04",Daniel J. Hunt (D),13th Suffolk,(D),"201,19",Adams St @ Parkman St,BOSTON,35,92101,http://malegislature.gov/Legislators/Profile/DJH1,Point,MultiPolygon,3408,61938,2,136,8642595.73697,34955.033552
PLYM10,Michelle M.,Dubois,3988,"510100,421100,457100,510501","0.36,0.10,0.01,0.00",Michelle M. Dubois (D),10th Plymouth,(D),230,Howard St @ Lisa Dr,BROCKTON,44,510100,http://malegislature.gov/Legislators/Profile/MMD1,Point,Polygon,133,77479,2,121,72867046.0611,56718.458286
SUFF04,David,Biele,247,"981202,061200,060600","0.42,0.00,0.45",David Biele (D),4th Suffolk,(D),"742,4",Northern Ave @ Harbor St,BOSTON,35,60600,http://malegislature.gov/Legislators/Profile/D_B1,Point,MultiPolygon,819,71264,2,127,12716746.3024,53966.0562898
NOR03,Ronald,Mariano,3989,"510100,421100,457100","0.32,0.13,0.01",Ronald Mariano (D),3rd Norfolk,(D),230,S Franklin St @ Howard Ave,HOLBROOK,133,421100,http://malegislature.gov/Legislators/Profile/R_M1,Point,MultiPolygon,139,76818,2,99,36239282.8212,58965.7664652
ESS08,Lori A.,Ehrlich,4851,203100,0.53,Lori A. Ehrlich (D),8th Essex,(D),"449,448,441,442",Humphrey St opp Glendale Rd,MARBLEHEAD,168,203100,http://malegislature.gov/Legislators/Profile/LAE1,Point,MultiPolygon,247,159875,3,32,20329759.7389,44115.8674729
ESS10,Daniel H.,Cahill,6863,"210500,205400,205300,205200,205100,210600","0.00,0.00,0.62,0.22,0.06,0.00",Daniel H. Cahill (D),10th Essex,(D),435,Broadway @ Warwick St,LYNN,163,205300,http://malegislature.gov/Legislators/Profile/DFC1,Point,Polygon,299,89098,2,34,9826900.75147,21703.160093
SUFF17,Kevin G.,Honan,1085,"000302,000503,000602,000601,000502,000402,000401,000202,000201","0.09,0.21,0.33,0.44,0.03,0.75,0.91,0.75,0.09",Kevin G. Honan (D),17th Suffolk,(D),"86,51",Chestnut Hill Ave @ Academy Hill Rd,BOSTON,35,601,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,4065,73889,2,140,4034410.10147,18768.295055
