Dist Code,Rep First,Rep Last,Stop Id,Impacted T,Proportion,REP,Rep Dist,Rep Party,Route Ids,Stop Name,Town,Town Id,Tract Id,URL,Geometry,Geometry (HOUSE2012 POLY.shp),Impacted P,Income,Income Lev,Repdistnum,Shape Area,Shape Len
ESS09,Donald H.,Wong,7525,"208300,208400,208200","0.09,0.02,0.35",Donald H. Wong (R),9th Essex,(R),"429,430",Vine St @ Talbot St,SAUGUS,262,208200,http://malegislature.gov/Legislators/Profile/DHW1,Point,Polygon,155,72990,2,33,41030067.4944,47337.7920224
NOR15,Tommy,Vitolo,1304,"400800,400400,400300,400500,400200,000703,000704,000802,000701","0.11,0.73,1.00,0.19,0.63,0.95,0.73,0.02,0.30",Tommy Vitolo (D),15th Norfolk,(D),66,Harvard St @ Coolidge St,BROOKLINE,46,400300,http://malegislature.gov/Legislators/Profile/T_V1,Point,Polygon,7596,81528,2,111,5526976.68498,18475.2737382
SUFF10,Edward F.,Coppinger,61839,"130100,374000,373900","0.31,0.01,0.14",Edward F. Coppinger (D),10th Suffolk,(D),37,St Joseph Cemetery,BOSTON,35,130100,http://malegislature.gov/Legislators/Profile/E_C1,Point,Polygon,285,122019,2,133,23225083.8591,30760.3994202
ESS11,Peter L.,Capano,6821,"207200,207100,207000,206100,206000,205900,205800,205500","0.17,0.90,0.35,0.64,1.00,0.29,0.34,0.05",Peter L. Capano (D),11th Essex,(D),"455,456,442,426,459,000",170 S Common St,LYNN,163,207000,http://malegislature.gov/Legislators/Profile/PLC1,Point,MultiPolygon,1821,45616,2,35,16322720.834,48737.1541765
NOR15,Tommy,Vitolo,1375,"400800,400400,400300,400500,400200,000703,000704,000802,000701","0.09,0.73,1.00,0.18,0.61,0.96,0.77,0.03,0.34",Tommy Vitolo (D),15th Norfolk,(D),66,Harvard St @ Coolidge St,BROOKLINE,46,400300,http://malegislature.gov/Legislators/Profile/T_V1,Point,Polygon,7704,80919,2,111,5526976.68498,18475.2737382
SUFF11,Elizabeth A.,Malia,76479,"120201,120104,110607,110401,110103,110301,981100,981000","0.07,0.12,0.01,0.08,0.91,0.16,0.15,0.44",Elizabeth A. Malia (D),11th Suffolk,(D),"33,32",Hyde Park Ave @ Walk Hill St,BOSTON,35,110103,http://malegislature.gov/Legislators/Profile/EAM1,Point,Polygon,1637,59515,2,134,9548119.27484,22506.5331267
SUFF17,Kevin G.,Honan,1298,"400400,400600,000504,000503,000701,000602,000601,000502,000402,000401,000202","0.08,0.03,0.85,0.52,0.74,0.79,0.57,0.00,0.16,0.98,0.16",Kevin G. Honan (D),17th Suffolk,(D),65,Washington St @ Monastery Rd,BOSTON,35,401,http://malegislature.gov/Legislators/Profile/KGH1,Point,Polygon,7253,65335,2,140,4034410.10147,18768.295055
ESS11,Peter L.,Capano,4486,"207200,207100,207000,206100,206000,205900,205800,205700,205500","0.12,1.00,0.19,0.30,0.94,0.58,0.57,0.00,0.02",Peter L. Capano (D),11th Essex,(D),"424,450,434",Western Ave @ Market Square,LYNN,163,206000,http://malegislature.gov/Legislators/Profile/PLC1,Point,MultiPolygon,1843,51638,2,35,16322720.834,48737.1541765
SUFF18,Michael J.,Moran,1034,"000504,000302,000503,000602,000601,000502,000402,000401,000202,000201","0.05,0.05,0.62,0.37,0.39,0.06,0.78,0.99,0.57,0.03",Michael J. Moran (D),18th Suffolk,(D),"86,51",Chestnut Hill Ave @ Union St,BOSTON,35,401,http://malegislature.gov/Legislators/Profile/MJM1,Point,Polygon,4518,71919,2,141,8877673.11721,35714.4476821
ESS11,Peter L.,Capano,6822,"207200,207100,207000,206200,206100,206000,205900,205800,205500","0.17,0.80,0.49,0.01,0.85,1.00,0.17,0.21,0.08",Peter L. Capano (D),11th Essex,(D),"455,456,442,426,459,000",S Common St @ Huss Ct,LYNN,163,207000,http://malegislature.gov/Legislators/Profile/PLC1,Point,MultiPolygon,1810,42374,2,35,16322720.834,48737.1541765
