Impacted T,Proportion,Route Ids,Stop Id,Stop Name,Town,Town Id,Tract Id,Geometry,Impacted P,Income,Income Lev
"416400,100800,100601,100700,100603","0.01,0.17,0.13,0.99,0.29",201,3077,Gallivan Blvd @ opp Marsh St,BOSTON,35,100700,Point,1046,86562,2
"130402,130300,130200,130100,130404","0.08,0.26,0.63,0.13,0.02","37,38",841,Lagrange St @ Virgil Rd,BOSTON,35,130200,Point,632,107359,2
"100500,100400,100300,101102,101101,101002,100900,100200,100100","0.17,0.18,1.00,0.41,0.06,0.24,0.02,1.00,0.37",26,446,Norfolk St @ Nelson St,BOSTON,35,100300,Point,3056,46390,2
"130402,130300,130200,130100,130404","0.08,0.26,0.63,0.13,0.02","37,38",847,Lagrange St opp Virgil St,BOSTON,35,130200,Point,632,107359,2
"416400,100800,100601,100500,100400,100700,100603","0.00,0.51,0.32,0.01,0.03,0.67,0.06","201,19",3079,Adams St @ Minot St,BOSTON,35,100800,Point,1647,83532,2
"416400,100800,100601,100500,100400,100700,100603","0.00,0.50,0.36,0.01,0.02,0.67,0.07","19,202",8687,Adams St @ Minot St,BOSTON,35,100800,Point,1698,83408,2
"110607,130402,130300,130200,130100,110501,130404","0.00,0.03,0.53,0.78,0.02,0.01,0.02","35,37,36,38,27",808,Centre St opp Bellevue st,BOSTON,35,130200,Point,732,110935,2
"416400,417200,100800,100601,100700,100603","0.00,0.02,0.03,0.08,0.95,0.50",201,33076,Gallivan Blvd @ Hallet St,BOSTON,35,100700,Point,859,86842,2
"510300,510200,510100,510501","0.48,0.14,0.10,0.36",230,39870,Montello Commuter Rail Station,BROCKTON,44,510200,Point,281,57625,2
"510100,421100,457100,510501","0.36,0.10,0.01,0.00",230,3988,Howard St @ Lisa Dr,BROCKTON,44,510100,Point,133,77479,2
"510100,421100,457100","0.32,0.13,0.01",230,3989,S Franklin St @ Howard Ave,HOLBROOK,133,421100,Point,139,76818,2
"510100,421100,457100","0.32,0.13,0.01",230,3987,S Franklin St @ Howard Ave,HOLBROOK,133,421100,Point,139,76818,2
"510100,421100,457100","0.29,0.15,0.00",230,3990,S Franklin St opp Hamilton Way,HOLBROOK,133,421100,Point,140,76483,2
"510100,421100,457100","0.29,0.15,0.00",230,3986,S Franklin St @ Hamilton Way,HOLBROOK,133,421100,Point,140,76483,2
"510100,421100","0.27,0.17",230,3991,S Franklin St @ Woodlawn Ave,HOLBROOK,133,421100,Point,146,76056,2
"510100,421100","0.26,0.17",230,3985,1002 S Franklin St,HOLBROOK,133,421100,Point,143,75971,2
"510100,520202,421200,421100","0.18,0.00,0.00,0.20",230,3984,S Franklin St @ Upland St,HOLBROOK,133,421100,Point,140,74740,2
"510100,520202,421200,421100","0.18,0.00,0.00,0.20",230,3992,S Franklin St @ Emery St,HOLBROOK,133,421100,Point,140,74740,2
"510100,520202,421200,421100","0.19,0.01,0.01,0.16",230,39941,Holbrook Ct @ Linwood Housing,HOLBROOK,133,421100,Point,129,75651,2
"510100,520202,421200,421100","0.18,0.02,0.02,0.14",230,39942,Holbrook Ct @ Linwood St,HOLBROOK,133,421100,Point,124,76089,2
"510100,520202,421200,421100","0.15,0.00,0.01,0.21",230,3993,S Franklin St @ Francis St,HOLBROOK,133,421100,Point,143,74102,2
"510100,520202,421200,421100","0.13,0.00,0.01,0.20",230,3994,S Franklin St @ Linwood St,HOLBROOK,133,421100,Point,133,73886,2
"510100,520202,421200,421100","0.12,0.01,0.01,0.20",230,3982,S Franklin St @ South St,HOLBROOK,133,421100,Point,134,74188,2
"510100,520202,421200,421100","0.08,0.01,0.02,0.20",230,3996,S Franklin St @ Diman Ave,HOLBROOK,133,421100,Point,129,73358,2
"510100,520202,421200,421100","0.05,0.00,0.03,0.21",230,3981,778 S Franklin St,HOLBROOK,133,421100,Point,128,71923,2
"420302,421100,457100","0.02,0.01,0.16","238,240",4232,E Main St @ W Main St,AVON,18,457100,Point,47,70339,2
"510100,520202,421200,421100","0.00,0.00,0.05,0.20",230,3980,716 S Franklin St,HOLBROOK,133,421100,Point,119,70316,2
"520202,421200,421100","0.00,0.05,0.20",230,3997,Opp 716 S Franklin St,HOLBROOK,133,421100,Point,119,70316,2
"420302,421100,457100","0.04,0.01,0.15","238,240",4233,E Main St @ E High St,AVON,18,457100,Point,54,70743,2
"421200,421100","0.06,0.18",230,3998,S Franklin St opp Laurel Pk,HOLBROOK,133,421100,Point,113,70323,2
"421200,421100","0.06,0.18",230,3979,S Franklin St @ Laurel Pk,HOLBROOK,133,421100,Point,113,70323,2
"420302,421100,457100","0.07,0.02,0.13","238,240",14233,Main St @ Demarco Park,AVON,18,457100,Point,69,71265,2
"420302,421100,457100","0.08,0.02,0.12","238,240",4234,40 N Main St,AVON,18,457100,Point,72,71460,2
"420302,421100,457100","0.08,0.02,0.12","238,240",4230,47 N Main St,AVON,18,457100,Point,72,71460,2
"421200,421100","0.08,0.16",230,3999,S Franklin St @ Quincy St,HOLBROOK,133,421100,Point,111,70335,2
"421200,421100","0.08,0.15",230,3978,S Franklin St opp Quincy St,HOLBROOK,133,421100,Point,106,70337,2
"420302,421100,457100","0.13,0.03,0.10","238,240",4229,N Main St @ Langley Rd,RANDOLPH,244,420302,Point,96,72052,2
"420302,421100,457100","0.14,0.03,0.10","238,240",4235,S Main St @ Acorn Dr,RANDOLPH,244,420302,Point,100,72130,2
"421200,421100","0.09,0.13",230,3977,549 S Franklin St,HOLBROOK,133,421100,Point,100,70346,2
"421200,421100","0.09,0.13",230,4000,Opp 549 S Franklin St,HOLBROOK,133,421100,Point,100,70346,2
"420302,421100,457100","0.16,0.03,0.09","238,240",4236,702 S Main St,RANDOLPH,244,420302,Point,107,72354,2
"417701,417702,418101,417100,417602","0.44,0.05,0.44,0.04,0.21","217,211,245",3199,Adams St opp Alleyne St,QUINCY,243,417701,Point,1293,70893,2
"416300,416200,140400,101001","0.02,0.52,0.08,0.00",,111720,Blue Hill Ave - Valentine Rd to Tucker St (FLAG),MILTON,189,416200,Point,489,102677,2
"418200,416400,416101","0.02,0.37,0.00",245,4376,Edgehill Rd @ Huntington Rd,MILTON,189,416400,Point,183,123244,2
"140300,140201,140202,140102,140107,140105,980700","0.55,0.02,0.07,0.04,0.99,0.03,0.10","40,50",2784,11 Summer St,BOSTON,35,140107,Point,1008,59852,2
"417701,417702,418101,417100,417602","0.51,0.10,0.36,0.00,0.20","211,210,212",3042,Hancock St @ Merrymount Rd,QUINCY,243,417701,Point,1293,69593,2
"501102,422800","0.02,0.24",221,3659,River St opp Cliff St,WEYMOUTH,336,422800,Point,84,82713,2
"501102,422800","0.02,0.24",221,3642,River St @ Cliff St,WEYMOUTH,336,422800,Point,84,82713,2
"423100,500103,501101","0.01,0.12,0.14",,111823,Rockland St from Kilby St to Nantasket Ave (FLAG),HINGHAM,131,501101,Point,59,109843,2
"418200,416400,416101","0.02,0.38,0.00",245,4332,Edgehill Rd @ Reservation Rd,MILTON,189,416400,Point,188,123287,2
"418102,418101,418200,416400,417200,417100","0.12,0.00,0.05,0.13,0.04,0.43","217,215,245",3355,Adams St @ Beale St,QUINCY,243,418200,Point,681,95738,2
"417701,417702,418101,417100,417602","0.50,0.10,0.35,0.00,0.21","217,211,212,210,245",3035,Hancock St opp Merrymount Rd,QUINCY,243,417701,Point,1279,69660,2
"418102,418101,418200,416400,417200,417100","0.11,0.00,0.05,0.13,0.04,0.42","215,245",3394,Adams St @ Stedman St,QUINCY,243,418200,Point,665,96158,2
"416300,416200,140400,101001","0.03,0.51,0.09,0.01",,111747,Blue Hill Ave - Tucker St to Valentine Rd (FLAG),MILTON,189,416200,Point,514,101685,2
"140300,140201,140202,140102,140107,140105,980700","0.60,0.02,0.15,0.01,0.95,0.07,0.05","33,32",6509,Hyde Park Ave @ Grant Place,BOSTON,35,140300,Point,1121,62398,2
"423100,500103,501101","0.02,0.13,0.14",,111239,Rockland St from Nantasket Ave to Kilby St (FLAG),HINGHAM,131,501101,Point,69,109281,2
"417701,417702,417902,417901,417602","0.54,0.63,0.00,0.02,0.01","216,214",3240,55 Sea St,QUINCY,243,417702,Point,1108,71187,2
"417701,417702,417902,417901,417602","0.55,0.63,0.00,0.02,0.01","216,214",3288,Sea St @ Cemetery,QUINCY,243,417702,Point,1123,71121,2
"417901,417802,417801","0.02,0.85,0.06","216,214",3315,Palmer St @ Roach St,QUINCY,243,417802,Point,220,32352,1
"417901,417802,417801","0.02,0.84,0.07","216,214",3300,Palmer St opp Roach St,QUINCY,243,417802,Point,222,33218,1
"402102,402400,402101,130402,130404,130406","0.25,0.08,0.10,0.06,0.19,0.30","35,70A,34E,34",61872,Washington St @ Oak St,DEDHAM,73,402102,Point,545,69914,2
"418102,418200,416400,417200,417100","0.02,0.04,0.17,0.05,0.33","217,215,245",3356,Adams St @ Washington St,MILTON,189,416400,Point,554,102519,2
"402102,140102,130406,980700","0.27,0.16,0.64,0.17",40,1617,Opp 67 Crown Point Dr,BOSTON,35,130406,Point,710,52157,2
"140300,140201,140202,140102,140107,140105,980700","0.51,0.01,0.01,0.03,1.00,0.06,0.15",50,2817,Austin St @ Gordon Ave,BOSTON,35,140107,Point,932,58120,2
"418102,418200,416400,417200,417100","0.01,0.04,0.18,0.05,0.31","217,215,245",3393,Adams St @ Pilgrim Rd,MILTON,189,416400,Point,533,103719,2
"402102,140102,130406,980700","0.26,0.15,0.64,0.18",40,1616,Margaretta Dr @ Crown Point Dr,BOSTON,35,130406,Point,698,51264,2
"418200,416400,417100","0.02,0.37,0.00",245,14331,Edgehill Rd @ Hollis St,MILTON,189,416400,Point,183,123244,2
"402102,140102,130406,980700","0.21,0.16,0.56,0.23",40,1620,Georgetowne Dr @ Margaretta Dr,BOSTON,35,130406,Point,617,48456,2
"416200,140300,140201,140202,140107,140105,980700","0.02,0.66,0.01,0.29,0.53,0.11,0.00","33,24",76378,River St @ Webster St,BOSTON,35,140300,Point,1182,65038,2
"402102,140102,130406,980700","0.21,0.16,0.58,0.23",40,1615,Margaretta Dr @ Georgetowne Dr,BOSTON,35,130406,Point,632,48433,2
"501102,501101","0.13,0.00",220,3560,Downer Ave @ Otis St,HINGHAM,131,501102,Point,122,141902,3
"501102,501101","0.13,0.00",220,3595,Otis St @ Downer Ave,HINGHAM,131,501102,Point,122,141902,3
"416200,140300,140201,140202,140107,140105,980700","0.02,0.66,0.01,0.29,0.50,0.12,0.00","33,24",16358,River St @ Walter St,BOSTON,35,140300,Point,1178,65156,2
"418200,416400,417100","0.02,0.36,0.01",245,4378,Edgehill Rd @ Grafton Ave,MILTON,189,416400,Point,189,122583,2
