STOP_ID,TOWN,STOP_NAME,impacted_g,proportion,proporti_1,income,income_lev,impacted_p,geometry,route_ids
39942,HOLBROOK,Holbrook Ct @ Linwood St,"25023510100,25023520202,25021421200,25021421100","0.18,0.02,0.02,0.14","0.27,0.14,0.11,0.48",75598,2,124,POINT (240806.8888999969 875201.8211000003),230
3993,HOLBROOK,S Franklin St @ Francis St,"25023510100,25023520202,25021421200,25021421100","0.15,0.00,0.01,0.21","0.22,0.01,0.03,0.74",72557,2,143,POINT (240446.9193999991 875253.1746999994),230
3994,HOLBROOK,S Franklin St @ Linwood St,"25023510100,25023520202,25021421200,25021421100","0.13,0.00,0.01,0.20","0.20,0.03,0.07,0.70",72768,2,133,POINT (240541.309799999 875328.4915000014),230
3982,HOLBROOK,S Franklin St @ South St,"25023510100,25023520202,25021421200,25021421100","0.12,0.01,0.01,0.20","0.19,0.03,0.08,0.70",72676,2,134,POINT (240554.6394999996 875341.3460000008),230
3996,HOLBROOK,S Franklin St @ Diman Ave,"25023510100,25023520202,25021421200,25021421100","0.08,0.01,0.02,0.20","0.12,0.03,0.14,0.71",72026,2,129,POINT (240598.7659000009 875485.5905000009),230
3981,HOLBROOK,778 S Franklin St,"25023510100,25023520202,25021421200,25021421100","0.05,0.00,0.03,0.21","0.07,0.02,0.17,0.73",71374,2,128,POINT (240608.9690999985 875597.0047999993),230
4232,AVON,E Main St @ W Main St,"25021420302,25021421100,25021457100","0.02,0.01,0.16","0.06,0.02,0.92",70132,2,47,POINT (238022.3894999996 875785.5025000013),"240,238"
3980,HOLBROOK,716 S Franklin St,"25023510100,25023520202,25021421200,25021421100","0.00,0.00,0.05,0.20","0.00,0.00,0.28,0.72",70328,2,119,POINT (240659.5219999999 875869.1079999991),230
3997,HOLBROOK,Opp 716 S Franklin St,"25023520202,25021421200,25021421100","0.00,0.05,0.20","0.00,0.29,0.71",70329,2,119,POINT (240668.759800002 875900.0124000013),230
4233,AVON,E Main St @ E High St,"25021420302,25021421100,25021457100","0.04,0.01,0.15","0.10,0.05,0.85",70316,2,54,POINT (238038.4556000009 875921.9065999985),"240,238"
3998,HOLBROOK,S Franklin St opp Laurel Pk,"25021421200,25021421100","0.06,0.18","0.36,0.64",70339,2,113,POINT (240713.7150999978 876049.6290000007),230
3979,HOLBROOK,S Franklin St @ Laurel Pk,"25021421200,25021421100","0.06,0.18","0.37,0.63",70340,2,113,POINT (240719.3176999986 876068.3988000005),230
14233,AVON,Main St @ Demarco Park,"25021420302,25021421100,25021457100","0.07,0.02,0.13","0.16,0.08,0.76",70585,2,69,POINT (238054.8123999983 876083.8519000001),"240,238"
4234,AVON,40 N Main St,"25021420302,25021421100,25021457100","0.08,0.02,0.12","0.19,0.08,0.72",70722,2,72,POINT (238046.1533999965 876158.3222999983),"240,238"
4230,AVON,47 N Main St,"25021420302,25021421100,25021457100","0.08,0.02,0.12","0.20,0.08,0.71",70765,2,72,POINT (238043.5758000016 876176.7318999991),"240,238"
3999,HOLBROOK,S Franklin St @ Quincy St,"25021421200,25021421100","0.08,0.16","0.45,0.55",70352,2,111,POINT (240779.9453999996 876242.0522999987),230
3978,HOLBROOK,S Franklin St opp Quincy St,"25021421200,25021421100","0.08,0.15","0.46,0.54",70353,2,106,POINT (240786.5234000012 876265.0595000014),230
4229,RANDOLPH,N Main St @ Langley Rd,"25021420302,25021421100,25021457100","0.13,0.03,0.10","0.32,0.10,0.58",71277,2,96,POINT (238021.6647000015 876415.3979999982),"240,238"
4235,RANDOLPH,S Main St @ Acorn Dr,"25021420302,25021421100,25021457100","0.14,0.03,0.10","0.34,0.10,0.55",71377,2,100,POINT (238021.0640999973 876463.0144999996),"240,238"
3977,HOLBROOK,549 S Franklin St,"25021421200,25021421100","0.09,0.13","0.52,0.47",70363,2,100,POINT (240809.4289999977 876493.3271000013),230
4000,HOLBROOK,Opp 549 S Franklin St,"25021421200,25021421100","0.09,0.13","0.52,0.47",70363,2,100,POINT (240809.4289999977 876493.3271000013),230
4236,RANDOLPH,702 S Main St,"25021420302,25021421100,25021457100","0.16,0.03,0.09","0.39,0.10,0.50",71593,2,107,POINT (238019.3950000033 876545.8575000018),"240,238"
3199,QUINCY,Adams St opp Alleyne St,"25021417701,25021417702,25021418101,25021417100,25021417602","0.44,0.05,0.44,0.04,0.21","0.34,0.04,0.37,0.02,0.23",70928,2,1293,POINT (240525.6630999967 889611.6275999993),"217,211,245"
111720,MILTON,Blue Hill Ave - Valentine Rd to Tucker St (FLAG),"25021416300,25021416200,25025140400,25025101001","0.02,0.52,0.08,0.00","0.03,0.89,0.07,0.00",105228,2,489,POINT (233094.1810000017 889617.2945000008),
4376,MILTON,Edgehill Rd @ Huntington Rd,"25021418200,25021416400,25021416101","0.02,0.37,0.00","0.14,0.86,0.01",120543,2,183,POINT (237453.7999000028 889620.9970999993),245
2784,BOSTON,11 Summer St,"25025140300,25025140201,25025140202,25025140102,25025140107,25025140105,25025980700","0.55,0.02,0.07,0.04,0.99,0.03,0.10","0.43,0.01,0.05,0.04,0.31,0.01,0.15",50550,2,1008,POINT (230863.5197999999 889622.5185000002),"50,40"
3042,QUINCY,Hancock St @ Merrymount Rd,"25021417701,25021417702,25021418101,25021417100,25021417602","0.51,0.10,0.36,0.00,0.20","0.39,0.09,0.30,0.00,0.21",70104,2,1293,POINT (240679.759300001 889624.9039000012),"210,211,212"
3659,WEYMOUTH,River St opp Cliff St,"25023501102,25021422800","0.02,0.24","0.11,0.27",96342,2,84,POINT (247154.0623999983 889630.4362999983),221
3642,WEYMOUTH,River St @ Cliff St,"25023501102,25021422800","0.02,0.24","0.11,0.27",96342,2,84,POINT (247173.2999000028 889636.8203000017),221
111823,HINGHAM,Rockland St from Kilby St to Nantasket Ave (FLAG),"25021423100,25023500103,25023501101","0.01,0.12,0.14","0.19,0.12,0.56",129691,3,59,POINT (253479.7873999998 889637.9609999992),
4332,MILTON,Edgehill Rd @ Reservation Rd,"25021418200,25021416400,25021416101","0.02,0.38,0.00","0.13,0.86,0.00",120565,2,188,POINT (237467.8215000033 889638.2089999989),245
3355,QUINCY,Adams St @ Beale St,"25021418102,25021418101,25021418200,25021416400,25021417200,25021417100","0.12,0.00,0.05,0.13,0.04,0.43","0.04,0.00,0.33,0.30,0.05,0.28",101570,2,681,POINT (238494.746799998 889640.0687999986),"217,215,245"
3035,QUINCY,Hancock St opp Merrymount Rd,"25021417701,25021417702,25021418101,25021417100,25021417602","0.50,0.10,0.35,0.00,0.21","0.39,0.08,0.30,0.00,0.23",70112,2,1279,POINT (240670.0068000033 889641.8784000017),"210,245,217,212,211"
