,Unnamed: 0,STOP_ID,STOP_NAME,TOWN,TOWN_ID,TRACT_ID,income,income_level
0,0,3077,Gallivan Blvd @ opp Marsh St,BOSTON,35,100700,87063,2
1,1,841,Lagrange St @ Virgil Rd,BOSTON,35,130200,109034,2
2,2,446,Norfolk St @ Nelson St,BOSTON,35,100300,51736,2
3,3,847,Lagrange St opp Virgil St,BOSTON,35,130200,109034,2
4,4,3079,Adams St @ Minot St,BOSTON,35,100800,88425,2
5,5,8687,Adams St @ Minot St,BOSTON,35,100800,88425,2
6,6,808,Centre St opp Bellevue st,BOSTON,35,130200,109034,2
7,7,33076,Gallivan Blvd @ Hallet St,BOSTON,35,100700,87063,2
8,8,39870,Montello Commuter Rail Station,BROCKTON,44,510200,73450,2
9,9,3988,Howard St @ Lisa Dr,BROCKTON,44,510100,79688,2
10,10,3989,S Franklin St @ Howard Ave,HOLBROOK,133,421100,70288,2
11,11,3987,S Franklin St @ Howard Ave,HOLBROOK,133,421100,70288,2
12,12,3990,S Franklin St opp Hamilton Way,HOLBROOK,133,421100,70288,2
13,13,3986,S Franklin St @ Hamilton Way,HOLBROOK,133,421100,70288,2
14,14,3991,S Franklin St @ Woodlawn Ave,HOLBROOK,133,421100,70288,2
15,15,3985,1002 S Franklin St,HOLBROOK,133,421100,70288,2
16,16,3984,S Franklin St @ Upland St,HOLBROOK,133,421100,70288,2
17,17,3992,S Franklin St @ Emery St,HOLBROOK,133,421100,70288,2
18,18,39941,Holbrook Ct @ Linwood Housing,HOLBROOK,133,421100,70288,2
19,19,39942,Holbrook Ct @ Linwood St,HOLBROOK,133,421100,70288,2
20,20,3993,S Franklin St @ Francis St,HOLBROOK,133,421100,70288,2
21,21,3994,S Franklin St @ Linwood St,HOLBROOK,133,421100,70288,2
22,22,3982,S Franklin St @ South St,HOLBROOK,133,421100,70288,2
23,23,3996,S Franklin St @ Diman Ave,HOLBROOK,133,421100,70288,2
24,24,3981,778 S Franklin St,HOLBROOK,133,421100,70288,2
25,25,4232,E Main St @ W Main St,AVON,18,457100,69868,2
26,26,3980,716 S Franklin St,HOLBROOK,133,421100,70288,2
27,27,3997,Opp 716 S Franklin St,HOLBROOK,133,421100,70288,2
28,28,4233,E Main St @ E High St,AVON,18,457100,69868,2
29,29,3998,S Franklin St opp Laurel Pk,HOLBROOK,133,421100,70288,2
30,30,3979,S Franklin St @ Laurel Pk,HOLBROOK,133,421100,70288,2
31,31,14233,Main St @ Demarco Park,AVON,18,457100,69868,2
32,32,4234,40 N Main St,AVON,18,457100,69868,2
33,33,4230,47 N Main St,AVON,18,457100,69868,2
34,34,3999,S Franklin St @ Quincy St,HOLBROOK,133,421100,70288,2
35,35,3978,S Franklin St opp Quincy St,HOLBROOK,133,421100,70288,2
36,36,4229,N Main St @ Langley Rd,RANDOLPH,244,420302,74141,2
37,37,4235,S Main St @ Acorn Dr,RANDOLPH,244,420302,74141,2
38,38,3977,549 S Franklin St,HOLBROOK,133,421100,70288,2
39,39,4000,Opp 549 S Franklin St,HOLBROOK,133,421100,70288,2
40,40,4236,702 S Main St,RANDOLPH,244,420302,74141,2
41,41,3199,Adams St opp Alleyne St,QUINCY,243,417701,63189,2
42,42,111720,Blue Hill Ave - Valentine Rd to Tucker St (FLAG),MILTON,189,416200,107333,2
43,43,4376,Edgehill Rd @ Huntington Rd,MILTON,189,416400,124961,2
44,44,2784,11 Summer St,BOSTON,35,140107,69599,2
45,45,3042,Hancock St @ Merrymount Rd,QUINCY,243,417701,63189,2
46,46,3659,River St opp Cliff St,WEYMOUTH,336,422800,77781,2
47,47,3642,River St @ Cliff St,WEYMOUTH,336,422800,77781,2
48,48,111823,Rockland St from Kilby St to Nantasket Ave (FLAG),HINGHAM,131,501101,141375,3
49,49,4332,Edgehill Rd @ Reservation Rd,MILTON,189,416400,124961,2
50,50,3355,Adams St @ Beale St,QUINCY,243,418200,91486,2
51,51,3035,Hancock St opp Merrymount Rd,QUINCY,243,417701,63189,2
52,52,3394,Adams St @ Stedman St,QUINCY,243,418200,91486,2
53,53,111747,Blue Hill Ave - Tucker St to Valentine Rd (FLAG),MILTON,189,416200,107333,2
54,54,6509,Hyde Park Ave @ Grant Place,BOSTON,35,140300,45781,2
55,55,111239,Rockland St from Nantasket Ave to Kilby St (FLAG),HINGHAM,131,501101,141375,3
56,56,3240,55 Sea St,QUINCY,243,417702,78542,2
57,57,3288,Sea St @ Cemetery,QUINCY,243,417702,78542,2
58,58,3315,Palmer St @ Roach St,QUINCY,243,417802,26571,0
