,GEO_ID,public_transport,walking,other,total_employed,impacted_pop
104,25005610204,272,1,19,3309,292
105,25005611101,51,0,56,3187,107
106,25005611102,120,517,27,2982,664
107,25005611201,61,11,6,1693,78
108,25005611202,210,17,0,3604,227
109,25005612100,43,15,0,2565,58
110,25005612200,236,87,43,5087,366
111,25005613100,94,55,0,3824,149
112,25005613300,77,4,0,3571,81
113,25005613400,17,8,26,1906,51
114,25005613600,40,17,77,1965,134
115,25005613700,61,0,0,1923,61
116,25005613800,0,145,58,2383,203
117,25005613901,0,14,22,1278,36
118,25005613902,36,0,21,2609,57
119,25005614000,39,58,57,2006,154
120,25005614101,67,78,29,3513,174
121,25005614102,138,0,24,3704,162
122,25005615100,62,18,0,4423,80
123,25005616100,0,36,37,3844,73
124,25005617101,13,0,1,2797,14
125,25005617102,19,0,48,2356,67
126,25005630101,58,60,26,1615,144
127,25005630102,66,27,0,2479,93
128,25005630200,237,69,98,4598,404
129,25005630300,238,76,28,4879,342
130,25005630400,115,10,0,2611,125
131,25005631100,128,145,22,3996,295
132,25005631200,151,15,30,4036,196
133,25005631300,107,50,0,2567,157
134,25005631400,62,87,57,1317,206
135,25005631500,112,74,34,1688,220
136,25005631600,122,88,50,1966,260
137,25005631700,250,72,16,3661,338
138,25005631800,151,64,88,4313,303
139,25005632100,76,116,16,3590,208
140,25005632200,133,46,17,4667,196
141,25005633100,87,19,8,3088,114
142,25005633200,32,8,39,3924,79
143,25005640100,0,0,10,2255,10
144,25005640200,48,176,25,2611,249
145,25005640300,14,83,0,1357,97
146,25005640400,34,58,10,1158,102
147,25005640500,12,26,18,2396,56
148,25005640600,9,82,0,1919,91
149,25005640700,0,4,0,1281,4
150,25005640800,0,80,45,2192,125
151,25005640901,109,133,0,2084,242
152,25005641000,55,50,38,764,143
153,25005641101,66,62,0,558,128
154,25005641200,0,89,37,1403,126
155,25005641300,174,83,33,2472,290
156,25005641400,9,85,57,975,151
157,25005641500,27,10,6,1186,43
158,25005641600,9,0,0,970,9
159,25005641700,0,0,0,2258,0
160,25005641800,12,37,20,1194,69
161,25005641900,41,0,19,942,60
162,25005642000,30,8,0,1101,38
163,25005642100,0,140,0,2076,140
164,25005642200,22,6,51,1546,79
165,25005642300,0,69,7,1156,76
166,25005642400,11,53,19,1452,83
167,25005642500,33,15,6,2415,54
168,25005644101,25,0,0,3301,25
169,25005644102,0,21,0,2564,21
170,25005644200,21,21,0,3198,42
171,25005645101,8,0,13,2221,21
172,25005645102,39,0,15,3133,54
173,25005645103,40,0,0,3380,40
174,25005646101,0,0,0,3895,0
175,25005646103,0,14,0,2994,14
176,25005646104,32,0,0,1221,32
