name,lat,lng,vicinity,business_status,permanently_closed ,rating ,user_ratings_total ,source,type
Tony's Clam Shop,42.2752253,-71.00599629999999,"861 Quincy Shore Drive, Quincy",CLOSED_TEMPORARILY,True,4.3,1609,GOOGLE,"restaurant,food,point_of_interest,establishment"
Great Chow,42.26755029999999,-71.0168655,"17 Beale Street, Quincy",OPERATIONAL,False,3.9,147,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment"
La Paloma Mexican Restaurant,42.26916929999999,-71.02435630000001,"195 Newport Avenue, Quincy",OPERATIONAL,False,4.2,545,GOOGLE,"restaurant,food,point_of_interest,establishment"
Chipotle Mexican Grill,42.2725836,-71.02726489999999,"60 Newport Avenue, Quincy",OPERATIONAL,False,3.9,627,GOOGLE,"restaurant,food,point_of_interest,establishment"
China Jade,42.2693067,-71.0243665,"195 Newport Avenue, Quincy",OPERATIONAL,False,3.5,42,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment"
99 Restaurants,42.272903,-71.028637,"59 Newport Avenue, Quincy",OPERATIONAL,False,4.1,723,GOOGLE,"restaurant,bar,food,point_of_interest,establishment"
Grumpy White's Restaurant,42.26130999999999,-70.992166,"211 Sea Street, Quincy",OPERATIONAL,False,4.4,623,GOOGLE,"restaurant,food,point_of_interest,establishment"
The Clam Box,42.2763151,-71.0092804,"789 Quincy Shore Drive, Quincy",OPERATIONAL,False,4.3,1422,GOOGLE,"restaurant,food,point_of_interest,establishment"
Chili Square,42.26780660000001,-71.0160294,"666 Hancock Street, Quincy",OPERATIONAL,False,4.4,178,GOOGLE,"restaurant,food,point_of_interest,establishment"
The China,42.2673683,-71.0158386,"681 Hancock Street, Quincy",OPERATIONAL,False,3.8,380,GOOGLE,"bar,restaurant,food,point_of_interest,establishment"
Hakata Ramen,42.26749580000001,-71.016081,"673 Hancock Street, Quincy",OPERATIONAL,False,4.4,343,GOOGLE,"restaurant,food,point_of_interest,establishment"
Open Rice Bistro,42.2742244,-71.0243634,"68 Billings Road, Quincy",OPERATIONAL,False,3.5,2,GOOGLE,"restaurant,food,point_of_interest,establishment"
The Wheelhouse Diner,42.27223199999999,-71.023951,"453 Hancock Street, Quincy",OPERATIONAL,False,4.4,433,GOOGLE,"restaurant,food,point_of_interest,establishment"
