,name,lat,lng,vicinity,business_status,permanently_closed ,rating ,user_ratings_total ,source,type,volient_no,expired
0,Tony's Clam Shop,42.275225299999995,-71.00599629999998,"861 Quincy Shore Drive, Quincy",CLOSED_TEMPORARILY,True,4.3,1609,GOOGLE,"restaurant,food,point_of_interest,establishment",,
1,Great Chow,42.26755029999999,-71.01686550000001,"17 Beale Street, Quincy",OPERATIONAL,False,3.9,147,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
2,La Paloma Mexican Restaurant,42.26916929999999,-71.02435630000002,"195 Newport Avenue, Quincy",OPERATIONAL,False,4.2,545,GOOGLE,"restaurant,food,point_of_interest,establishment",,
3,Chipotle Mexican Grill,42.272583600000004,-71.02726489999998,"60 Newport Avenue, Quincy",OPERATIONAL,False,3.9,627,GOOGLE,"restaurant,food,point_of_interest,establishment",142,False
4,China Jade,42.2693067,-71.0243665,"195 Newport Avenue, Quincy",OPERATIONAL,False,3.5,42,GOOGLE,"meal_delivery,restaurant,food,point_of_interest,establishment",,
5,99 Restaurants,42.272903,-71.028637,"59 Newport Avenue, Quincy",OPERATIONAL,False,4.1,723,GOOGLE,"restaurant,bar,food,point_of_interest,establishment",,
6,Grumpy White's Restaurant,42.26130999999999,-70.992166,"211 Sea Street, Quincy",OPERATIONAL,False,4.4,623,GOOGLE,"restaurant,food,point_of_interest,establishment",,
7,The Clam Box,42.2763151,-71.0092804,"789 Quincy Shore Drive, Quincy",OPERATIONAL,False,4.3,1422,GOOGLE,"restaurant,food,point_of_interest,establishment",,
8,Chili Square,42.26780660000001,-71.01602940000001,"666 Hancock Street, Quincy",OPERATIONAL,False,4.4,178,GOOGLE,"restaurant,food,point_of_interest,establishment",,
9,The China,42.267368299999994,-71.0158386,"681 Hancock Street, Quincy",OPERATIONAL,False,3.8,380,GOOGLE,"bar,restaurant,food,point_of_interest,establishment",,
10,Hakata Ramen,42.267495800000006,-71.016081,"673 Hancock Street, Quincy",OPERATIONAL,False,4.4,343,GOOGLE,"restaurant,food,point_of_interest,establishment",,
11,Open Rice Bistro,42.2742244,-71.02436340000001,"68 Billings Road, Quincy",OPERATIONAL,False,3.5,2,GOOGLE,"restaurant,food,point_of_interest,establishment",,
12,The Wheelhouse Diner,42.27223199999999,-71.023951,"453 Hancock Street, Quincy",OPERATIONAL,False,4.4,433,GOOGLE,"restaurant,food,point_of_interest,establishment",,
