branch,num_of_instance
785,90
3205,89
3365,89
2138,89
1846,88
3080,87
2859,87
1292,87
1572,86
2858,86
263,84
65,84
1161,83
673,82
2780,82
891,82
686,81
2542,81
95,81
434,80
1982,80
271,80
3679,79
2998,79
1538,79
1382,78
2599,77
1495,77
771,76
54,76
1532,76
45,75
1392,75
2125,74
1494,73
652,73
2058,73
51,72
597,72
2574,72
702,71
1237,71
1284,70
3224,70
521,70
3624,69
2558,69
1644,69
2493,67
256,67
1994,67
3020,66
1449,66
2137,66
1201,65
1488,65
1651,65
1114,65
3250,65
2210,65
414,64
1937,63
1672,63
1843,63
3584,63
3220,63
971,62
953,62
2229,62
657,62
3092,61
2416,61
2650,61
1971,61
497,61
3366,61
3590,60
1411,60
1204,60
3691,60
3210,59
1679,59
1086,59
1861,59
2044,59
3671,59
1997,58
285,58
1171,58
127,58
566,58
1393,57
1614,56
1408,56
1656,56
2219,56
1996,56
2795,55
1808,55
96,54
166,54
1875,54
1196,54
1622,53
1653,53
1928,53
502,52
186,51
266,51
1962,51
1642,51
524,51
1369,50
1626,50
2900,49
1482,49
43,49
3182,49
3234,49
1207,49
1835,49
1560,49
168,48
3746,47
3789,47
2874,47
238,47
2374,46
678,46
1446,46
3658,46
840,45
200,45
57,45
1742,45
3742,45
3411,45
1389,45
3592,44
1859,44
1064,44
89,44
3335,44
2570,44
1623,43
3554,43
2725,41
887,41
3396,41
3636,40
2588,40
2516,40
2159,40
59,40
624,40
1412,39
1486,39
3151,39
1062,39
3429,39
2575,39
3750,39
2095,38
2057,38
2237,38
1007,38
101,38
2028,38
1440,37
2418,37
2193,37
1643,37
257,37
1051,37
902,36
55,36
3665,36
2348,36
3640,36
438,35
1329,35
250,34
3068,34
3416,34
1059,33
647,33
3598,33
554,33
2030,33
542,33
3215,32
2675,32
2190,32
1892,32
2580,32
910,32
2215,32
2492,31
2102,31
656,31
314,31
727,31
1088,31
3440,29
1144,29
495,29
3809,29
2624,29
2438,29
3294,29
451,28
1719,28
2635,28
623,28
3812,28
545,28
2422,28
1279,28
1035,28
3211,27
494,27
885,27
583,27
