,route_id,level_0,level_1,total,impacted_pop
0,216,25,0,25,45377
1,214,25,0,25,32177
2,31,2,0,2,26735
3,21,8,2,10,87294
4,19,31,36,67,138729
5,16,22,13,35,98088
6,22,36,22,58,106221
7,32,20,6,26,125600
8,36,20,6,26,127710
9,29,34,7,41,72978
10,34,20,9,29,115225
11,28,22,30,52,73112
12,66,14,18,32,150750
13,10,11,32,43,116473
14,45,26,30,56,73806
15,23,15,24,39,54040
16,14,17,24,41,78760
17,60,4,7,11,73084
18,65,4,7,11,93652
19,43,14,0,14,48414
20,8,34,23,57,111264
21,47,24,17,41,97989
22,11,8,5,13,86967
23,57,5,21,26,95867
24,9,16,15,31,130173
25,708,7,6,13,23826
26,747,6,10,16,52981
27,44,37,15,52,55970
28,751,9,0,9,33263
29,749,9,0,9,30520
30,170,8,0,8,79750
31,35,7,2,9,129029
32,37,6,2,8,105249
33,38,13,3,16,113070
34,39,13,3,16,81594
35,15,10,18,28,73130
36,1,9,2,11,75688
37,171,4,4,8,8849
38,41,15,15,30,65049
39,42,4,15,19,39090
40,553,3,0,3,69017
41,504,2,0,2,25111
42,55,1,0,1,48816
43,701,1,0,1,36002
44,120,1,0,1,96448
45,114,1,0,1,37451
46,117,1,0,1,70470
47,121,1,0,1,38248
48,116,1,0,1,66513
49,439,14,12,26,28691
50,442,21,19,40,69643
51,449,4,13,17,77737
52,448,4,13,17,79433
53,441,8,18,26,55942
54,429,20,0,20,56138
55,435,16,3,19,49814
56,436,17,1,18,42593
57,455,25,11,36,105968
58,456,19,1,20,51292
59,000,36,4,40,105881
60,426,15,0,15,53601
61,459,17,9,26,95007
62,424,2,1,3,61701
63,450,2,2,4,74683
64,434,2,1,3,54469
65,17,0,7,7,48907
66,5,0,5,5,59245
67,40,0,3,3,59701
68,34E,0,3,3,220341
69,70A,0,3,3,218875
70,57A,0,13,13,57080
71,451,0,7,7,54724
72,465,0,5,5,31432
73,105,0,22,22,96003
74,109,0,4,4,49577
75,411,0,9,9,100530
76,108,0,9,9,89135
77,430,0,9,9,64286
78,106,0,5,5,109042
