,district,level_0,level_1,total,rep
3,7th Suffolk,52,57,109,Chynah Tyler (D)
2,11th Suffolk,42,30,72,Elizabeth A. Malia (D)
10,11th Essex,5,43,48,Peter L. Capano (D)
0,6th Suffolk,20,20,40,Russell E. Holmes (D)
9,5th Suffolk,3,35,38,Liz Miranda (D)
5,9th Suffolk,9,17,26,Jon Santiago (D)
13,10th Essex,0,18,18,Daniel H. Cahill (D)
11,2nd Norfolk,7,9,16,Tackey Chan (D)
15,19th Suffolk,0,16,16,Robert A. DeLeo (D)
4,1st Suffolk,3,10,13,Adrian C. Madaro (D)
8,4th Suffolk,5,6,11,David Biele (D)
12,15th Suffolk,0,11,11,Nika Elugardo (D)
1,14th Suffolk,4,5,9,Angelo M. Scaccia (D)
14,8th Essex,0,8,8,Lori A. Ehrlich (D)
6,16th Suffolk,3,2,5,RoseLee Vincent (D)
7,13th Suffolk,1,1,2,Daniel J. Hunt (D)
