route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route,fare,reduced_fare
167,352,1,352,"North Burlington - State Street, Boston",Commuter Bus,3,https://www.mbta.com/schedules/352,FFC72C,0,53520,Outer Express,line-352,,5.25,2.6
168,354,1,354,"North Burlington - State Street, Boston",Commuter Bus,3,https://www.mbta.com/schedules/354,FFC72C,0,53540,Outer Express,line-354,,5.25,2.6
169,411,1,411,Kennedy Drive or Jack Satter House - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/411,FFC72C,0,54110,Local Bus,line-411430,,1.7,0.85
170,424,1,424,Eastern Avenue & Essex Street - Wonderland Station,Commuter Bus,3,https://www.mbta.com/schedules/424,FFC72C,0,54240,Local Bus,line-424450456,,1.7,0.85
171,426,1,426,"Central Square, Lynn - Haymarket or Wonderland Station",Local Bus,3,https://www.mbta.com/schedules/426,FFC72C,0,54260,Inner Express,line-426428,,4.25,2.1
172,428,1,428,Oaklandvale - Haymarket Station,Commuter Bus,3,https://www.mbta.com/schedules/428,FFC72C,0,54280,Inner Express,line-426428,,4.25,2.1
173,429,1,429,"Northgate Shopping Center - Central Square, Lynn",Local Bus,3,https://www.mbta.com/schedules/429,FFC72C,0,54290,Local Bus,line-429,,1.7,0.85
174,430,1,430,Saugus Center - Malden Center Station,Local Bus,3,https://www.mbta.com/schedules/430,FFC72C,0,54300,Local Bus,line-411430,,1.7,0.85
175,434,1,434,"Main Street, Peabody - Haymarket Station",Commuter Bus,3,https://www.mbta.com/schedules/434,FFC72C,0,54340,Inner Express,line-434435436,,4.25,2.1
176,435,1,435,"Liberty Tree Mall - Central Square, Lynn via Peabody Square",Local Bus,3,https://www.mbta.com/schedules/435,FFC72C,0,54350,Local Bus,line-434435436,,1.7,0.85
177,436,1,436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Local Bus,3,https://www.mbta.com/schedules/436,FFC72C,0,54360,Local Bus,line-434435436,,1.7,0.85
178,439,1,439,Nahant - Wonderland Station,Commuter Bus,3,https://www.mbta.com/schedules/439,FFC72C,0,54390,Local Bus,line-439441442,,1.7,0.85
179,441,1,441,Marblehead - Wonderland Station via Paradise Road,Local Bus,3,https://www.mbta.com/schedules/441,FFC72C,0,54410,Local Bus,line-439441442,,1.7,0.85
180,441442,1,441/442,Marblehead - Wonderland Station,Local Bus,3,,FFC72C,0,54411,Local Bus,line-439441442,1.0,1.7,0.85
181,442,1,442,Marblehead - Wonderland Station via Humphrey Street,Local Bus,3,https://www.mbta.com/schedules/442,FFC72C,0,54420,Local Bus,line-439441442,,1.7,0.85
182,450,1,450,Salem Depot - Wonderland or Haymarket Station,Local Bus,3,https://www.mbta.com/schedules/450,FFC72C,0,54500,Inner Express,line-424450456,,4.25,2.1
183,451,1,451,North Beverly Station - Salem Depot,Commuter Bus,3,https://www.mbta.com/schedules/451,FFC72C,0,54510,Local Bus,line-451465,,1.7,0.85
184,455,1,455,Salem Depot - Wonderland Station,Local Bus,3,https://www.mbta.com/schedules/455,FFC72C,0,54550,Local Bus,line-455,,1.7,0.85
185,456,1,456,"Salem Depot - Central Square, Lynn",Local Bus,3,https://www.mbta.com/schedules/456,FFC72C,0,54560,Local Bus,line-424450456,,1.7,0.85
186,465,1,465,Danvers Square - Salem Depot,Local Bus,3,https://www.mbta.com/schedules/465,FFC72C,0,54650,Local Bus,line-451465,,1.7,0.85
187,501,1,501,Brighton Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/501,FFC72C,0,55010,Inner Express,line-501503,,4.25,2.1
188,502,1,502,Watertown Yard - Copley Station,Commuter Bus,3,https://www.mbta.com/schedules/502,FFC72C,0,55020,Inner Express,line-502504,,4.25,2.1
189,503,1,503,Brighton Center - Copley Square,Commuter Bus,3,https://www.mbta.com/schedules/503,FFC72C,0,55030,Inner Express,line-501503,,4.25,2.1
190,504,1,504,Watertown Yard - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/504,FFC72C,0,55040,Inner Express,line-502504,,4.25,2.1
191,505,1,505,Waltham Center - Federal Street & Franklin Street,Commuter Bus,3,https://www.mbta.com/schedules/505,FFC72C,0,55050,Outer Express,line-505553554,,5.25,2.6
192,553,1,553,Roberts - Newton Corner,Local Bus,3,https://www.mbta.com/schedules/553,FFC72C,0,55530,Local Bus,line-505553554,,1.7,0.85
193,554,1,554,Waverley Square - Newton Corner,Local Bus,3,https://www.mbta.com/schedules/554,FFC72C,0,55540,Local Bus,line-505553554,,1.7,0.85
194,556,1,556,Waltham Highlands - Newton Corner,Commuter Bus,3,https://www.mbta.com/schedules/556,FFC72C,0,55560,Local Bus,line-556558,,1.7,0.85
195,558,1,558,Riverside Station - Newton Corner,Commuter Bus,3,https://www.mbta.com/schedules/558,FFC72C,0,55580,Local Bus,line-556558,,1.7,0.85
196,710,1,710,North Medford - Wellington Station,Local Bus,3,https://www.mbta.com/schedules/710,FFC72C,0,57100,Local Bus,line-710,,1.7,0.85
197,712,1,712,Point Shirley - Orient Heights Station via Revere Street,Local Bus,3,https://www.mbta.com/schedules/712,FFC72C,0,57120,Local Bus,line-712713,,1.7,0.85
198,713,1,713,Point Shirley - Orient Heights Station via Winthrop Center,Local Bus,3,https://www.mbta.com/schedules/713,FFC72C,0,57130,Local Bus,line-712713,,1.7,0.85
199,714,1,714,"Pemberton Point, Hull - Station Street, Hingham",Local Bus,3,https://www.mbta.com/schedules/714,FFC72C,0,57140,Local Bus,line-714,,1.7,0.85
200,716,1,716,Cobbs Corner - Mattapan Station,Local Bus,3,https://www.mbta.com/schedules/716,FFC72C,0,57160,Local Bus,line-716,,1.7,0.85
201,602,1,Green Line Shuttle,Lechmere Station - North Station,Rail Replacement Bus,3,,FFC72C,0,60200,Free,line-Green,1.0,0.0,0.0
202,Shuttle-BraintreeQuincyCenter,1,Red Line Shuttle,Braintree - Quincy Center,Rail Replacement Bus,3,,FFC72C,0,61000,Free,line-Red,1.0,0.0,0.0
203,Shuttle-BrooklineHillsKenmore,1,Green Line D Shuttle,Brookline Hills - Kenmore,Rail Replacement Bus,3,,FFC72C,0,61100,Free,line-Green,1.0,0.0,0.0
204,Shuttle-FenwayNewtonHighlands,1,Green Line D Shuttle,Newton Highlands - Fenway,Rail Replacement Bus,3,,FFC72C,0,61490,Free,line-Green,1.0,0.0,0.0
205,Shuttle-ForgeParkWalpole,1,Franklin Line Shuttle,Forge Park/495 - Walpole,Rail Replacement Bus,3,,FFC72C,0,61770,Free,line-Franklin,1.0,0.0,0.0
206,Shuttle-Generic,1,Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61910,Free,,1.0,0.0,0.0
207,Shuttle-Generic-Blue,1,Blue Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61911,Free,line-Blue,1.0,0.0,0.0
208,Shuttle-Generic-CommuterRail,1,Commuter Rail Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61912,Free,,1.0,0.0,0.0
209,Shuttle-Generic-CommuterRail-North,1,North Side Commuter Rail Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61913,Free,,1.0,0.0,0.0
210,Shuttle-Generic-CommuterRail-South,1,South Side Commuter Rail Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61914,Free,,1.0,0.0,0.0
211,Shuttle-Generic-Elevator,1,Elevator Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61915,Free,,1.0,0.0,0.0
212,Shuttle-Generic-Fairmount,1,Fairmount Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61916,Free,line-Fairmount,1.0,0.0,0.0
213,Shuttle-Generic-Fitchburg,1,Fitchburg Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61917,Free,line-Fitchburg,1.0,0.0,0.0
214,Shuttle-Generic-Franklin,1,Franklin Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61918,Free,line-Franklin,1.0,0.0,0.0
215,Shuttle-Generic-Green,1,Green Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61919,Free,line-Green,1.0,0.0,0.0
216,Shuttle-Generic-Green-B,1,Green Line B Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61920,Free,line-Green,1.0,0.0,0.0
217,Shuttle-Generic-Greenbush,1,Greenbush Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61921,Free,line-Greenbush,1.0,0.0,0.0
218,Shuttle-Generic-Green-C,1,Green Line C Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61922,Free,line-Green,1.0,0.0,0.0
219,Shuttle-Generic-Green-D,1,Green Line D Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61923,Free,line-Green,1.0,0.0,0.0
220,Shuttle-Generic-Green-E,1,Green Line E Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61924,Free,line-Green,1.0,0.0,0.0
221,Shuttle-Generic-Green-Trunk,1,Green Line Subway Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61925,Free,line-Green,1.0,0.0,0.0
222,Shuttle-Generic-Haverhill,1,Haverhill Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61926,Free,line-Haverhill,1.0,0.0,0.0
223,Shuttle-Generic-Kingston,1,Kingston/Plymouth Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61927,Free,line-Kingston,1.0,0.0,0.0
224,Shuttle-Generic-Lowell,1,Lowell Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61928,Free,line-Lowell,1.0,0.0,0.0
225,Shuttle-Generic-Mattapan,1,Mattapan Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61929,Free,line-Mattapan,1.0,0.0,0.0
226,Shuttle-Generic-Middleborough,1,Middleborough/Lakeville Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61930,Free,line-Middleborough,1.0,0.0,0.0
227,Shuttle-Generic-Needham,1,Needham Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61931,Free,line-Needham,1.0,0.0,0.0
228,Shuttle-Generic-Newburyport,1,Newburyport/Rockport Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61932,Free,line-Newburyport,1.0,0.0,0.0
229,Shuttle-Generic-Orange,1,Orange Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61933,Free,line-Orange,1.0,0.0,0.0
230,Shuttle-Generic-Providence,1,Providence/Stoughton Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61934,Free,line-Providence,1.0,0.0,0.0
231,Shuttle-Generic-Red,1,Red Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61935,Free,line-Red,1.0,0.0,0.0
232,Shuttle-Generic-Red-Ashmont,1,Red Line Ashmont Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61936,Free,line-Red,1.0,0.0,0.0
233,Shuttle-Generic-Red-Braintree,1,Red Line Braintree Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61937,Free,line-Red,1.0,0.0,0.0
234,Shuttle-Generic-Red-Trunk,1,Red Line Trunk Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61938,Free,line-Red,1.0,0.0,0.0
235,Shuttle-Generic-Worcester,1,Framingham/Worcester Line Shuttle,,Rail Replacement Bus,3,,FFC72C,0,61939,Free,line-Worcester,1.0,0.0,0.0
236,Shuttle-KenmoreReservoir,1,Green Line D Shuttle,Reservoir - Kenmore,Rail Replacement Bus,3,,FFC72C,0,62010,Free,line-Green,1.0,0.0,0.0
237,Shuttle-NewtonHighlandsKenmore,1,Green Line D Shuttle,Newton Highlands - Kenmore,Rail Replacement Bus,3,,FFC72C,0,62090,Free,line-Green,1.0,0.0,0.0
238,Shuttle-NewtonHighlandsRiverside,1,Green Line D Shuttle,Riverside - Newton Highlands,Rail Replacement Bus,3,,FFC72C,0,62100,Free,line-Green,1.0,0.0,0.0
239,Shuttle-OakGroveWellington,1,Orange Line Shuttle,Oak Grove - Wellington,Rail Replacement Bus,3,,FFC72C,0,62300,Free,line-Orange,1.0,0.0,0.0
240,Shuttle-ReservoirRiverside,1,Green Line D Shuttle,Riverside - Reservoir,Rail Replacement Bus,3,,FFC72C,0,62400,Free,line-Green,1.0,0.0,0.0
