Date,AAPL,FB,NVDA,MSFT,JNJ,TSLA
2015-01-02,24.696352005004883,78.44999694824219,19.38051414489746,41.53913497924805,88.70050048828125,43.86199951171875
2015-01-05,24.000614166259766,77.19000244140625,19.05317497253418,41.15715789794922,88.08099365234375,42.018001556396484
2015-01-06,24.00287628173828,76.1500015258789,18.475513458251953,40.55307388305664,87.64815521240234,42.25600051879883
2015-01-07,24.339447021484375,76.1500015258789,18.4273738861084,41.06830978393555,89.5831069946289,42.189998626708984
2015-01-08,25.27462387084961,78.18000030517578,19.120563507080078,42.27646255493164,90.28746032714844,42.124000549316406
2015-01-09,25.30173110961914,77.73999786376953,19.197589874267578,41.92112350463867,89.05693054199219,41.332000732421875
2015-01-12,24.678279876708984,76.72000122070312,18.956893920898438,41.397003173828125,88.75143432617188,40.44200134277344
2015-01-13,24.89739227294922,76.44999694824219,18.92801284790039,41.18379592895508,88.9041748046875,40.849998474121094
2015-01-14,24.802518844604492,76.27999877929688,19.005033493041992,40.82845687866211,88.25920104980469,38.53799819946289
2015-01-15,24.12936782836914,74.05000305175781,18.87025260925293,40.40205383300781,86.97773742675781,38.374000549316406
2015-01-16,23.941884994506836,75.18000030517578,19.216842651367188,41.07719802856445,88.29315185546875,38.61399841308594
2015-01-20,24.558555603027344,76.23999786376953,19.27460289001465,41.210445404052734,85.9593734741211,38.38600158691406
2015-01-21,24.746047973632812,76.73999786376953,19.54418182373047,40.79292297363281,86.47705078125,39.31399917602539
2015-01-22,25.38982582092285,77.6500015258789,19.881149291992188,41.867828369140625,88.0555419921875,40.32400131225586
2015-01-23,25.520843505859375,77.83000183105469,19.938919067382812,41.912235260009766,86.73163604736328,40.257999420166016
2015-01-26,25.54795265197754,77.5,19.85226821899414,41.76123046875,86.78256225585938,41.310001373291016
2015-01-27,24.65343475341797,75.77999877929688,18.899127960205078,37.89691162109375,86.63827514648438,41.19599914550781
2015-01-28,26.04715919494629,76.23999786376953,18.591041564941406,36.591041564941406,86.12061309814453,39.874000549316406
2015-01-29,26.85810089111328,78.0,19.043546676635742,37.319496154785156,86.88439178466797,41.040000915527344
2015-01-30,26.465057373046875,75.91000366210938,18.485139846801758,35.889251708984375,84.98342895507812,40.720001220703125
2015-02-02,26.797109603881836,74.98999786376953,18.88950538635254,36.670997619628906,85.56897735595703,42.1879997253418
2015-02-03,26.801626205444336,75.4000015258789,19.361257553100586,36.95526885986328,86.9522933959961,43.672000885009766
2015-02-04,27.007186889648438,75.62999725341797,19.409399032592773,37.16847229003906,86.01876068115234,43.709999084472656
2015-02-05,27.199951171875,75.61000061035156,19.727108001708984,37.71036148071289,86.9522933959961,44.198001861572266
2015-02-06,26.970901489257812,74.47000122070312,19.640460968017578,37.6748161315918,85.79812622070312,43.47200012207031
2015-02-09,27.150056838989258,74.44000244140625,19.621204376220703,37.630409240722656,84.67790222167969,43.49599838256836
2015-02-10,27.67165184020996,75.19000244140625,20.169981002807617,37.84360885620117,85.1616439819336,43.257999420166016
2015-02-11,28.320241928100586,76.51000213623047,20.03519630432129,37.6481819152832,85.18710327148438,42.560001373291016
2015-02-12,28.678550720214844,76.2300033569336,21.469722747802734,38.278907775878906,83.54072570800781,40.57600021362305
2015-02-13,28.81915855407715,75.73999786376953,21.479345321655273,38.97180938720703,84.54214477539062,40.75400161743164
2015-02-17,28.989240646362305,75.5999984741211,21.546737670898438,38.98971176147461,85.23802947998047,40.869998931884766
2015-02-18,29.191072463989258,76.70999908447266,21.29642105102539,38.944976806640625,84.8306655883789,40.891998291015625
2015-02-19,29.129840850830078,79.41999816894531,21.35418701171875,38.918121337890625,85.45867919921875,42.34199905395508
2015-02-20,29.367961883544922,79.9000015258789,21.508235931396484,39.24021530151367,85.68087768554688,43.422000885009766
2015-02-23,30.16168975830078,78.83999633789062,21.334928512573242,39.49966812133789,85.61251068115234,41.46799850463867
2015-02-24,29.973464965820312,78.44999694824219,21.562055587768555,39.44598388671875,86.05687713623047,40.821998596191406
2015-02-25,29.206951141357422,79.55999755859375,21.397750854492188,39.35651397705078,86.49271392822266,40.75199890136719
2015-02-26,29.576597213745117,80.41000366210938,21.455739974975586,39.419151306152344,87.85152435302734,41.4379997253418
2015-02-27,29.132116317749023,78.97000122070312,21.3204345703125,39.231266021728516,87.60369873046875,40.667999267578125
2015-03-02,29.274980545043945,79.75,21.842330932617188,39.258113861083984,88.2104263305664,39.465999603271484
2015-03-03,29.33621597290039,79.5999984741211,21.436412811279297,38.7213020324707,87.4583969116211,39.9119987487793
2015-03-04,29.150253295898438,80.9000015258789,21.678028106689453,38.524471282958984,86.86874389648438,40.487998962402344
2015-03-05,28.667213439941406,81.20999908447266,22.093610763549805,38.569210052490234,87.61221313476562,40.125999450683594
2015-03-06,28.710296630859375,80.01000213623047,21.79400634765625,37.89820861816406,85.55268096923828,38.7760009765625
2015-03-09,28.832761764526367,79.44000244140625,21.85199737548828,38.33659744262695,86.02269744873047,38.17599868774414
2015-03-10,28.236331939697266,77.55000305175781,22.228923797607422,37.60296630859375,85.0570297241211,38.06399917602539
2015-03-11,27.72154426574707,77.56999969482422,22.11294174194336,37.55824279785156,84.02295684814453,38.74800109863281
2015-03-12,28.22272300720215,78.93000030517578,21.909988403320312,36.69934844970703,85.31340026855469,38.2140007019043
2015-03-13,28.027690887451172,78.05000305175781,21.93897819519043,37.02143859863281,84.78355407714844,37.736000061035156
2015-03-16,28.33611488342285,78.06999969482422,22.199920654296875,37.18246841430664,86.3645248413086,39.13999938964844
