GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AJWME001
"G25000100107002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010700","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 107, Barnstable County, Massachusetts",,,1017
"G25000100107003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010700","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 107, Barnstable County, Massachusetts",,,595
"G25000100107004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010700","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",,,601
"G25000100108001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010800","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 108, Barnstable County, Massachusetts",,,1093
"G25000100108002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010800","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",,,384
"G25000100108003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010800","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 108, Barnstable County, Massachusetts",,,672
"G25000100108004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010800","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 108, Barnstable County, Massachusetts",,,701
"G25000100108005","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010800","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 108, Barnstable County, Massachusetts",,,1698
"G25000100109001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010900","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 109, Barnstable County, Massachusetts",,,1766
"G25000100109002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010900","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 109, Barnstable County, Massachusetts",,,1330
"G25000100109003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010900","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 109, Barnstable County, Massachusetts",,,1503
"G25000100109004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"010900","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 109, Barnstable County, Massachusetts",,,721
"G25000100110021","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011002","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 110.02, Barnstable County, Massachusetts",,,544
"G25000100110022","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011002","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 110.02, Barnstable County, Massachusetts",,,648
"G25000100110023","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011002","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 110.02, Barnstable County, Massachusetts",,,579
"G25000100110024","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011002","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 110.02, Barnstable County, Massachusetts",,,2274
"G25000100111001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011100","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 111, Barnstable County, Massachusetts",,,908
"G25000100111002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011100","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 111, Barnstable County, Massachusetts",,,1323
"G25000100111003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011100","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 111, Barnstable County, Massachusetts",,,1624
"G25000100111004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011100","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 111, Barnstable County, Massachusetts",,,817
"G25000100112001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011200","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 112, Barnstable County, Massachusetts",,,1164
"G25000100112002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011200","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 112, Barnstable County, Massachusetts",,,1191
"G25000100112003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011200","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 112, Barnstable County, Massachusetts",,,456
"G25000100112004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011200","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 112, Barnstable County, Massachusetts",,,614
"G25000100113001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011300","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 113, Barnstable County, Massachusetts",,,777
"G25000100113002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011300","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 113, Barnstable County, Massachusetts",,,1145
"G25000100113003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011300","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 113, Barnstable County, Massachusetts",,,636
"G25000100114001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011400","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 114, Barnstable County, Massachusetts",,,708
"G25000100114002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011400","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 114, Barnstable County, Massachusetts",,,1032
"G25000100114003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011400","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 114, Barnstable County, Massachusetts",,,193
"G25000100114004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011400","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 114, Barnstable County, Massachusetts",,,958
"G25000100115001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011500","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 115, Barnstable County, Massachusetts",,,799
"G25000100115002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011500","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 115, Barnstable County, Massachusetts",,,742
"G25000100115003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011500","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 115, Barnstable County, Massachusetts",,,603
"G25000100115004","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011500","4",,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 115, Barnstable County, Massachusetts",,,844
"G25000100115005","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011500","5",,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 115, Barnstable County, Massachusetts",,,802
"G25000100116001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011600","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 116, Barnstable County, Massachusetts",,,1885
"G25000100116002","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011600","2",,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 116, Barnstable County, Massachusetts",,,597
"G25000100116003","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011600","3",,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 116, Barnstable County, Massachusetts",,,482
"G25000100117001","2014-2018",,,"Massachusetts","25","Barnstable County","001",,,"011700","1",,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 117, Barnstable County, Massachusetts",,,663
