,DATE,TIME,NUM,ADDRESS,LAT,LONG,SEX,RACE,AGE,PRECISION,Ethnicity,OfficerID,OfficerFirstName,OfficerLastName,OfficerDesignation
2953,20150102,1736,15-1-FI,"34 WING ST, New Bedford, MA",41.626941200000005,-70.9259606,F,U,13  ,Exact,U,3974,Roberto,DaCunha,(4B-3974)
2955,20150102,1736,15-1-FI,"34 WING ST, New Bedford, MA",41.626941200000005,-70.9259606,M,B,14  ,Exact,N,3974,Roberto,DaCunha,(4B-3974)
2954,20150102,1736,15-1-FI,"34 WING ST, New Bedford, MA",41.626941200000005,-70.9259606,M,W,14  ,Exact,N,3974,Roberto,DaCunha,(4B-3974)
2956,20150102,1736,15-1-FI,"34 WING ST, New Bedford, MA",41.626941200000005,-70.9259606,M,W,15  ,Exact,N,3974,Roberto,DaCunha,(4B-3974)
1620,20150323,47,15-101-FI,"1642 ACUSHNET AVE, New Bedford, MA",41.665114,-70.9285983,M,W,38  ,Exact,N,4031,Nathan,Avelar,(2A-4031)
2423,20150325,848,15-102-FI,"230 HATHAWAY BLVD, New Bedford, MA",41.6442804,-70.94650370000001,F,W,14  ,Exact,N,3847,John,Ribeiro,(0B-3847)
755,20150325,1244,15-103-FI,"1229 ACUSHNET AVE, New Bedford, MA",41.631877,-70.924502,M,W,19  ,Exact,H,3849,Scott,DeCosta,(2B-3849)
757,20150325,1244,15-103-FI,"1229 ACUSHNET AVE, New Bedford, MA",41.631877,-70.924502,F,W,20  ,Exact,H,3849,Scott,DeCosta,(2B-3849)
756,20150325,1244,15-103-FI,"1229 ACUSHNET AVE, New Bedford, MA",41.631877,-70.924502,M,W,20  ,Exact,H,3849,Scott,DeCosta,(2B-3849)
758,20150325,1244,15-103-FI,"1229 ACUSHNET AVE, New Bedford, MA",41.631877,-70.924502,M,W,35  ,Exact,H,3849,Scott,DeCosta,(2B-3849)
3814,20150326,1940,15-104-FI,"582 S FIRST ST, New Bedford, MA",41.621659,-70.92098259999999,M,W,17  ,Exact,H,3967,Antonio,Pereira,(3B-3967)
1394,20150326,1946,15-105-FI,"153 PLEASANT ST, New Bedford, MA",41.626881299999994,-70.9255929,M,B,19  ,Exact,N,3986,George,Lozado,(1B-3986)
2629,20150326,1957,15-106-FI,"277 ASHLEY BLVD, New Bedford, MA",41.663132,-70.930371,M,B,19  ,Exact,N,3967,Antonio,Pereira,(3B-3967)
269,20150326,2009,15-107-FI,"101 ASHLEY BLVD, New Bedford, MA",41.6565058,-70.9293397,M,B,15  ,Exact,N,3974,Roberto,DaCunha,(4B-3974)
270,20150326,2009,15-107-FI,"101 ASHLEY BLVD, New Bedford, MA",41.6565058,-70.9293397,M,B,17  ,Exact,N,3974,Roberto,DaCunha,(4B-3974)
1150,20150326,2008,15-108-FI,"139 COFFIN AVE, New Bedford, MA",41.6626381,-70.9234318,M,B,17  ,Exact,N,3986,George,Lozado,(1B-3986)
