,Unnamed: 0,Business Name,Neighborhood,name_lower,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,972,AMAZING EYEBROW THREADING,East Boston,amazing eyebrow threading,sg:1778f7ea768f49e08955854106288d87,Amazing Eyebrow Threading,174 Sumner St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,279,119,"[6,9,14,7,10,10,12,17,8,12,13,11,12,8,10,2,8,7,9,6,11,6,8,11,8,8,3,9,6,8,10]",250250504001.0,"{""250250503002"":21,""250250504001"":6,""250250005021"":4,""250173833001"":4,""250250509012"":4,""250250502001"":4,""250251605021"":4,""250235112001"":4,""250250505001"":4,""330110104005"":4,""250250301002"":4,""250250808012"":4,""250250702003"":4,""250250107021"":4,""320030033103"":4,""250214071005"":4,""250251707022"":4,""250173701022"":4,""250235021023"":4,""250250507001"":4,""250092062001"":4}","{""250250503002"":20,""250251802003"":6,""250250804012"":5,""250251708001"":4,""250173563005"":4,""250250507001"":4,""440050416011"":4,""250250502004"":4,""261251506002"":4,""250250512001"":4,""250235021023"":4,""250250701018"":4,""250250501013"":4,""250251707022"":4,""250092062003"":4,""250250005021"":4,""250235112001"":4,""250250505001"":4,""230310220001"":4,""330110104005"":4,""250235113014"":4}","{""250251706011"":6,""250173510005"":4,""120950171091"":4,""250214563024"":4,""250250511011"":4,""250173323005"":4,""250250501012"":4,""250251604001"":4,""250250701018"":4,""250250504001"":4,""250250503002"":4}","{""US"":98}",5558.0,35.0,"{""<5"":10,""5-20"":96,""21-60"":56,""61-240"":55,"">240"":62}","{""CVS"":24,""Ten Thousand Villages"":12,""Stop & Shop"":12,""Dunkin'"":8}","{""Dunkin'"":39,""Burger King"":30,""Market Basket"":17,""Stop & Shop"":15,""Subway"":14,""7-Eleven"":13,""McDonald's"":12,""Mobil"":10,""CVS"":10,""Planet Fitness"":9,""BJ's Wholesale Club"":9,""Target"":9,""T.J. Maxx"":7,""Marshalls"":7,""The Home Depot"":7,""Pollo Campero"":7,""Shaw's"":7,""Walgreens"":6,""IHOP"":6,""CrossFit"":6}","[40,38,41,39,37,38,48,47,52,51,63,66,61,50,56,57,53,44,34,34,43,40,40,46]","{""Monday"":31,""Tuesday"":40,""Wednesday"":45,""Thursday"":35,""Friday"":55,""Saturday"":35,""Sunday"":38}","{""android"":67,""ios"":51}"
1,973,Americano Espresso Bar,East Boston,americano espresso bar,sg:ba3ab7f62fee4456a178ce2b4daaaa7e,Americano Espresso Bar,155 Meridian St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,480,338,"[11,11,21,17,13,18,27,14,14,16,21,14,17,12,8,28,15,14,13,14,23,13,8,17,13,13,8,16,15,19,17]",250250506001.0,"{""250250507001"":16,""250250503002"":11,""250250505001"":11,""250250506002"":11,""250250510001"":8,""250250504002"":8,""250250503001"":7,""250250509011"":7,""250250509012"":7,""250250507003"":7,""250250511011"":6,""250250506001"":6,""250251805003"":5,""250251605011"":5,""250173334004"":5,""250250511012"":5,""250250507002"":5,""250251606025"":5,""250251708004"":5,""250173509001"":4,""250235241021"":4,""250173352002"":4,""250251707012"":4,""250173503001"":4,""250173422021"":4,""250251801013"":4,""250092508001"":4,""250250512003"":4,""250251601011"":4,""250250512002"":4,""250092067001"":4,""250251701007"":4,""250092664001"":4,""250092081022"":4,""250277401022"":4,""250250502002"":4,""250250502004"":4,""250214561011"":4,""250250501012"":4,""250092053004"":4,""250250509013"":4,""250251606021"":4,""250250510003"":4,""250250501011"":4,""440070170003"":4,""250251707023"":4,""250251602003"":4,""250250502001"":4,""330112001001"":4,""250250815002"":4,""250250512001"":4,""250173422011"":4,""250250820001"":4,""250250511013"":4,""250173411023"":4,""250251706011"":4,""250173241023"":4,""330110113004"":4}","{""250250503002"":13,""250250505001"":11,""250250507001"":9,""250250504002"":9,""250173549002"":8,""250250606001"":7,""250250510001"":6,""250250509012"":6,""250173106021"":6,""250250502003"":5,""250250510002"":5,""250250503001"":5,""250250507003"":5,""250250509011"":5,""250250506002"":5,""250173422011"":5,""250251707023"":4,""250250502001"":4,""250251602003"":4,""250250501012"":4,""250092181004"":4,""250092053004"":4,""250250610002"":4,""250173425003"":4,""250250509013"":4,""250173352002"":4,""250251707012"":4,""250250907003"":4,""250251805004"":4,""250173704002"":4,""250250002024"":4,""250250507002"":4,""250250502004"":4,""250214561011"":4,""250250512003"":4,""250092084001"":4,""250250203011"":4,""250251801013"":4,""250250403002"":4,""250173214002"":4,""250250501011"":4,""250251702001"":4,""250250511012"":4,""250250511011"":4,""250251701007"":4,""250251601012"":4,""420950162021"":4,""250092070002"":4,""250251706013"":4,""250214180021"":4,""250251604001"":4,""250250512002"":4,""250251605011"":4,""250092610001"":4,""250173354003"":4,""250251706011"":4,""250251703007"":4,""250173501031"":4,""250251708002"":4,""250250506001"":4,""250251004004"":4,""250010126011"":4,""250250102043"":4,""250214003002"":4,""250250501013"":4}","{""250251707012"":6,""250250506001"":6,""250250505001"":6,""250173549003"":5,""250250701018"":5,""250250509013"":4,""250250712011"":4,""250250606001"":4,""250173398013"":4,""250173413002"":4,""250251604001"":4,""250250920001"":4,""250173682004"":4,""250259812021"":4,""121170208111"":4,""250173424001"":4,""250173514031"":4,""250250907004"":4,""250250509011"":4,""250259813002"":4,""250250503002"":4,""250251706011"":4,""250250403005"":4,""250056302005"":4,""250250506002"":4,""250250503001"":4}","{""US"":329}",3236.0,12.5,"{""<5"":23,""5-20"":279,""21-60"":111,""61-240"":55,"">240"":12}","{""CVS"":18,""Shaw's"":17,""Dunkin'"":14,""Burlington"":8,""AC Hotel"":8,""Market Basket"":8,""Subway"":7,""Anna's Taqueria"":7,""7-Eleven"":7,""The Home Depot"":7,""LA Fitness"":6,""Five Guys"":6,""Fit4Mom"":6,""Costco Wholesale Corp."":5}","{""Dunkin'"":58,""Market Basket"":40,""Mobil"":28,""Burger King"":27,""Subway"":25,""McDonald's"":25,""CVS"":23,""Starbucks"":19,""Walgreens"":18,""Stop & Shop"":15,""Target"":15,""Pollo Campero"":15,""Shaw's"":15,""BJ's Wholesale Club"":15,""The Home Depot"":14,""Speedway"":13,""Planet Fitness"":13,""Dollar Tree"":12,""7-Eleven"":12,""sweetgreen"":11}","[31,23,19,13,9,6,12,20,15,29,41,53,60,42,43,56,54,46,33,26,29,34,31,33]","{""Monday"":57,""Tuesday"":78,""Wednesday"":61,""Thursday"":80,""Friday"":86,""Saturday"":65,""Sunday"":53}","{""android"":207,""ios"":129}"
2,979,Biddy Hair Salon,East Boston,biddy hair salon,sg:034a50053bbf4751b4f5de195c214e02,Biddy Hair Salon,273 Meridian St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,4,3,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0]",250250502001.0,{},{},"{""250250909012"":4}","{""US"":4}",,99.0,"{""<5"":0,""5-20"":0,""21-60"":2,""61-240"":2,"">240"":0}","{""The Home Depot"":99}","{""McDonald's"":54,""Walmart"":48,""Bosselman Boss Shop"":33,""Not Your Average Joe's"":33,""Monkey Joe's"":33,""Hugo Boss"":33,""FleetPride"":33,""Loyal Companion"":33,""WinWholesale"":33,""VCA Animal Hospitals"":33,""Shaw's"":33,""C Town Supermarkets"":33,""iLoveKickboxing"":33,""Roady's"":33,""PPG Pittsburgh Paints"":33,""Quiznos"":33,""Modell's Sporting Goods"":33,""Mercedes Benz"":33,""Cinnabon"":33,""Holiday Inn"":33}","[0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,1,1,0,0,0,0,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":0,""Thursday"":1,""Friday"":0,""Saturday"":2,""Sunday"":0}","{""android"":0,""ios"":4}"
3,988,Cafe Gigu,East Boston,cafe gigu,sg:8b1e1784ee514d1bbf25d08847375594,Cafe Gigu,102 Meridian St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,352,257,"[8,13,15,13,9,12,10,8,7,14,8,13,13,12,18,9,10,8,11,8,17,15,10,20,13,12,12,12,7,8,7]",250250503001.0,"{""250250510001"":9,""250251604002"":8,""250250505001"":6,""250214025001"":6,""250250506002"":5,""250250507001"":5,""250092063001"":5,""250250503002"":5,""250250509012"":5,""250250503001"":5,""250250502002"":4,""250250507003"":4,""250251011013"":4,""250251605023"":4,""261635051002"":4,""250251707024"":4,""250250501011"":4,""250251801013"":4,""250251701005"":4,""250251708001"":4,""250173424002"":4,""250250502004"":4,""250250502001"":4,""250251605011"":4,""250250504002"":4,""250250511014"":4,""250250507002"":4,""250251605021"":4,""250251602002"":4,""250251706013"":4,""250250511013"":4,""250250501012"":4,""250173422021"":4,""250251801011"":4,""250277315005"":4,""250173324002"":4,""250250512002"":4,""250251701007"":4,""250251804002"":4,""250092523003"":4,""250251005003"":4,""250250511011"":4,""250251606021"":4,""250259813002"":4,""250250501013"":4,""330130340003"":4,""250251606025"":4,""250251703005"":4,""250251704002"":4,""250251602003"":4,""250251601015"":4,""250251708002"":4,""250214176023"":4}","{""250250501011"":8,""250250501013"":6,""250250503002"":6,""250251604002"":6,""250251707025"":6,""250250505001"":6,""250251801013"":5,""250250504002"":5,""250251605011"":5,""250250502004"":4,""250092067001"":4,""250173509003"":4,""250250510001"":4,""250251705011"":4,""250092101001"":4,""250250507003"":4,""250251701005"":4,""330110108003"":4,""250250504001"":4,""250251602003"":4,""250251801012"":4,""250250303001"":4,""250251603001"":4,""250251605021"":4,""250251702001"":4,""330130340003"":4,""250250703004"":4,""250251707023"":4,""250250503001"":4,""250092051002"":4,""250251606025"":4,""250251606021"":4,""250092071002"":4,""250214011001"":4,""250251602002"":4,""250173527003"":4,""250251605023"":4,""250092070002"":4,""250251804002"":4,""250173422021"":4,""250251011013"":4,""250251605012"":4,""250250203032"":4,""250250506002"":4,""250251702003"":4,""250250705003"":4,""250092066004"":4,""250251605022"":4,""250251708002"":4,""250251706011"":4,""250214197001"":4}","{""250259813002"":5,""250250701018"":4,""250173311022"":4,""250250502001"":4,""250250707001"":4,""250277392004"":4,""250173736003"":4,""250250203011"":4,""250250504001"":4,""250251605021"":4,""250250503001"":4,""250173531012"":4,""250173418004"":4,""250173336003"":4,""250250512002"":4,""250250509011"":4}","{""US"":238}",4290.0,22.0,"{""<5"":17,""5-20"":153,""21-60"":68,""61-240"":68,"">240"":46}","{""Burger King"":28,""Wingstop"":14,""Lexus"":8,""Walmart"":8,""Bertucci's"":8}","{""Dunkin'"":51,""Market Basket"":36,""Burger King"":25,""Subway"":22,""CVS"":18,""7-Eleven"":17,""Mobil"":17,""Starbucks"":16,""BJ's Wholesale Club"":16,""McDonald's"":15,""Planet Fitness"":15,""Stop & Shop"":14,""Target"":11,""sweetgreen"":10,""Pollo Campero"":10,""Shell Oil"":9,""Walgreens"":9,""Wingstop"":9,""Dollar Tree"":9,""T.J. Maxx"":8}","[51,44,43,41,40,44,45,54,40,34,50,58,48,45,48,42,44,48,39,41,46,36,48,55]","{""Monday"":45,""Tuesday"":51,""Wednesday"":56,""Thursday"":47,""Friday"":66,""Saturday"":42,""Sunday"":45}","{""android"":171,""ios"":80}"
4,992,chinese dragon,East Boston,chinese dragon,sg:51040e76fd124501b785fe088c966c2d,Chinese Dragon,380 Chelsea St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,221,129,"[8,6,7,8,7,7,7,6,5,9,13,13,6,6,5,5,8,12,10,4,10,6,2,5,13,6,7,11,4,3,2]",250250509011.0,"{""250250509011"":6,""250250815001"":5,""250251009003"":4,""250250805001"":4,""250251801013"":4,""250250904003"":4,""250056411012"":4,""250251605021"":4,""250092056003"":4,""250251605011"":4,""250251101037"":4,""250173381002"":4,""250251708004"":4,""250251804002"":4,""250251602002"":4,""250250509013"":4,""250173424005"":4,""250250502001"":4,""250173416002"":4,""250251705012"":4,""250173416006"":4,""330150038021"":4,""250092072001"":4,""250250501013"":4,""250250817003"":4}","{""250250502003"":5,""250173381002"":5,""250251703004"":4,""250214101002"":4,""250092043002"":4,""250251803013"":4,""250250004013"":4,""250092108002"":4,""250251804002"":4,""250250815001"":4,""250251701002"":4,""250251601014"":4,""250251707023"":4,""250092055001"":4,""250173426002"":4,""250056322003"":4,""250251804001"":4,""250251707022"":4,""250173591004"":4,""250250701011"":4,""250092083004"":4,""250056111011"":4,""250251605013"":4,""250251601011"":4,""230190030002"":4,""250250509011"":4,""250250502002"":4}","{""250251605013"":4,""250173398011"":4,""250250701013"":4,""250259813002"":4,""250251801013"":4,""250250509011"":4}","{""US"":118}",4203.0,30.0,"{""<5"":4,""5-20"":80,""21-60"":60,""61-240"":51,"">240"":26}","{""Irving Oil"":25,""Sunoco"":20,""The Home Depot"":19,""Domino's Pizza"":16}","{""Dunkin'"":55,""Market Basket"":39,""McDonald's"":28,""CVS"":24,""Stop & Shop"":23,""Burger King"":21,""Subway"":18,""Starbucks"":17,""Walgreens"":16,""Mobil"":16,""7-Eleven"":15,""Dollar Tree"":15,""BJ's Wholesale Club"":14,""The Home Depot"":14,""Target"":14,""Planet Fitness"":14,""Speedway"":13,""Family Dollar Stores"":11,""Sunoco"":10,""Shell Oil"":9}","[31,23,28,25,15,14,16,16,14,29,33,35,33,32,30,25,34,26,21,19,26,35,36,31]","{""Monday"":24,""Tuesday"":34,""Wednesday"":29,""Thursday"":21,""Friday"":31,""Saturday"":46,""Sunday"":36}","{""android"":85,""ios"":45}"
5,1020,House of Nails,East Boston,house of nails,sg:acceb69f66bb485d94d63dbdbb3f77aa,House of Nails,1020 Bennington St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,31,27,"[2,1,1,1,0,0,1,1,1,1,1,0,2,1,1,0,2,0,0,3,3,1,2,1,0,1,1,1,0,1,1]",250250511011.0,"{""250250511011"":4,""250250511012"":4,""250250510002"":4,""250250510001"":4,""250250503001"":4}","{""250250510001"":6,""250250501012"":4,""250251803014"":4,""250173416003"":4,""250251805003"":4,""250250511011"":4}","{""250250501013"":4,""250250303003"":4,""250251801013"":4}","{""US"":26}",2261.0,9.0,"{""<5"":3,""5-20"":20,""21-60"":5,""61-240"":1,"">240"":2}",{},"{""Dunkin'"":52,""Market Basket"":41,""Burger King"":25,""Starbucks"":25,""Target"":16,""sweetgreen"":14,""Stop & Shop"":14,""Subway"":12,""Expressions Shoes "":11,""10 Spot/MadRag"":11,""Embassy Suites Hotels"":11,""Au Bon Pain"":11,""BJ's Wholesale Club"":11,""CVS"":10,""Mobil"":9,""7-Eleven"":9,""Primark Stores EU"":7,""Club Monaco"":7,""Regina Pizzeria"":7,""Great Wolf Lodge"":7}","[0,0,0,0,0,1,1,2,4,1,1,3,3,6,5,5,2,5,2,3,1,0,2,1]","{""Monday"":6,""Tuesday"":6,""Wednesday"":5,""Thursday"":5,""Friday"":6,""Saturday"":2,""Sunday"":1}","{""android"":14,""ios"":13}"
6,1022,Italian express pizzeria,East Boston,italian express pizzeria,sg:1071f84255b64f56b21d234ec93b6e1b,Italian Express Pizzeria,336 Sumner St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,130,61,"[2,5,4,3,2,4,2,8,6,5,6,7,3,3,6,6,5,6,3,4,2,6,7,6,4,4,1,1,2,3,4]",250250504002.0,"{""250250512002"":7,""250251203013"":5,""250250504002"":5,""250092054001"":4,""120950168061"":4,""250250512001"":4,""250251606011"":4,""250250812002"":4,""250250505001"":4,""250250911003"":4,""250173411023"":4,""250251605012"":4,""250259813002"":4}","{""250251706012"":8,""250250512002"":8,""250250504002"":6,""250251708002"":4,""250092104004"":4,""250173411023"":4,""250173523002"":4,""250250705003"":4,""250250512001"":4,""250250505001"":4,""250092054001"":4}","{""250250203032"":5,""250092057001"":4,""250250203021"":4,""250092104004"":4,""250173538002"":4,""250250506001"":4,""360610109001"":4}","{""US"":59}",4278.0,69.0,"{""<5"":5,""5-20"":25,""21-60"":32,""61-240"":26,"">240"":42}","{""The Home Depot"":16}","{""Dunkin'"":44,""Burger King"":20,""CVS"":18,""Market Basket"":18,""T.J. Maxx"":16,""sweetgreen"":14,""Planet Fitness"":14,""Starbucks"":13,""Target"":13,""Mobil"":13,""McDonald's"":12,""Shaw's"":11,""Subway"":11,""Stop & Shop"":11,""7-Eleven"":11,""Chipotle Mexican Grill"":10,""Embassy Suites Hotels"":10,""Gulf Oil"":9,""GameStop"":9,""Simon mall"":9}","[31,36,39,40,39,40,45,44,38,33,35,32,32,30,26,25,22,25,18,21,40,38,38,41]","{""Monday"":12,""Tuesday"":8,""Wednesday"":24,""Thursday"":27,""Friday"":24,""Saturday"":19,""Sunday"":16}","{""android"":38,""ios"":23}"
7,1030,La Chiva Restaurant,East Boston,la chiva restaurant,sg:c67877c51f64478188edad8a68fc7f3e,La Chiva Restaurant,259 Bennington St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,484,303,"[12,14,9,13,17,12,20,15,26,20,17,18,14,16,15,9,10,18,15,16,24,17,20,17,21,13,9,19,13,14,11]",250250502004.0,"{""250250509011"":8,""250251707012"":7,""230039517004"":6,""250250506002"":6,""250250501013"":6,""250250509012"":6,""250251202013"":6,""250214022002"":5,""250250510001"":5,""250251703006"":5,""250250502004"":5,""250173426001"":5,""250250507003"":4,""250250501012"":4,""250173422011"":4,""121113821121"":4,""250259815021"":4,""250251605011"":4,""250250507002"":4,""420710128003"":4,""250173131024"":4,""250251707022"":4,""250250512002"":4,""250173831022"":4,""250092514002"":4,""250250510003"":4,""420034090003"":4,""250251605023"":4,""250250505001"":4,""250277096003"":4,""250251706011"":4,""250056528002"":4,""250251701007"":4,""250173507004"":4,""250251703004"":4,""250235110002"":4,""230310280021"":4,""250250803001"":4,""250251402022"":4,""240430104004"":4,""440070022004"":4,""250251801012"":4,""250250511013"":4,""250173503001"":4,""250259816001"":4,""250251706012"":4,""250251707023"":4,""250251704002"":4,""250250511012"":4,""250250402002"":4,""250092607001"":4,""250250503002"":4,""250250511011"":4,""250250507001"":4,""330151011004"":4,""250251705011"":4,""250173732002"":4,""250173524002"":4,""250277492002"":4,""250173534002"":4,""250173412003"":4,""250250502001"":4}","{""250250501013"":9,""250250509011"":8,""250250506002"":8,""250250507003"":8,""250250502004"":7,""250250509012"":7,""250277492002"":6,""250250503002"":6,""250251703004"":5,""250250502003"":4,""250250506001"":4,""121113821121"":4,""250250701018"":4,""250173426001"":4,""250173419025"":4,""250251106074"":4,""420710128003"":4,""250251707012"":4,""060710031022"":4,""250251707023"":4,""250251701007"":4,""250250502001"":4,""250250606001"":4,""250250808011"":4,""250173425002"":4,""250251704003"":4,""250173514035"":4,""120710208002"":4,""250250505001"":4,""250173503003"":4,""250250510001"":4,""250214198003"":4,""250251703003"":4,""250092514002"":4,""250072001004"":4,""230310280021"":4,""250092070002"":4,""250250501011"":4,""250251605023"":4,""250251803013"":4,""250250512002"":4,""250251605022"":4,""250251706012"":4,""250251704002"":4,""250092607001"":4,""250250511011"":4,""250173411023"":4,""250250507001"":4,""250251602001"":4,""250250911001"":4,""250173422021"":4,""250173547001"":4,""250251606011"":4,""250250507002"":4,""250173746002"":4,""250250106001"":4,""250251605011"":4,""420030201003"":4}","{""250250509011"":7,""250250501013"":6,""250250701018"":6,""250251603002"":5,""250250504001"":5,""250250502003"":4,""250251707012"":4,""250173511003"":4,""250235105025"":4,""250250510002"":4,""250173507003"":4,""250250103002"":4,""250072001004"":4,""250235111006"":4,""250251605022"":4,""250173526001"":4,""250092141001"":4,""250092072002"":4,""250250512003"":4,""250173531022"":4,""250092052001"":4,""250251604001"":4,""250250106001"":4,""250250008022"":4,""250250203011"":4,""250250701011"":4,""250251802003"":4,""250250505001"":4,""250092104004"":4}","{""US"":279}",4290.0,18.5,"{""<5"":17,""5-20"":255,""21-60"":112,""61-240"":53,"">240"":47}","{""McDonald's"":14,""T.J. Maxx"":12,""Petro Home Services"":11,""Petco"":8,""CVS"":8,""Kimpton Hotels & Restaurants"":7,""Shaw's"":6,""Cumberland Farms"":6}","{""Dunkin'"":52,""Market Basket"":34,""Burger King"":26,""CVS"":23,""McDonald's"":19,""Mobil"":17,""Subway"":17,""Stop & Shop"":16,""7-Eleven"":13,""Starbucks"":13,""Speedway"":13,""Target"":12,""Dollar Tree"":11,""Shaw's"":11,""BJ's Wholesale Club"":11,""Wendy's"":11,""Walgreens"":11,""Planet Fitness"":11,""The Home Depot"":10,""Shell Oil"":10}","[40,40,49,33,29,37,28,43,43,63,60,62,63,69,64,61,66,47,45,45,49,54,46,50]","{""Monday"":51,""Tuesday"":79,""Wednesday"":72,""Thursday"":83,""Friday"":67,""Saturday"":69,""Sunday"":63}","{""android"":193,""ios"":109}"
8,1038,Little Asia Restaurant,East Boston,little asia restaurant,sg:c6815256d0c348ac84c9da5467e88b7c,Little Asia Restaurant,991 Bennington St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,144,98,"[1,7,3,7,3,8,1,7,7,6,4,4,2,1,1,1,10,9,7,1,2,8,4,6,7,1,6,4,7,6,3]",250250511011.0,"{""250250511013"":10,""250250510001"":5,""440090501032"":4,""250250511011"":4,""250251707023"":4,""250251704001"":4,""250092114011"":4,""250251801013"":4,""250251802002"":4,""250250506001"":4,""250214177022"":4,""250251805001"":4,""250251805003"":4,""250173411013"":4,""250173414004"":4,""250251803011"":4,""250251707024"":4}","{""250250511013"":7,""250251803011"":4,""250092671011"":4,""250251703003"":4,""250173424004"":4,""250250506002"":4,""250251802004"":4,""250250507001"":4,""250250510001"":4,""250251707023"":4,""250092081022"":4,""250173416006"":4,""250251707024"":4,""250251605021"":4,""330151003013"":4,""250092059003"":4,""250251804001"":4,""250251801013"":4,""250251604002"":4,""250250821003"":4,""330110013001"":4,""421298059021"":4,""250251803014"":4,""250251805001"":4}","{""250214172001"":4,""250251706011"":4,""250214111002"":4,""250259816001"":4,""250250702003"":4,""250173672004"":4,""250250910014"":4}","{""US"":94}",3091.0,35.0,"{""<5"":2,""5-20"":48,""21-60"":44,""61-240"":50,"">240"":0}","{""IHOP"":33,""Dunkin'"":33,""GameStop"":16,""Legal Sea Foods"":11}","{""Dunkin'"":49,""Market Basket"":28,""CVS"":27,""Burger King"":26,""Subway"":23,""Target"":21,""Stop & Shop"":21,""Mobil"":21,""Planet Fitness"":17,""Starbucks"":16,""Wendy's"":15,""Gulf Oil"":15,""McDonald's"":14,""Simon mall"":12,""BJ's Wholesale Club"":12,""Sunoco"":11,""PriceRite"":11,""sweetgreen"":10,""Dollar Tree"":9,""7-Eleven"":8}","[2,0,0,1,0,0,2,1,6,5,5,8,14,14,16,18,22,36,34,24,17,15,9,7]","{""Monday"":17,""Tuesday"":8,""Wednesday"":24,""Thursday"":25,""Friday"":28,""Saturday"":27,""Sunday"":15}","{""android"":61,""ios"":39}"
9,1059,Pockets Billiard Club,East Boston,pockets billiard club,sg:dd6d92bfd75c4351b76525f503aea580,Pockets Billiard Club,981 Bennington St,Boston,MA,2128,,,2020-01-01T00:00:00-05:00,2020-02-01T00:00:00-05:00,184,137,"[8,5,5,5,1,5,6,5,4,13,5,3,5,8,4,0,7,6,9,6,9,4,12,17,3,2,5,9,7,3,3]",250250511011.0,"{""250250511013"":8,""330150697002"":7,""250250510001"":6,""250250509011"":6,""250250509012"":5,""250173323004"":5,""250251704002"":4,""250173424004"":4,""250092104003"":4,""250251707025"":4,""250251708004"":4,""250092063001"":4,""250251701007"":4,""250173412006"":4,""250251605012"":4,""250092102002"":4,""250251801013"":4,""250092682001"":4,""250173414001"":4,""250173502002"":4,""250251802004"":4,""250251707011"":4,""250259813002"":4,""500259686001"":4,""250250902002"":4,""250250507003"":4,""481130192061"":4,""250173125023"":4,""250250502004"":4,""250214180024"":4,""250173744001"":4,""250250511011"":4,""250251703003"":4,""250251603002"":4,""250251707022"":4,""250250507002"":4}","{""250251704002"":8,""250250511013"":7,""250173583002"":6,""250250510002"":6,""250251005002"":6,""250173501041"":5,""250173515002"":5,""250251801013"":5,""410050244001"":4,""250173323004"":4,""250250510001"":4,""250251702004"":4,""250092081021"":4,""250251604001"":4,""250251203012"":4,""250092211001"":4,""250251707025"":4,""250259813002"":4,""250251601011"":4,""250251804002"":4,""250173419025"":4,""250250511011"":4,""250250104053"":4,""250092102002"":4,""250173351006"":4,""250250509012"":4,""250251802001"":4,""250251707011"":4,""250214172007"":4,""250251708004"":4,""250251603001"":4}","{""120570139221"":4,""250173413002"":4,""250250612001"":4,""250250006023"":4,""250173584003"":4,""250173395002"":4,""250250906002"":4,""250251704002"":4,""250092041013"":4,""250250304002"":4,""330150691004"":4}","{""US"":133}",3702.0,44.5,"{""<5"":4,""5-20"":52,""21-60"":59,""61-240"":54,"">240"":15}","{""Dunkin'"":39,""sweetgreen"":25,""Speedway"":20,""CrossFit"":12,""McDonald's"":5}","{""Dunkin'"":57,""Market Basket"":33,""CVS"":26,""McDonald's"":24,""Mobil"":24,""Target"":22,""Burger King"":21,""Stop & Shop"":19,""Starbucks"":19,""Subway"":17,""Dollar Tree"":14,""Wendy's"":13,""7-Eleven"":13,""sweetgreen"":12,""Planet Fitness"":11,""Sunoco"":11,""BJ's Wholesale Club"":10,""Walgreens"":10,""Speedway"":10,""Gulf Oil"":9}","[15,13,8,7,8,7,13,12,12,13,16,19,29,28,24,30,32,29,19,25,33,29,14,14]","{""Monday"":21,""Tuesday"":32,""Wednesday"":28,""Thursday"":24,""Friday"":45,""Saturday"":19,""Sunday"":15}","{""android"":91,""ios"":46}"
