,Unnamed: 0,Business Name,Business Zip Code,Neighborhood,name_lower,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,93,Biddy Hair Salon,2128.0,East Boston,biddy hair salon,sg:034a50053bbf4751b4f5de195c214e02,Biddy Hair Salon,273 Meridian St,Boston,MA,2128,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,3,3,"[0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]",250250502001.0,"{""250250502001"":4}",{},{},"{""US"":4}",,29.0,"{""<5"":0,""5-20"":0,""21-60"":2,""61-240"":1,"">240"":0}",{},"{""PetSmart"":65,""Big 10 Tires"":33,""Loyal Companion"":33,""Shaw's"":33,""CITGO"":32,""Speedway"":31,""Dollar General"":27,""Starbucks"":26,""Shell Oil"":26,""The Home Depot"":26,""Target"":26,""Walmart"":13}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0]","{""Monday"":2,""Tuesday"":1,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":0}"
1,162,buco trattoria,2210.0,South Boston Waterfront,buco trattoria,sg:30606d85e3d64bb0b39eec1c60208a02,Buco Trattoria,300 Summer St,Boston,MA,2210,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,32,10,"[0,1,0,0,0,0,1,0,2,1,0,1,1,2,1,1,1,2,3,2,1,2,1,1,2,1,1,1,1,2,0]",250250606001.0,"{""250250612001"":7,""250173684002"":4}","{""250173222002"":4,""250250612001"":4}","{""250250921013"":4}","{""US"":10}",18389.0,1347.5,"{""<5"":1,""5-20"":5,""21-60"":0,""61-240"":4,"">240"":22}",{},"{""Dunkin'"":57,""The Home Depot"":52,""sweetgreen"":50,""Stop & Shop"":50,""Lowe's"":42,""Cumberland Farms"":40,""Gulf Oil"":40,""McDonald's"":37,""Toyota"":29,""Sunoco"":28,""Mobil"":28,""Speedway"":28,""AutoZone"":28,""7-Eleven"":28,""CVS"":26,""Subway"":24,""Shell Oil"":23,""Target"":22,""Bertucci's"":20,""Papa Gino's"":20}","[20,20,20,20,22,20,20,21,21,21,23,22,21,21,22,24,22,22,21,18,20,20,20,20]","{""Monday"":4,""Tuesday"":5,""Wednesday"":4,""Thursday"":5,""Friday"":4,""Saturday"":7,""Sunday"":3}","{""android"":4,""ios"":7}"
2,202,Chickadee,2210.0,South Boston Waterfront,chickadee,sg:6d82cc83e94f451f8967b528a668d940,Chickadee,21 Drydock Ave,Boston,MA,2210,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,3,2,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0]",250259812021.0,"{""250173332001"":4}","{""250173332001"":4}",{},"{""US"":4}",,10.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":1,"">240"":0}",{},"{""CVS"":96,""Xtend Barre"":50,""Greatwall Supermarket (GW)"":50,""Hyatt House"":50,""Beacon Roofing Supply"":50,""sweetgreen"":50,""Honda"":50,""Stop & Shop"":50,""Chevrolet"":49,""Michaels Stores"":49,""Mobil"":48,""Goodwill Industries"":48,""Dunkin'"":47,""Target"":42,""Lowe's"":42}","[0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":3,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":4}"
3,233,Covet,2127.0,South Boston,covet,sg:f4547dd11e2d4d1faa807b05ed0e94a2,Covet,109 Charles St,Boston,MA,2114,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,1,1,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]",250250201014.0,{},{},{},{},,4.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":0}",{},"{""Saloniki Greek"":100,""Ralph Lauren"":100,""Cumberland Farms"":100,""Speedway"":98,""Dunkin'"":97,""Shell Oil"":93}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":1}","{""android"":4,""ios"":0}"
4,233,Covet,2127.0,South Boston,covet,sg:e44fc887cac5495195d4b267e6955a13,Covet,391 W Broadway,Boston,MA,2127,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,22,13,"[0,1,0,0,0,0,1,1,1,2,1,1,0,0,1,1,2,2,0,1,0,1,1,0,1,1,0,0,1,1,1]",250250608003.0,"{""250214178015"":4,""250092105003"":4,""250173543003"":4}","{""250092105003"":4,""250250608004"":4}","{""250250408012"":4}","{""US"":10}",10553.0,17.0,"{""<5"":1,""5-20"":11,""21-60"":6,""61-240"":4,"">240"":0}","{""Get in Shape for Women"":100}","{""Dunkin'"":43,""CVS"":42,""Stop & Shop"":38,""Loyal Companion"":31,""sweetgreen"":31,""Walgreens"":25,""Starbucks"":24,""Edible Arrangements"":23,""Gulf Oil"":23,""BJ's Wholesale Club"":22,""Costco Wholesale Corp."":19,""Dollar Tree"":18,""Shell Oil"":16,""The Home Depot"":15,""Fresh City"":15,""Cosi"":15,""Unleashed by Petco"":15,""Shake Shack"":15,""DoubleTree by Hilton"":15,""Target"":15}","[0,0,0,0,0,0,1,0,3,1,5,5,5,2,5,5,2,0,1,0,2,0,0,0]","{""Monday"":4,""Tuesday"":2,""Wednesday"":1,""Thursday"":1,""Friday"":4,""Saturday"":5,""Sunday"":5}","{""android"":6,""ios"":9}"
5,301,Drydock Cafe,2210.0,South Boston,drydock cafe,sg:5127581f66df4a8c8eac090669e06335,Drydock Cafe,7 Drydock Ave,Boston,MA,2210,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,51,14,"[2,0,1,0,1,0,2,1,0,0,1,3,3,2,4,0,0,3,4,2,2,4,2,0,1,2,1,3,5,1,1]",250259812021.0,"{""250250605013"":4,""250250916002"":4}","{""250173563002"":4,""250214561012"":4,""250250916002"":4}",{},"{""US"":11}",8391.0,382.0,"{""<5"":0,""5-20"":4,""21-60"":5,""61-240"":5,"">240"":37}",{},"{""Stop & Shop"":28,""Dunkin'"":18,""McDonald's"":15,""Save-A-Lot"":14,""Costco Wholesale Corp."":11,""CVS"":10,""Dollar Tree"":9,""Arclight Theaters"":7,""C2 Pilates"":7,""Mastro's Restaurants"":7,""Star Market"":7,""The Paper Store"":7,""Sierra Trading Post"":7,""Olympia Sports"":7,""Games Workshop"":7,""CycleBar"":7,""sweetgreen"":7,""Shaw's"":7,""DoubleTree by Hilton"":7,""Au Bon Pain"":7}","[1,0,1,2,2,13,18,20,26,31,31,31,32,28,26,23,15,9,7,4,3,1,1,1]","{""Monday"":5,""Tuesday"":10,""Wednesday"":6,""Thursday"":9,""Friday"":16,""Saturday"":3,""Sunday"":2}","{""android"":4,""ios"":4}"
6,303,Eagle Hill Cafe,2128.0,East Boston,eagle hill cafe,sg:42f881d1a5b34823977df97bd5656cc4,Eagle Hill Cafe,1 Marion St,Boston,MA,2128,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,299,121,"[12,7,5,6,14,6,14,8,8,15,9,4,10,8,10,8,9,8,13,7,8,12,8,12,7,13,11,13,14,9,11]",250250501013.0,"{""250250501011"":11,""250250501013"":7,""250173422021"":6,""250092610003"":4,""250251606023"":4,""250250504001"":4,""250250509012"":4,""250251601012"":4,""250251606021"":4,""250250501012"":4,""250250506002"":4,""250250704021"":4,""250250506001"":4,""250250509013"":4,""250251604002"":4,""250092072001"":4,""250092062003"":4,""250173681022"":4,""250250510002"":4,""250251602003"":4}","{""250250501011"":13,""250250509012"":5,""250173567021"":5,""250251601012"":4,""250214211003"":4,""250250502001"":4,""250250501013"":4,""250250701011"":4,""250251606021"":4,""250251707022"":4,""250250503002"":4,""250250506001"":4,""250250501012"":4,""250250504001"":4,""250092056004"":4,""250092072001"":4,""250173514044"":4,""250250502004"":4,""250250510002"":4,""250250509013"":4}","{""250214111005"":4,""250251707011"":4}","{""US"":91}",997.0,55.0,"{""<5"":10,""5-20"":102,""21-60"":41,""61-240"":84,"">240"":62}","{""Expressions Shoes "":14,""Wingstop"":8,""Shell Oil"":8}","{""Dunkin'"":33,""Mobil"":23,""Market Basket"":21,""Burger King"":20,""McDonald's"":16,""Subway"":15,""BJ's Wholesale Club"":14,""Pollo Campero"":12,""Shaw's"":12,""CVS"":12,""Target"":11,""The Home Depot"":11,""Speedway"":10,""Sunoco"":9,""Shell Oil"":9,""Wingstop"":9,""7-Eleven"":8,""Stop & Shop"":8,""Family Dollar Stores"":8,""Wendy's"":7}","[51,46,45,46,47,48,57,51,55,62,67,68,77,78,71,60,65,60,50,37,47,58,55,51]","{""Monday"":30,""Tuesday"":44,""Wednesday"":34,""Thursday"":43,""Friday"":56,""Saturday"":40,""Sunday"":52}","{""android"":69,""ios"":50}"
7,304,East side hair salon,2128.0,South Boston,east side hair salon,sg:f41aa1df974a479c9c51153f03cc9b3c,East Side Hair Salon,92 P St,Boston,MA,2127,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,157,64,"[4,3,2,4,1,4,3,4,3,2,3,2,6,6,12,7,4,4,11,7,9,4,10,3,3,7,11,8,6,3,1]",250250601013.0,"{""250250601013"":4,""250250602001"":4,""250173514041"":4,""250250507002"":4,""250250605014"":4,""250251605014"":4,""250250918002"":4}","{""250235109001"":6,""250214563024"":4,""250259813002"":4,""250092610001"":4,""250250601013"":4,""250010139003"":4,""250214196002"":4,""250250602002"":4,""250173825001"":4,""250214227001"":4,""250250606001"":4,""250092061002"":4}","{""250173501043"":5,""250173535001"":4,""250250601013"":4}","{""US"":50}",7050.0,70.0,"{""<5"":5,""5-20"":44,""21-60"":25,""61-240"":28,"">240"":55}","{""Pizza Hut"":25,""CVS"":13}","{""Dunkin'"":36,""Stop & Shop"":25,""The Home Depot"":20,""Mobil"":18,""CVS"":16,""Loyal Companion"":16,""7-Eleven"":15,""Cumberland Farms"":14,""Burger King"":13,""Speedway"":10,""BJ's Wholesale Club"":10,""Simon mall"":10,""Chipotle Mexican Grill"":10,""Market Basket"":9,""Wendy's"":9,""Gulf Oil"":9,""Advance Auto Parts"":8,""Target"":8,""Shaw's"":8,""Starbucks"":7}","[21,21,21,22,19,19,21,30,49,46,50,55,57,56,58,53,44,47,39,27,13,15,16,21]","{""Monday"":14,""Tuesday"":21,""Wednesday"":28,""Thursday"":26,""Friday"":30,""Saturday"":26,""Sunday"":12}","{""android"":24,""ios"":38}"
8,305,East Side Yoga and Fitness,2127.0,South Boston,east side yoga and fitness,sg:972439a20287446da346134e01550083,East Side Yoga and Fitness,584 E Broadway,Boston,MA,2127,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,78,33,"[2,0,1,1,0,2,1,3,0,1,2,2,2,5,3,1,2,3,2,1,3,7,1,4,2,3,4,4,7,5,4]",250250605012.0,"{""250277442005"":5,""250250606001"":4,""250250511011"":4,""250250605012"":4,""250173621001"":4,""250250608004"":4}","{""250250919004"":4,""250250910012"":4,""330150033021"":4,""250250605012"":4}","{""250173736001"":5}","{""US"":28}",6527.0,107.0,"{""<5"":1,""5-20"":17,""21-60"":14,""61-240"":33,"">240"":13}","{""Stop & Shop"":100,""Target"":48}","{""Dunkin'"":36,""Stop & Shop"":33,""CVS"":26,""Starbucks"":20,""Burger King"":17,""Target"":16,""Market Basket"":15,""Shell Oil"":14,""Mobil"":13,""Dollar Tree"":13,""Loyal Companion"":12,""Cumberland Farms"":12,""Gulf Oil"":12,""The Home Depot"":11,""7-Eleven"":10,""Costco Wholesale Corp."":8,""BJ's Wholesale Club"":8,""McDonald's"":8,""Chipotle Mexican Grill"":8,""Wendy's"":7}","[5,4,4,4,4,5,8,12,13,18,16,15,14,13,16,20,26,24,26,24,14,11,10,7]","{""Monday"":8,""Tuesday"":7,""Wednesday"":9,""Thursday"":13,""Friday"":22,""Saturday"":7,""Sunday"":12}","{""android"":11,""ios"":21}"
9,382,Gray's Hall,2127.0,South Boston,gray's hall,sg:ce3691f6179f43dd8183a44eafb5cf82,Gray's Hall,615 E Broadway,Boston,MA,2127,,,2020-05-01T00:00:00-04:00,2020-06-01T00:00:00-04:00,17,3,"[0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,2,0,0,0]",250250603013.0,"{""250250603013"":4}",{},{},"{""US"":4}",,1057.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":17}","{""Stop & Shop"":100}","{""Stop & Shop"":33,""BJ's Wholesale Club"":33,""The Home Depot"":26,""Target"":26,""Walmart"":13}","[16,17,17,17,17,17,17,17,17,17,17,15,13,12,7,7,5,2,2,2,16,16,16,16]","{""Monday"":3,""Tuesday"":2,""Wednesday"":3,""Thursday"":4,""Friday"":1,""Saturday"":3,""Sunday"":1}","{""android"":4,""ios"":0}"
