,Unnamed: 0,Business Name,Business Zip Code,Neighborhood,name_lower,safegraph_place_id,location_name,street_address,city,region,postal_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,visitor_work_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_month_brand,popularity_by_hour,popularity_by_day,device_type
0,162,buco trattoria,2210.0,South Boston Waterfront,buco trattoria,sg:30606d85e3d64bb0b39eec1c60208a02,Buco Trattoria,300 Summer St,Boston,MA,2210,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,229,92,"[0,0,9,12,18,15,10,1,0,16,9,14,7,8,1,2,1,15,8,12,9,1,0,9,9,17,19,4,3]",250250606001.0,"{""250092131001"":5,""250092092003"":4,""250277011003"":4,""330110002043"":4,""250251708002"":4,""250173414001"":4,""330150600001"":4,""250214180043"":4,""250250901001"":4,""250173401003"":4,""250235051021"":4,""250235221012"":4,""250173586004"":4,""250092106001"":4,""250173523001"":4,""250251404001"":4,""250251009003"":4,""250251008004"":4,""250173161013"":4}","{""250250606001"":19,""250250612001"":6,""250259813002"":4,""250277471021"":4,""250092114022"":4,""250173351002"":4,""250250706002"":4,""250251302003"":4,""250251701007"":4,""250092092003"":4,""250214564021"":4,""250173201041"":4,""250173524002"":4,""250092106001"":4,""250173631023"":4}","{""250250606001"":24,""250250612001"":6,""250214564023"":4,""250250005022"":4,""250214153002"":4,""250173513003"":4}","{""US"":86}",15264.0,162.0,"{""<5"":5,""5-20"":34,""21-60"":28,""61-240"":72,"">240"":90}","{""FedEx"":50,""Pret A Manger"":10}","{""Dunkin'"":47,""sweetgreen"":42,""Starbucks"":27,""Stop & Shop"":20,""Market Basket"":18,""CVS"":15,""Simon mall"":15,""Mobil"":14,""T.J. Maxx"":11,""Legal Sea Foods"":11,""BJ's Wholesale Club"":10,""Planet Fitness"":10,""Gulf Oil"":9,""Pret A Manger"":9,""Westin Hotels & Resorts"":8,""Wegmans Food Markets"":8,""The Home Depot"":8,""Whole Foods Market"":8,""Chipotle Mexican Grill"":8,""Burger King"":8}","[1,0,0,0,3,1,4,17,64,95,118,120,117,109,106,96,85,46,21,8,7,5,3,2]","{""Monday"":35,""Tuesday"":45,""Wednesday"":57,""Thursday"":53,""Friday"":31,""Saturday"":6,""Sunday"":2}","{""android"":42,""ios"":51}"
1,202,Chickadee,2210.0,South Boston Waterfront,chickadee,sg:6d82cc83e94f451f8967b528a668d940,Chickadee,21 Drydock Ave,Boston,MA,2210,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,67,46,"[0,0,2,2,2,1,3,1,1,5,7,5,6,3,0,1,0,4,1,1,4,0,0,5,5,1,6,1,0]",250259812021.0,"{""250250605012"":9,""370250413021"":7,""250235082002"":5,""250235442002"":4,""250250702003"":4,""250173747001"":4,""250214003001"":4,""250092066004"":4,""250173313002"":4,""250092121001"":4,""250056409014"":4,""250251404007"":4}","{""250259812021"":9,""250092111002"":5,""250250406001"":5,""250251404007"":4,""421010136021"":4,""250173413001"":4,""250250921012"":4}","{""250259812021"":9,""250250606001"":4}","{""US"":42}",25539.0,92.0,"{""<5"":4,""5-20"":11,""21-60"":8,""61-240"":25,"">240"":19}","{""Kuehne + Nagel"":50}","{""CrossFit"":38,""sweetgreen"":37,""Dunkin'"":36,""CVS"":18,""Stop & Shop"":17,""Starbucks"":16,""Simon mall"":15,""The Home Depot"":14,""Mobil"":11,""Planet Fitness"":11,""Market Basket"":11,""Gulf Oil"":11,""BJ's Wholesale Club"":10,""99 Restaurants"":9,""Wegmans Food Markets"":8,""Walmart"":8,""McDonald's"":8,""Domino's Pizza"":7,""Sunoco"":7,""Btone Fitness"":7}","[3,1,7,9,9,11,16,17,17,14,16,21,19,16,14,11,14,8,6,10,10,8,6,6]","{""Monday"":12,""Tuesday"":18,""Wednesday"":9,""Thursday"":14,""Friday"":11,""Saturday"":1,""Sunday"":2}","{""android"":24,""ios"":22}"
2,233,Covet,2127.0,South Boston,covet,sg:f4547dd11e2d4d1faa807b05ed0e94a2,Covet,109 Charles St,Boston,MA,2114,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,4,4,"[0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0]",250250201014.0,"{""250250511013"":4}",{},{},{},,8.0,"{""<5"":0,""5-20"":3,""21-60"":1,""61-240"":0,"">240"":0}",{},"{""Fisher Auto Parts"":25,""Saks Fifth Avenue"":25,""Marriott Hotels"":25,""Orangetheory Fitness"":24,""Advance Auto Parts"":24,""Simon mall"":23,""Dollar Tree"":20,""Walgreens"":20,""Shell Oil"":19}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":3,""Friday"":0,""Saturday"":0,""Sunday"":1}","{""android"":0,""ios"":4}"
3,233,Covet,2127.0,South Boston,covet,sg:e44fc887cac5495195d4b267e6955a13,Covet,391 W Broadway,Boston,MA,2127,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,55,51,"[5,1,3,3,1,2,1,3,0,0,1,3,2,5,3,1,0,0,2,0,2,3,5,1,3,1,0,0,4]",250250608003.0,"{""250251003003"":5,""250092121003"":4,""250173736001"":4,""250250608003"":4,""250250604002"":4,""250250406001"":4,""250214041001"":4,""250251010022"":4,""250214180025"":4,""250092041012"":4,""250250607002"":4,""250250608001"":4,""250214176012"":4}","{""250250612001"":4,""220550014011"":4,""250235081023"":4,""250214180025"":4,""250250106001"":4,""250173311022"":4,""250250604002"":4,""250250701011"":4}","{""250251005002"":5,""250251403005"":5,""250250106001"":4,""250250705001"":4,""250250711011"":4,""250214035001"":4}","{""US"":46}",2596.0,22.0,"{""<5"":1,""5-20"":21,""21-60"":23,""61-240"":8,"">240"":2}","{""sweetgreen"":33,""Boys & Girls Clubs of America"":33}","{""Dunkin'"":52,""Starbucks"":35,""sweetgreen"":33,""Stop & Shop"":31,""CVS"":23,""Loyal Companion"":22,""Target"":19,""T.J. Maxx"":14,""Burger King"":12,""Simon mall"":12,""BJ's Wholesale Club"":11,""Walgreens"":11,""City Convenience"":10,""Star Market"":10,""McDonald's"":10,""CrossFit"":9,""Mobil"":8,""Legal Sea Foods"":8,""Equinox Fitness Clubs"":8,""Market Basket"":8}","[0,0,0,0,0,0,0,0,4,6,7,4,11,10,11,13,9,8,8,2,1,1,1,0]","{""Monday"":4,""Tuesday"":7,""Wednesday"":7,""Thursday"":4,""Friday"":8,""Saturday"":18,""Sunday"":7}","{""android"":12,""ios"":39}"
4,301,Drydock Cafe,2210.0,South Boston,drydock cafe,sg:5127581f66df4a8c8eac090669e06335,Drydock Cafe,7 Drydock Ave,Boston,MA,2210,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,87,46,"[0,0,5,4,2,5,6,2,1,5,5,5,3,4,0,0,0,3,4,7,3,1,0,6,4,3,6,3,0]",250259812021.0,"{""250214171001"":4,""250092651022"":4,""250251003004"":4,""250250606001"":4,""250250920003"":4,""120990076103"":4,""250259812021"":4,""250092171003"":4,""250277103001"":4}","{""250259812021"":12,""250250606001"":5,""120990076103"":5,""250173385003"":4,""250277612002"":4,""250250811002"":4,""250173102003"":4,""250250808011"":4,""250250916002"":4,""330110023001"":4,""440070139003"":4}","{""250250606001"":6,""250173344003"":4,""250092104004"":4,""250092121003"":4,""250259812021"":4,""250173530002"":4}","{""US"":42}",15074.0,89.0,"{""<5"":6,""5-20"":30,""21-60"":5,""61-240"":16,"">240"":30}","{""Stop & Shop"":14}","{""Dunkin'"":51,""Stop & Shop"":30,""Simon mall"":24,""Starbucks"":23,""sweetgreen"":21,""CVS"":20,""Market Basket"":19,""Mobil"":18,""Burger King"":18,""BJ's Wholesale Club"":15,""Loyal Companion"":13,""Cumberland Farms"":13,""Walgreens"":12,""CrossFit"":12,""B.GOOD"":11,""Dollar Tree"":10,""McDonald's"":10,""Irving Oil"":9,""True Value Hardware"":8,""Honda"":8}","[2,1,1,1,1,4,4,11,13,24,29,33,36,37,32,27,16,5,2,9,8,8,7,5]","{""Monday"":16,""Tuesday"":16,""Wednesday"":14,""Thursday"":21,""Friday"":16,""Saturday"":3,""Sunday"":1}","{""android"":23,""ios"":19}"
5,303,Eagle Hill Cafe,2128.0,East Boston,eagle hill cafe,sg:42f881d1a5b34823977df97bd5656cc4,Eagle Hill Cafe,1 Marion St,Boston,MA,2128,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,527,203,"[20,17,19,17,15,17,18,10,20,19,11,26,19,13,16,12,23,21,17,20,18,16,14,22,25,21,30,17,14]",250250501013.0,"{""250250501011"":27,""250250501012"":13,""250251707022"":7,""131350505442"":6,""250250501013"":5,""250250509012"":5,""250173421023"":4,""250250509013"":4,""250173324002"":4,""250251701007"":4,""250250907003"":4,""250092068001"":4,""250214172001"":4,""250173424004"":4,""201550018002"":4,""250092021023"":4,""250251605023"":4,""250092532011"":4,""250251602003"":4,""250251601014"":4,""250251801011"":4,""250173413003"":4,""250250511011"":4,""250214175021"":4,""250173423003"":4,""250250509011"":4,""250251006014"":4,""250250502002"":4,""250250507001"":4,""250277391005"":4,""250250502001"":4,""250173419011"":4,""250251605011"":4,""250250512001"":4,""250173422022"":4,""250250506002"":4}","{""250250501011"":20,""250250501013"":12,""250250501012"":9,""250250502001"":5,""131350505442"":4,""250250510002"":4,""250251606022"":4,""250092083001"":4,""250250801001"":4,""250251203013"":4,""250250507003"":4,""250056541001"":4,""250250502004"":4,""250173510003"":4,""250250505001"":4,""250173424002"":4,""250214172001"":4,""250173426003"":4,""250250509012"":4,""250251605012"":4,""250250506001"":4,""250092061001"":4,""250251606021"":4,""250250504001"":4,""250092063004"":4,""250251606025"":4,""250092064001"":4,""360850213004"":4,""250250817003"":4,""250250509013"":4,""250250509011"":4,""250251006014"":4,""250092173001"":4,""250250914002"":4}","{""250214003002"":4,""250250509011"":4,""250259816001"":4,""250250502002"":4,""250092113001"":4,""250250001001"":4,""250250408012"":4,""250250501013"":4,""250250008025"":4,""250250820003"":4}","{""US"":174}",2050.0,44.0,"{""<5"":15,""5-20"":148,""21-60"":143,""61-240"":145,"">240"":76}","{""Expressions Shoes "":20,""Market Basket"":13,""Subway"":10,""D'Angelo Sandwich Shops"":9,""The Salvation Army"":7,""Walgreens"":6,""Burger King"":6,""Boston Market"":6,""Shell Oil"":5}","{""Dunkin'"":43,""Mobil"":23,""Market Basket"":23,""Burger King"":20,""CVS"":16,""Subway"":16,""McDonald's"":16,""Planet Fitness"":12,""Stop & Shop"":12,""Pollo Campero"":12,""Shaw's"":12,""Starbucks"":12,""7-Eleven"":11,""T.J. Maxx"":9,""sweetgreen"":9,""BJ's Wholesale Club"":9,""Target"":8,""Speedway"":8,""10 Spot/MadRag"":8,""Shell Oil"":8}","[56,60,56,54,55,61,68,76,99,98,96,96,90,103,96,76,83,89,71,75,100,101,87,62]","{""Monday"":83,""Tuesday"":74,""Wednesday"":79,""Thursday"":86,""Friday"":66,""Saturday"":76,""Sunday"":63}","{""android"":134,""ios"":66}"
6,304,East side hair salon,2128.0,South Boston,east side hair salon,sg:f41aa1df974a479c9c51153f03cc9b3c,East Side Hair Salon,92 P St,Boston,MA,2127,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,195,85,"[4,11,5,10,6,9,6,7,5,8,6,2,7,5,1,1,12,6,4,8,7,12,10,5,7,5,10,8,8]",250250601013.0,"{""250250601013"":9,""250250601011"":5,""250250608004"":5,""250251006013"":4,""250250603012"":4,""250250601012"":4,""250250612002"":4,""500259682001"":4,""250251006012"":4,""250092055002"":4,""330151061014"":4,""250173703002"":4,""250214196002"":4}","{""250250601013"":9,""250214022002"":5,""250173364021"":5,""250235212011"":5,""250250711012"":4,""250250612001"":4,""250173703002"":4,""250250303002"":4,""250250605015"":4,""250214195002"":4,""250250604001"":4,""250250602002"":4,""250250608002"":4,""250235061013"":4,""250173332002"":4,""250092055002"":4,""440070170004"":4}","{""250173342004"":4,""250250820003"":4,""250250103002"":4,""250250303002"":4,""250235061024"":4}","{""US"":76}",7492.0,80.0,"{""<5"":5,""5-20"":42,""21-60"":39,""61-240"":51,"">240"":58}","{""Walmart"":8}","{""Dunkin'"":41,""Stop & Shop"":27,""Starbucks"":25,""CVS"":18,""Simon mall"":15,""Target"":15,""sweetgreen"":13,""T.J. Maxx"":12,""Loyal Companion"":12,""Speedway"":11,""Walgreens"":9,""Mobil"":8,""Chipotle Mexican Grill"":8,""Shell Oil"":7,""Burger King"":7,""Planet Fitness"":6,""7-Eleven"":6,""Market Basket"":6,""Sunoco"":5}","[40,39,40,37,37,37,39,42,48,43,47,45,48,41,36,35,39,44,32,39,39,36,45,39]","{""Monday"":30,""Tuesday"":29,""Wednesday"":17,""Thursday"":34,""Friday"":26,""Saturday"":32,""Sunday"":27}","{""android"":26,""ios"":59}"
7,305,East Side Yoga and Fitness,2127.0,South Boston,east side yoga and fitness,sg:972439a20287446da346134e01550083,East Side Yoga and Fitness,584 E Broadway,Boston,MA,2127,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,127,60,"[3,11,3,3,0,2,4,9,1,3,5,5,7,2,6,4,3,4,5,5,7,0,4,3,7,12,1,5,3]",250250605012.0,"{""250250608004"":5,""250235421013"":4,""250250610003"":4,""250214174003"":4,""250173521011"":4,""250250605012"":4,""250250603011"":4,""250250401002"":4,""250250602001"":4,""250250603013"":4,""250250602002"":4,""250250705001"":4,""250173540001"":4,""250214564012"":4,""250250604005"":4}","{""250250605012"":4,""250235251044"":4,""250173521012"":4,""250250701011"":4,""250250603013"":4,""250250612002"":4,""250250602001"":4,""250277442005"":4,""250214174003"":4,""250214172001"":4,""420293055002"":4}","{""250173521021"":4,""250173521012"":4,""250251005003"":4,""250173524002"":4,""250214564012"":4,""250250701013"":4}","{""US"":52}",1088.0,70.0,"{""<5"":1,""5-20"":25,""21-60"":29,""61-240"":46,"">240"":26}","{""Hyatt Centric"":25,""Zumiez"":25,""Loyal Companion"":20,""Subway"":18}","{""Dunkin'"":38,""Starbucks"":26,""Stop & Shop"":25,""sweetgreen"":23,""Target"":20,""Loyal Companion"":17,""Mobil"":13,""Planet Fitness"":11,""Cumberland Farms"":11,""7-Eleven"":11,""CVS"":11,""Walgreens"":10,""T.J. Maxx"":10,""Simon mall"":9,""Gulf Oil"":8,""Trader Joe's"":8,""Chipotle Mexican Grill"":7,""Kimpton Hotels & Restaurants"":7,""Shaw's"":7,""Autograph Collection Hotels"":7}","[23,22,21,20,20,19,23,21,18,10,11,16,13,8,19,15,19,25,24,24,30,29,24,23]","{""Monday"":12,""Tuesday"":19,""Wednesday"":22,""Thursday"":15,""Friday"":18,""Saturday"":21,""Sunday"":20}","{""android"":20,""ios"":40}"
8,382,Gray's Hall,2127.0,South Boston,gray's hall,sg:ce3691f6179f43dd8183a44eafb5cf82,Gray's Hall,615 E Broadway,Boston,MA,2127,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,32,23,"[0,1,1,2,2,1,2,0,1,1,0,1,2,0,1,0,0,1,0,0,1,1,0,2,1,2,3,2,4]",250250603013.0,"{""250250603013"":5,""250250605012"":4,""250250608003"":4}","{""250173542003"":4}","{""250173214002"":4}","{""US"":13}",437.0,782.5,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":30}",{},"{""Applebee's"":7,""Dunkin'"":5}","[27,30,30,31,30,30,30,31,29,25,21,13,12,11,10,9,7,7,4,8,11,13,19,24]","{""Monday"":4,""Tuesday"":4,""Wednesday"":5,""Thursday"":6,""Friday"":5,""Saturday"":6,""Sunday"":2}","{""android"":9,""ios"":15}"
9,413,Headquarters Hair Salon,2127.0,South Boston,headquarters hair salon,sg:00885eea2cde4337b90df4c2cfd76481,Headquarters Hair Salon,545 E Broadway,Boston,MA,2127,,,2020-02-01T00:00:00-05:00,2020-03-01T00:00:00-05:00,1,1,"[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",250250604001.0,{},{},{},{},,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",{},"{""Shoppers World"":100,""Raymond James Financial"":100,""Cumberland Farms"":100,""Trader Joe's"":100,""Mobil"":98,""Chipotle Mexican Grill"":98,""Kohl's"":98,""Dunkin'"":97,""Walgreens"":95}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":1,""Thursday"":0,""Friday"":0,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":0}"
