parloc_id,muni,TransitFriendlyScore
M_246552_956014,Amesbury,54.97373737373738
M_246547_956024,Amesbury,54.97373737373738
M_141021_927092,Athol,38.97373737373738
M_139156_926965,Athol,37.47373737373738
M_139135_926988,Athol,37.47373737373738
M_141984_926034,Athol,32.97373737373738
F_777539_2876473,Avon,21.973737373737375
F_777658_2876311,Avon,21.973737373737375
F_777777_2876151,Avon,21.973737373737375
F_988288_2699589,Barnstable,61.47373737373738
F_982758_2699957,Barnstable,42.47373737373738
F_983050_2699980,Barnstable,39.97373737373738
F_962887_2693759,Barnstable,32.97373737373738
F_955706_2703422,Barnstable,23.973737373737375
F_989109_2711168,Barnstable,22.973737373737375
F_961537_2710409,Barnstable,22.473737373737375
F_961712_2710416,Barnstable,22.473737373737375
F_961859_2710395,Barnstable,22.473737373737375
F_961239_2709756,Barnstable,21.473737373737375
F_961541_2710212,Barnstable,20.973737373737375
F_961710_2710210,Barnstable,20.973737373737375
F_961213_2710111,Barnstable,20.473737373737375
F_961298_2710231,Barnstable,20.473737373737375
F_961309_2709872,Barnstable,20.473737373737375
F_961377_2709984,Barnstable,20.473737373737375
F_961444_2710092,Barnstable,20.473737373737375
F_961398_2710355,Barnstable,19.973737373737375
F_966629_2709898,Barnstable,19.973737373737375
F_991552_2714517,Barnstable,19.473737373737375
M_150195_908945,Barre,30.473737373737375
M_150332_909035,Barre,26.473737373737375
M_72087_892191,Becket,3.5
F_662607_2841214,Bellingham,22.473737373737375
F_662811_2841106,Bellingham,21.473737373737375
F_785372_2856973,Brockton,65.0
F_785679_2856983,Brockton,65.0
F_787751_2854989,Brockton,64.5
F_785120_2855332,Brockton,64.0
F_786226_2857761,Brockton,64.0
F_788650_2855919,Brockton,63.5
F_784578_2855975,Brockton,63.0
F_786074_2857546,Brockton,63.0
F_787818_2854923,Brockton,62.5
F_787769_2854951,Brockton,62.5
F_788493_2856636,Brockton,62.0
F_785385_2857476,Brockton,62.0
F_784774_2855436,Brockton,61.5
F_790204_2855739,Brockton,59.0
F_785247_2852619,Brockton,58.5
F_785308_2852780,Brockton,58.5
F_785210_2852770,Brockton,58.5
F_785248_2852716,Brockton,58.5
F_784320_2855627,Brockton,57.0
F_787080_2849213,Brockton,55.5
F_787754_2848809,Brockton,55.0
F_787148_2849039,Brockton,54.5
F_788764_2846999,Brockton,51.5
F_789416_2857644,Brockton,50.0
F_785393_2849984,Brockton,47.0
F_782115_2858317,Brockton,44.0
F_781643_2859488,Brockton,37.5
F_788888_2863184,Brockton,36.0
F_793283_2852653,Brockton,32.5
F_792839_2852922,Brockton,32.5
M_225501_916720,Burlington,47.47373737373738
M_223412_913335,Burlington,31.473737373737375
F_761285_2957727,Cambridge,82.5
