parloc_id,muni,TransitFriendlyScore
M_246783_956434,Amesbury,48.5
M_246788_956465,Amesbury,48.0
F_989643_2701781,Barnstable,63.643884892086334
F_989419_2702801,Barnstable,61.143884892086334
F_821900_3027482,Beverly,61.0
F_821400_3023467,Beverly,55.0
F_821249_3022879,Beverly,52.5
F_824861_3030017,Beverly,52.5
F_822197_3038613,Beverly,52.0
F_840963_3030305,Beverly,38.0
F_830852_3031712,Beverly,13.0
F_759125_2962176,Cambridge,88.5
F_758862_2966874,Cambridge,84.5
F_759132_2966623,Cambridge,84.5
F_759076_2966654,Cambridge,84.5
F_759182_2967148,Cambridge,84.0
F_758455_2966958,Cambridge,84.0
F_759178_2966946,Cambridge,83.5
F_770651_2960597,Cambridge,83.5
F_758220_2966970,Cambridge,82.5
F_770259_2961111,Cambridge,82.0
F_770529_2960848,Cambridge,82.0
F_757629_2967153,Cambridge,82.0
F_757184_2967240,Cambridge,81.0
F_757513_2967180,Cambridge,81.0
F_754803_2970241,Cambridge,78.5
F_770679_2960638,Cambridge,78.5
F_767984_2957290,Cambridge,77.5
F_756172_2967463,Cambridge,75.5
F_756302_2967309,Cambridge,75.5
F_755118_2967693,Cambridge,74.5
F_755129_2967638,Cambridge,74.5
F_753472_2969604,Cambridge,74.0
F_754242_2970029,Cambridge,73.5
F_752998_2968673,Cambridge,71.5
F_755745_2967555,Cambridge,71.5
F_755406_2967573,Cambridge,71.5
F_754859_2967749,Cambridge,69.5
F_752336_2969513,Cambridge,69.0
F_752481_2969458,Cambridge,69.0
F_750879_2967864,Cambridge,61.5
F_751468_2968251,Cambridge,61.5
F_752028_2968431,Cambridge,58.5
F_749843_2969472,Cambridge,55.5
F_749909_2970148,Cambridge,41.5
F_749918_2883000,Canton,40.643884892086334
F_749774_2884705,Canton,34.5
F_797361_2701412,Dartmouth,29.14388489208633
F_793978_2701261,Dartmouth,28.64388489208633
F_786521_2701412,Dartmouth,22.64388489208633
F_787561_2701556,Dartmouth,22.64388489208633
F_782577_2701799,Dartmouth,21.64388489208633
F_779398_2701947,Dartmouth,20.64388489208633
F_749576_2914371,Dedham,46.5
F_752751_2911128,Dedham,42.0
F_754422_2909030,Dedham,37.643884892086334
F_745428_2908362,Dedham,37.5
F_747956_2909923,Dedham,35.0
F_750920_2911034,Dedham,35.0
F_753989_2908139,Dedham,34.5
F_745936_2908776,Dedham,34.0
F_752353_2911120,Dedham,30.0
F_744554_2907744,Dedham,26.0
F_752520_2904004,Dedham,21.5
M_224002_866452,Foxborough,7.0
M_224657_868003,Foxborough,4.0
M_224760_868109,Foxborough,2.0
M_224575_867802,Foxborough,1.5
M_224535_867509,Foxborough,0.5
M_224407_867462,Foxborough,0.5
M_268350_929921,Gloucester,64.0
M_268092_929969,Gloucester,61.0
M_267594_930055,Gloucester,48.0
M_265144_929263,Gloucester,21.0
M_265191_929310,Gloucester,20.5
F_839947_2831068,Halifax,13.0
F_839843_2831135,Halifax,13.0
F_839718_2831025,Halifax,13.0
F_767177_3108039,Haverhill,64.0
F_769807_3106967,Haverhill,61.5
F_766984_3108350,Haverhill,61.0
F_767121_3107393,Haverhill,59.0
F_767082_3107127,Haverhill,59.0
F_767360_3105721,Haverhill,58.5
F_767209_3105761,Haverhill,58.5
F_767505_3105652,Haverhill,57.0
F_767122_3105361,Haverhill,55.5
F_766508_3109926,Haverhill,49.5
F_766250_3110330,Haverhill,49.5
F_766883_3104813,Haverhill,49.0
F_766351_3104566,Haverhill,46.5
F_766410_3110510,Haverhill,45.5
F_766100_3111151,Haverhill,38.0
F_763315_3101656,Haverhill,32.0
F_765858_3111715,Haverhill,29.5
F_762251_3100596,Haverhill,29.5
F_765700_3112318,Haverhill,27.0
F_761420_3099263,Haverhill,25.0
F_765590_3112569,Haverhill,22.0
F_760757_3117937,Haverhill,20.0
F_765038_3113168,Haverhill,18.0
F_764342_3114528,Haverhill,17.0
F_761426_3117147,Haverhill,17.0
F_762560_3115924,Haverhill,10.5
F_773616_3103682,Haverhill,10.5
F_784492_2882669,Holbrook,32.5
F_581975_3028070,Leominster,48.0
F_591509_3021726,Leominster,39.0
F_591477_3021814,Leominster,39.0
F_591636_3021562,Leominster,36.5
F_591708_3021421,Leominster,36.5
F_705921_3057416,Lowell,69.5
F_706013_3057517,Lowell,69.5
M_245343_912453,Lynn,72.5
M_245348_912481,Lynn,72.5
M_245546_912630,Lynn,72.5
M_245889_912792,Lynn,72.0
M_245134_912318,Lynn,71.0
M_245116_912332,Lynn,71.0
M_245867_912778,Lynn,71.0
M_246153_913009,Lynn,70.0
M_244931_912203,Lynn,68.0
M_246164_912972,Lynn,68.0
M_246179_912983,Lynn,68.0
M_246268_913076,Lynn,68.0
M_246394_913158,Lynn,67.0
M_244098_911955,Lynn,65.5
M_246408_913166,Lynn,64.0
M_246477_913177,Lynn,64.0
M_246469_913211,Lynn,64.0
M_244075_911937,Lynn,63.0
M_244695_912048,Lynn,63.0
M_246590_913249,Lynn,63.0
M_246611_913281,Lynn,63.0
M_244523_911862,Lynn,62.0
M_244372_911816,Lynn,61.5
M_244325_911874,Lynn,61.5
M_246677_913296,Lynn,60.0
M_244026_911634,Lynn,58.5
M_244153_911630,Lynn,57.5
M_244083_911759,Lynn,57.5
M_242842_912223,Lynn,56.0
M_243972_911534,Lynn,51.5
M_243484_911002,Lynn,31.5
F_732598_2838013,Mansfield,48.0
F_732751_2838277,Mansfield,48.0
F_732054_2837110,Mansfield,45.5
F_724918_2822754,Mansfield,8.5
F_726559_2825681,Mansfield,7.5
F_726881_2826614,Mansfield,3.0
F_772233_2988958,Melrose,47.0
F_718976_2919699,Needham,47.475638446588704
