"State","Density","Pop","LandArea"
"Washington DC","11814.5410","720687","61"
"New Jersey","1215.1985","8936570","7354"
"Rhode Island","1021.4313","1056160","1034"
"Massachusetts","894.4359","6976600","7800"
"Puerto Rico","876.6002","3032160","3459"
"Connecticut","735.8695","3563080","4842"
"Maryland","626.6735","6083120","9707"
"Delaware","504.3073","982895","1949"
"New York","412.5218","19440500","47126"
"Florida","410.1259","21993000","53625"
"Ohio","287.5040","11747700","40861"
"Pennsylvania","286.5454","12820900","44743"
"California","256.3728","39937500","155779"
"Illinois","228.0246","12659700","55519"
"Hawaii","219.9424","1412690","6423"
"Virginia","218.4404","8626210","39490"
"North Carolina","218.2710","10611900","48618"
"Indiana","188.2809","6745350","35826"
"Georgia","186.6726","10736100","57513"
"Michigan","177.6650","10045000","56539"
"South Carolina","173.3176","5210100","30061"
"Tennessee","167.2749","6897580","41235"
"New Hampshire","153.1610","1371250","8953"
"Washington","117.3273","7797100","66456"
"Kentucky","113.9566","4499690","39486"
"Texas","112.8204","29472300","261232"
"Wisconsin","108.0496","5851750","54158"
"Louisiana","107.5174","4645180","43204"
"Alabama","96.9221","4908620","50645"
"Missouri","89.7453","6169270","68742"
"West Virginia","73.9691","1778070","24038"
"Minnesota","71.5922","5700670","79627"
"Vermont","68.1416","628061","9217"
"Arizona","64.9549","7378490","113594"
"Mississippi","63.7056","2989260","46923"
"Arkansas","58.4030","3039000","52035"
"Oklahoma","57.6546","3954820","68595"
"Iowa","56.9284","3179850","55857"
"Colorado","56.4012","5845530","103642"
"Oregon","44.8086","4301090","95988"
"Maine","43.6336","1345790","30843"
"Utah","39.9430","3282120","82170"
"Kansas","35.5968","2910360","81759"
"Nevada","28.5993","3139660","109781"
"Nebraska","25.4161","1952570","76824"
"Idaho","22.0970","1826160","82643"
"New Mexico","17.2850","2096640","121298"
"South Dakota","11.9116","903027","75811"
"North Dakota","11.0393","761723","69001"
"Montana","7.4668","1086760","145546"
"Wyoming","5.8400","567025","97093"
"Alaska","1.2863","734002","570641"
