States,HighSchool_Plus,Bachelors_Plus
Montana,93.2,31.2
Minnesota,93,35.4
Wyoming,92.9,26.9
New Hampshire,92.9,36.5
Alaska,92.7,29.2
Vermont,92.6,37.3
North Dakota,92.5,29.5
Maine,92.3,30.9
Utah,92,33.3
Iowa,92,28.2
Wisconsin,91.9,29.5
Hawaii,91.8,32.5
South Dakota,91.7,28.5
Colorado,91.4,40.1
Washington,91.1,35.3
Nebraska,91.1,31.3
Kansas,90.7,32.9
Idaho,90.6,26.9
District of Columbia,90.6,57.6
Michigan,90.5,28.6
Connecticut,90.5,38.9
Oregon,90.4,32.9
Massachusetts,90.4,42.9
Pennsylvania,90.2,30.8
Ohio,90.1,27.8
Maryland,90,39.6
Delaware,89.8,31.4
Missouri,89.6,28.6
New Jersey,89.5,38.9
Virginia,89.3,38.2
Illinois,88.9,34.1
Indiana,88.6,25.9
Rhode Island,88,33.3
Florida,88,29.2
Oklahoma,87.8,25.2
North Carolina,87.4,30.5
South Carolina,87.1,27.4
Tennessee,87,26.6
Arizona,86.8,28.9
Georgia,86.7,30.7
West Virginia,86.5,20.3
New York,86.5,35.9
Nevada,86.3,24.2
Arkansas,86.2,22.6
Alabama,85.8,24.9
Kentucky,85.7,23.6
New Mexico,85.3,27.1
Louisiana,84.8,23.7
Mississippi,83.9,21.8
Texas,83.2,29.3
California,82.9,33.3
